osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,lanes
4832428,B1077,Lowgate Street,secondary,30 mph,False,False,106.787,"LINESTRING (1.1466184 52.3195063, 1.1467865 52.3193812, 1.146992 52.3192006, 1.1475012 52.318713)",
4832429,B1117,Castle Street,secondary,30 mph,False,False,77.69,"LINESTRING (1.1466184 52.3195063, 1.1466673 52.3195291, 1.1470719 52.3195322, 1.1477357 52.3196132)",
232204073,B1077,Broad Street,secondary,30 mph,False,True,94.643,"LINESTRING (1.1466184 52.3195063, 1.1464053 52.3196476, 1.1462519 52.3197589, 1.1460833 52.3198889, 1.1459322 52.3200311, 1.1458733 52.3202054)",
4832429,B1117,Castle Street,secondary,30 mph,False,False,109.231,"LINESTRING (1.1477357 52.3196132, 1.1481225 52.3196119, 1.1486914 52.3195928, 1.1493417 52.3195828)",
4832429,B1117,Castle Street,secondary,30 mph,False,True,77.69,"LINESTRING (1.1477357 52.3196132, 1.1470719 52.3195322, 1.1466673 52.3195291, 1.1466184 52.3195063)",
26056318,,Buckshorn Lane,unclassified,30 mph,False,True,174.508,"LINESTRING (1.1477357 52.3196132, 1.147749 52.3196785, 1.1477118 52.3198133, 1.1476559 52.3199324, 1.1475797 52.3200255, 1.1475035 52.3200805, 1.1472859 52.3201921, 1.14722 52.3202582, 1.1471862 52.3203175, 1.1471777 52.3203767, 1.1471633 52.3204312, 1.1471565 52.320457, 1.1471518 52.3206335, 1.1471795 52.3208295, 1.1471868 52.3210684)",
26056314,B1077,Victoria Hill,secondary,30 mph,False,False,76.733,"LINESTRING (1.1440741 52.3257661, 1.144169 52.3254514, 1.1442129 52.3251161, 1.1442173 52.3250825)",2
"[305614696, 863727387]",,Copper Way,residential,,False,False,56.474000000000004,"LINESTRING (1.1440741 52.3257661, 1.1439905 52.3257521, 1.1438872 52.32571, 1.1437523 52.3256306, 1.1435859 52.3256023, 1.1434707 52.3255889, 1.1434394 52.3256741)",
19608520,B1077,Lambseth Street,secondary,30 mph,False,False,190.15499999999997,"LINESTRING (1.1442767 52.3238315, 1.1443007 52.3237299, 1.1443474 52.3236366, 1.1443968 52.3235674, 1.144481 52.3234798, 1.1445214 52.3234325, 1.1448057 52.3231412, 1.1449797 52.3229753, 1.1450099 52.3229465, 1.1452504 52.3227376, 1.1453486 52.3226496, 1.1455181 52.3224977, 1.1456648 52.3223614)",2
19619610,,Castleton Way,tertiary,30 mph,False,False,156.83300000000003,"LINESTRING (1.1442767 52.3238315, 1.1439607 52.3238136, 1.1423377 52.323743, 1.1421937 52.3237314, 1.1419776 52.3237141)",
26056314,B1077,Victoria Hill,secondary,30 mph,False,True,139.238,"LINESTRING (1.1442767 52.3238315, 1.1442555 52.3241165, 1.1442583 52.3245359, 1.1442507 52.3248281, 1.1442204 52.3250363, 1.1442173 52.3250825)",2
19619076,B1117,Magdalen Street,secondary,30 mph,False,False,30.802,"LINESTRING (1.1458733 52.3202054, 1.1454228 52.3201753)",
163987571,B1077,Broad Street,secondary,30 mph,False,True,103.95,"LINESTRING (1.1458733 52.3202054, 1.1459367 52.3203263, 1.1460661 52.3204631, 1.146228 52.320565, 1.1463395 52.3206471, 1.1464029 52.3207208, 1.1464335 52.3208088, 1.1464566 52.3209255, 1.1464526 52.3210358)",
232204073,B1077,Broad Street,secondary,30 mph,False,False,94.643,"LINESTRING (1.1458733 52.3202054, 1.1459322 52.3200311, 1.1460833 52.3198889, 1.1462519 52.3197589, 1.1464053 52.3196476, 1.1466184 52.3195063)",
"[26056315, 864801533]",B1077,"['Lambseth Street', 'Broad Street']",secondary,30 mph,False,True,59.693,"LINESTRING (1.1464526 52.3210358, 1.1464191 52.3211117, 1.1463663 52.3211971, 1.1462695 52.3213241, 1.14612 52.3215317)",2
26056317,,Church Street,unclassified,30 mph,False,False,50.041,"LINESTRING (1.1464526 52.3210358, 1.1469834 52.3210631, 1.1471868 52.3210684)",
163987571,B1077,Broad Street,secondary,30 mph,False,False,103.95,"LINESTRING (1.1464526 52.3210358, 1.1464566 52.3209255, 1.1464335 52.3208088, 1.1464029 52.3207208, 1.1463395 52.3206471, 1.146228 52.320565, 1.1460661 52.3204631, 1.1459367 52.3203263, 1.1458733 52.3202054)",
27544629,,Bellands Way,residential,,False,False,44.794,"LINESTRING (1.1442173 52.3250825, 1.1448695 52.3251407)",
26056314,B1077,Victoria Hill,secondary,30 mph,False,False,139.238,"LINESTRING (1.1442173 52.3250825, 1.1442204 52.3250363, 1.1442507 52.3248281, 1.1442583 52.3245359, 1.1442555 52.3241165, 1.1442767 52.3238315)",2
