osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,width,ref,bridge
24240773,Seaforth Road,residential,30 mph,False,False,6.958,"LINESTRING (-4.4587309 57.518476, -4.4587514 57.5185376)",,,,
38273765,Fairmuir Road,residential,30 mph,False,False,53.174,"LINESTRING (-4.4587309 57.518476, -4.4596213 57.5184819)",,,,
24240773,Seaforth Road,residential,30 mph,False,True,91.47800000000001,"LINESTRING (-4.4587309 57.518476, -4.4586347 57.5182042, -4.45859 57.5180864, -4.458503 57.5178457, -4.4584733 57.5177409, -4.4584894 57.5177127, -4.4585419 57.5176775)",,,,
4020325,Balvaird Road,unclassified,30 mph,False,True,165.895,"LINESTRING (-4.4536408 57.5217599, -4.4539255 57.5214725, -4.4540323 57.5212707, -4.454242 57.5208126, -4.4542731 57.5207669, -4.4543466 57.5206847, -4.4544561 57.5206042, -4.4547839 57.5204333)",,,,
41067095,Rose Croft,residential,30 mph,False,False,191.147,"LINESTRING (-4.4536408 57.5217599, -4.4533715 57.5216798, -4.453143 57.5217053, -4.452812 57.5218064, -4.4524022 57.5218163, -4.4521179 57.5218359, -4.4516269 57.5219261, -4.4515878 57.5219248, -4.4514525 57.5219204, -4.4512867 57.5218591, -4.4508215 57.5215873)",,,,
37190666,Logan Way,residential,20 mph,False,True,49.354,"LINESTRING (-4.4577087 57.5156129, -4.4577777 57.5156047, -4.4579588 57.5155957, -4.4581104 57.5156086, -4.4582606 57.5156385, -4.4583692 57.5156475, -4.4585193 57.5156428)",2,5.5,,
"[499978784, 80560553]","['Great North Road', 'Tarradale Terrace']",primary,20 mph,False,False,166.25,"LINESTRING (-4.4577087 57.5156129, -4.4578421 57.5159341, -4.4578933 57.5160648, -4.4579736 57.5162928, -4.4582504 57.5170793)",2,,A862,
499978784,Tarradale Terrace,primary,20 mph,False,True,102.828,"LINESTRING (-4.4577087 57.5156129, -4.4574497 57.5148509, -4.4573918 57.514704)",2,,A862,
24237033,,primary,20 mph,False,True,8.83,"LINESTRING (-4.4584417 57.5176191, -4.4585419 57.5176775)",2,,A862,
"[8413342, 503645455]",Black Isle Road,primary,"['20 mph', '30 mph']",False,False,379.09299999999996,"LINESTRING (-4.4584417 57.5176191, -4.4583588 57.5176148, -4.4582442 57.5175883, -4.4574826 57.5172713, -4.4573646 57.5172222, -4.4566254 57.5169503, -4.4565117 57.5169065, -4.4564579 57.5168864, -4.4560612 57.5167383, -4.455479 57.5165341, -4.455235 57.5164597, -4.454835 57.5163827, -4.4543602 57.5162913, -4.4533088 57.5160939, -4.4529141 57.5160113)",2,,A832,
80560553,Great North Road,primary,20 mph,False,True,61.101,"LINESTRING (-4.4584417 57.5176191, -4.4583811 57.5174426, -4.4583482 57.5173511, -4.4582504 57.5170793)",2,,A862,
"[24237033, 483083771, 463178772, 25991423]",,primary,20 mph,False,"[False, True]",176.024,"LINESTRING (-4.461004 57.518538, -4.4607826 57.5184317, -4.4606251 57.5183527, -4.4603709 57.5182651, -4.4601213 57.5181747, -4.4600243 57.518139, -4.4598371 57.5180728, -4.4592458 57.5178811, -4.4590112 57.5178095, -4.4588494 57.5177663, -4.4587392 57.5177333, -4.4585419 57.5176775)",2,,A862,yes
"[503645456, 33896193]",Great North Road,primary,"['20 mph', '30 mph']",False,False,160.14999999999998,"LINESTRING (-4.461004 57.518538, -4.4611714 57.5186807, -4.4612896 57.5188069, -4.4613658 57.5189419, -4.4614225 57.5191073, -4.4614431 57.5191675, -4.461427 57.519555, -4.461426 57.5195798, -4.461418 57.5196607, -4.4613918 57.5199268)",2,,A862,
499978785,West Road,primary,20 mph,False,True,31.448999999999998,"LINESTRING (-4.461004 57.518538, -4.461133 57.5185002, -4.4612433 57.5184843, -4.4614998 57.5184475)",2,,A832,
26930295,Hawthorn Road,residential,30 mph,False,False,34.442,"LINESTRING (-4.4547839 57.5204333, -4.454271 57.5202916)",1,3,,
4020325,Balvaird Road,unclassified,30 mph,False,False,165.89499999999998,"LINESTRING (-4.4547839 57.5204333, -4.4544561 57.5206042, -4.4543466 57.5206847, -4.4542731 57.5207669, -4.454242 57.5208126, -4.4540323 57.5212707, -4.4539255 57.5214725, -4.4536408 57.5217599)",,,,
4020325,Balvaird Road,unclassified,30 mph,False,True,64.634,"LINESTRING (-4.4547839 57.5204333, -4.4552371 57.520232, -4.4555921 57.5200473)",,,,
26930295,Hawthorn Road,residential,30 mph,False,True,106.576,"LINESTRING (-4.4525116 57.5201808, -4.4530638 57.5201739, -4.4531741 57.5201725, -4.4532262 57.5201762, -4.4534052 57.520189, -4.4536948 57.5202403, -4.454271 57.5202916)",1,3,,
56045471,Hawthorn Park,residential,30 mph,False,False,38.316,"LINESTRING (-4.4525116 57.5201808, -4.4524997 57.5202377, -4.4524618 57.5205243)",2,5.5,,
37190668,Corrie Gardens,residential,20 mph,False,False,11.565999999999999,"LINESTRING (-4.4637822 57.5187683, -4.4638099 57.5187189, -4.463838 57.5186687)",,,,
499978785,West Road,primary,20 mph,False,False,142.786,"LINESTRING (-4.4637822 57.5187683, -4.4636026 57.5187337, -4.4635179 57.5187174, -4.4630505 57.5186261, -4.4629324 57.518603, -4.4621924 57.5184583, -4.4619499 57.5184358, -4.4617047 57.5184281, -4.4614998 57.5184475)",2,,A832,
"[499978785, 1153459582]",West Road,primary,"['20 mph', '30 mph']",False,True,105.653,"LINESTRING (-4.4637822 57.5187683, -4.464033 57.5188165, -4.4642532 57.5188589, -4.4654479 57.5190887)",2,,A832,
499978785,West Road,primary,20 mph,False,False,31.448999999999998,"LINESTRING (-4.4614998 57.5184475, -4.4612433 57.5184843, -4.461133 57.5185002, -4.461004 57.518538)",2,,A832,
499978785,West Road,primary,20 mph,False,True,142.786,"LINESTRING (-4.4614998 57.5184475, -4.4617047 57.5184281, -4.4619499 57.5184358, -4.4621924 57.5184583, -4.4629324 57.518603, -4.4630505 57.5186261, -4.4635179 57.5187174, -4.4636026 57.5187337, -4.4637822 57.5187683)",2,,A832,
503645462,Corry Road,unclassified,20 mph,False,True,125.11299999999999,"LINESTRING (-4.4614998 57.5184475, -4.4614722 57.51838, -4.4614326 57.5183276, -4.4613464 57.5182821, -4.4612362 57.5182259, -4.4611888 57.5181787, -4.4611695 57.5181144, -4.4611695 57.5180582, -4.4611939 57.5179432, -4.4612333 57.5177657, -4.4613079 57.5174989, -4.4613351 57.5173861)",,,,
37190666,Logan Way,residential,20 mph,False,False,53.936,"LINESTRING (-4.4591977 57.5157615, -4.4591644 57.5156356, -4.4591309 57.5156176, -4.4591081 57.5156115, -4.458986 57.5156086, -4.4587997 57.5156266, -4.4585193 57.5156428)",2,5.5,,
37190666,Logan Way,residential,20 mph,False,False,49.354,"LINESTRING (-4.4585193 57.5156428, -4.4583692 57.5156475, -4.4582606 57.5156385, -4.4581104 57.5156086, -4.4579588 57.5155957, -4.4577777 57.5156047, -4.4577087 57.5156129)",2,5.5,,
37190666,Logan Way,residential,20 mph,False,True,53.936,"LINESTRING (-4.4585193 57.5156428, -4.4587997 57.5156266, -4.458986 57.5156086, -4.4591081 57.5156115, -4.4591309 57.5156176, -4.4591644 57.5156356, -4.4591977 57.5157615)",2,5.5,,
37190667,Logan Way,residential,20 mph,False,False,179.38300000000004,"LINESTRING (-4.4585193 57.5156428, -4.4585549 57.5156971, -4.4587749 57.51608, -4.4588278 57.5161398, -4.4588861 57.5161823, -4.4590142 57.5162464, -4.4591108 57.5163184, -4.4591671 57.5163785, -4.4591993 57.5164545, -4.4592429 57.5165262, -4.4592851 57.516568, -4.4593663 57.5166184, -4.4594132 57.5166728, -4.459436 57.5167279, -4.4594286 57.5168042, -4.4594414 57.516864, -4.459483 57.5169209, -4.4595413 57.5169627, -4.4595969 57.5170048, -4.4596271 57.5170595, -4.4596332 57.5171027)",,,,
37190667,Logan Way,residential,20 mph,False,True,13.763,"LINESTRING (-4.4595695 57.5172212, -4.4596083 57.5171676, -4.4596332 57.5171027)",,,,
37190668,Corrie Gardens,residential,20 mph,False,False,59.524,"LINESTRING (-4.463838 57.5186687, -4.4641259 57.5181562)",,,,
37190668,Corrie Gardens,residential,20 mph,False,True,11.565999999999999,"LINESTRING (-4.463838 57.5186687, -4.4638099 57.5187189, -4.4637822 57.5187683)",,,,
37190670,Corrie Gardens,residential,20 mph,False,True,193.978,"LINESTRING (-4.463838 57.5186687, -4.4624897 57.5183835, -4.4624322 57.5183149, -4.4627055 57.5178692, -4.4621285 57.5177596, -4.4621625 57.5176683)",,,,
37190668,Corrie Gardens,residential,20 mph,False,True,59.524,"LINESTRING (-4.4641259 57.5181562, -4.463838 57.5186687)",,,,
37190669,Corrie Gardens,residential,20 mph,False,True,46.423,"LINESTRING (-4.4641259 57.5181562, -4.4648628 57.5182892)",,,,
"[37190669, 292265534]",Corrie Gardens,residential,20 mph,False,False,103.45299999999997,"LINESTRING (-4.4641259 57.5181562, -4.4634909 57.5180387, -4.4636702 57.517744, -4.4638302 57.5176292, -4.4639831 57.5175469)",,,,
37190669,Corrie Gardens,residential,20 mph,False,False,46.423,"LINESTRING (-4.4648628 57.5182892, -4.4641259 57.5181562)",,,,
