osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed,bridge,junction
4616855,Station Road,residential,False,False,20.668,"LINESTRING (-3.4050816 53.3381114, -3.4050219 53.3380098, -3.4050087 53.337932)",,,,,
614300423,Marine Road,primary,False,False,36.873000000000005,"LINESTRING (-3.4050816 53.3381114, -3.4053661 53.3380423, -3.4056013 53.3379949)",2,A548,20 mph,,
614300423,Marine Road,primary,False,True,185.96200000000002,"LINESTRING (-3.4050816 53.3381114, -3.4044098 53.3382908, -3.4042888 53.3383317, -3.4041884 53.3383657, -3.4039067 53.338461, -3.4033565 53.3386785, -3.4030045 53.3388127, -3.4028422 53.3388708, -3.4026507 53.3389355)",2,A548,20 mph,,
40295451,Sandy Lane,residential,False,False,104.654,"LINESTRING (-3.4080094 53.3363405, -3.4081272 53.3363528, -3.4085528 53.3363027, -3.4091162 53.3361954, -3.4095341 53.3361313)",,,,,
"[23442297, 32798346, 252257093]",Bridge Road,secondary,False,False,162.048,"LINESTRING (-3.4080094 53.3363405, -3.4080156 53.3363134, -3.4080106 53.3362934, -3.408004 53.3362756, -3.4079948 53.3362551, -3.4079392 53.3361847, -3.4077144 53.3359052, -3.4076831 53.3358741, -3.4076531 53.3358432, -3.4076005 53.3358055, -3.4075209 53.3357676, -3.4071176 53.3356308, -3.4068026 53.3355414, -3.4065468 53.3354682, -3.4063328 53.3353977)",,B5120,20 mph,yes,
252257093,Bridge Road,secondary,False,True,81.39500000000001,"LINESTRING (-3.4080094 53.3363405, -3.4079709 53.3363897, -3.4078995 53.3364316, -3.4075116 53.3365379, -3.4072678 53.3366053, -3.4071368 53.3366465, -3.4070996 53.3366683, -3.4070677 53.3366965, -3.4070449 53.3367261, -3.4070334 53.3367411)",,B5120,20 mph,,
4616855,Station Road,residential,False,True,185.034,"LINESTRING (-3.4070028 53.336841, -3.4069277 53.3368463, -3.4067989 53.3368551, -3.4067658 53.336861, -3.4067311 53.3368713, -3.4066986 53.3368869, -3.4066686 53.3369062, -3.4065632 53.3369874, -3.4065199 53.3370193, -3.4065033 53.3370315, -3.4064218 53.3370916, -3.4058645 53.3374911, -3.4057443 53.3375772, -3.4056361 53.3376431, -3.4055617 53.3376726, -3.405538 53.3376807, -3.4052303 53.3377858, -3.4050595 53.3378634, -3.4050219 53.3379003, -3.4050087 53.337932)",,,,,
23442299,Bastion Road,secondary,False,True,104.05600000000001,"LINESTRING (-3.4070028 53.336841, -3.4070245 53.3368799, -3.4070536 53.3369188, -3.4071287 53.336994, -3.4072014 53.3370621, -3.4072426 53.3371007, -3.4073702 53.3372232, -3.4074634 53.3373127, -3.4074789 53.3373276, -3.4075644 53.3374039, -3.4076667 53.3374951, -3.4077793 53.3375795, -3.4078012 53.3375938, -3.4078488 53.3376248)",,B5120,20 mph,,
"[35374859, 252257093]",Bridge Road,secondary,False,False,11.317,"LINESTRING (-3.4070028 53.336841, -3.4070091 53.336803, -3.4070229 53.3367651, -3.4070334 53.3367411)",,B5120,20 mph,,
"[23442297, 32798346, 252257093]",Bridge Road,secondary,False,True,162.04799999999997,"LINESTRING (-3.4063328 53.3353977, -3.4065468 53.3354682, -3.4068026 53.3355414, -3.4071176 53.3356308, -3.4075209 53.3357676, -3.4076005 53.3358055, -3.4076531 53.3358432, -3.4076831 53.3358741, -3.4077144 53.3359052, -3.4079392 53.3361847, -3.4079948 53.3362551, -3.408004 53.3362756, -3.4080106 53.3362934, -3.4080156 53.3363134, -3.4080094 53.3363405)",,B5120,20 mph,yes,
