osmid,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,ref,lanes,junction,access,width
22961087,Oak Street,residential,30 mph,False,True,62.351,"LINESTRING (1.4041723 51.2256294, 1.4040415 51.225656, 1.4039406 51.2256636, 1.4032891 51.2257128)",,,,,,
168963711,Beach Street,unclassified,30 mph,False,False,30.944,"LINESTRING (1.4041723 51.2256294, 1.4041348 51.2255914, 1.4041095 51.2255449, 1.4040879 51.2253609)",,,,,,
168963711,Beach Street,unclassified,30 mph,False,True,72.627,"LINESTRING (1.4041723 51.2256294, 1.4042032 51.2256699, 1.4042138 51.2257169, 1.4042488 51.2260215, 1.40429 51.2262756)",,,,,,
"[22997624, 165811647, 22997623]",London Road,primary,30 mph,False,False,97.17599999999999,"LINESTRING (1.3986709 51.2223936, 1.3987717 51.2223949, 1.3988846 51.2224034, 1.3989765 51.2224179, 1.3991052 51.2224444, 1.3995946 51.2225876, 1.3999602 51.2227044)",yes,A258,,,,
"[26484452, 22997701]",Mill Road,tertiary,30 mph,False,False,134.401,"LINESTRING (1.3986709 51.2223936, 1.3987312 51.2221653, 1.3989008 51.2215645, 1.3988856 51.2215236, 1.3988396 51.2214846, 1.3987034 51.2213913, 1.3985299 51.2212875)",,,,,,
26484451,London Road,primary,30 mph,False,True,162.55,"LINESTRING (1.3986709 51.2223936, 1.3985307 51.2224563, 1.3983628 51.2225393, 1.3982107 51.2225819, 1.3981018 51.2225905, 1.3980356 51.2225957, 1.397741 51.2225752, 1.3975524 51.2225592, 1.3971695 51.2225308, 1.3968109 51.2225019, 1.3964412 51.2224826)",,A258,2,,,
22961220,Broad Street,primary,30 mph,False,False,10.711,"LINESTRING (1.4036797 51.2231498, 1.4038331 51.2231428)",,A258,,,,
"[168964836, 22961220]","['Queen Street', 'Broad Street']",primary,30 mph,False,"[False, True]",202.614,"LINESTRING (1.4036797 51.2231498, 1.4033751 51.2231547, 1.4032817 51.2231561, 1.4027619 51.223164, 1.4025757 51.2231549, 1.4023775 51.2231447, 1.4021558 51.2231255, 1.4013457 51.2229746, 1.4008312 51.2228788)",,A258,,,,
22961077,Prince of Wales Terrace,primary,30 mph,False,False,52.124,"LINESTRING (1.4046168 51.2217702, 1.404577 51.2213021)",,A258,,,,
22961077,Prince of Wales Terrace,primary,30 mph,False,True,50.299,"LINESTRING (1.4046168 51.2217702, 1.4046271 51.2222225)",,A258,,,,
22997600,Deal Castle Road,primary,30 mph,True,False,25.845,"LINESTRING (1.4029332 51.2199293, 1.402837 51.2198992, 1.4027659 51.2198621, 1.4026734 51.219772)",,A258,2,,,
22997603,Deal Castle Road,primary,30 mph,True,False,21.128,"LINESTRING (1.4029332 51.2199293, 1.4028127 51.2199277, 1.4027243 51.2199345, 1.402662 51.2199784)",,A258,1,,,
22961040,West Street,residential,30 mph,False,False,66.27600000000001,"LINESTRING (1.3990092 51.2277247, 1.3995206 51.2275934, 1.3995538 51.2275827, 1.3998754 51.227479)",,,,,,
52461267,Western Road,residential,30 mph,False,False,214.062,"LINESTRING (1.3990092 51.2277247, 1.3989766 51.2276931, 1.3989202 51.2276322, 1.3987565 51.2273983, 1.3986844 51.2272746, 1.3984311 51.2268401, 1.3983701 51.2267403, 1.3983178 51.2266543, 1.3981982 51.2264576, 1.3978201 51.2259522)",,,,,,
