osmid,oneway,lanes,ref,highway,maxspeed,reversed,length,geometry,name,junction,access,bridge
23336705,True,2,A4061,primary,30 mph,False,19.844,"LINESTRING (-3.5754842 51.509456, -3.5755851 51.5093743, -3.5756713 51.5093213)",,,,
"[23336705, 1243848695]",True,2,A4061,primary,30 mph,False,36.053999999999995,"LINESTRING (-3.5756713 51.5093213, -3.5757742 51.5092625, -3.5759294 51.5091974, -3.5760924 51.5091318)",Boulevard de Villenave d'Ornon,,,
"[23336739, 1243848692]",True,"['1', '2']",B4181,secondary,30 mph,False,102.47099999999999,"LINESTRING (-3.5756713 51.5093213, -3.5757125 51.5092128, -3.5757521 51.5091661, -3.5757615 51.5091089, -3.575759 51.5090826, -3.575732 51.509035, -3.5756844 51.5089837, -3.5755536 51.5089119, -3.5754181 51.5088464, -3.5752954 51.5087704, -3.5751828 51.5086874, -3.5750722 51.5085748)",Tremains Road,,,
24677953,True,1,B4181,primary_link,30 mph,False,43.166999999999994,"LINESTRING (-3.5756713 51.5093213, -3.5758151 51.5093301, -3.5759378 51.5093151, -3.5760565 51.5093146, -3.5760868 51.5093188, -3.5761504 51.5093276, -3.5762875 51.509343)",,,,
4945331,True,,,primary,30 mph,False,7.591,"LINESTRING (-3.5810107 51.5082658, -3.5810357 51.5082354, -3.5810723 51.50821)",,roundabout,,
4945329,True,2,A4061,primary,30 mph,False,60.864,"LINESTRING (-3.5811357 51.5084348, -3.5809673 51.5084893, -3.5807272 51.5085166, -3.5805127 51.5085378, -3.5804536 51.5085428, -3.5802862 51.5085559)",Boulevard de Villenave d'Ornon,,,
4945331,True,,,primary,30 mph,False,22.826999999999998,"LINESTRING (-3.5811357 51.5084348, -3.5810784 51.5084145, -3.5810339 51.5083842, -3.5810063 51.5083469, -3.5809983 51.5083062, -3.5810107 51.5082658)",,roundabout,,
4945331,True,,,primary,30 mph,False,11.84,"LINESTRING (-3.5813026 51.5084309, -3.5812482 51.5084416, -3.5811912 51.5084429, -3.5811357 51.5084348)",,roundabout,,
974073189,True,2,A473,primary,30 mph,False,11.928,"LINESTRING (-3.5810452 51.5066678, -3.5808807 51.5066358)",Park Street,,,
13715931,True,2,A4061,primary,30 mph,False,176.05,"LINESTRING (-3.5810452 51.5066678, -3.5810503 51.5067338, -3.5810391 51.5068388, -3.5809884 51.5072162, -3.5809931 51.5073673, -3.5810193 51.5074829, -3.5810515 51.5075693, -3.5811071 51.5076715, -3.5811983 51.5078268, -3.5813324 51.5081319, -3.5813631 51.5082169)",,,,
249471724,True,2,A473,primary,30 mph,False,9.977,"LINESTRING (-3.5808807 51.5066358, -3.5808772 51.5065461)",,,,
24049371,True,,,tertiary,30 mph,False,31.131999999999998,"LINESTRING (-3.5808807 51.5066358, -3.5807584 51.5066118, -3.5807131 51.5065934, -3.5806116 51.506543, -3.5805572 51.5064643)",Angel Street,,,
24026229,True,2,,residential,30 mph,False,16.319,"LINESTRING (-3.5748713 51.5086335, -3.5749249 51.5085734, -3.5750188 51.5085217)",Minerva Street,,yes,
395053237,False,2,,residential,30 mph,False,27.097,"LINESTRING (-3.5748713 51.5086335, -3.5747751 51.5086722, -3.574654 51.5087153, -3.5745253 51.5087454)",Minerva Street,,yes,
"[24050440, 395053237]",False,2,,residential,30 mph,False,130.96099999999998,"LINESTRING (-3.5745253 51.5087454, -3.5744019 51.508742, -3.5742651 51.5087103, -3.5741525 51.5086602, -3.5738977 51.5084899, -3.5738905 51.5084855, -3.5738725 51.5084744, -3.5736681 51.5083491, -3.5733451 51.508151, -3.5731991 51.5080478, -3.5731868 51.5079774)","['Waunscil Avenue', 'Minerva Street']",,yes,
