osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,access,ref,junction
44776612,True,2,Church Street,tertiary,30 mph,False,71.352,"LINESTRING (-3.1663369 56.1965697, -3.16629 56.1967319, -3.1662534 56.1968696, -3.1662476 56.1968932, -3.1662362 56.1969399, -3.1662433 56.1970073, -3.1662618 56.1971312, -3.1663591 56.1971837)",,,
306997358,False,2,Church Street,tertiary,30 mph,True,17.997,"LINESTRING (-3.1663369 56.1965697, -3.166378 56.1964935, -3.1664241 56.1964153)",,,
4373403,False,2,Rothes Road,tertiary,30 mph,False,122.96799999999999,"LINESTRING (-3.1788734 56.1969887, -3.1790005 56.1968513, -3.1791122 56.1967158, -3.1791997 56.196589, -3.1792249 56.1965421, -3.1792876 56.196426, -3.1793387 56.1962566, -3.179342 56.1959321)",,,
452123749,True,2,Rothes Road,tertiary,30 mph,False,49.177,"LINESTRING (-3.1788734 56.1969887, -3.1787104 56.1973505, -3.1786802 56.1974177)",,,
4373403,False,2,Rothes Road,tertiary,30 mph,True,29.945,"LINESTRING (-3.179342 56.1954074, -3.179342 56.1956767)",,,
44027875,True,,Rothes Road,tertiary,30 mph,False,46.123000000000005,"LINESTRING (-3.179342 56.1954074, -3.179285 56.1952287, -3.1792524 56.1951753, -3.1792408 56.1951562, -3.1790872 56.1950248)",,,
44027877,True,,Rothes Road,tertiary,30 mph,False,34.086,"LINESTRING (-3.1792784 56.1942533, -3.1793477 56.1943441, -3.1793591 56.194355, -3.1794391 56.1944314, -3.1795548 56.1945167)",,,
370622925,False,2,Woodside Road,tertiary,30 mph,True,40.925,"LINESTRING (-3.1669249 56.1952068, -3.1664268 56.1949646)",,,
17658933,True,3,Woodside Road,tertiary,30 mph,False,28.761000000000003,"LINESTRING (-3.1669249 56.1952068, -3.1671065 56.1952258, -3.1672331 56.1952411, -3.1673769 56.1952659)",,,
77008389,False,,,residential,20 mph,True,20.986,"LINESTRING (-3.1643903 56.1943455, -3.1643076 56.1944045, -3.1642291 56.1945097)",,,
370622925,False,2,Woodside Road,tertiary,30 mph,False,121.39000000000001,"LINESTRING (-3.1643903 56.1943455, -3.1645283 56.1943737, -3.1646802 56.194407, -3.165016 56.1944747, -3.1651982 56.1945171, -3.1654076 56.1945645, -3.1655665 56.1946106, -3.1657023 56.1946567, -3.1658603 56.194717, -3.1659763 56.1947643, -3.1661384 56.194827)",,,
95750877,False,2,North Street,tertiary,20 mph,True,109.119,"LINESTRING (-3.173119 56.197134, -3.1728501 56.1971274, -3.1726997 56.1971232, -3.1725923 56.197121, -3.1722808 56.197113, -3.1722417 56.1971122, -3.1721731 56.1971108, -3.1719647 56.1971076, -3.1717564 56.1971143, -3.1715623 56.1971419, -3.1713746 56.1971797)",,,
"[371189855, 95750887]",True,,Falkland Place,unclassified,"['20 mph', '30 mph']",False,329.78700000000003,"LINESTRING (-3.173119 56.197134, -3.1731212 56.1970806, -3.1731402 56.1966162, -3.1731624 56.1965205, -3.1731781 56.1964877, -3.1732418 56.1964515, -3.1733387 56.1964282, -3.1734095 56.1964115, -3.1734932 56.1963995, -3.1749564 56.1964162, -3.1753301 56.1964319, -3.1755311 56.1964845, -3.1767102 56.1964968, -3.1768899 56.1964998, -3.1770187 56.1965088, -3.1771313 56.1965341, -3.1772417 56.1965772)","['destination', 'yes']",,
277630453,False,2,North Street,tertiary,20 mph,True,58.042,"LINESTRING (-3.173119 56.197134, -3.1734644 56.19714, -3.1736901 56.197144, -3.1740569 56.1971478)",,,
8046041,False,,,unclassified,5 mph,True,215.844,"LINESTRING (-3.1713746 56.1971797, -3.1713351 56.1970907, -3.1712788 56.1970102, -3.1712117 56.1969818, -3.1711366 56.1969773, -3.1709054 56.1969706, -3.1706495 56.1969632, -3.1704719 56.196958, -3.1704059 56.1969554, -3.1702373 56.1969494, -3.1701504 56.1969468, -3.1701011 56.1969456, -3.1698949 56.1969405, -3.1697674 56.1969374, -3.1696483 56.196935, -3.1695152 56.1969324, -3.1693834 56.1969298, -3.1691306 56.1969248, -3.1690342 56.1969229, -3.1688783 56.1969166, -3.1687543 56.1969117, -3.1686282 56.1969066, -3.1685284 56.1969026, -3.1681318 56.1968897)",,,
95750877,False,2,North Street,tertiary,20 mph,True,227.19500000000005,"LINESTRING (-3.1713746 56.1971797, -3.1710177 56.1972461, -3.1708145 56.1972588, -3.1707336 56.1972601, -3.1705849 56.197262, -3.1698764 56.1972419, -3.1694 56.1972284, -3.1693573 56.1972272, -3.1686173 56.1972076, -3.1685422 56.1972046, -3.1684805 56.1971986, -3.1684268 56.1971941, -3.1683571 56.1971837, -3.1682874 56.1971628, -3.1682337 56.1971374, -3.1681747 56.1971016, -3.1681425 56.1970688, -3.1681264 56.197024, -3.1681318 56.1968897)",,,
