osmid,ref,name,highway,oneway,reversed,length,lanes,access,geometry
724798519,B6097,King Street,secondary,False,False,72.566,,,"LINESTRING (-1.4313543 53.4998158, -1.4324217 53.4999667)"
968840534,B6097,Southgate,secondary_link,True,False,20.634999999999998,1,yes,"LINESTRING (-1.436094 53.5005669, -1.4360252 53.5005291, -1.4360044 53.5005032, -1.4359957 53.5004741, -1.4359944 53.500439, -1.436002 53.5004028)"
968840535,B6097,King Street,secondary,True,False,32.254,1,,"LINESTRING (-1.436094 53.5005669, -1.4359877 53.5005539, -1.435816 53.5005156, -1.4356424 53.5004618)"
399020752,B6097,West Street,secondary,False,False,27.772,,,"LINESTRING (-1.4453962 53.5009123, -1.4449794 53.5009426)"
60158871,,Headlands Road,residential,False,False,199.36200000000002,,,"LINESTRING (-1.4453962 53.5009123, -1.4454545 53.5012359, -1.4454214 53.5013299, -1.4452104 53.5017313, -1.4450901 53.5020024, -1.4449169 53.5026649)"
60157287,,Valley Way,residential,False,True,149.929,,,"LINESTRING (-1.4417782 53.5007948, -1.4417799 53.5007645, -1.4417812 53.5005283, -1.4417655 53.5002067, -1.4417034 53.4994475)"
399020752,B6097,West Street,secondary,False,False,169.39899999999997,,,"LINESTRING (-1.4417782 53.5007948, -1.4414312 53.5007222, -1.4404784 53.5005018, -1.4403604 53.5004804, -1.4402336 53.5004629, -1.4401022 53.5004438, -1.439842 53.5004141, -1.4396534 53.500395, -1.4395941 53.5003883, -1.4393325 53.5003609)"
399020752,B6097,West Street,secondary,False,True,71.068,,,"LINESTRING (-1.4417782 53.5007948, -1.4422748 53.5008945, -1.4428044 53.5009836)"
5019417,B6097,High Street,secondary,True,False,56.492999999999995,2,yes,"LINESTRING (-1.4390488 53.5003581, -1.4387114 53.500522, -1.438574 53.5005851, -1.4385465 53.5005977, -1.4383722 53.5006676)"
46734680,B6097,King Street,secondary,True,False,61.651,1,yes,"LINESTRING (-1.4379444 53.5007701, -1.4379301 53.5007725, -1.4375442 53.5008381, -1.4374735 53.5008501, -1.4374099 53.5008602, -1.4373468 53.500862, -1.4372818 53.5008574, -1.4372207 53.5008486, -1.4370467 53.5008111)"
46734718,,Market Street,tertiary,False,False,145.814,,,"LINESTRING (-1.4419633 53.5039823, -1.4425977 53.5046869, -1.4430007 53.5051394)"
47483330,,Greenside Lane,tertiary,False,True,252.12800000000001,,,"LINESTRING (-1.4419633 53.5039823, -1.4402948 53.5047756, -1.4398862 53.504965, -1.439826 53.504979, -1.4397326 53.5049829, -1.4387417 53.504903)"
55301644,,Market Street,tertiary,False,True,57.153,,,"LINESTRING (-1.4419633 53.5039823, -1.4415746 53.5035805, -1.4415323 53.5035368)"
46734718,,Market Street,tertiary,False,True,145.814,,,"LINESTRING (-1.4430007 53.5051394, -1.4425977 53.5046869, -1.4419633 53.5039823)"
60457646,,Old School Close,residential,False,True,50.001000000000005,,,"LINESTRING (-1.4430007 53.5051394, -1.4433857 53.5050146, -1.4434078 53.504921, -1.4435372 53.5048664)"
55301645,,Milton Road,tertiary,False,False,76.05,,,"LINESTRING (-1.4376808 53.4973913, -1.4377665 53.4974839, -1.4378169 53.4975384, -1.4380832 53.4977575, -1.4383206 53.4979585)"
55301646,,Millhouses Street,residential,False,False,82.007,,,"LINESTRING (-1.4376808 53.4973913, -1.437605 53.4974092, -1.4364672 53.4975381)"
55301645,,Milton Road,tertiary,False,False,56.849,,,"LINESTRING (-1.4390917 53.4991775, -1.4390132 53.4992783, -1.4389622 53.4993373, -1.4389254 53.4993889, -1.4389086 53.499449, -1.4389005 53.4995448, -1.4389241 53.4996649)"
55301645,,Milton Road,tertiary,False,True,81.964,,,"LINESTRING (-1.4390917 53.4991775, -1.4391084 53.4990661, -1.4391124 53.4990103, -1.4391017 53.4989265, -1.4390829 53.4988587, -1.4390528 53.4987858, -1.4389649 53.498625, -1.4388436 53.4984683)"
59993883,,Milton Road,residential,False,False,52.175,,,"LINESTRING (-1.4390917 53.4991775, -1.439162 53.499169, -1.4392278 53.499118, -1.4393042 53.499023, -1.4393391 53.4989608, -1.4393546 53.4988871, -1.439386 53.4987715)"
55301645,,Milton Road,tertiary,False,True,56.849000000000004,,,"LINESTRING (-1.4389241 53.4996649, -1.4389005 53.4995448, -1.4389086 53.499449, -1.4389254 53.4993889, -1.4389622 53.4993373, -1.4390132 53.4992783, -1.4390917 53.4991775)"
968840538,,Milton Road,tertiary,True,False,31.116999999999997,1,,"LINESTRING (-1.4389241 53.4996649, -1.4389797 53.4997769, -1.4389998 53.4998256, -1.4390427 53.4999356)"
60158871,,Headlands Road,residential,False,True,23.244,,,"LINESTRING (-1.4447147 53.5035902, -1.4446249 53.5033881)"
