osmid,oneway,ref,name,highway,maxspeed,reversed,length,geometry,junction,lanes,access,bridge
4274703,True,A5123,Towcester Road,primary,30 mph,False,104.313,"LINESTRING (-0.9013291 52.2348675, -0.9015371 52.2348459, -0.9017608 52.2348209, -0.9019716 52.2347775, -0.9021423 52.2347313, -0.9025636 52.2345828, -0.9027342 52.2345209)",,,,
600834658,True,,,trunk,30 mph,False,30.967000000000002,"LINESTRING (-0.9013291 52.2348675, -0.9014054 52.2348735, -0.9014843 52.2348934, -0.901552 52.2349263, -0.9015997 52.2349668, -0.9016234 52.2350019, -0.9016351 52.2350395)",roundabout,,,
618536736,True,A428,St Peters Way,trunk,30 mph,False,60.946,"LINESTRING (-0.8973781 52.2337736, -0.8974743 52.2337925, -0.8977613 52.233845, -0.8982379 52.2339255)",,,,
782055724,True,A508,Bridge Street,trunk,30 mph,False,29.241,"LINESTRING (-0.8973781 52.2337736, -0.8973903 52.2338779, -0.8974088 52.2340359)",,,,
61218060,True,,Saint John's Street,residential,,False,45.78300000000001,"LINESTRING (-0.8965056 52.2349913, -0.8964295 52.2350273, -0.8964043 52.2350364, -0.8962526 52.2350914, -0.8960793 52.2351313, -0.8958939 52.2351282)",,,,
470239071,True,A508,Cattle Market Road,trunk,30 mph,False,24.23,"LINESTRING (-0.8965056 52.2349913, -0.8963635 52.2349744, -0.8963117 52.234959, -0.8961968 52.2348967)",,,,
470239071,True,A508,Cattle Market Road,trunk,30 mph,False,59.007999999999996,"LINESTRING (-0.8961553 52.234502, -0.8961594 52.2344622, -0.8961643 52.2344144, -0.8961712 52.2343468, -0.8961704 52.2341441, -0.8961692 52.2341352, -0.8961475 52.2339722)",,,,
4274699,True,A508,Cattle Market Road,trunk,30 mph,False,25.644,"LINESTRING (-0.8961899 52.2337988, -0.8963404 52.2335874)",,,,
4274697,True,A428,Victoria Promenade,trunk,30 mph,False,81.344,"LINESTRING (-0.8961899 52.2337988, -0.8968277 52.2337547, -0.8968978 52.233754, -0.8970955 52.233752, -0.8972604 52.2337646, -0.8973781 52.2337736)",,,,
"[118609760, 191260507]",True,A428,St Peters Way,trunk,30 mph,False,235.94400000000002,"LINESTRING (-0.8982379 52.2339255, -0.8986098 52.2339805, -0.89894 52.2340357, -0.8990052 52.2340466, -0.8993432 52.2341163, -0.8994583 52.2341451, -0.8996277 52.2341875, -0.8996703 52.2341981, -0.8999389 52.2342867, -0.9000516 52.2343363, -0.9002528 52.2344249, -0.9005398 52.2345676, -0.9007886 52.234718, -0.9008515 52.2347632, -0.9009365 52.2348082, -0.9010177 52.2348407, -0.9011024 52.2348564, -0.9012566 52.2348728)",,,,
27016404,True,,Gold Street,unclassified,,False,11.996,"LINESTRING (-0.90096 52.2367667, -0.9007839 52.2367695)",,,,
31001118,True,A508,Horse Market,trunk,30 mph,False,53.929,"LINESTRING (-0.90096 52.2367667, -0.9009376 52.2372515)",,,,
1098177398,True,A508,Horse Market,trunk,30 mph,False,54.255,"LINESTRING (-0.9004045 52.2393906, -0.9003309 52.2396084, -0.900243 52.2398684)",,,,
4274696,True,A428,St Peters Way,trunk,30 mph,False,133.059,"LINESTRING (-0.9010214 52.2350598, -0.9009284 52.2349746, -0.9008454 52.2349019, -0.9007186 52.2348136, -0.9006715 52.2347875, -0.9005069 52.2346964, -0.9001591 52.2345166, -0.8997998 52.2343529, -0.8996959 52.2343113, -0.8995774 52.2342689)",,,,
600834653,True,,,trunk,30 mph,False,28.298999999999996,"LINESTRING (-0.9010214 52.2350598, -0.9010359 52.2349984, -0.9010682 52.2349558, -0.9011023 52.2349285, -0.901141 52.2349067, -0.9011848 52.2348894, -0.9012566 52.2348728)",roundabout,,,
600901959,True,,,trunk,30 mph,False,5.49,"LINESTRING (-0.9010336 52.2351086, -0.9010214 52.2350598)",roundabout,,,
600834661,True,,,trunk,30 mph,False,4.972,"LINESTRING (-0.9012566 52.2348728, -0.9013291 52.2348675)",roundabout,,,
8351926,True,,Bridge Street,unclassified,,False,27.038,"LINESTRING (-0.8972563 52.234872, -0.8972048 52.2351131)",,,,
470239073,True,A508,Saint John's Street,trunk,30 mph,False,21.001,"LINESTRING (-0.8972563 52.234872, -0.8971222 52.2349262, -0.896983 52.2349565)",,,,
1079893777,True,A508,Saint John's Street,trunk,30 mph,False,32.781,"LINESTRING (-0.896983 52.2349565, -0.896835 52.2349741, -0.8966999 52.2349822, -0.8965056 52.2349913)",,,,
217201546,True,,Bridge Street,residential,,False,38.783,"LINESTRING (-0.8972758 52.2368516, -0.8971099 52.2370982, -0.8970832 52.2371333, -0.8970445 52.2371696)",,,,
61214463,False,A5123,Victoria Promenade,primary,30 mph,True,252.40200000000002,"LINESTRING (-0.8892346 52.2354096, -0.8894118 52.2353411, -0.8894737 52.2353137, -0.8896262 52.2352217, -0.8898579 52.2350593, -0.8901367 52.2349094, -0.89037 52.234824, -0.8907163 52.2347441, -0.8924719 52.2344038)",,,,
67818399,False,,Derngate,residential,,True,39.861000000000004,"LINESTRING (-0.8892346 52.2354096, -0.8893586 52.2354606, -0.8895788 52.2355377, -0.8897435 52.2355856)",,,,
5042059,True,,Saint Michael's Road,tertiary,30 mph,False,32.034,"LINESTRING (-0.8920579 52.2407495, -0.8916008 52.2408177)",,,,
61940073,True,A5123,Lower Mounts,primary,30 mph,False,19.074,"LINESTRING (-0.8920579 52.2407495, -0.891809 52.2406708)",,,,
32148967,True,,Baliff Street,residential,,False,7.761,"LINESTRING (-0.8961738 52.2422368, -0.8962468 52.2421832)",,,,
5042063,True,A5123,Campbell Street,primary,30 mph,False,81.191,"LINESTRING (-0.8961738 52.2422368, -0.8956996 52.2419787, -0.8955835 52.2419302, -0.8952421 52.2417831)",,,,
149625158,True,,Church Lane,residential,,False,8.051,"LINESTRING (-0.8952421 52.2417831, -0.8952998 52.2417199)",,,,
61940072,True,A5123,Upper Mounts,primary,30 mph,False,196.762,"LINESTRING (-0.8952421 52.2417831, -0.8942917 52.2414892, -0.893805 52.2413351, -0.892683 52.2409615)",,,,
393275850,True,,Lady's Lane,unclassified,30 mph,False,80.833,"LINESTRING (-0.8945407 52.2402865, -0.8942066 52.2403357, -0.8940754 52.2403507, -0.893964 52.2403704, -0.8934812 52.2404557, -0.8933936 52.2404721)",,2,,
59753112,False,,Church Lane,residential,,False,4.469,"LINESTRING (-0.8955361 52.2415402, -0.8954815 52.2415625)",,,,
59753112,False,,Church Lane,residential,,True,5.104,"LINESTRING (-0.8955361 52.2415402, -0.8955998 52.241516)",,,,
