osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,bridge,junction,tunnel
15640701,False,2,A42,Ballymoney Road,primary,30 mph,False,11.836,"LINESTRING (-6.2802178 54.8652784, -6.2800832 54.8653514)",,,
114806100,True,2,A26,North Road,primary,30 mph,False,19.36,"LINESTRING (-6.2802178 54.8652784, -6.2804242 54.8654057)",,,
311045439,False,2,A42,Galgorm Road,primary,30 mph,True,32.516,"LINESTRING (-6.2802178 54.8652784, -6.2803752 54.8652055, -6.2806137 54.8650951)",,,
144014279,False,2,,Ballymoney Road,tertiary,30 mph,True,213.914,"LINESTRING (-6.2794755 54.8656812, -6.27946 54.8657807, -6.2795852 54.8661291, -6.2797193 54.8664999, -6.2798676 54.8669224, -6.279908 54.867054, -6.2799716 54.8672607, -6.2800819 54.867569)",,,
933031662,True,1,,Lower Mill Street,unclassified,30 mph,False,37.183,"LINESTRING (-6.2794755 54.8656812, -6.2793508 54.8656647, -6.2792717 54.8656421, -6.2791628 54.8655703, -6.2789935 54.8655099)",,,
933031665,True,1,,George Street,tertiary,,False,32.798,"LINESTRING (-6.2794755 54.8656812, -6.2793525 54.8656245, -6.2793048 54.8655874, -6.2792124 54.8654385)",,,
15641836,True,,,Wellington Street,unclassified,30 mph,False,93.923,"LINESTRING (-6.277096 54.8648854, -6.2769617 54.8649522, -6.2767462 54.8650703, -6.2759759 54.8654306)",,,
15641836,True,,,Wellington Street,unclassified,30 mph,False,160.565,"LINESTRING (-6.2759759 54.8654306, -6.275259 54.8657719, -6.2750969 54.8658491, -6.2741817 54.866294, -6.2740518 54.8663574)",,,
"[933901243, 148859044]",True,,,Bryan Street,unclassified,30 mph,False,116.099,"LINESTRING (-6.2748514 54.8646225, -6.27552 54.8650468, -6.2757121 54.8651813, -6.2757699 54.8652217, -6.2758187 54.8653186, -6.2759477 54.8654105, -6.2759759 54.8654306)",,,
149180205,True,,,Church Street,tertiary,30 mph,False,77.73299999999999,"LINESTRING (-6.2748514 54.8646225, -6.2749161 54.8645708, -6.2756944 54.8641202)",,,
146620955,True,2,A26,,primary,30 mph,False,19.665,"LINESTRING (-6.2773397 54.8631341, -6.2775775 54.8632461)",,,
143270791,True,2,,Bridge Street,tertiary,30 mph,False,57.909,"LINESTRING (-6.2773397 54.8631341, -6.2772647 54.8632369, -6.276892 54.8634526, -6.2767632 54.8635271)",,,
114806097,True,2,A26,Larne Road Link,primary,30 mph,False,2.645,"LINESTRING (-6.2769811 54.863049, -6.277022 54.8630524)",,,
100377149,False,2,,Bridge Street,tertiary,30 mph,True,95.01399999999998,"LINESTRING (-6.2767632 54.8635271, -6.2766095 54.8636126, -6.2759014 54.8640067, -6.2756944 54.8641202)",,,
933033818,True,2,A26,Larne Road Link,primary,30 mph,False,20.296,"LINESTRING (-6.2767632 54.8635271, -6.2766527 54.8634567, -6.2765867 54.8633777)",,,
