osmid,name,highway,maxspeed,oneway,reversed,length,lanes,ref,geometry,bridge,tunnel
511567888,Charlotte Street,tertiary,20 mph,False,False,7.348,,,"LINESTRING (-3.1573138 56.1077637, -3.1572027 56.1077407)",,
31358893,Esplanade,primary,30 mph,True,False,292.89099999999996,2,A921,"LINESTRING (-3.1573138 56.1077637, -3.1570696 56.1083152, -3.1567862 56.1088701, -3.1564681 56.1094347, -3.1560778 56.11017, -3.1560068 56.1102942)",,
"[1126700744, 460638905]",Charlotte Street,tertiary,20 mph,False,True,73.613,,,"LINESTRING (-3.1573138 56.1077637, -3.1574366 56.1077786, -3.1576213 56.1078092, -3.1579108 56.1078571, -3.1580314 56.1078772, -3.1581162 56.1078912, -3.1584542 56.1079471)",,
463974471,Dunnikier Road,tertiary,30 mph,False,False,9.013,,,"LINESTRING (-3.1537314 56.1142959, -3.1535951 56.1142677)",,
123192805,Esplanade,primary,30 mph,True,False,54.159,1,A921,"LINESTRING (-3.1537314 56.1142959, -3.1536375 56.1143733, -3.1532421 56.1146994)",,
"[351425368, 1126244618]",Dunnikier Road,tertiary,30 mph,False,True,66.288,,,"LINESTRING (-3.1537314 56.1142959, -3.1539223 56.1143549, -3.1540239 56.1144397, -3.1541073 56.1145229, -3.154235 56.1147108, -3.1542731 56.114784)",,
75654876,Deas' Wharf,residential,30 mph,False,False,118.736,,,"LINESTRING (-3.1532421 56.1146994, -3.1531063 56.1146563, -3.152839 56.1145703, -3.152759 56.1145503, -3.1524057 56.1144531, -3.1523526 56.1144393, -3.1521266 56.114434, -3.1520428 56.1144387, -3.1518175 56.1145583, -3.1516416 56.1146859)",,
463974468,Esplanade,primary,30 mph,True,False,52.756,2,A921,"LINESTRING (-3.1532421 56.1146994, -3.153491 56.114395, -3.1535951 56.1142677)",,
22889781,Bennochy Road,tertiary,30 mph,False,True,8.432,,,"LINESTRING (-3.1648638 56.1142831, -3.1647459 56.1142453)",,
12517483,Bennochy Road,secondary,30 mph,True,False,65.35100000000001,,B925,"LINESTRING (-3.1648638 56.1142831, -3.1646812 56.1144305, -3.1644776 56.1145523, -3.1643107 56.1146283, -3.1641186 56.1146866)",,
29045765,Victoria Gardens,residential,20 mph,False,False,154.626,,,"LINESTRING (-3.1627258 56.1152347, -3.1608533 56.1143161)",,
75652656,Victoria Road,secondary,30 mph,False,True,23.021,2,B925,"LINESTRING (-3.1627258 56.1152347, -3.1630225 56.1151102)",,
75652818,Bennochy Road,secondary,30 mph,True,False,151.051,,B925,"LINESTRING (-3.1651487 56.1129741, -3.1652245 56.1131201, -3.1652783 56.1132746, -3.165286 56.113366, -3.1652828 56.1134931, -3.1652615 56.1136189, -3.1651973 56.1138056, -3.1651213 56.1139661, -3.1648638 56.1142831)",,
40306711,,primary,30 mph,False,True,9.397,,A921,"LINESTRING (-3.157868 56.1065861, -3.1577172 56.1065777)",,
75572457,Nicol Street,primary,30 mph,False,False,54.641000000000005,3,A910,"LINESTRING (-3.157868 56.1065861, -3.1580151 56.1065859, -3.1582405 56.1065841, -3.1587482 56.1065666)",,
1134130254,Esplanade,primary,30 mph,True,False,35.961,2,A921,"LINESTRING (-3.157868 56.1065861, -3.1578135 56.1066796, -3.1577589 56.1067575, -3.1577123 56.1068008, -3.1576293 56.1068791)",,
123192869,Mitchell Street,tertiary,30 mph,False,False,58.425,,,"LINESTRING (-3.1563656 56.1142772, -3.1558643 56.1145548, -3.1557228 56.11466)",,
