osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,width,ref
43328699,2,Cromlet Drive,unclassified,30 mph,False,True,189.686,"LINESTRING (-4.1727352 57.689484, -4.1734065 57.6893555, -4.1738888 57.6892771, -4.1740463 57.6892581, -4.1744102 57.6892262, -4.1745224 57.6892187, -4.1756276 57.6891594, -4.1758476 57.6891535)",,,
377040630,2,Cromlet Drive,unclassified,30 mph,True,False,54.897,"LINESTRING (-4.1727352 57.689484, -4.1726503 57.6895075, -4.1719878 57.6897064, -4.1719283 57.6897242)",,,
42803446,2,High Street,tertiary,30 mph,False,False,133.291,"LINESTRING (-4.1723372 57.6881387, -4.1718315 57.6881833, -4.1709746 57.6882618, -4.1701252 57.6883359)",,,
42803446,2,High Street,tertiary,30 mph,False,True,63.515,"LINESTRING (-4.1723372 57.6881387, -4.1726823 57.6881073, -4.1733907 57.688043)",,,
377040669,2,Albany Road,unclassified,20 mph,False,True,74.33800000000001,"LINESTRING (-4.1723372 57.6881387, -4.1724902 57.6886708, -4.1725269 57.6887995)",,,
42575959,2,Academy Road,tertiary,30 mph,False,False,261.01,"LINESTRING (-4.1704366 57.6902121, -4.1696307 57.6905068, -4.1688407 57.6908148, -4.1679285 57.6911995, -4.166948 57.6916355)",,,
"[102963553, 116163411]",,Castle Road,tertiary,30 mph,False,True,140.494,"LINESTRING (-4.1704366 57.6902121, -4.1701727 57.6899851, -4.1696262 57.6894849, -4.1695233 57.689333, -4.1694326 57.6890822)",yes,,
"[102963552, 1063299609]",2,Castle Avenue,unclassified,30 mph,False,False,306.8,"LINESTRING (-4.1704366 57.6902121, -4.1707678 57.6905258, -4.1717461 57.6913895, -4.1727323 57.6922205, -4.1731406 57.6925619)",,,
42596027,2,Gordon Terrace,residential,30 mph,False,True,129.519,"LINESTRING (-4.1750824 57.6920418, -4.1744059 57.692179, -4.1742573 57.6922176, -4.173948 57.692297, -4.1732489 57.6925244, -4.1731406 57.6925619)",,,
191841949,,Harbour View,residential,30 mph,False,False,50.41,"LINESTRING (-4.1750824 57.6920418, -4.1749951 57.6918909, -4.1747338 57.6916306)",,5.5,
42803446,2,High Street,tertiary,30 mph,False,False,147.314,"LINESTRING (-4.1768394 57.6879147, -4.1766239 57.6879755, -4.1764803 57.6880138, -4.176298 57.6879874, -4.176165 57.6879458, -4.1760158 57.6879072, -4.175882 57.6878888, -4.1756775 57.6878586, -4.1754617 57.6878514, -4.1752105 57.6878776, -4.1746159 57.6879316, -4.1744779 57.6879442)",,,
