osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,junction,bridge,tunnel
31323415,A118,Ilford Hill,primary,30 mph,False,False,84.606,"LINESTRING (0.0664639 51.5569944, 0.066542 51.5570468, 0.0665927 51.5570761, 0.0669402 51.5572635, 0.067155 51.5573731, 0.0673011 51.557447, 0.0673894 51.5574913)",,,,
132040722,A118,Ilford Hill,primary,30 mph,True,False,32.538,"LINESTRING (0.0664639 51.5569944, 0.0664405 51.5569217, 0.0663996 51.5568755, 0.0662781 51.5567818, 0.0662292 51.5567481)",2,,,
"[1069283139, 535447151, 535447152, 535672337, 535672339, 1056478905, 1056478904, 1098009241, 1098009242, 4357372]",,Mill Road,unclassified,,False,True,231.18200000000004,"LINESTRING (0.0664639 51.5569944, 0.0663475 51.5570667, 0.0662897 51.5571059, 0.0662637 51.5571242, 0.0659204 51.5573927, 0.0656989 51.5575713, 0.065611 51.5576631, 0.0655743 51.5577062, 0.0655524 51.5577539, 0.0655317 51.557848, 0.065505 51.5579959, 0.0654918 51.558028, 0.0653416 51.5582902, 0.0653015 51.5583351, 0.0652291 51.5584073, 0.0651574 51.5584526, 0.0647141 51.5586997)",1,,,
4342842,A118,Winston Way,primary,30 mph,True,False,131.12,"LINESTRING (0.0702041 51.5574529, 0.0702348 51.5573671, 0.0702767 51.55729, 0.0706143 51.556845, 0.0707338 51.5567345, 0.0708396 51.5566897, 0.071005 51.556647, 0.0711862 51.5566058, 0.0713032 51.5565931)",,,,
"[4342841, 4950307]",A118,"['Winston Way', 'Chapel Road']",primary,30 mph,True,False,166.97599999999997,"LINESTRING (0.071187 51.5564076, 0.0707425 51.5565939, 0.0706201 51.55665, 0.0705299 51.5567204, 0.0702092 51.5571096, 0.0701065 51.5572057, 0.069998 51.5572603, 0.0699376 51.5572887, 0.069875 51.5573016, 0.0698094 51.557313, 0.0696761 51.5573194, 0.0695502 51.5573116, 0.0694673 51.5573039)",,,,
229692010,A118,,primary,30 mph,True,False,23.711,"LINESTRING (0.071187 51.5564076, 0.0711759 51.5564607, 0.0711841 51.5564937, 0.0712237 51.5565448, 0.0712589 51.5565718, 0.0713032 51.5565931)",,roundabout,,
4342840,A118,,primary,30 mph,True,False,26.291,"LINESTRING (0.0715002 51.5566041, 0.0715678 51.5565841, 0.0715999 51.5565605, 0.0716465 51.5565182, 0.0716681 51.5564691, 0.0716602 51.5564125)",,roundabout,,
4342844,A118,Winston Way,primary,30 mph,True,False,169.60500000000002,"LINESTRING (0.0715002 51.5566041, 0.0716925 51.5566273, 0.071867 51.5566467, 0.0720924 51.5566932, 0.0727767 51.5569056, 0.0737439 51.5572013)",,,,
997612142,A118,,primary,30 mph,True,False,16.025,"LINESTRING (0.0716602 51.5564125, 0.0716263 51.5563674, 0.0715755 51.5563346, 0.0715079 51.5563098)",,roundabout,,
229692009,A118,,primary,30 mph,True,False,9.376000000000001,"LINESTRING (0.0712608 51.5563378, 0.0712134 51.5563722, 0.071187 51.5564076)",,roundabout,,
4950262,A123,Ilford Lane,primary,30 mph,True,False,50.041,"LINESTRING (0.0715079 51.5563098, 0.0714437 51.5559699, 0.0714081 51.5558644)",,,,
229692011,A118,,primary,30 mph,True,False,18.101,"LINESTRING (0.0715079 51.5563098, 0.0714315 51.5563004, 0.0713676 51.5563041, 0.0712608 51.5563378)",,roundabout,,
504293762,,High Road,tertiary,,False,True,10.527,"LINESTRING (0.0764428 51.5596219, 0.0765864 51.5596534)",,,,
4263332,,Hainault Street,tertiary,,False,False,54.412,"LINESTRING (0.0764428 51.5596219, 0.0763937 51.5597282, 0.0762254 51.5600922)",,,,
"[501246753, 48373662, 217416742]",,"['Clements Road', 'High Road']","['unclassified', 'tertiary']",,False,False,120.29600000000002,"LINESTRING (0.0764428 51.5596219, 0.0762886 51.5595882, 0.07596 51.5595237, 0.0756514 51.5594647, 0.0756305 51.5594434, 0.0756239 51.5594206, 0.0756437 51.5593694, 0.0756634 51.5593311, 0.0757664 51.5591388, 0.0758754 51.5589278)",,,,
217416743,,Ley Street,tertiary,,False,True,69.104,"LINESTRING (0.0773983 51.5617797, 0.0772138 51.5617537, 0.077021 51.5617291, 0.0768248 51.5616857, 0.0766528 51.5616198, 0.0764921 51.5615423)",,,,
30982108,,Beal Road,residential,,True,False,75.472,"LINESTRING (0.0681781 51.5621084, 0.0674117 51.5618623, 0.0672039 51.5618022)",,,,
48568096,A123,Cranbrook Road,primary,,False,False,89.04,"LINESTRING (0.0681781 51.5621084, 0.0682124 51.5620699, 0.0682863 51.5620128, 0.0683964 51.5619482, 0.0686065 51.5618346, 0.0686994 51.5617943, 0.0688589 51.5616863, 0.0689087 51.561648, 0.0689779 51.5615743, 0.0690247 51.5615166)",,,,
48568096,A123,Cranbrook Road,primary,,False,True,69.482,"LINESTRING (0.0681781 51.5621084, 0.068113 51.5621835, 0.0680891 51.562225, 0.0680713 51.5622601, 0.068008 51.5624161, 0.0679088 51.5625954, 0.0678994 51.5626125, 0.0678461 51.5626963)",,,,
