osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,bridge,geometry,width,junction
770257318,True,3,A322,Bridge Street,primary,30 mph,False,5.373,,"LINESTRING (-0.5791614 51.236086, -0.5791393 51.2361323)",,
"[4662140, 4662139, 4317452]",True,3,A322,Bridge Street,primary,30 mph,False,116.02099999999999,yes,"LINESTRING (-0.5789578 51.2363127, -0.5788264 51.2363698, -0.5787484 51.2364012, -0.578571 51.2364608, -0.5782344 51.2365751, -0.5778589 51.2367077, -0.5775075 51.2368253)",,
57692602,True,1,,Walnut Tree Close,tertiary,30 mph,False,30.695,,"LINESTRING (-0.5791393 51.2361323, -0.5792073 51.2362097, -0.5792797 51.2362668, -0.579379 51.2363633)",,
770257313,True,3,A322,Bridge Street,primary,30 mph,False,23.829,,"LINESTRING (-0.5791393 51.2361323, -0.5790499 51.2362412, -0.5789578 51.2363127)",,
"[1117650620, 1117650621, 1117650622, 4418767]",False,"['4', '3', '5']",A246,York Road,primary,30 mph,True,243.923,,"LINESTRING (-0.5714503 51.2397636, -0.5716547 51.2397599, -0.5721595 51.2397491, -0.572763 51.2397349, -0.5730271 51.2397258, -0.5732171 51.2397079, -0.5735719 51.2396493, -0.5736333 51.2396393, -0.5736789 51.2396329, -0.5738003 51.2396145, -0.5741615 51.2395539, -0.5743656 51.2395218, -0.5749023 51.2394546)",,
4641665,False,,A320,Stoke Road,primary,30 mph,False,19.509,,"LINESTRING (-0.5714503 51.2397636, -0.5714308 51.2396241, -0.5714293 51.2395887)",,
69730877,False,4,A246,York Road,primary,30 mph,False,43.193,,"LINESTRING (-0.5714503 51.2397636, -0.5712729 51.2397696, -0.5708338 51.2398053)",,
4317451,True,4,A322,Park Street,primary,30 mph,False,59.102000000000004,,"LINESTRING (-0.5784904 51.2354483, -0.5785486 51.2354882, -0.5786947 51.2355922, -0.5789734 51.2357867, -0.5790566 51.2358443)",,
53125808,False,2,A3100,Park Street,primary,30 mph,False,43.408,,"LINESTRING (-0.5779107 51.2347498, -0.5779108 51.2348106, -0.5779319 51.2348658, -0.5779602 51.2349132, -0.5780917 51.2351196)",,
"[4413881, 661574701]",False,"['2', '3']",,High Street,unclassified,30 mph,False,13.533999999999999,,"LINESTRING (-0.5779107 51.2347498, -0.5777515 51.2347348, -0.5777192 51.2347401)",,
"[661268090, 661574702]",False,2,A3100,Portsmouth Road,primary,30 mph,True,22.643,,"LINESTRING (-0.5779107 51.2347498, -0.5779263 51.2346975, -0.577942 51.2346723, -0.5779625 51.2346444, -0.578025 51.2345604)",,
"[4602537, 547335732]",False,,,"['Lawn Road', 'Bury Fields']","['residential', 'unclassified']",,"[False, True]",186.74200000000002,,"LINESTRING (-0.5789827 51.231226, -0.5788655 51.2312384, -0.5772069 51.2314135, -0.5769922 51.2318578, -0.5769517 51.2319416)",6.5,
43045537,False,2,A3100,Portsmouth Road,primary,30 mph,False,202.732,,"LINESTRING (-0.5789827 51.231226, -0.5790495 51.2314384, -0.5791007 51.231965, -0.5791168 51.2322153, -0.579157 51.2327897, -0.5791088 51.2330416)",,
24598712,True,,,Woodbridge Road,primary_link,30 mph,False,14.6,,"LINESTRING (-0.5759786 51.238683, -0.5760832 51.2387968)",,
39430618,True,3,A322,Onslow Street,primary,30 mph,False,26.899,,"LINESTRING (-0.5759786 51.238683, -0.576051 51.2385701, -0.5761205 51.238458)",,
"[790619241, 790619242]",False,,,North Street,tertiary,30 mph,False,121.61699999999999,,"LINESTRING (-0.5721952 51.2369808, -0.572069 51.2370044, -0.5719366 51.2370231, -0.5717593 51.2370482, -0.5717161 51.2370492, -0.5716062 51.2370518, -0.5715447 51.2370532, -0.5712014 51.2369944, -0.5710673 51.2369558, -0.5708688 51.2369054, -0.5705814 51.2367643)",,
"[790619241, 49722645]",False,,,North Street,tertiary,30 mph,True,40.738,,"LINESTRING (-0.5721952 51.2369808, -0.572364 51.2369456, -0.5725056 51.236915, -0.572749 51.2368625)",,
4789179,False,,A3100,High Street,primary,30 mph,False,10.334,,"LINESTRING (-0.5703217 51.2364289, -0.5702593 51.2364311, -0.5701734 51.2364327)",,
"[52781448, 75770844]",True,,A320,North Street,primary,30 mph,False,41.482,,"LINESTRING (-0.5703217 51.2364289, -0.570437 51.2365612, -0.5705201 51.2366737, -0.5705814 51.2367643)",,
4641666,False,,A320,Chertsey Street,primary,30 mph,True,141.52700000000002,,"LINESTRING (-0.5705814 51.2367643, -0.5705245 51.2368041, -0.5704946 51.2368696, -0.5704906 51.2370079, -0.5705449 51.2373173, -0.5705538 51.2373683, -0.5705648 51.2374427, -0.5706157 51.2376008, -0.5707183 51.2379195, -0.5707454 51.2380071)",,
"[25803728, 75770848]",True,,A320,North Street,primary,30 mph,False,47.178,,"LINESTRING (-0.5705814 51.2367643, -0.5704102 51.2366758, -0.5702797 51.2365544, -0.5702113 51.2364844, -0.5701734 51.2364327)",,
"[790619241, 790619242]",False,,,North Street,tertiary,30 mph,True,121.617,,"LINESTRING (-0.5705814 51.2367643, -0.5708688 51.2369054, -0.5710673 51.2369558, -0.5712014 51.2369944, -0.5715447 51.2370532, -0.5716062 51.2370518, -0.5717161 51.2370492, -0.5717593 51.2370482, -0.5719366 51.2370231, -0.572069 51.2370044, -0.5721952 51.2369808)",,
4422326,True,,,Quarry Street,unclassified,,False,39.733,,"LINESTRING (-0.5749746 51.2352159, -0.5747197 51.2348962)",,
"[61570050, 26271886]",True,,,High Street,unclassified,,False,355.938,,"LINESTRING (-0.5749746 51.2352159, -0.5748386 51.2352363, -0.574559 51.2352818, -0.5741566 51.2353577, -0.5741209 51.2353659, -0.5739265 51.2354212, -0.5736885 51.2354858, -0.5729065 51.2356566, -0.5726109 51.2357234, -0.5721985 51.2358124, -0.5716752 51.2359311, -0.5712955 51.2360198, -0.5711692 51.2360557, -0.5710813 51.2360813, -0.5708809 51.2361283, -0.5706073 51.2362038, -0.5704343 51.236316, -0.5703726 51.2363932, -0.5703217 51.2364289)",,
"[154571464, 154571487]",True,4,A322,Onslow Street,primary,30 mph,False,48.065,yes,"LINESTRING (-0.5773921 51.235722, -0.5777972 51.2355507, -0.5779678 51.2354835)",,
61421907,False,,A3100,High Street,primary,30 mph,True,19.937,,"LINESTRING (-0.5663059 51.2377755, -0.5664041 51.2377517, -0.5665519 51.2376862)",,
1106510806,True,,,Leapale Road,tertiary,,False,17.44,,"LINESTRING (-0.5753487 51.2378629, -0.5751035 51.2378308)",,
"[38978149, 50761446, 52723679]",False,,,Woodbridge Road,tertiary,30 mph,"[False, True]",66.593,,"LINESTRING (-0.5753487 51.2378629, -0.5754468 51.2379315, -0.5755273 51.2380357, -0.5755425 51.2380622, -0.575559 51.2381029, -0.5755747 51.2381642, -0.5756491 51.2384188)",,
50761444,True,2,,Woodbridge Road,primary_link,30 mph,False,13.198,,"LINESTRING (-0.5756491 51.2384188, -0.5757765 51.2385067)",,
