osmid,oneway,ref,name,highway,maxspeed,reversed,length,geometry,lanes,access,area,junction
126194610,False,A521,Chapel Street,primary,30 mph,False,115.00900000000001,"LINESTRING (-1.986691 52.9860055, -1.9867468 52.9860128, -1.9872487 52.986095, -1.9875294 52.9861271, -1.9877685 52.9861527, -1.9879255 52.9861696, -1.9883697 52.9862224)",,,,
909588427,True,A521,Chapel Street,primary,,False,26.011,"LINESTRING (-1.986691 52.9860055, -1.9865383 52.9860323, -1.9864512 52.9860564, -1.9863448 52.9861051)",,,,
62326853,False,,Carlos Close,residential,,False,8.542,"LINESTRING (-1.9931463 52.9854776, -1.9932436 52.9855273)",,,,
62326853,False,,Carlos Close,residential,,True,40.107,"LINESTRING (-1.9936825 52.9857703, -1.9936356 52.9857278, -1.9932436 52.9855273)",,,,
107196934,False,A521,Town End,primary,30 mph,False,70.212,"LINESTRING (-1.9936825 52.9857703, -1.9938982 52.9856943, -1.99459 52.9854537)",,,,
126121259,False,,Park Lane,unclassified,,True,129.93,"LINESTRING (-1.9936825 52.9857703, -1.9938752 52.9859217, -1.9941192 52.9860953, -1.9943135 52.9862008, -1.9944062 52.9862511, -1.9948446 52.986428, -1.9951064 52.9865511)",,,,
126626627,False,A521,The Terrace,primary,,True,120.51899999999999,"LINESTRING (-1.9936825 52.9857703, -1.9931855 52.9859523, -1.9927343 52.9860653, -1.9925103 52.9860941, -1.992361 52.9860989, -1.9920096 52.9861013)",,,,
126194052,False,,The Avenue,residential,30 mph,False,60.59299999999999,"LINESTRING (-1.987491 52.9844214, -1.987313 52.984546, -1.9871601 52.9847123, -1.9870834 52.9848175, -1.9870607 52.9848318, -1.9869905 52.9848683)",,,,
126194052,False,,The Avenue,residential,30 mph,True,105.539,"LINESTRING (-1.987491 52.9844214, -1.9877645 52.9843096, -1.9879484 52.984258, -1.9879835 52.9842513, -1.9882795 52.9841996, -1.9885173 52.9841552, -1.9887176 52.984092, -1.9889003 52.9840151)",,,,
126194610,False,A521,Chapel Street,primary,30 mph,True,115.00900000000001,"LINESTRING (-1.9883697 52.9862224, -1.9879255 52.9861696, -1.9877685 52.9861527, -1.9875294 52.9861271, -1.9872487 52.986095, -1.9867468 52.9860128, -1.986691 52.9860055)",,,,
126194613,False,A521,Chapel Street,primary,30 mph,False,58.367000000000004,"LINESTRING (-1.9883697 52.9862224, -1.9889816 52.9862993, -1.9890289 52.9863017, -1.9892274 52.9862905)",,,,
126196235,True,,Charles Street,residential,30 mph,False,178.462,"LINESTRING (-1.9883697 52.9862224, -1.9883793 52.9861689, -1.9883311 52.9861089, -1.9882765 52.9860575, -1.9877333 52.985569, -1.9874411 52.9853077, -1.9873456 52.985222, -1.987123 52.9850302, -1.987024 52.9849461, -1.9869905 52.9848683)",1,,,
126194052,False,,The Avenue,residential,30 mph,True,60.593,"LINESTRING (-1.9869905 52.9848683, -1.9870607 52.9848318, -1.9870834 52.9848175, -1.9871601 52.9847123, -1.987313 52.984546, -1.987491 52.9844214)",,,,
107196981,False,,The Birches,residential,30 mph,False,81.99,"LINESTRING (-1.9922287 52.9841424, -1.9924226 52.984328, -1.9927417 52.9846542, -1.9928695 52.9847706)",2,,,
62360282,False,,Highfield Crescent,residential,,True,57.831,"LINESTRING (-1.9891821 52.9928742, -1.988453 52.9925951)",,,,
62360281,False,,Highfield Avenue,residential,,True,100.89999999999999,"LINESTRING (-1.9891821 52.9928742, -1.9898301 52.992188, -1.9899209 52.9920833)",,,,
