osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,bridge,access,width,tunnel
4073257,False,2,A390,Liddicoat Road,trunk,30 mph,True,15.44,"LINESTRING (-4.6694121 50.4087719, -4.6695277 50.4086542)",,,,
8225458,False,,,Pleyber-Christ Way,unclassified,,False,84.55199999999999,"LINESTRING (-4.6694121 50.4087719, -4.669357 50.4087507, -4.6692763 50.4087198, -4.6692446 50.4087069, -4.6686549 50.4086309, -4.6685611 50.4086069, -4.6684448 50.4084346)",,,,
"[134162217, 111399052, 111399054, 261538801, 134160499, 134162207]",False,2,A390,Liddicoat Road,trunk,"['40 mph', '30 mph']",False,517.931,"LINESTRING (-4.6694121 50.4087719, -4.6690695 50.4091169, -4.6688437 50.4093298, -4.6686532 50.4095026, -4.6685253 50.4096104, -4.6683478 50.4097498, -4.6681879 50.40987, -4.6680329 50.4099696, -4.6679543 50.4100192, -4.6678896 50.4100601, -4.6678074 50.410112, -4.6677514 50.4101405, -4.667629 50.410201, -4.6674817 50.4102633, -4.6673132 50.410321, -4.6670784 50.4103807, -4.6669088 50.4104155, -4.6666865 50.410453, -4.6664712 50.4104798, -4.6661819 50.4104993, -4.6659413 50.4105012, -4.6656686 50.4104876, -4.6655538 50.4104769, -4.6653516 50.4104427, -4.6651216 50.4104064, -4.6649324 50.4103674, -4.6646652 50.4102908, -4.6644051 50.4101978, -4.6641874 50.4100904, -4.66383 50.4098803, -4.6636417 50.4097649)",yes,,,
95676532,True,1,,Church Lane,unclassified,,False,69.195,"LINESTRING (-4.6692454 50.4076995, -4.6694468 50.4070906)",,,,
"[8225460, 262251270]",True,2,B3268,North Street,secondary,,False,74.625,"LINESTRING (-4.6692454 50.4076995, -4.6695363 50.4077523, -4.6698146 50.4078248, -4.6699318 50.4078617, -4.6700683 50.4079059, -4.6701373 50.4079392, -4.6702091 50.407961)",,,,
"[78066076, 4073261, 4073262]",False,"['1', '2']",B3268,"['Grenville Road', 'Lostwithiel Bridge']",secondary,30 mph,False,76.995,"LINESTRING (-4.6671904 50.407589, -4.6671401 50.4075803, -4.667091 50.4075735, -4.6668815 50.4075636, -4.6664267 50.4075489, -4.6663472 50.4075517, -4.6662351 50.4075615, -4.6661608 50.4075682, -4.6661105 50.4075728)",yes,yes,,
8225460,True,,B3268,North Street,secondary,,False,59.28999999999999,"LINESTRING (-4.6671904 50.407589, -4.6676748 50.4076553, -4.6680149 50.407638)",,,,
39628055,True,2,B3268,Fore Street,secondary,,False,8.338,"LINESTRING (-4.6694468 50.4070906, -4.6693401 50.407059)",,,,
78092731,True,,B3268,Parade Square,secondary,,False,6.821,"LINESTRING (-4.668329 50.406859, -4.6682425 50.4068859)",,,,
164719757,False,2,,Quay Street,unclassified,,True,61.086,"LINESTRING (-4.668329 50.406859, -4.6686084 50.4063393)",,,,
91815113,False,,,Mill Hill,unclassified,,False,17.665,"LINESTRING (-4.6645902 50.4076461, -4.6643447 50.4076736)",,,,
4073261,False,2,B3268,Grenville Road,secondary,30 mph,False,25.878,"LINESTRING (-4.6645902 50.4076461, -4.6644345 50.4075828, -4.6643307 50.4074887)",,,,
4073261,False,2,B3268,Grenville Road,secondary,30 mph,True,31.769,"LINESTRING (-4.6645902 50.4076461, -4.6647575 50.4076542, -4.6649222 50.4076469, -4.6650367 50.4076377)",,,,
