osmid,oneway,ref,highway,maxspeed,reversed,length,geometry,name,bridge,lanes,junction,tunnel
19196342,True,A230,primary,30 mph,False,33.239,"LINESTRING (0.5220035 51.380534, 0.521959 51.3806186, 0.5219397 51.3806489, 0.5219147 51.3806782, 0.5218803 51.3807082, 0.5218045 51.3807684, 0.5217691 51.3807896)",,,,,
"[209784776, 286351466, 286351467, 189958156]",False,A230,primary,30 mph,True,148.736,"LINESTRING (0.5220035 51.380534, 0.5220167 51.3804386, 0.5220675 51.3802142, 0.5222217 51.3795307, 0.5222733 51.3793227, 0.522304 51.3792098)",Maidstone Road,yes,,,
117636145,True,A230,primary,30 mph,False,10.919,"LINESTRING (0.5217691 51.3807896, 0.5216989 51.3808125, 0.5216355 51.380841)",,,,,
117636383,True,A230,primary,30 mph,False,26.293,"LINESTRING (0.521568 51.3809483, 0.5215753 51.3809712, 0.5215945 51.3809968, 0.5217566 51.3811515)",Railway Street,,,,
"[4381392, 700093412]",False,A230,primary,30 mph,True,109.02599999999998,"LINESTRING (0.52295 51.3823488, 0.5229049 51.382337, 0.5228657 51.3823134, 0.5225962 51.3820012, 0.5222982 51.3816787, 0.5221402 51.3815174)",Railway Street,,2,,
4381408,False,,unclassified,20 mph,False,43.741,"LINESTRING (0.52295 51.3823488, 0.5228897 51.3824497, 0.5227897 51.3825433, 0.5225811 51.3826575)",Waterfront Way,,1,,
4381421,False,A231,primary,30 mph,False,188.673,"LINESTRING (0.52295 51.3823488, 0.5230075 51.3823515, 0.5230388 51.3823269, 0.5231955 51.3822159, 0.5234683 51.3820394, 0.5244791 51.3814767, 0.5249252 51.3812024)",Best Street,,,,
31140096,False,,unclassified,,False,22.323999999999998,"LINESTRING (0.528272 51.3797952, 0.5283245 51.3799629, 0.5283543 51.3799863)",Whittaker Street,,,,
85092895,False,,unclassified,,True,76.4,"LINESTRING (0.528272 51.3797952, 0.5281555 51.3798217, 0.5279613 51.379866, 0.5276832 51.3799515, 0.5274999 51.3800191, 0.5273663 51.380092, 0.5273258 51.3801274)",,,,,
672887214,True,,unclassified,,False,50.041,"LINESTRING (0.528272 51.3797952, 0.5284565 51.3797663, 0.5286665 51.3797523, 0.5288532 51.3797603, 0.5289854 51.3797654)",,,,,
207990623,True,A231,primary,30 mph,False,37.980000000000004,"LINESTRING (0.5291025 51.3796721, 0.5293519 51.3797159, 0.5294939 51.3797238, 0.5296395 51.3797232)",Best Street,,2,,
271722680,False,A231,primary,30 mph,True,108.76199999999999,"LINESTRING (0.5291025 51.3796721, 0.528882 51.3796541, 0.5287349 51.3796456, 0.5285291 51.37964, 0.5282562 51.3796555, 0.5279824 51.379697, 0.5277843 51.3797506, 0.5275902 51.3798143)",Best Street,,,,
4381390,False,,unclassified,,True,49.556,"LINESTRING (0.5217566 51.3841336, 0.5224457 51.3842505)",Medway Street,,2,,
"[1255768694, 4381390]",False,,unclassified,,False,91.53099999999999,"LINESTRING (0.5217566 51.3841336, 0.5213408 51.3840608, 0.5211425 51.3840036, 0.5210017 51.3839468, 0.5209478 51.3839012, 0.5209265 51.3838232, 0.5209319 51.3836747, 0.5209378 51.3836466)",Medway Street,,2,,
100864564,False,,unclassified,,False,40.618,"LINESTRING (0.5217566 51.3841336, 0.5217955 51.3840284, 0.5218117 51.3839442, 0.5217818 51.3837727)",Higgins Lane,,,,
"[37881768, 52439859]",False,,"['unclassified', 'residential']",,True,239.935,"LINESTRING (0.5209378 51.3836466, 0.5212787 51.3836834, 0.521349 51.3836898, 0.5216057 51.3836912, 0.5217584 51.3836873, 0.5217689 51.3836744, 0.5217702 51.3836598, 0.5217551 51.383622, 0.5217106 51.3835359, 0.5216141 51.3833514, 0.52153 51.3832366, 0.5215039 51.383201, 0.5210792 51.3829167, 0.5208649 51.3827767, 0.5203836 51.3824167, 0.5203205 51.3823555)","['Manor Road', 'High Street']",,,,
"[4381390, 1255768694]",False,,unclassified,,True,91.531,"LINESTRING (0.5209378 51.3836466, 0.5209319 51.3836747, 0.5209265 51.3838232, 0.5209478 51.3839012, 0.5210017 51.3839468, 0.5211425 51.3840036, 0.5213408 51.3840608, 0.5217566 51.3841336)",Medway Street,,2,,
4381391,False,A2,primary,30 mph,False,63.937,"LINESTRING (0.519434 51.3824635, 0.5195243 51.382471, 0.5196126 51.382474, 0.5197114 51.382474, 0.5197996 51.3824684, 0.5198787 51.3824613, 0.5199552 51.3824504, 0.5200729 51.382424, 0.5203205 51.3823555)",New Road Avenue,,,,
4381391,False,A2,primary,30 mph,True,27.002,"LINESTRING (0.5206727 51.3822523, 0.5203205 51.3823555)",New Road Avenue,,,,
19195122,False,,primary_link,,False,101.796,"LINESTRING (0.5206727 51.3822523, 0.5206854 51.382201, 0.520705 51.3821792, 0.5207581 51.3821412, 0.5208614 51.3820805, 0.5210596 51.3819809, 0.5211278 51.3819453, 0.5212788 51.3818703, 0.5215373 51.3817488, 0.5217419 51.3816477)",New Cut,,,,
"[252694027, 127032994, 19195403]",False,A2,primary,30 mph,"[False, True]",169.92100000000002,"LINESTRING (0.5206727 51.3822523, 0.5209055 51.3821808, 0.5210436 51.3821277, 0.5212228 51.3820562, 0.5220887 51.3816867, 0.5224319 51.3815454, 0.5227359 51.3814322)","['New Road', 'New Road Avenue']",yes,,,
