osmid,oneway,ref,name,highway,maxspeed,reversed,length,bridge,lanes,geometry
26478018,True,A735,Fowlds Street,primary,30 mph,False,19.687,,,"LINESTRING (-4.4949392 55.6065821, -4.4952484 55.6066111)"
39916902,False,A735,Old Mill Road,primary,30 mph,True,18.473,,,"LINESTRING (-4.4949392 55.6065821, -4.4946456 55.6065723)"
"[42227794, 43308539, 42227788, 43308540]",True,A735,"['Titchfield Street', ""St Marnock's Street""]",primary,30 mph,False,150.942,yes,2,"LINESTRING (-4.4971754 55.6067307, -4.4972124 55.6068024, -4.497073 55.6074123, -4.4970811 55.6074712, -4.4971512 55.6074873, -4.4972282 55.6074937, -4.4975613 55.6075147, -4.4976085 55.6075176, -4.4978625 55.6075333, -4.4979173 55.6075384, -4.4981452 55.6075578)"
42227790,True,A735,John Finnie Street,primary,30 mph,False,37.692,,2,"LINESTRING (-4.4999155 55.6077034, -4.4997902 55.6080349)"
80673602,False,B7081,Portland Road,secondary,,True,172.577,,,"LINESTRING (-4.4999155 55.6077034, -4.5023023 55.6079173, -4.5026292 55.6079466)"
694799090,False,A759,Dundonald Road,primary,30 mph,True,137.529,,2,"LINESTRING (-4.4999155 55.6077034, -4.5001845 55.6068105, -4.5002828 55.6064841)"
26478029,True,A735,Green Street,primary,,False,116.25999999999999,,,"LINESTRING (-4.4938945 55.6114181, -4.4937906 55.6110972, -4.4937949 55.6109619, -4.4939121 55.6106211, -4.4940543 55.6103983)"
"[26478029, 1020402878]",True,A735,Green Street,primary,,False,64.049,,,"LINESTRING (-4.4940543 55.6103983, -4.4942139 55.6102567, -4.4944903 55.6100553, -4.4946678 55.6099393)"
42698968,True,B7073,,secondary,,False,67.08500000000001,,1,"LINESTRING (-4.4940543 55.6103983, -4.4941492 55.6102446, -4.494179 55.610062, -4.4939691 55.6098338)"
28561124,True,,,unclassified,30 mph,False,36.23,,,"LINESTRING (-4.4985692 55.6116685, -4.4983526 55.6117392, -4.4980345 55.6117813)"
42227787,True,A735,West George Street,primary,30 mph,False,29.389000000000003,,,"LINESTRING (-4.4985692 55.6116685, -4.4983396 55.6116588, -4.4981033 55.6116442)"
