osmid,oneway,name,highway,maxspeed,reversed,length,lanes,geometry,ref,junction
1726303,False,Chepstow Road,tertiary,30 mph,True,64.246,,"LINESTRING (-2.7450235 51.5898345, -2.7459075 51.5900139)",,
115758265,False,Castle Lea,residential,30 mph,False,66.032,2,"LINESTRING (-2.7450235 51.5898345, -2.7449837 51.5899166, -2.7447478 51.5904031)",,
1726303,False,Chepstow Road,tertiary,30 mph,True,27.67,,"LINESTRING (-2.7480217 51.5905337, -2.7483646 51.5906623)",,
115758289,False,Castle Lea,residential,30 mph,False,81.385,2,"LINESTRING (-2.7480217 51.5905337, -2.7475317 51.5911993)",,
1726303,False,Chepstow Road,tertiary,30 mph,False,157.16699999999997,,"LINESTRING (-2.7480217 51.5905337, -2.7476635 51.5904297, -2.7472934 51.5903357, -2.7469534 51.5902509, -2.7466283 51.5901714, -2.7464528 51.590133, -2.7459075 51.5900139)",,
1726269,False,Sandy Lane,tertiary,30 mph,False,41.286,2,"LINESTRING (-2.7553012 51.5944534, -2.7556376 51.5947603)",,
1726269,False,Sandy Lane,tertiary,30 mph,True,43.571,2,"LINESTRING (-2.7553012 51.5944534, -2.7549799 51.5941162)",,
115752822,False,Margretts Way,residential,30 mph,False,65.145,2,"LINESTRING (-2.7553012 51.5944534, -2.7546402 51.5947571, -2.754543 51.5948018)",,
1726269,False,Sandy Lane,tertiary,30 mph,True,41.286,2,"LINESTRING (-2.7556376 51.5947603, -2.7553012 51.5944534)",,
115733435,False,Willow Close,residential,30 mph,False,59.256,2,"LINESTRING (-2.7556376 51.5947603, -2.7562466 51.594385)",,
1726269,False,Sandy Lane,tertiary,30 mph,False,97.237,2,"LINESTRING (-2.7556376 51.5947603, -2.7557152 51.5948251, -2.7564772 51.5954622)",,
1726269,False,Sandy Lane,tertiary,30 mph,True,29.858,2,"LINESTRING (-2.7567402 51.5956753, -2.7564772 51.5954622)",,
28446885,False,Church Road,tertiary,30 mph,False,23.634,2,"LINESTRING (-2.7465364 51.5942754, -2.7465892 51.5944854)",,
