osmid,lanes,name,highway,maxspeed,junction,oneway,reversed,length,geometry,ref,access,bridge
838365648,2,Shorehead Roundabout,trunk,30 mph,circular,False,False,9.07,"LINESTRING (-1.7769549 53.6455885, -1.7769002 53.6455638, -1.7768537 53.6455337)",,,
838365648,2,Shorehead Roundabout,trunk,30 mph,circular,False,True,38.513999999999996,"LINESTRING (-1.7769549 53.6455885, -1.7770432 53.6456129, -1.7771389 53.6456233, -1.7772096 53.645622, -1.7772819 53.6456113, -1.7773472 53.6455946, -1.77741 53.6455694, -1.7774757 53.6455268)",,,
1125846024,2,Shorehead Roundabout,trunk,30 mph,circular,False,False,2.656,"LINESTRING (-1.7770192 53.6451821, -1.7770574 53.6451745)",,,
838365627,2,Shorehead Roundabout,trunk,30 mph,circular,False,True,46.898,"LINESTRING (-1.7770192 53.6451821, -1.7769407 53.6452069, -1.7768739 53.6452417, -1.7768288 53.6452777, -1.7767887 53.6453335, -1.7767749 53.6453856, -1.7767815 53.6454381, -1.7768082 53.6454884, -1.7768537 53.6455337)",,,
4725802,,Castlegate Loop,trunk_link,30 mph,,True,False,165.26399999999998,"LINESTRING (-1.7868323 53.6502939, -1.7869142 53.649978, -1.7869524 53.6497712, -1.7869783 53.6495787, -1.7869762 53.649522, -1.7869656 53.64947, -1.7869036 53.6493559, -1.7868365 53.649291, -1.7867289 53.6492449, -1.7865658 53.6492169, -1.7864499 53.6492189, -1.7863649 53.6492392, -1.7861531 53.6493352)",A629,,
205713443,,Castlegate,trunk,40 mph,,True,False,197.11,"LINESTRING (-1.7868323 53.6502939, -1.7869358 53.6501385, -1.7870069 53.6499846, -1.7870386 53.6498617, -1.787216 53.6488496, -1.7872564 53.6485464)",A62,,
450024611,,New North Road,trunk,30 mph,,False,False,11.459,"LINESTRING (-1.7890926 53.6492767, -1.7892636 53.6492953)",A629,,
162507244,,Fitzwilliam Street,trunk,30 mph,,False,True,45.25,"LINESTRING (-1.7890926 53.6492767, -1.7889266 53.6492851, -1.7884388 53.6493918)",A629,,
450024612,,Fitzwilliam Street,tertiary,,,True,False,27.759,"LINESTRING (-1.7890926 53.6492767, -1.7891499 53.6492309, -1.7893627 53.6491851, -1.7894611 53.6491888)",,,
4725804,1,New North Road,trunk,30 mph,,True,False,188.766,"LINESTRING (-1.7875483 53.6479177, -1.787573 53.648049, -1.7875974 53.6481621, -1.7876793 53.6483156, -1.7877849 53.6484674, -1.7878376 53.6485307, -1.7879137 53.6485886, -1.7880863 53.6486917, -1.7885623 53.6489567, -1.7885746 53.6489638, -1.7890308 53.6492214, -1.7890926 53.6492767)",A629,,
1121021560,2,Castlegate,trunk,30 mph,,True,False,373.594,"LINESTRING (-1.7875483 53.6479177, -1.7874616 53.648266, -1.7873731 53.6487334, -1.7871565 53.6499503, -1.787049 53.6502129, -1.7868144 53.6505377, -1.7866187 53.6507153, -1.7863468 53.6509082, -1.7860809 53.6510712)",A62,,
170571937,3,Castlegate,trunk,40 mph,,True,False,52.772,"LINESTRING (-1.7876318 53.6474457, -1.7875483 53.6479177)",A62,,
685443167,2,Castlegate,trunk,40 mph,,True,False,44.698,"LINESTRING (-1.7872564 53.6485464, -1.7873316 53.6481469)",A62,,
1120872266,3,Queensgate,trunk,30 mph,,True,False,90.028,"LINESTRING (-1.7812433 53.642554, -1.7814267 53.6424853, -1.7815647 53.6424422, -1.7817493 53.6424046, -1.781907 53.6423807, -1.7820021 53.6423716, -1.7821216 53.6423656, -1.782216 53.6423632, -1.7824105 53.642369, -1.7825387 53.6423792)",A62,,
"[364455683, 1120991684]","['2', '3']",Castlegate,trunk,30 mph,,True,False,117.076,"LINESTRING (-1.7846773 53.6426391, -1.7850241 53.6427089, -1.7853343 53.6427906, -1.7856293 53.6428767, -1.7860088 53.6430351, -1.7861561 53.6431098, -1.7862132 53.643146)",A62,,
607978005,3,Castlegate,trunk,30 mph,,True,False,21.161,"LINESTRING (-1.7865039 53.6433531, -1.7866984 53.6435045)",A62,,
89603352,,Kirkgate,trunk_link,30 mph,,True,False,10.399,"LINESTRING (-1.7787243 53.6472079, -1.7788606 53.6471608)",,,
89603354,3,Southgate,trunk,30 mph,,True,False,5.395,"LINESTRING (-1.7787243 53.6472079, -1.7787527 53.6472534)",A62,,
28482192,,Southgate,primary,30 mph,,True,False,73.82500000000002,"LINESTRING (-1.7807632 53.6501784, -1.7808399 53.6503037, -1.780991 53.650539, -1.7810241 53.6506758, -1.7810336 53.6507145, -1.7810583 53.650815)",A62,,
514039579,1,Southgate,trunk,30 mph,,True,False,107.562,"LINESTRING (-1.7807632 53.6501784, -1.781027 53.6503983, -1.7812784 53.6505783, -1.7814589 53.6506834, -1.7815137 53.6507108, -1.7816945 53.6508013, -1.7818745 53.6508775)",A62,,
390465074,,Castlegate,trunk,30 mph,,True,False,25.335,"LINESTRING (-1.7818745 53.6508775, -1.7822275 53.6509677)",A62,,
8065853,2,St Johns Road,tertiary,30 mph,,False,False,28.401,"LINESTRING (-1.7839646 53.6502679, -1.7840388 53.6505195)",,,
580190847,,John William Street,tertiary,,,False,True,61.041,"LINESTRING (-1.7839646 53.6502679, -1.7836211 53.6497581)",,,
24658342,,Fitzwilliam Street,unclassified,,,False,False,60.268,"LINESTRING (-1.7839646 53.6502679, -1.7837284 53.6503133, -1.7830947 53.650435)",,,
466527065,,Fitzwilliam Street,tertiary,,,False,True,136.937,"LINESTRING (-1.7839646 53.6502679, -1.7851045 53.6500404, -1.7855278 53.6499581, -1.7859351 53.6498774)",,,
28769868,,Castlegate,primary,30 mph,,True,False,13.674,"LINESTRING (-1.780852 53.6508281, -1.7810583 53.650815)",A62,,
121918594,,Southgate,primary,30 mph,,True,False,21.485,"LINESTRING (-1.780852 53.6508281, -1.7808429 53.650766, -1.7808239 53.6506356)",A62,,
8065853,2,St Johns Road,tertiary,30 mph,,False,False,17.494,"LINESTRING (-1.7841032 53.6507691, -1.7841457 53.6509244)",,,
8065853,2,St Johns Road,tertiary,30 mph,,False,True,28.077,"LINESTRING (-1.7841032 53.6507691, -1.7840388 53.6505195)",,,
81290796,,Bath Street,residential,,,False,False,182.03,"LINESTRING (-1.7841032 53.6507691, -1.7842428 53.6507675, -1.784444 53.6507664, -1.7846547 53.6507695, -1.7854168 53.6507807, -1.7856881 53.6507616, -1.7862968 53.6506325, -1.7863335 53.6505998, -1.7862046 53.6503368)",,,
