osmid,name,highway,maxspeed,oneway,reversed,length,geometry,width,lanes,est_width,bridge
3993098,Tennis Court Road,residential,20 mph,False,False,161.67,"LINESTRING (0.1206122 52.2028319, 0.1208564 52.202498, 0.121044 52.2022116, 0.1210669 52.2021586, 0.1210816 52.2021245, 0.1211749 52.2017819, 0.121203 52.2016684, 0.121269 52.2014887, 0.1213005 52.2014503)",,,,
3993065,Pembroke Street,residential,20 mph,True,False,111.68700000000001,"LINESTRING (0.1180646 52.2019205, 0.1188454 52.202162, 0.1192545 52.2023433, 0.1194365 52.2024566)",,,,
3993100,Trumpington Street,residential,20 mph,False,True,63.847,"LINESTRING (0.1180646 52.2019205, 0.1181756 52.2018004, 0.1185281 52.2014215)",11.1,,,
24448524,Trumpington Street,residential,20 mph,False,False,39.736999999999995,"LINESTRING (0.1180646 52.2019205, 0.1179223 52.2021222, 0.117852 52.2022529)",7.9,,,
"[762083762, 143476477, 3993079]","['Mill Lane', 'Granta Place']",residential,20 mph,False,False,222.65700000000004,"LINESTRING (0.1180646 52.2019205, 0.1178285 52.2018544, 0.1177899 52.2018455, 0.1174847 52.201765, 0.1173917 52.2017456, 0.1173228 52.201732, 0.1171804 52.2017038, 0.1169417 52.2016567, 0.1166467 52.2016155, 0.1164612 52.2016048, 0.1160743 52.2015789, 0.1160408 52.2015691, 0.1160198 52.201552, 0.116005 52.2015306, 0.1159988 52.2015066, 0.1160063 52.2014793, 0.1162951 52.2010315, 0.1163595 52.2009434, 0.1164 52.2009288)",,,,
24448524,Trumpington Street,residential,20 mph,False,True,16.911,"LINESTRING (0.1177909 52.2024003, 0.117852 52.2022529)",7.9,,,
3993069,Trumpington Street,living_street,20 mph,False,True,156.786,"LINESTRING (0.1177909 52.2024003, 0.1176615 52.2028028, 0.1176407 52.2028792, 0.1176232 52.2029438, 0.1176083 52.202999, 0.1175928 52.2030566, 0.1175433 52.2032378, 0.1175278 52.2033377, 0.1175361 52.2035403, 0.1175459 52.203796)",,2,,
143724342,Silver Street,living_street,20 mph,False,False,93.61500000000001,"LINESTRING (0.1177909 52.2024003, 0.117684 52.2023819, 0.1174635 52.2023439, 0.1171278 52.2022895, 0.1164591 52.2021947)",5.9,2,,
3993043,Bene't Street,living_street,20 mph,True,False,112.36300000000001,"LINESTRING (0.1189897 52.2042471, 0.1189145 52.2041761, 0.1185396 52.2040517, 0.1184746 52.2040301, 0.1182794 52.2039653, 0.1181598 52.2039298, 0.1179767 52.2038746, 0.1178788 52.203845, 0.1175459 52.203796)",6,,,
"[908373409, 55216749]",Peas Hill,living_street,20 mph,False,True,38.717,"LINESTRING (0.1189897 52.2042471, 0.1189256 52.204381, 0.1188337 52.2045819)",14.4,,,
