osmid,oneway,name,highway,reversed,length,geometry,bridge,ref,maxspeed,junction,access
31632375,True,High Street,unclassified,False,121.98,"LINESTRING (-2.4417614 53.0958793, -2.4416199 53.0958623, -2.441498 53.0958374, -2.4400991 53.0954313)",,,,,
"[22095659, 152402363, 152402367]",False,Market Street,tertiary,True,149.36399999999998,"LINESTRING (-2.4417614 53.0958793, -2.4417174 53.0960326, -2.4416797 53.0961037, -2.4416226 53.0961726, -2.4415561 53.09625, -2.4415161 53.0963116, -2.4414814 53.0963866, -2.441469 53.0964189, -2.4414276 53.0965421, -2.441403 53.0966689, -2.4413792 53.0968075, -2.4413186 53.097185)",yes,,,,
"[8279776, 1158587140, 3178120, 125541971, 112629847]",False,"['Market Street', 'Market Square', 'Delamere Street']",tertiary,True,285.79200000000003,"LINESTRING (-2.4413186 53.097185, -2.4413024 53.0973661, -2.4412628 53.0975468, -2.4412592 53.0975822, -2.441279 53.097615, -2.4413151 53.0976432, -2.4414483 53.0976607, -2.4421174 53.0976773, -2.4430339 53.0976874, -2.4434983 53.0976938, -2.4445569 53.0977075, -2.4448092 53.0977117)",,,,,
"[22095659, 152402363, 152402367]",False,Market Street,tertiary,False,149.364,"LINESTRING (-2.4413186 53.097185, -2.4413792 53.0968075, -2.441403 53.0966689, -2.4414276 53.0965421, -2.441469 53.0964189, -2.4414814 53.0963866, -2.4415161 53.0963116, -2.4415561 53.09625, -2.4416226 53.0961726, -2.4416797 53.0961037, -2.4417174 53.0960326, -2.4417614 53.0958793)",yes,,,,
22822560,False,Chester Street,unclassified,True,32.626,"LINESTRING (-2.4413186 53.097185, -2.4412467 53.0971876, -2.4408327 53.0971596)",,,,,
126945092,False,Chester Street,unclassified,True,240.492,"LINESTRING (-2.4413186 53.097185, -2.4418996 53.0972003, -2.4421298 53.0971955, -2.4423339 53.0972026, -2.4427355 53.0972155, -2.4428948 53.0972207, -2.4431011 53.0972273, -2.4435313 53.0972411, -2.4439907 53.097256, -2.4441446 53.0972609, -2.444471 53.0972714, -2.4445848 53.097275, -2.44489 53.0973526)",,,,,
1158627361,True,Delamere Street,tertiary,False,47.335,"LINESTRING (-2.4471007 53.0977123, -2.4463925 53.097732)",,,,,
1254660214,False,Flag Lane,tertiary,True,6.459,"LINESTRING (-2.4486567 53.0977184, -2.4486442 53.0976608)",,,,,
23282978,False,Flag Lane,tertiary,False,114.035,"LINESTRING (-2.4486567 53.0977184, -2.4487219 53.0981756, -2.4487216 53.098386, -2.4486983 53.098428, -2.4486524 53.09848, -2.4485822 53.098522, -2.4484929 53.0985631, -2.4483981 53.0986046, -2.4483191 53.0986337)",,,,,
31662946,False,Flag Lane,tertiary,False,53.563,"LINESTRING (-2.4488049 53.0952535, -2.4487722 53.0957348)",,,,,
91897955,False,Wistaston Road,tertiary,True,60.359,"LINESTRING (-2.4488049 53.0952535, -2.4479019 53.0952283)",,,,,
4765103,True,Vernon Way,primary,False,31.385999999999996,"LINESTRING (-2.437259 53.0961743, -2.4372105 53.0961675, -2.4371877 53.0961601, -2.4371516 53.0961395, -2.4371295 53.0961127, -2.4371237 53.0960913, -2.4371307 53.0960616, -2.4371417 53.0960466, -2.4371731 53.0960234, -2.4371954 53.0960138, -2.4372421 53.0960036, -2.4372966 53.0960041)",,A5019,30 mph,roundabout,
4765155,False,Vernon Way,primary,False,210.32600000000002,"LINESTRING (-2.437259 53.0961743, -2.4372394 53.0962167, -2.4372386 53.0962978, -2.4372414 53.0963878, -2.4372617 53.0965098, -2.4373112 53.0966443, -2.4373737 53.0967796, -2.4374421 53.0968993, -2.4375405 53.0970301, -2.4375975 53.0970989, -2.4376733 53.0971748, -2.437763 53.0972564, -2.4378291 53.0973199, -2.4380516 53.097517, -2.43816 53.0976165, -2.438236 53.0977014, -2.43833 53.097797, -2.4384017 53.0978907)",,A5019,30 mph,,
4782994,True,,primary,False,7.325,"LINESTRING (-2.4386954 53.0980874, -2.4387219 53.0980943, -2.4387424 53.0981014, -2.4387864 53.0981233)",,,30 mph,roundabout,
1158627355,True,,primary,False,6.427,"LINESTRING (-2.4385057 53.0983486, -2.4384742 53.098337, -2.438431 53.0983126)",,,30 mph,roundabout,
91897933,True,Earle Street,primary,False,18.697,"LINESTRING (-2.438431 53.0983126, -2.4381846 53.0982327)",,A532,30 mph,,
4782994,True,,primary,False,16.329,"LINESTRING (-2.438431 53.0983126, -2.4383962 53.0982789, -2.4383823 53.0982535, -2.4383769 53.0982325, -2.4383796 53.0981973, -2.4383897 53.0981741)",,,30 mph,roundabout,
91897950,True,Earle Street,unclassified,False,31.26,"LINESTRING (-2.4387864 53.0981233, -2.4389027 53.0981858, -2.439059 53.0982598, -2.4391562 53.0982945)",,,,,
1158627354,True,,primary,False,24.185000000000002,"LINESTRING (-2.4387864 53.0981233, -2.4388358 53.0981703, -2.4388505 53.0982076, -2.4388503 53.0982367, -2.4388444 53.0982566, -2.4388217 53.0982909, -2.4387846 53.0983209)",,,30 mph,roundabout,
504261884,False,Earle Street,primary,False,10.676,"LINESTRING (-2.4367044 53.0981417, -2.4368591 53.098166)",,A532,30 mph,,
8454987,False,Rainbow Street,unclassified,False,99.774,"LINESTRING (-2.4367044 53.0981417, -2.4367319 53.0980793, -2.4367377 53.0980131, -2.4367081 53.0979401, -2.4363703 53.0972792)",,,,,
504261884,False,Earle Street,primary,True,150.944,"LINESTRING (-2.4367044 53.0981417, -2.4365688 53.0981154, -2.4363669 53.0980823, -2.435907 53.0979792, -2.4350712 53.0977798, -2.4347007 53.0976965, -2.4345896 53.0976647)",,A532,30 mph,,
4765154,True,Earle Street,primary,False,34.291,"LINESTRING (-2.4341434 53.0975124, -2.4343477 53.0975885, -2.4345896 53.0976647)",,A532,30 mph,,
4768372,True,Earle Street Roundabout,primary,False,24.953,"LINESTRING (-2.4341434 53.0975124, -2.4341734 53.0975655, -2.4341761 53.0976216, -2.4341514 53.0976757, -2.4341014 53.0977231)",,,30 mph,roundabout,
1158627357,True,Earle Street Roundabout,primary,False,8.798,"LINESTRING (-2.4341014 53.0977231, -2.4340533 53.0977501, -2.4339969 53.0977706)",,,30 mph,roundabout,
504261884,False,Earle Street,primary,False,150.944,"LINESTRING (-2.4345896 53.0976647, -2.4347007 53.0976965, -2.4350712 53.0977798, -2.435907 53.0979792, -2.4363669 53.0980823, -2.4365688 53.0981154, -2.4367044 53.0981417)",,A532,30 mph,,
504261886,True,Earle Street,primary,False,33.717,"LINESTRING (-2.4345896 53.0976647, -2.4343116 53.0976721, -2.4341014 53.0977231)",,A532,30 mph,,
22822560,False,Chester Street,unclassified,False,32.889,"LINESTRING (-2.440342 53.0971337, -2.4408327 53.0971596)",,,,,
"[23121704, 22822559]",False,"['Prince Albert Street', 'Earle Street']",unclassified,"[False, True]",202.615,"LINESTRING (-2.440342 53.0971337, -2.440211 53.0977686, -2.4400832 53.0983824, -2.4398935 53.0983568, -2.4391562 53.0982945)",,,,,
"[125541969, 299529692, 23198974]",False,"['Forge Street', 'Prince Albert Street', 'Lyon Street']",unclassified,True,370.256,"LINESTRING (-2.440342 53.0971337, -2.4404812 53.0964775, -2.4405288 53.0962915, -2.4404459 53.0962295, -2.4402107 53.0961518, -2.4400765 53.0961279, -2.4377509 53.096621, -2.4377253 53.096557, -2.4377189 53.0964909, -2.4377256 53.0964421, -2.4377438 53.0963959, -2.4377658 53.0963577, -2.437794 53.0963139, -2.4377617 53.096203, -2.4377262 53.0961714, -2.437675 53.0961489, -2.4376194 53.0961321, -2.4375861 53.096122, -2.4374104 53.096091)",,,,,no
618097115,False,Crewe Street,unclassified,True,111.707,"LINESTRING (-2.440342 53.0971337, -2.440235 53.0971175, -2.4400029 53.0971116, -2.4396422 53.0971973, -2.439527 53.0971944, -2.4394848 53.0971829, -2.4394411 53.0971666, -2.43941 53.0971384, -2.4392884 53.0969455, -2.4392188 53.0968032, -2.4391951 53.0967557)",,,,,
