osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,tunnel,width,junction,bridge,access
158189192,2,High Street,tertiary,30 mph,False,True,14.321,"LINESTRING (-1.4832741 51.7880726, -1.4833797 51.7879616)",,,,,
286867872,2,High Street,tertiary,30 mph,False,False,12.536,"LINESTRING (-1.4832741 51.7880726, -1.4831982 51.7881751)",,,,,
3109501,2,Witan Way,tertiary,30 mph,False,False,109.03399999999999,"LINESTRING (-1.4832741 51.7880726, -1.4829068 51.7879961, -1.4824446 51.7879116, -1.4823787 51.7878931, -1.4822693 51.7878624, -1.4820706 51.7877869, -1.4818462 51.7876733)",,,,,
42921424,,Station Lane,tertiary,,True,False,17.932,"LINESTRING (-1.4810955 51.7799497, -1.4811073 51.7801108)",,,,,
1032395065,2,Corn Street,tertiary,20 mph,False,True,49.196,"LINESTRING (-1.4908498 51.7842236, -1.4915094 51.7843946)",,,,,
"[23082280, 708349925, 708349926]",2,Cooper Mews,residential,20 mph,False,False,70.12,"LINESTRING (-1.4908498 51.7842236, -1.4907928 51.7842813, -1.4907863 51.7842879, -1.4907254 51.7843841, -1.4907115 51.7844041, -1.4906871 51.7844289, -1.4905691 51.7845564, -1.4905237 51.7845997, -1.4904908 51.7846242, -1.4904591 51.7846442, -1.4904206 51.7846634, -1.4903802 51.7846794, -1.4903128 51.7846933, -1.4902523 51.7847024)",yes,,,,
1032395065,2,Corn Street,tertiary,20 mph,False,False,15.024999999999999,"LINESTRING (-1.4908498 51.7842236, -1.490729 51.7841906, -1.49065 51.784169)",,,,,
161477181,2,Welch Way,tertiary,30 mph,False,True,103.106,"LINESTRING (-1.4885232 51.7869276, -1.4887305 51.7869345, -1.4889241 51.7869361, -1.4890134 51.7869369, -1.489375 51.7869393, -1.4900217 51.7869317)",,,,,
"[25873712, 25873713, 158189192, 1053072917]",2,"['Welch Way', 'High Street']",tertiary,"['20 mph', '30 mph']",False,False,328.296,"LINESTRING (-1.4885232 51.7869276, -1.4882861 51.7869093, -1.4882188 51.786904, -1.4881515 51.7868987, -1.487872 51.7868789, -1.4872992 51.7868111, -1.487204 51.7867991, -1.4864467 51.7866835, -1.4861432 51.7866291, -1.4853157 51.7865064, -1.4850459 51.786459, -1.4849945 51.786447, -1.4848257 51.7864178, -1.4847565 51.7864913, -1.4846846 51.7865836, -1.4846421 51.7866267, -1.48461 51.7866699, -1.4845534 51.7867464, -1.4845245 51.7867853, -1.4843663 51.7869517)",,,,,
3121291,2,Langdale Gate,tertiary,20 mph,False,True,29.762999999999998,"LINESTRING (-1.4850391 51.7837617, -1.4850923 51.7837583, -1.4853219 51.7837436, -1.4854699 51.7837372)",,,,,
"[61918836, 61918837, 1032395919]",2,Langdale Gate,tertiary,20 mph,False,False,131.417,"LINESTRING (-1.4850391 51.7837617, -1.4848693 51.7837697, -1.4842984 51.7838009, -1.4840871 51.7838033, -1.4840367 51.7838039, -1.4837376 51.7837973, -1.4833307 51.7837752, -1.4831338 51.7837654)",,,,,
"[1164650259, 3121339]",2,"['Church Green', 'Market Square']",unclassified,20 mph,False,False,162.79999999999998,"LINESTRING (-1.4850391 51.7837617, -1.4850119 51.7836051, -1.4850103 51.7835874, -1.4849837 51.7832934, -1.4849709 51.7832195, -1.4849346 51.7830095, -1.4848395 51.7827316, -1.4847868 51.7825833, -1.4847508 51.7824735, -1.4847094 51.7823146)",,,,,
3121339,2,Church Green,unclassified,20 mph,False,False,38.934,"LINESTRING (-1.4846724 51.7816586, -1.4846708 51.7814787, -1.484646 51.7813965, -1.4846182 51.7813116)",,,,,
3121339,2,Church Green,unclassified,20 mph,False,True,73.08800000000001,"LINESTRING (-1.4846724 51.7816586, -1.484667 51.7820196, -1.4846818 51.7821694, -1.4847094 51.7823146)",,,,,
