osmid,oneway,lanes,ref,highway,maxspeed,reversed,length,geometry,name,bridge,junction
54813194,True,1,A466,primary,20 mph,False,9.139,"LINESTRING (-2.7103966 51.8116307, -2.7105006 51.8116819)",,,
70960723,True,2,A40,trunk,50 mph,False,669.984,"LINESTRING (-2.7103966 51.8116307, -2.7113056 51.8106048, -2.7120607 51.8097469, -2.7134866 51.8081497, -2.7144894 51.807031, -2.7148398 51.8066262, -2.7150827 51.8063478)",,,
70960731,True,1,A466,primary,20 mph,False,98.324,"LINESTRING (-2.7105006 51.8116819, -2.7105619 51.8117111, -2.7106496 51.8117552, -2.7107612 51.8118101, -2.7113622 51.8119974, -2.711741 51.8121154)",Wyebridge Street,,
"[23262586, 136652851, 136652854]",True,1,,trunk_link,50 mph,False,160.95600000000002,"LINESTRING (-2.7164592 51.8057601, -2.7163805 51.8057239, -2.7162886 51.8057026, -2.7161908 51.8056978, -2.7160947 51.80571, -2.7160078 51.8057382, -2.7159368 51.8057801, -2.7155739 51.8061629, -2.7153092 51.8064181, -2.7149859 51.8066889)",,yes,
"[1211019985, 23262587, 117042389]",False,2,B4293,secondary,"['20 mph', '50 mph']",False,101.39000000000001,"LINESTRING (-2.7164592 51.8057601, -2.7165081 51.8058174, -2.7165862 51.8059136, -2.7167087 51.806022, -2.7169598 51.806244, -2.7170931 51.8063267, -2.7171635 51.8063703, -2.7172756 51.8064209, -2.7173822 51.80645)",,,
"[1236161162, 136652846]",True,2,A40,trunk,50 mph,False,635.112,"LINESTRING (-2.7149859 51.8066889, -2.714644 51.807075, -2.7136366 51.8082047, -2.7121756 51.8097841, -2.711429 51.8106396, -2.7106136 51.8115517, -2.7105006 51.8116819)",,,
1200482254,True,1,B4293,secondary,20 mph,False,13.621,"LINESTRING (-2.7175205 51.8064183, -2.7175556 51.8064376, -2.7175724 51.8064654, -2.7175685 51.8064905, -2.7175574 51.8065052, -2.7175327 51.8065215)",,,roundabout
23455668,False,2,B4233,secondary,20 mph,False,120.311,"LINESTRING (-2.7175327 51.8065215, -2.7175653 51.8065397, -2.7182487 51.8069199, -2.7186951 51.8072254, -2.7187761 51.8072808)",Cinderhill Street,,
117042366,True,1,B4293,secondary,20 mph,False,17.424,"LINESTRING (-2.7175327 51.8065215, -2.7174981 51.8065315, -2.7174597 51.8065327, -2.7174239 51.8065249, -2.7173952 51.806509, -2.7173842 51.8064975, -2.7173764 51.8064807, -2.7173758 51.8064671, -2.7173822 51.80645)",,,roundabout
23455667,True,1,B4293,secondary,20 mph,False,11.379,"LINESTRING (-2.7173822 51.80645, -2.7173929 51.8064376, -2.7174111 51.8064253, -2.7174537 51.8064125, -2.7174908 51.8064121, -2.7175205 51.8064183)",,,roundabout
"[1211019985, 23262587, 117042389]",False,2,B4293,secondary,"['20 mph', '50 mph']",True,101.38999999999999,"LINESTRING (-2.7173822 51.80645, -2.7172756 51.8064209, -2.7171635 51.8063703, -2.7170931 51.8063267, -2.7169598 51.806244, -2.7167087 51.806022, -2.7165862 51.8059136, -2.7165081 51.8058174, -2.7164592 51.8057601)",,,
23455668,False,2,B4233,secondary,20 mph,True,120.31099999999999,"LINESTRING (-2.7187761 51.8072808, -2.7186951 51.8072254, -2.7182487 51.8069199, -2.7175653 51.8065397, -2.7175327 51.8065215)",Cinderhill Street,,
"[60854307, 60854285, 54813190]",False,2,B4293,secondary,20 mph,"[False, True]",161.30099999999996,"LINESTRING (-2.7187761 51.8072808, -2.7186554 51.8074604, -2.7183782 51.8078638, -2.7182972 51.8079762, -2.7182803 51.8079996, -2.7181504 51.8081797, -2.7180448 51.8083514, -2.7178905 51.8086234)",,yes,
