osmid,name,highway,oneway,reversed,length,lanes,maxspeed,geometry,ref,junction,tunnel,access
2956548,Back of the Walls,unclassified,False,True,51.232,,,"LINESTRING (-1.4022125 50.8994292, -1.402317 50.8989732)",,,,
"[243994296, 243994294]",Bernard Street,tertiary,False,False,68.584,"['2', '3']",30 mph,"LINESTRING (-1.4022125 50.8994292, -1.4017623 50.8994032, -1.4014566 50.8993913, -1.4014085 50.8993894, -1.4012374 50.8993828)",,,,
"[243994297, 243994298, 243994294]",Bernard Street,tertiary,False,True,64.041,2,"['20 mph', '30 mph']","LINESTRING (-1.4022125 50.8994292, -1.4025208 50.899447, -1.4027526 50.8994656, -1.4031214 50.8994838)",,,,
2956545,Queensway,tertiary,False,True,124.917,2,30 mph,"LINESTRING (-1.4012374 50.8993828, -1.4012631 50.8992736, -1.4012705 50.8992421, -1.4014992 50.8982716)",,,,
187831734,Bernard Street,tertiary,False,False,34.952,2,30 mph,"LINESTRING (-1.4012374 50.8993828, -1.4010577 50.8993743, -1.4009982 50.8993715, -1.4007404 50.8993593)",,,,
"[243994296, 243994294]",Bernard Street,tertiary,False,True,68.584,"['2', '3']",30 mph,"LINESTRING (-1.4012374 50.8993828, -1.4014085 50.8993894, -1.4014566 50.8993913, -1.4017623 50.8994032, -1.4022125 50.8994292)",,,,
"[243994313, 243994314, 243994315, 243994318, 243994319, 243994324]",Queensway,tertiary,False,False,219.90099999999998,"['2', '3']",30 mph,"LINESTRING (-1.4012374 50.8993828, -1.4012195 50.8995111, -1.4012129 50.8995581, -1.401193 50.8997009, -1.4011654 50.899817, -1.4011515 50.8998754, -1.4011126 50.9000362, -1.401104 50.9000723, -1.4010712 50.9002105, -1.4009726 50.9006257, -1.4009235 50.9009554, -1.4008913 50.9012334, -1.4008895 50.9013466)",,,,
1030703863,Bernard Street,tertiary,True,False,28.835,1,30 mph,"LINESTRING (-1.3978862 50.8990803, -1.3980027 50.8990799, -1.3980742 50.8990884, -1.3981481 50.8990981, -1.398283 50.899134)",,,,
1101938366,Threefield Lane,primary,True,False,13.779000000000002,1,30 mph,"LINESTRING (-1.3978862 50.8990803, -1.3979422 50.8991093, -1.3979663 50.8991349, -1.397976 50.8991549, -1.3979743 50.8991824)",A33,,,
"[870860060, 1138161111]",Threefield Lane,primary,True,False,47.829,1,30 mph,"LINESTRING (-1.3978897 50.8995608, -1.3978741 50.8996752, -1.3978343 50.8998273, -1.3977927 50.8999863)",A33,,,
"[96995866, 1138161095]",College Street,residential,False,False,51.422000000000004,,30 mph,"LINESTRING (-1.3978897 50.8995608, -1.3979669 50.8995662, -1.3981133 50.899583, -1.3985249 50.8996304, -1.3985115 50.8996855)",,,,
1058613884,Marsh Lane,primary,True,False,26.734,1,30 mph,"LINESTRING (-1.3974691 50.9011627, -1.3974105 50.9012092, -1.397363 50.9012324, -1.3972947 50.9012511, -1.3972179 50.9012619, -1.3971441 50.9012626)",A33,,,
"[3102404, 1058613885]",Marsh Lane,primary,True,False,84.237,"['1', '2']",30 mph,"LINESTRING (-1.3974691 50.9011627, -1.3974846 50.9012287, -1.3975206 50.9012925, -1.397558 50.9013408, -1.3976238 50.9014054, -1.397699 50.9014763, -1.3977472 50.9015375, -1.3977846 50.9016056, -1.3978195 50.90168, -1.3978309 50.9017043, -1.3978581 50.9017698, -1.3978968 50.9018629)",A33,,,
784080099,South Front,residential,False,True,59.201,2,30 mph,"LINESTRING (-1.400892 50.904977, -1.4000574 50.9050574)",,,,
4083482,Pound Tree Road,unclassified,False,False,119.63900000000001,2,20 mph,"LINESTRING (-1.400892 50.904977, -1.4010411 50.9049746, -1.4016857 50.9049699, -1.4017325 50.9049695, -1.4022177 50.9049647, -1.4023612 50.9049637, -1.402598 50.9049621)",,,,
"[243994305, 243994306, 151224036]",Palmerston Road,tertiary,False,False,186.954,2,30 mph,"LINESTRING (-1.400892 50.904977, -1.4008997 50.9047997, -1.4009374 50.904592, -1.401071 50.9039394, -1.4011335 50.903619, -1.4011507 50.9034929, -1.4011571 50.9034457, -1.4011627 50.9034112, -1.4011708 50.9033618, -1.4011799 50.9033063)",,,,
"[243994304, 243994310, 243994303]",Palmerston Road,tertiary,False,True,180.45,2,30 mph,"LINESTRING (-1.400892 50.904977, -1.4009373 50.905199, -1.4009579 50.9052917, -1.4010521 50.905661, -1.4011002 50.9059319, -1.4011228 50.9060237, -1.4011415 50.9060737, -1.4011568 50.9061149, -1.4011724 50.9061579, -1.4013236 50.9065752)",,,,
187,Houndwell Place,tertiary,False,True,171.79600000000002,,30 mph,"LINESTRING (-1.3981534 50.9025464, -1.3982481 50.9025417, -1.3987916 50.9025144, -1.3990162 50.9025185, -1.399177 50.9025376, -1.3993216 50.9025757, -1.3994719 50.9026612, -1.3996561 50.9027465, -1.3998566 50.9028256, -1.3999524 50.9028476, -1.4001066 50.9028732, -1.4002798 50.9028906, -1.4004396 50.9028996)",,,,
"[300710523, 151168868]",St Mary's Place,primary,True,False,298.502,,30 mph,"LINESTRING (-1.3981534 50.9025464, -1.3981567 50.902637, -1.3981374 50.9027486, -1.3981082 50.9028598, -1.3980584 50.9029748, -1.3980401 50.9030074, -1.3979218 50.9031854, -1.3977561 50.9034216, -1.3976744 50.9035902, -1.3976087 50.903769, -1.3975719 50.9039466, -1.3975511 50.9041275, -1.397547 50.9043068, -1.3975698 50.9045098, -1.3976084 50.9046919, -1.3976595 50.9049333, -1.3976917 50.9050691, -1.3976985 50.9051036, -1.3977135 50.9051642)",A33,,,
238558832,Houndwell Place,tertiary,False,False,12.711,2,30 mph,"LINESTRING (-1.3981534 50.9025464, -1.398063 50.9025505, -1.3979726 50.9025545)",,,,
27126482,Western Esplanade,primary,False,True,33.196,4,30 mph,"LINESTRING (-1.4086002 50.9069673, -1.408385 50.9069426, -1.4082311 50.906922, -1.4081344 50.9069148)",A3024,,,
1262259523,Western Esplanade,primary,True,False,36.626,2,30 mph,"LINESTRING (-1.4086002 50.9069673, -1.4089765 50.9069602, -1.4091221 50.906966)",A3024,,,
