osmid,name,highway,oneway,reversed,length,geometry,lanes,bridge,maxspeed,width,tunnel,junction,access
12697124,Lorne Street,residential,False,False,92.83699999999999,"LINESTRING (-1.7928799 51.5586717, -1.7928324 51.5586916, -1.7919865 51.5592935)",,,,,,,
"[12697121, 227018413, 227018414]",Cambria Bridge Road,tertiary,True,False,106.54400000000001,"LINESTRING (-1.7920469 51.5578661, -1.792174 51.5580019, -1.7922796 51.5581104, -1.7923758 51.5582043, -1.7926405 51.5584514, -1.7926727 51.5584813, -1.7927958 51.5585998, -1.7928058 51.5586082, -1.7928231 51.5586208, -1.7928302 51.5586265, -1.792833 51.558629, -1.7928799 51.5586717)",1,yes,,,,,
"[12697121, 1218138419, 1218138420]",Cambria Bridge Road,tertiary,True,False,58.518,"LINESTRING (-1.7915953 51.557421, -1.7916708 51.5574945, -1.7917203 51.5575426, -1.7918212 51.5576407, -1.7920469 51.5578661)",1,,,,,,
"[12697123, 1218138422, 1218138423]",Cambria Bridge Road,residential,False,False,59.04600000000001,"LINESTRING (-1.7915953 51.557421, -1.7915334 51.5573642, -1.79152 51.557352, -1.7914222 51.5572623, -1.7913378 51.5571849, -1.7911127 51.5569829)",,,,,,,
"[4891468, 1218138421]",Curtis Street,tertiary,True,False,69.114,"LINESTRING (-1.7908649 51.5578454, -1.7909038 51.5578229, -1.7914331 51.5575153, -1.7914648 51.5574969, -1.7915953 51.557421)",1,,30 mph,,,,
4891472,Dryden Street,residential,False,False,213.064,"LINESTRING (-1.7908649 51.5578454, -1.7906051 51.5576763, -1.7905259 51.5576284, -1.7902377 51.5575831, -1.7890134 51.5574096, -1.7884192 51.557323, -1.7880177 51.5572642, -1.7879987 51.5572614)",,,,,,,
4841483,Curtis Street,tertiary,True,False,93.34100000000001,"LINESTRING (-1.7893272 51.5587056, -1.7887693 51.559022, -1.7885812 51.5591299, -1.788332 51.5592729)",2,,30 mph,,,,
4891468,Curtis Street,tertiary,True,False,72.90700000000001,"LINESTRING (-1.7893272 51.5587056, -1.7900334 51.5583092, -1.7901098 51.5582661)",1,,30 mph,,,,
9833259,Newhall Street,residential,False,True,121.123,"LINESTRING (-1.7860368 51.558052, -1.7861343 51.5577813, -1.7864154 51.5570626, -1.7864392 51.5569919)",,,,,,,
9833260,Newhall Street,residential,True,False,105.619,"LINESTRING (-1.7860368 51.558052, -1.7857771 51.5587035, -1.7856695 51.558974)",,,,,,,
"[328024232, 1212104702, 1212104703]",Crombey Street,tertiary,True,False,55.309999999999995,"LINESTRING (-1.7860368 51.558052, -1.7860594 51.558058, -1.7860726 51.5580619, -1.7861455 51.5580834, -1.7864083 51.5581242, -1.7866375 51.5581585, -1.7866999 51.5581663, -1.786731 51.5581672, -1.7867607 51.5581681, -1.7867924 51.558169, -1.7868097 51.5581695)","['1', '2']",,30 mph,,,,
5487571,Dowling Street,residential,False,True,64.167,"LINESTRING (-1.7844894 51.5578327, -1.7845634 51.5576482, -1.784599 51.5575578, -1.7844905 51.5573069, -1.7844765 51.557274)",,,,,,,
5487573,Dowling Street,residential,True,False,104.634,"LINESTRING (-1.7844894 51.5578327, -1.7842384 51.5584703, -1.7841219 51.5587455)",,,,,,,
"[1212104699, 1212104700, 1212104702]",Crombey Street,tertiary,True,False,55.349999999999994,"LINESTRING (-1.7844894 51.5578327, -1.7845584 51.5578472, -1.7845838 51.5578526, -1.7846202 51.5578574, -1.7847143 51.5578699, -1.7847773 51.5578766, -1.7848666 51.557886, -1.7848846 51.5578879, -1.7850326 51.5579038, -1.7852738 51.5579291)",2,,30 mph,,,,
12697125,Maxwell Street,residential,True,False,70.958,"LINESTRING (-1.7926774 51.5597652, -1.792457 51.5596242, -1.7922572 51.5594806, -1.7919865 51.5592935)",,,,,,,
1170879856,Faringdon Road,tertiary,False,True,60.954,"LINESTRING (-1.7926774 51.5597652, -1.7925714 51.5598518, -1.792499 51.5599023, -1.7924947 51.5599051, -1.7924523 51.5599323, -1.7920559 51.5601517)",2,,30 mph,,,,
33734754,Faringdon Road,tertiary,False,True,2.583,"LINESTRING (-1.7913857 51.5604949, -1.7913573 51.56051)",,,,,,,
60960507,Chester Street,residential,True,False,159.478,"LINESTRING (-1.7913857 51.5604949, -1.7909598 51.5601879, -1.7906827 51.559994, -1.7898612 51.5594185)",,,,,,,
1170879856,Faringdon Road,tertiary,False,False,60.024,"LINESTRING (-1.7913857 51.5604949, -1.7915996 51.5603854, -1.7920559 51.5601517)",2,,30 mph,,,,
4825849,Commercial Road,tertiary,True,False,25.475,"LINESTRING (-1.7875962 51.5592694, -1.7872394 51.5592121)",2,,30 mph,,,,
4825849,Commercial Road,tertiary,True,False,54.373,"LINESTRING (-1.7856695 51.558974, -1.7849052 51.5588586)",2,,30 mph,,,,
4825849,Commercial Road,tertiary,True,False,92.96099999999998,"LINESTRING (-1.7833433 51.5586286, -1.7832069 51.5586079, -1.7826114 51.5585187, -1.7820362 51.5584323)",2,,30 mph,,,,
5487576,Whitney Street,residential,True,False,104.684,"LINESTRING (-1.7833433 51.5586286, -1.7834515 51.5583522, -1.7834697 51.5583043, -1.7835979 51.5579731, -1.7837061 51.5577146)",,,,,,,
5571267,Temple Street,unclassified,False,False,55.799,"LINESTRING (-1.7833433 51.5586286, -1.7832417 51.5588955, -1.7832105 51.5589774, -1.7830062 51.5590439)",,,,,,,
4954277,Victoria Road,tertiary,True,False,48.096000000000004,"LINESTRING (-1.7796022 51.55828, -1.7795191 51.5580385, -1.7794498 51.557858)",,,30 mph,,,,
144622164,Groundwell Road,tertiary,False,False,62.778,"LINESTRING (-1.7796022 51.55828, -1.7793321 51.5583313, -1.7791191 51.5583737, -1.7787372 51.5584518)",2,,30 mph,,,,
