osmid,lanes,ref,name,highway,maxspeed,access,oneway,reversed,length,geometry,junction,bridge
1052501654,3,A259,Breeds Place,trunk,30 mph,yes,False,True,7.844,"LINESTRING (0.58402 50.8551311, 0.5841315 50.8551358)",,
184760685,2,A259,Breeds Place,trunk,30 mph,yes,True,False,47.062000000000005,"LINESTRING (0.58402 50.8551311, 0.5838757 50.8550788, 0.5837909 50.8550246, 0.5836622 50.8549481, 0.5835622 50.8549326, 0.5834613 50.8549177)",,
59935447,1,A259,Marine Parade,trunk,30 mph,yes,True,False,54.55199999999999,"LINESTRING (0.5870395 50.8552207, 0.587209 50.8552565, 0.5872691 50.8552592, 0.5873402 50.8552611, 0.5878071 50.8552675)",,
"[59935461, 1052501651, 1052501652, 1052501653, 665169053]","['2', '3']",A259,"['Sturdee Place', 'Pelham Place']",trunk,30 mph,yes,False,False,204.368,"LINESTRING (0.5870395 50.8552207, 0.5868187 50.8552163, 0.5862589 50.8551962, 0.5860312 50.8551925, 0.585393 50.8551756, 0.5851148 50.8551717, 0.5849247 50.8551641, 0.5847554 50.8551565, 0.5846802 50.8551531, 0.5846124 50.8551512, 0.5845049 50.8551481, 0.5841315 50.8551358)",,
26711396,2,A259,Denmark Place,trunk,30 mph,yes,True,False,26.561,"LINESTRING (0.5832533 50.8548841, 0.5830567 50.8548747, 0.5828761 50.8548652)",,
26711407,2,,,trunk,30 mph,yes,True,False,15.115,"LINESTRING (0.5832533 50.8548841, 0.5831893 50.8549047, 0.5831404 50.8549378, 0.5831123 50.8549795)",roundabout,
866464342,2,A21,,trunk,30 mph,yes,False,False,7.358,"LINESTRING (0.5780113 50.8572142, 0.5780189 50.8571482)",,
399667309,2,,Devonshire Road,tertiary,30 mph,,True,False,21.306,"LINESTRING (0.5780113 50.8572142, 0.578186 50.8572408, 0.5782156 50.8572468, 0.5783038 50.8572649)",,
60070084,3,A259,Grand Parade,trunk,30 mph,yes,False,False,70.09899999999999,"LINESTRING (0.5804579 50.8546279, 0.5802593 50.8546088, 0.5802255 50.8546055, 0.5794707 50.8545329)",,
182972374,2,A21,Harold Place,trunk,30 mph,yes,False,False,35.177,"LINESTRING (0.5804579 50.8546279, 0.5804379 50.8547305, 0.5803757 50.8548333, 0.5803129 50.8549283)",,
351635712,4,A259,Denmark Place,trunk,30 mph,yes,False,True,119.167,"LINESTRING (0.5804579 50.8546279, 0.5807782 50.8546504, 0.5808125 50.8546528, 0.5809681 50.8546671, 0.581458 50.8547121, 0.5818617 50.8547526, 0.5819174 50.8547583, 0.5821378 50.8547811)",,
