osmid,ref,highway,junction,oneway,reversed,length,geometry,lanes,maxspeed,name,bridge
24866060,A3,primary,roundabout,True,False,23.713,"LINESTRING (-6.3927292 54.4495139, -6.3926928 54.4495509, -6.3926429 54.4495822, -6.392582 54.449606, -6.3925135 54.4496212, -6.3924408 54.4496269)",,,,
733999173,A3,primary,,True,False,33.818,"LINESTRING (-6.3927292 54.4495139, -6.3927584 54.4496076, -6.3928097 54.4497148, -6.3928764 54.4498044)",1,60 mph,,
24866060,A3,primary,roundabout,True,False,34.131,"LINESTRING (-6.3921241 54.4493932, -6.3921579 54.449346, -6.3922124 54.4493059, -6.3922837 54.4492758, -6.3923663 54.4492582, -6.3924541 54.4492543, -6.3925403 54.4492644)",,,,
291299084,A3,primary,,True,False,229.538,"LINESTRING (-6.3921241 54.4493932, -6.3921207 54.4493257, -6.392102 54.4492585, -6.392063 54.4491829, -6.3919597 54.4490575, -6.3918254 54.4489269, -6.3915047 54.448618, -6.3912219 54.4483956, -6.3909188 54.4481887, -6.3906228 54.4480184, -6.3900898 54.4477542)",2,70 mph,Central Way,
24866061,A3,primary,roundabout,True,False,121.985,"LINESTRING (-6.3892259 54.4464557, -6.389219 54.4465437, -6.3891872 54.4466205, -6.389137 54.4466984, -6.3890587 54.4467954, -6.3888771 54.4469633, -6.3887185 54.44709, -6.3884672 54.447256, -6.3882542 54.4473626)",,,Central Roundabout,
"[1100607533, 1100607534]",A3,primary,,True,False,150.03799999999998,"LINESTRING (-6.3892259 54.4464557, -6.3893335 54.4466485, -6.3893997 54.4467206, -6.3894793 54.446781, -6.3895705 54.446836, -6.3898128 54.446967, -6.389986 54.4470522, -6.3902442 54.4471873, -6.3905119 54.4473524, -6.3906927 54.447472)","['2', '3']",70 mph,Central Way,
24866061,A3,primary,roundabout,True,False,31.204,"LINESTRING (-6.3882542 54.4473626, -6.3880035 54.4474735, -6.3878578 54.4475217)",,,Central Roundabout,
24866061,A3,primary,roundabout,True,False,56.476,"LINESTRING (-6.3870527 54.447535, -6.3868821 54.4474692, -6.3867923 54.4474248, -6.3867143 54.4473678, -6.386669 54.4473258, -6.3866256 54.4472583, -6.3865975 54.4472049, -6.3865832 54.4471354)",,,Central Roundabout,
24866060,A3,primary,roundabout,True,False,33.883,"LINESTRING (-6.3925403 54.4492644, -6.3926303 54.4492928, -6.39269 54.4493278, -6.3927319 54.4493707, -6.3927529 54.4494185, -6.3927517 54.4494678, -6.3927292 54.4495139)",,,,
24866061,A3,primary,roundabout,True,False,21.08,"LINESTRING (-6.3891709 54.446269, -6.3892077 54.4463712, -6.3892259 54.4464557)",,,Central Roundabout,
129809506,,tertiary,roundabout,True,False,20.458,"LINESTRING (-6.3965864 54.448945, -6.3965226 54.4489179, -6.3964808 54.4488788, -6.3964672 54.4488335, -6.3964838 54.4487885)",1,40 mph,,
252380442,,unclassified,,False,False,77.00699999999999,"LINESTRING (-6.3915523 54.4473947, -6.3918352 54.4472577, -6.3920125 54.4471718, -6.3922281 54.447061, -6.3924261 54.4469266)",,40 mph,,
"[1100607531, 129809508]",,unclassified,,True,False,57.29600000000001,"LINESTRING (-6.3915523 54.4473947, -6.3914306 54.447485, -6.3913466 54.4475528, -6.3912468 54.4476596, -6.3912108 54.4477438, -6.3911871 54.4478516)",1,"['40 mph', '70 mph']",,
24866070,A3,primary,,True,False,180.248,"LINESTRING (-6.3911871 54.4478516, -6.3913688 54.4480077, -6.3915717 54.4481964, -6.3917229 54.4483494, -6.3918982 54.4485433, -6.392163 54.4488559, -6.3922619 54.448993, -6.3923569 54.4491124, -6.3924479 54.449193, -6.3925403 54.4492644)",2,70 mph,Central Way,
1100591922,,tertiary,,True,False,29.242,"LINESTRING (-6.3968805 54.4491448, -6.3965864 54.448945)",1,40 mph,Highfield Road,
"[253259581, 252380446, 253259583]",,tertiary,,False,True,219.127,"LINESTRING (-6.3968805 54.4491448, -6.3970419 54.4493523, -6.3972494 54.4496407, -6.3973744 54.4498156, -6.3975349 54.4500348, -6.3979365 54.4505822, -6.3979551 54.4506076, -6.3982146 54.4509563)",2,40 mph,Highfield Road,yes
129809506,,tertiary,roundabout,True,False,2.29,"LINESTRING (-6.3968673 54.4488814, -6.3968473 54.4488984)",1,40 mph,,
866351809,,unclassified,,True,False,18.579,"LINESTRING (-6.3927309 54.4464253, -6.3927665 54.4465911)",2,40 mph,,
129809506,,tertiary,roundabout,True,False,1.956,"LINESTRING (-6.396746 54.4487223, -6.396772 54.4487313)",1,40 mph,,
"[777304988, 777304989, 252378374, 1100594359]",,tertiary,,False,True,157.143,"LINESTRING (-6.3964363 54.4485408, -6.3962732 54.4483674, -6.3962153 54.4482958, -6.3960652 54.4481102, -6.3959571 54.4479811, -6.3959289 54.4479474, -6.3958815 54.4478908, -6.3958586 54.4478634, -6.3956343 54.4475589, -6.3956051 54.4475103, -6.39545 54.4472514)",2,40 mph,,yes
1100591920,,tertiary,,True,False,28.448999999999998,"LINESTRING (-6.3964363 54.4485408, -6.3965947 54.4486405, -6.396746 54.4487223)",1,40 mph,,
129809506,,tertiary,roundabout,True,False,20.264,"LINESTRING (-6.3964838 54.4487885, -6.396528 54.4487504, -6.3965936 54.4487246, -6.3966694 54.448715, -6.396746 54.4487223)",1,40 mph,,
1100591921,,tertiary,,True,False,27.746,"LINESTRING (-6.3964838 54.4487885, -6.3964718 54.4486715, -6.3964363 54.4485408)",1,40 mph,,
"[777304988, 777304989, 252378374, 1100594359]",,tertiary,,False,False,157.143,"LINESTRING (-6.39545 54.4472514, -6.3956051 54.4475103, -6.3956343 54.4475589, -6.3958586 54.4478634, -6.3958815 54.4478908, -6.3959289 54.4479474, -6.3959571 54.4479811, -6.3960652 54.4481102, -6.3962153 54.4482958, -6.3962732 54.4483674, -6.3964363 54.4485408)",2,40 mph,,yes
252378396,,residential,,False,True,84.095,"LINESTRING (-6.39545 54.4472514, -6.3958874 54.4471739, -6.3963099 54.4471458, -6.3967177 54.447092)",,,Highfield Park,
252378396,,residential,,False,False,74.739,"LINESTRING (-6.3977713 54.4468217, -6.3972456 54.4469247, -6.3967177 54.447092)",,,Highfield Park,
252378381,,residential,,False,True,52.292,"LINESTRING (-6.3967177 54.447092, -6.3967681 54.4471711, -6.3969223 54.4474476, -6.3969106 54.4475426)",,,Highfield Park,
252378396,,residential,,False,False,84.095,"LINESTRING (-6.3967177 54.447092, -6.3963099 54.4471458, -6.3958874 54.4471739, -6.39545 54.4472514)",,,Highfield Park,
252378396,,residential,,False,True,74.739,"LINESTRING (-6.3967177 54.447092, -6.3972456 54.4469247, -6.3977713 54.4468217)",,,Highfield Park,
291299086,,tertiary,,True,False,26.647,"LINESTRING (-6.3982146 54.4509563, -6.3984255 54.4511622)",,40 mph,Highfield Road,
"[253259581, 252380446, 253259583]",,tertiary,,False,False,219.12700000000004,"LINESTRING (-6.3982146 54.4509563, -6.3979551 54.4506076, -6.3979365 54.4505822, -6.3975349 54.4500348, -6.3973744 54.4498156, -6.3972494 54.4496407, -6.3970419 54.4493523, -6.3968805 54.4491448)",2,40 mph,Highfield Road,yes
252378381,,residential,,False,False,52.292,"LINESTRING (-6.3969106 54.4475426, -6.3969223 54.4474476, -6.3967681 54.4471711, -6.3967177 54.447092)",,,Highfield Park,
252378381,,residential,,False,True,29.191000000000003,"LINESTRING (-6.3969106 54.4475426, -6.3967896 54.4476639, -6.3966162 54.4477331)",,,Highfield Park,
1100584108,,residential,,False,True,78.684,"LINESTRING (-6.3969106 54.4475426, -6.3970256 54.4475711, -6.3972038 54.447581, -6.3973777 54.4475411, -6.3975572 54.4474561, -6.3977377 54.4474158, -6.3980344 54.4473857)",,,Highfield Manor,
252378381,,residential,,False,False,6.623,"LINESTRING (-6.3965242 54.4477593, -6.3966162 54.4477331)",,,Highfield Park,
1100584108,,residential,,False,False,9.678,"LINESTRING (-6.3981772 54.4473596, -6.3980344 54.4473857)",,,Highfield Manor,
291299079,,tertiary,,True,False,20.867,"LINESTRING (-6.3914243 54.4535, -6.391223 54.4536467)",1,40 mph,Balteagh Road,
253257584,,tertiary,,False,True,84.03099999999999,"LINESTRING (-6.3914243 54.4535, -6.3918587 54.4533271, -6.3921338 54.4532176, -6.3925005 54.4530762)",2,40 mph,Balteagh Road,
24866061,A3,primary,roundabout,True,False,41.224999999999994,"LINESTRING (-6.3878578 54.4475217, -6.3876971 54.4475551, -6.3875504 54.4475776, -6.3874267 54.4475844, -6.3872371 54.447571)",,,Central Roundabout,
252379404,,tertiary,,True,False,45.207,"LINESTRING (-6.3878578 54.4475217, -6.3877674 54.4476078, -6.3877147 54.4476751, -6.3876526 54.447774, -6.3875878 54.4478947)",1,,,
252379415,,residential,,False,False,55.88,"LINESTRING (-6.3925005 54.4530762, -6.3929672 54.4534992)",,,Avonmere,
253257584,,tertiary,,False,False,84.031,"LINESTRING (-6.3925005 54.4530762, -6.3921338 54.4532176, -6.3918587 54.4533271, -6.3914243 54.4535)",2,40 mph,Balteagh Road,
"[252379401, 253257584, 253257585, 252379408, 252379411]",,tertiary,,False,True,230.28199999999998,"LINESTRING (-6.3925005 54.4530762, -6.3926197 54.4530345, -6.3927724 54.4529782, -6.3933089 54.4527824, -6.3933793 54.4527603, -6.3943327 54.4524479, -6.3951748 54.4521812, -6.3955986 54.4520559)",2,40 mph,Balteagh Road,yes
252379405,,residential,,False,False,104.03200000000001,"LINESTRING (-6.3901216 54.4542697, -6.3904039 54.4544377, -6.3910473 54.4542265, -6.3914535 54.4540932)",,,Balteagh Avenue,
252379395,,tertiary,,False,True,497.51,"LINESTRING (-6.3875878 54.4478947, -6.3875623 54.4481761, -6.3875672 54.448369, -6.3875885 54.4485155, -6.3876147 54.4486965, -6.3876387 54.4488619, -6.3876848 54.4490266, -6.3877747 54.449235, -6.3878758 54.4494202, -6.3880281 54.4496912, -6.3883454 54.4500633, -6.3889147 54.4506434, -6.3894467 54.4512841, -6.38956 54.4514285, -6.3897838 54.4517235, -6.3900158 54.4520658)",2,60 mph,,
252379399,,tertiary,,True,False,43.073,"LINESTRING (-6.3875878 54.4478947, -6.3874963 54.4477577, -6.387429 54.4476987, -6.3873464 54.4476457, -6.3872371 54.447571)",2,,,
252379409,,tertiary,roundabout,True,False,36.094,"LINESTRING (-6.3910849 54.4537715, -6.3909904 54.4537796, -6.390899 54.4537633, -6.3908287 54.4537257, -6.3907939 54.4536771, -6.3907963 54.4536244, -6.3908355 54.453577)",1,40 mph,,
252379412,,residential,,False,True,43.186,"LINESTRING (-6.3910849 54.4537715, -6.3912697 54.453899, -6.3914535 54.4540932)",,,Balteagh Avenue,
252379410,,residential,,False,False,84.201,"LINESTRING (-6.3919294 54.4535773, -6.3922191 54.4537613, -6.3929672 54.4534992)",,,Avonmere,
252379405,,residential,,False,False,10.725,"LINESTRING (-6.3914535 54.4540932, -6.3915976 54.4540454)",,,Balteagh Avenue,
252379405,,residential,,False,True,104.032,"LINESTRING (-6.3914535 54.4540932, -6.3910473 54.4542265, -6.3904039 54.4544377, -6.3901216 54.4542697)",,,Balteagh Avenue,
252379412,,residential,,False,False,43.186,"LINESTRING (-6.3914535 54.4540932, -6.3912697 54.453899, -6.3910849 54.4537715)",,,Balteagh Avenue,
252379415,,residential,,False,True,55.88,"LINESTRING (-6.3929672 54.4534992, -6.3925005 54.4530762)",,,Avonmere,
252379410,,residential,,False,False,39.856,"LINESTRING (-6.3929672 54.4534992, -6.3930023 54.4534869, -6.3934576 54.4532822)",,,Avonmere,
252379410,,residential,,False,True,84.201,"LINESTRING (-6.3929672 54.4534992, -6.3922191 54.4537613, -6.3919294 54.4535773)",,,Avonmere,
24866061,A3,primary,roundabout,True,False,12.578,"LINESTRING (-6.3872371 54.447571, -6.3871625 54.4475573, -6.3870527 54.447535)",,,Central Roundabout,
252379408,,tertiary,,False,False,69.827,"LINESTRING (-6.3965666 54.4517773, -6.3955986 54.4520559)",2,40 mph,Balteagh Road,
252379408,,tertiary,,False,True,64.259,"LINESTRING (-6.3965666 54.4517773, -6.3971359 54.4516227, -6.397467 54.4515325)",2,40 mph,Balteagh Road,
252380639,,residential,,False,True,69.28399999999999,"LINESTRING (-6.3965666 54.4517773, -6.3966789 54.4519182, -6.3966919 54.4519552, -6.3966842 54.4519936, -6.396652 54.4520272, -6.3965898 54.4520557, -6.3963048 54.4521324, -6.3962255 54.4521409, -6.3960931 54.4521329)",,,Avonlea Grove,
252379406,,residential,,False,False,19.018,"LINESTRING (-6.3934576 54.4532822, -6.3934339 54.4532573, -6.3934372 54.4532288, -6.3934666 54.453206, -6.3935125 54.453196, -6.3935604 54.4532021, -6.393595 54.4532223)",,,Avonmere,
252379406,,residential,,False,True,15.762,"LINESTRING (-6.3934576 54.4532822, -6.3935005 54.4532957, -6.3935491 54.4532936, -6.3935881 54.4532766, -6.3936052 54.4532501, -6.393595 54.4532223)",,,Avonmere,
252379410,,residential,,False,True,39.856,"LINESTRING (-6.3934576 54.4532822, -6.3930023 54.4534869, -6.3929672 54.4534992)",,,Avonmere,
252379408,,tertiary,,False,False,24.641,"LINESTRING (-6.3978043 54.4514293, -6.397467 54.4515325)",2,40 mph,Balteagh Road,
291299081,,tertiary,,True,False,36.211,"LINESTRING (-6.3978043 54.4514293, -6.3979945 54.4513416, -6.3981387 54.4512703, -6.3982376 54.451223)",1,40 mph,Balteagh Road,
252379405,,residential,,False,True,10.725,"LINESTRING (-6.3915976 54.4540454, -6.3914535 54.4540932)",,,Balteagh Avenue,
252379409,,tertiary,roundabout,True,False,17.572,"LINESTRING (-6.391223 54.4536467, -6.3912163 54.453686, -6.3911889 54.4537222, -6.3911437 54.4537516, -6.3910849 54.4537715)",1,40 mph,,
252379409,,tertiary,roundabout,True,False,8.808,"LINESTRING (-6.3910201 54.4535284, -6.3910866 54.453537, -6.3911452 54.4535572)",1,40 mph,,
252379403,,residential,,False,True,60.628,"LINESTRING (-6.393595 54.4532223, -6.3938882 54.4531379, -6.3939741 54.4530787, -6.3940545 54.4529726, -6.3940376 54.4528729, -6.3939952 54.4528166)",,,Avonmere,
252379406,,residential,,False,False,15.762,"LINESTRING (-6.393595 54.4532223, -6.3936052 54.4532501, -6.3935881 54.4532766, -6.3935491 54.4532936, -6.3935005 54.4532957, -6.3934576 54.4532822)",,,Avonmere,
252379406,,residential,,False,True,19.018,"LINESTRING (-6.393595 54.4532223, -6.3935604 54.4532021, -6.3935125 54.453196, -6.3934666 54.453206, -6.3934372 54.4532288, -6.3934339 54.4532573, -6.3934576 54.4532822)",,,Avonmere,
252379403,,residential,,False,False,60.628,"LINESTRING (-6.3939952 54.4528166, -6.3940376 54.4528729, -6.3940545 54.4529726, -6.3939741 54.4530787, -6.3938882 54.4531379, -6.393595 54.4532223)",,,Avonmere,
252379398,,tertiary,,True,False,26.305,"LINESTRING (-6.3907781 54.4533386, -6.3908872 54.4534343, -6.3910201 54.4535284)",1,40 mph,,
"[252379395, 1100617334]",,tertiary,,False,False,149.877,"LINESTRING (-6.3907781 54.4533386, -6.390644 54.4531101, -6.3901635 54.4522911, -6.3900158 54.4520658)",2,"['60 mph', '40 mph']",,
252379414,,tertiary,,True,False,26.767,"LINESTRING (-6.3908355 54.453577, -6.3907781 54.4533386)",1,40 mph,,
252379409,,tertiary,roundabout,True,False,13.571,"LINESTRING (-6.3908355 54.453577, -6.3908867 54.4535493, -6.3909505 54.4535325, -6.3910201 54.4535284)",1,40 mph,,
252379974,,residential,,False,True,11.064,"LINESTRING (-6.3875904 54.4542825, -6.3874984 54.4543664)",,30 mph,,
252379968,,residential,,False,True,80.58,"LINESTRING (-6.3875904 54.4542825, -6.3879705 54.4544942, -6.3880241 54.4545971, -6.3879437 54.4546938, -6.3876596 54.4548131)",,30 mph,,
252379974,,residential,,False,False,50.256,"LINESTRING (-6.3875904 54.4542825, -6.3879007 54.4539173, -6.3879102 54.453873)",,30 mph,,
252379973,,residential,,False,False,30.944,"LINESTRING (-6.3889611 54.4535426, -6.3889946 54.453265)",,30 mph,,
252379973,,residential,,False,True,48.519,"LINESTRING (-6.3889611 54.4535426, -6.3888496 54.4539741)",,30 mph,,
252379976,,residential,,False,True,130.91299999999998,"LINESTRING (-6.3889611 54.4535426, -6.3897147 54.4536151, -6.3897691 54.4535718, -6.3898037 54.4534583, -6.3899247 54.4532389, -6.3898641 54.4529068)",,30 mph,,
252379973,,residential,,False,True,30.944,"LINESTRING (-6.3889946 54.453265, -6.3889611 54.4535426)",,30 mph,,
