osmid,name,highway,oneway,reversed,length,geometry,maxspeed,ref,lanes,junction,tunnel,bridge
23990637,Manse Court,residential,False,False,91.61399999999999,"LINESTRING (-4.3823874 55.8022411, -4.3828071 55.8022008, -4.3829366 55.8021906, -4.383038 55.8022091, -4.3837715 55.8023924)",,,,,,
200062296,Aurs Road,tertiary,False,False,58.132000000000005,"LINESTRING (-4.3823874 55.8022411, -4.382415 55.8023119, -4.3824427 55.8023969, -4.3824504 55.802438, -4.382467 55.8025267, -4.3824939 55.8027596)",30 mph,,,,,
200062296,Aurs Road,tertiary,False,True,48.702,"LINESTRING (-4.3823874 55.8022411, -4.3823388 55.8021312, -4.3822615 55.8020015, -4.3822085 55.8019295, -4.3821268 55.8018295)",30 mph,,,,,
28661622,Ralston Road,tertiary,False,False,11.856,"LINESTRING (-4.3927312 55.7997273, -4.3926748 55.7996255)",,,,,,
32854974,Main Street,primary,True,False,50.855000000000004,"LINESTRING (-4.3927312 55.7997273, -4.3923269 55.799839, -4.3920212 55.7999492)",30 mph,A736,,,,
823008455,Church Street,tertiary,False,True,97.907,"LINESTRING (-4.3927312 55.7997273, -4.3928902 55.7999421, -4.3929532 55.8000483, -4.3929985 55.8001625, -4.3930117 55.8002668, -4.3930018 55.8003847, -4.3929775 55.8004866, -4.3929451 55.8005783)",,,,,,
23695317,Arthurlie Street,tertiary,False,False,8.235,"LINESTRING (-4.3897003 55.8008557, -4.3896238 55.8007954)",,,,,,
201483017,Main Street,primary,True,False,344.409,"LINESTRING (-4.3897003 55.8008557, -4.3887213 55.8012424, -4.3886078 55.8012874, -4.3880386 55.8015205, -4.3878147 55.8016177, -4.3871716 55.8018756, -4.3870476 55.8019253, -4.3863998 55.8021899, -4.3856235 55.8024968, -4.3852277 55.8026647)",30 mph,A736,,,,
24036756,Millview,residential,False,False,84.12299999999999,"LINESTRING (-4.3852277 55.8026647, -4.3853984 55.8027423, -4.3854624 55.8027695, -4.3858796 55.8028222, -4.3860115 55.802869, -4.3861255 55.8029001, -4.3862298 55.802985, -4.3862469 55.8030701)",,,,,,
201483017,Main Street,primary,True,False,195.94899999999998,"LINESTRING (-4.3852277 55.8026647, -4.3850122 55.8027726, -4.3848435 55.8028611, -4.38414 55.8032572, -4.3839679 55.8033609, -4.3836017 55.8035719, -4.3834413 55.8036423, -4.3833609 55.8036702, -4.3830584 55.8037475, -4.3829659 55.8037785, -4.3828814 55.803814)",30 mph,A736,,,,
200775312,Dovecothall Roundabout,primary,True,False,6.727,"LINESTRING (-4.3826715 55.8035622, -4.3827671 55.80359)",,,1,roundabout,,
23695223,Main Street,primary,True,False,283.549,"LINESTRING (-4.3827671 55.80359, -4.3829947 55.8036077, -4.3830854 55.8036059, -4.3831598 55.8035958, -4.3832489 55.8035814, -4.3833233 55.8035655, -4.3833877 55.8035451, -4.3834507 55.8035165, -4.3836173 55.8034175, -4.3842792 55.8030388, -4.3847783 55.8027479, -4.3850979 55.802588, -4.3853992 55.8024499, -4.3857678 55.8023049, -4.3862925 55.8020987)",30 mph,A736,,,,
200775312,Dovecothall Roundabout,primary,True,False,27.732,"LINESTRING (-4.3827671 55.80359, -4.382844 55.8036345, -4.3828908 55.803689, -4.3829048 55.803751, -4.3828814 55.803814)",,,1,roundabout,,
24433044,Cross Arthurlie Street,secondary,False,False,32.137,"LINESTRING (-4.3979517 55.8015765, -4.3977881 55.8013025)",30 mph,B771,,,,
23644968,Stewart Street,residential,False,False,36.722,"LINESTRING (-4.3866447 55.8052758, -4.3868039 55.8055937)",,,,,,
200066537,Carlibar Road,tertiary,False,False,174.539,"LINESTRING (-4.3866447 55.8052758, -4.3871649 55.8051941, -4.3875199 55.8050619, -4.3880238 55.8048062, -4.3887777 55.8043196)",,,,,,
200066537,Carlibar Road,tertiary,False,True,206.697,"LINESTRING (-4.3866447 55.8052758, -4.3861449 55.8052859, -4.3854153 55.8051653, -4.3849805 55.805048, -4.3848789 55.8050206, -4.3845819 55.8049388, -4.3837845 55.8047191, -4.383553 55.8047037)",,,,,,
24049993,Carlibar Drive,residential,False,False,102.807,"LINESTRING (-4.3887777 55.8043196, -4.3886657 55.8042618, -4.3879665 55.8035204)",,,,,,
200066537,Carlibar Road,tertiary,False,False,116.12800000000001,"LINESTRING (-4.3887777 55.8043196, -4.3890899 55.8040946, -4.3893083 55.8039811, -4.3895462 55.8039087, -4.3902898 55.8037717)",,,,,,
