osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ref,bridge,junction,access
421636005,False,2,Gypsy Lane,residential,30 mph,True,106.768,"LINESTRING (-2.0519024 52.5833038, -2.0510575 52.5825975, -2.0509733 52.5825271)",,,,
"[641989280, 460941011]",False,"['2', '3']",Walsall Street,secondary,30 mph,False,158.788,"LINESTRING (-2.0519024 52.5833038, -2.0518449 52.5833225, -2.0515317 52.5834241, -2.0514265 52.5834689, -2.051345 52.5835206, -2.0512821 52.5835604, -2.0508502 52.5839178, -2.0505332 52.5841867, -2.0504493 52.5842582, -2.0503377 52.5843395)",B4464,,,
641989280,False,2,Walsall Street,secondary,30 mph,True,40.114999999999995,"LINESTRING (-2.0519024 52.5833038, -2.0523191 52.5832156, -2.0524666 52.5831921)",B4464,,,
76846757,False,2,Walsall Street,secondary,30 mph,False,80.20100000000001,"LINESTRING (-2.0495111 52.5849088, -2.0494248 52.5849598, -2.0488423 52.585093, -2.0486377 52.5851335, -2.0484114 52.5851553)",B4464,,,
76846757,False,2,Walsall Street,secondary,30 mph,True,84.419,"LINESTRING (-2.0495111 52.5849088, -2.0501679 52.5844525, -2.0503377 52.5843395)",B4464,,,
259719634,False,,Doctor's Piece,unclassified,,True,14.201,"LINESTRING (-2.0495111 52.5849088, -2.0496047 52.5849999, -2.0496367 52.5850058)",,,,
62092046,False,,King Street,unclassified,,True,84.866,"LINESTRING (-2.0484114 52.5851553, -2.0484052 52.585307, -2.0481139 52.5858923)",,,,
76846757,False,2,Walsall Street,secondary,30 mph,False,45.133,"LINESTRING (-2.0484114 52.5851553, -2.0481644 52.5851446, -2.0479458 52.5851105, -2.0477557 52.5850849)",B4464,,,
76846757,False,2,Walsall Street,secondary,30 mph,True,80.20100000000001,"LINESTRING (-2.0484114 52.5851553, -2.0486377 52.5851335, -2.0488423 52.585093, -2.0494248 52.5849598, -2.0495111 52.5849088)",B4464,,,
76846757,False,2,Walsall Street,secondary,30 mph,True,17.624000000000002,"LINESTRING (-2.0474978 52.5850611, -2.0475727 52.5850678, -2.0477557 52.5850849)",B4464,,,
