osmid,tunnel,oneway,lanes,ref,name,highway,maxspeed,reversed,length,bridge,geometry
"[153181322, 153181316, 153860684, 131897431]",yes,True,2,A55,Gwibffordd Gogledd Cymru / North Wales Expressway,trunk,50 mph,False,568.9519999999999,yes,"LINESTRING (-3.7254546 53.2960671, -3.7264743 53.2964932, -3.7282732 53.2974528, -3.729269 53.2978867, -3.7302839 53.2982545, -3.7315628 53.2986588, -3.7321691 53.2988344, -3.7324996 53.2989284)"
"[1265756609, 153178039]",yes,True,1,,,trunk_link,50 mph,False,274.407,,"LINESTRING (-3.7259746 53.2964296, -3.7252756 53.2962529, -3.7236517 53.2958402, -3.7221217 53.2955496)"
"[75064225, 423908082, 156362375]",,False,,B5113,"['Victoria Avenue', ""Prince's Drive""]",secondary,20 mph,False,397.3530000000001,,"LINESTRING (-3.7221217 53.2955496, -3.7221882 53.2956394, -3.7222591 53.2956838, -3.7223886 53.2957274, -3.7225745 53.2957655, -3.7227828 53.2957928, -3.7237091 53.2959395, -3.7242277 53.296057, -3.7248865 53.2962336, -3.7251688 53.2963113, -3.725312 53.2963381, -3.7253645 53.2963337, -3.725441 53.2963274, -3.7255688 53.296308, -3.7258476 53.2962313, -3.7259575 53.2962079, -3.7261413 53.2962179, -3.7263989 53.2962635, -3.7265056 53.2962824, -3.7266973 53.2963209, -3.7269025 53.2963621, -3.7274179 53.2964519, -3.7275105 53.2964729, -3.7276521 53.2965075)"
"[219196904, 219196901, 153178047]",,False,,B5113,Victoria Avenue,secondary,20 mph,True,39.550999999999995,yes,"LINESTRING (-3.7221217 53.2955496, -3.7220954 53.2954753, -3.7220269 53.295267, -3.7219879 53.2952037)"
419414653,,False,2,A547,Conway Road,primary,20 mph,False,17.165,,"LINESTRING (-3.729717 53.2957768, -3.7294868 53.2957068)"
419414653,,False,2,A547,Conway Road,primary,20 mph,True,51.148,,"LINESTRING (-3.729717 53.2957768, -3.7303786 53.2960118)"
41014161,,False,,,Coed Pella Road,residential,,False,120.313,,"LINESTRING (-3.729717 53.2957768, -3.7299672 53.2954546, -3.7303603 53.2949481, -3.7304789 53.2947953)"
153178060,,False,2,A547,,primary,20 mph,True,3.435,,"LINESTRING (-3.7237322 53.2932531, -3.7237762 53.2932693)"
54112033,,False,,,Rhiw Bank Avenue,residential,,True,79.62100000000001,,"LINESTRING (-3.7237322 53.2932531, -3.7240626 53.2929883, -3.7244484 53.2926791)"
153178060,,False,2,A547,,primary,20 mph,False,71.881,,"LINESTRING (-3.7237322 53.2932531, -3.7235641 53.2931777, -3.7235138 53.2931472, -3.723464 53.2931171, -3.7233236 53.2929952, -3.7230855 53.2927452)"
153178060,,False,2,A547,,primary,20 mph,False,42.131,,"LINESTRING (-3.7262831 53.2943366, -3.7262366 53.2943062, -3.7261056 53.2942207, -3.7258427 53.2940642)"
"[153178060, 419414653]",,False,2,A547,Conway Road,primary,20 mph,True,63.547,,"LINESTRING (-3.7262831 53.2943366, -3.7267671 53.2946518, -3.7268913 53.2947332, -3.7269302 53.2947573)"
156362372,,True,,B5113,Sea View Road,secondary,20 mph,False,82.738,,"LINESTRING (-3.7262831 53.2943366, -3.7260458 53.2944286, -3.7257774 53.2945221, -3.7256682 53.2945696, -3.7255973 53.2946376, -3.7255511 53.2947061, -3.7255221 53.2947544, -3.7254956 53.2948151, -3.7254506 53.2948455)"
75064255,,True,,B5113,Bay View Road,secondary,20 mph,False,214.08800000000002,,"LINESTRING (-3.7254506 53.2948455, -3.7253852 53.2948527, -3.7253107 53.2948401, -3.7245819 53.2946172, -3.7239498 53.2944002, -3.7233371 53.2941947, -3.723046 53.2941019, -3.7228492 53.2940472, -3.7225775 53.2940064)"
