osmid,name,highway,oneway,reversed,length,geometry,ref,maxspeed,lanes,bridge,tunnel
25389433,Cossack Street,residential,False,False,88.789,"LINESTRING (-5.4290708 56.0345139, -5.4289237 56.0344328, -5.4288087 56.0343507, -5.428348 56.0338323)",,,,,
28929997,Cossack Street,trunk,False,False,88.84200000000001,"LINESTRING (-5.4290708 56.0345139, -5.4290993 56.0346873, -5.4292026 56.0348082, -5.4293701 56.0349511, -5.4295732 56.0350535, -5.4298131 56.0351535)",A83,30 mph,,,
26610935,Argyll Street,tertiary,False,False,78.188,"LINESTRING (-5.4332612 56.036968, -5.433017 56.0376578)",,30 mph,,,
272377422,Colchester Square,tertiary,False,True,41.024,"LINESTRING (-5.4332612 56.036968, -5.4332654 56.0369493, -5.4333186 56.0367268, -5.4333756 56.0366053)",,,,,
"[287302585, 26610934]",Smithy Lane,"['residential', 'unclassified']",False,"[False, True]",138.89600000000002,"LINESTRING (-5.4332612 56.036968, -5.433511 56.0369941, -5.4340455 56.0370511, -5.4339863 56.0372384, -5.4338037 56.0378428)",,,,,
26610935,Argyll Street,tertiary,False,False,153.161,"LINESTRING (-5.4329824 56.0377574, -5.4325424 56.0391127)",,30 mph,,,
26610935,Argyll Street,tertiary,False,True,11.282,"LINESTRING (-5.4329824 56.0377574, -5.433017 56.0376578)",,30 mph,,,
117591939,Lorne Street,tertiary,False,True,51.897000000000006,"LINESTRING (-5.4329824 56.0377574, -5.4332177 56.0377797, -5.4338037 56.0378428)",,,,,
26610935,Argyll Street,tertiary,False,True,153.161,"LINESTRING (-5.4325424 56.0391127, -5.4329824 56.0377574)",,30 mph,,,
6487376,Oban Road,tertiary,False,False,132.45499999999998,"LINESTRING (-5.4325424 56.0391127, -5.4327769 56.0391758, -5.4329835 56.0392089, -5.4337339 56.0392773, -5.4338443 56.0392871, -5.4341652 56.0393174, -5.434617 56.0393644)",,30 mph,2,,
28035706,Manse Brae,tertiary,False,False,127.19799999999998,"LINESTRING (-5.4325424 56.0391127, -5.4323986 56.0391479, -5.4321743 56.0391789, -5.4316142 56.0392389, -5.4315734 56.0392434, -5.4315097 56.0392488, -5.4307948 56.0393147, -5.4305373 56.0393292)",,,,,
117591909,Fernoch Drive,residential,False,False,76.818,"LINESTRING (-5.4370061 56.0408527, -5.4358258 56.041059)",,,,,
