osmid,lanes,ref,highway,maxspeed,junction,oneway,reversed,length,geometry,name,access,tunnel,width,bridge
8126187,3,A147,primary,30 mph,roundabout,True,False,13.129,"LINESTRING (1.2853545 52.6281584, 1.2852566 52.6281735, 1.2851816 52.6282074)",,,,,
53672100,3,A147,primary,30 mph,roundabout,True,False,15.426,"LINESTRING (1.2850214 52.6284526, 1.2850534 52.6285287, 1.2850822 52.6285863)",,,,,
53853369,3,A147,primary,30 mph,roundabout,True,False,34.653999999999996,"LINESTRING (1.2850822 52.6285863, 1.285224 52.6286683, 1.2853897 52.6286991, 1.2855332 52.6287083)",,,,,
"[2542424, 116440849, 116440860]",2,A147,primary,30 mph,,True,False,66.70400000000001,"LINESTRING (1.2902782 52.6241921, 1.2902243 52.6242894, 1.2901496 52.6243355, 1.2898634 52.6244908, 1.2896241 52.6246276)",Chapelfield Road,,,,
53671629,2,A147,primary,30 mph,roundabout,True,False,24.872,"LINESTRING (1.2902782 52.6241921, 1.2902992 52.6242465, 1.290344 52.6242954, 1.2904092 52.6243349, 1.2904897 52.6243621)",St Stephens Roundabout,,,,
3030475,2,A147,primary,30 mph,roundabout,True,False,13.529,"LINESTRING (1.2909009 52.6242714, 1.2909357 52.6242143, 1.2909409 52.6241536)",St Stephens Roundabout,,,,
"[49709409, 33919230, 49709414]","['1', '2']",,tertiary,20 mph,,True,False,64.832,"LINESTRING (1.2932215 52.6257259, 1.2933308 52.6258027, 1.2935233 52.6259081, 1.2936375 52.6259843, 1.2937824 52.6260982, 1.2938626 52.6261582)",St Stephens Street,no,,,
"[49709413, 272347050, 272347054, 272347057, 272347059, 272347062, 263395834]","['2', '3']",,tertiary,20 mph,,False,True,55.661,"LINESTRING (1.2932215 52.6257259, 1.2930931 52.6256642, 1.2930644 52.6256509, 1.2930366 52.6256355, 1.2929884 52.6256116, 1.2929223 52.6255795, 1.2927974 52.6255136, 1.2927308 52.6254801, 1.2925879 52.6254057)",St Stephens Street,no,,,
"[116722850, 251977579, 251977580, 251977574]",,,tertiary,20 mph,,False,True,131.387,"LINESTRING (1.2974829 52.626744, 1.2975531 52.6266792, 1.2976028 52.626641, 1.2977922 52.62654, 1.2980315 52.6264171, 1.2984022 52.6262258, 1.2986454 52.6261002, 1.2986699 52.6260864, 1.2989018 52.6259407)",Rouen Road,,,,
"[30662792, 704585458, 427204410, 704142380]","['2', '3']",,tertiary,20 mph,,False,"[False, True]",129.99099999999999,"LINESTRING (1.2974829 52.626744, 1.2976222 52.626859, 1.2976534 52.6268848, 1.2976898 52.6269218, 1.2977235 52.6269637, 1.2977744 52.6270281, 1.2978198 52.6271076, 1.297856 52.6271822, 1.2978797 52.6272507, 1.2979066 52.6273241, 1.2979427 52.6274046, 1.2979466 52.6274309, 1.2979623 52.6274509, 1.2980109 52.6275198, 1.2980783 52.6275961, 1.2981676 52.6276818, 1.2982819 52.6277758, 1.2982977 52.6277864)",Cattle Market Street,,,,
"[3423601, 435435684]",4,,tertiary,20 mph,,False,False,36.467,"LINESTRING (1.2974829 52.626744, 1.2972266 52.6266526, 1.2971824 52.6266423, 1.2970195 52.6265765)",Golden Ball Street,,,,
33919186,,,tertiary,20 mph,,True,False,5.874,"LINESTRING (1.2939079 52.6261131, 1.2938626 52.6261582)",Westlegate,no,,,
3030478,1,,tertiary,20 mph,,True,False,63.709,"LINESTRING (1.2939079 52.6261131, 1.2938566 52.6260672, 1.2937234 52.6259757, 1.2936934 52.6259551, 1.293363 52.625779, 1.2932215 52.6257259)",St Stephens Street,no,,,
53671631,2,,tertiary,20 mph,,False,False,12.653,"LINESTRING (1.2951031 52.6275298, 1.2950868 52.6275158, 1.2950423 52.6274955, 1.2949677 52.6274519)",Red Lion Street,no,,,
8205812,2,A1074,primary,30 mph,,True,False,11.19,"LINESTRING (1.2851911 52.632008, 1.2853308 52.6319538)",Dereham Road,,,,
3404743,2,,tertiary,20 mph,,True,False,68.86500000000001,"LINESTRING (1.2863367 52.6317867, 1.2865164 52.6318346, 1.2868189 52.6319148, 1.2869 52.6319467, 1.2870064 52.6319815, 1.2871598 52.6320366, 1.2872499 52.6320604)",Saint Swithins Road,,,,
3404743,2,,tertiary,20 mph,,True,False,17.547,"LINESTRING (1.2879521 52.6321165, 1.288206 52.6320825)",Saint Swithins Road,,,,
3404744,,,tertiary,20 mph,,True,False,33.882999999999996,"LINESTRING (1.2879521 52.6321165, 1.288041 52.632135, 1.2881861 52.6322149, 1.2882528 52.6322645, 1.2883043 52.6323212)",Saint Swithins Road,,,,
"[8151206, 116585882, 4696792, 4696793, 117479418]",2,,tertiary,20 mph,,True,False,70.065,"LINESTRING (1.2935226 52.6329968, 1.2933928 52.6329738, 1.2933598 52.6329703, 1.2932298 52.6329563, 1.2931057 52.6329427, 1.2929931 52.6329297, 1.2929288 52.6329242, 1.2927375 52.6329137, 1.292653 52.6329151, 1.2924979 52.6329185)",Colegate,,,,
3423603,2,,tertiary,20 mph,,True,False,63.412000000000006,"LINESTRING (1.2989736 52.628049, 1.2984613 52.6280159, 1.2983714 52.6280122, 1.2982769 52.6280109, 1.2981915 52.6280123, 1.2980385 52.6280242)",Market Avenue,,,,
37072925,1,,tertiary,20 mph,,True,False,55.231,"LINESTRING (1.2989736 52.628049, 1.2987383 52.6279995, 1.2986585 52.627972, 1.2985911 52.6279475, 1.29847 52.6278864, 1.2983662 52.627811, 1.2982977 52.6277864)",Cattle Market Street,,,,
"[144720697, 37072986, 144720702, 144720703]",,,unclassified,"['20 mph', '5 mph']",,False,False,107.84199999999998,"LINESTRING (1.2989736 52.628049, 1.2988418 52.628426, 1.2988235 52.6284811, 1.2988038 52.6286339, 1.29878 52.6287034, 1.2986625 52.6289989)",Crown Road,,building_passage,,
"[690784435, 3416935]",2,,tertiary,20 mph,,True,False,31.726,"LINESTRING (1.2994384 52.6280915, 1.2993616 52.6280838, 1.2989736 52.628049)",Rose Lane,,,,
53853370,3,A147,primary,30 mph,roundabout,True,False,9.291,"LINESTRING (1.2855332 52.6287083, 1.2856607 52.6286768)",,,,,
61564700,2,A147,primary,30 mph,roundabout,True,False,38.399,"LINESTRING (1.2856607 52.6286768, 1.2857575 52.6286265, 1.2858166 52.6285858, 1.2858486 52.6285506, 1.2858727 52.6285005, 1.2858833 52.628441, 1.2858753 52.6283797)",,,,,
290230342,2,,tertiary,30 mph,,True,False,13.576,"LINESTRING (1.2856607 52.6286768, 1.2858016 52.6286701, 1.2858607 52.6286645)",Cleveland Road,,,,
53853372,2,A147,primary,30 mph,roundabout,True,False,10.455,"LINESTRING (1.2858753 52.6283797, 1.2858273 52.6282903)",,,,,
"[704585473, 3403779, 704585476, 163413187, 163413188, 163413189]","['1', '2']",,unclassified,20 mph,,False,False,99.11,"LINESTRING (1.2921764 52.6288697, 1.2922139 52.628886, 1.2922856 52.6288912, 1.2923713 52.6288894, 1.2925896 52.6288818, 1.2926483 52.62888, 1.2927488 52.6288781, 1.2928145 52.6288815, 1.2931551 52.6288687, 1.2932735 52.6288714, 1.2933227 52.628888, 1.2933591 52.6289175, 1.2933717 52.6289532, 1.2933843 52.6289997, 1.2933997 52.6290633)",Gaol Hill,,,,
"[3403776, 8128032, 117071456, 37072963, 117181349, 117181384, 290137165, 290137166, 290137167, 200742256, 155778320, 3403774]",2,,unclassified,20 mph,,False,"[False, True]",432.42999999999984,"LINESTRING (1.2921764 52.6288697, 1.2921306 52.6288472, 1.2921133 52.6288234, 1.2921043 52.6287696, 1.2920522 52.6282928, 1.2920309 52.6281897, 1.2919898 52.6281435, 1.2919431 52.6281302, 1.2918968 52.6281177, 1.2917366 52.6281176, 1.2914035 52.6281246, 1.2912873 52.6281313, 1.2912041 52.6281361, 1.2908661 52.628155, 1.2907751 52.6281583, 1.2907164 52.6281622, 1.2906101 52.628167, 1.2905728 52.6281699, 1.2905172 52.6281716, 1.290412 52.6281752, 1.2902122 52.6281819, 1.2899772 52.6282064, 1.2898208 52.6282327, 1.2897545 52.6282439, 1.289476 52.6283145, 1.2892252 52.6283886, 1.2890154 52.6284517, 1.288893 52.6285068, 1.2888123 52.6285458, 1.288769 52.6285729, 1.2887306 52.6285915, 1.2886407 52.628646, 1.2885772 52.6287022, 1.2885225 52.6287691, 1.2884782 52.6288253, 1.2884202 52.6288761, 1.2883696 52.6289059, 1.2882217 52.6289836, 1.2881348 52.6290199, 1.2880518 52.6290582, 1.2879288 52.6290977, 1.2878137 52.6291345, 1.2876039 52.6291981, 1.2874873 52.6292374, 1.2874442 52.6292515)","['Bethel Street', 'St Peters Street']",,,,
"[54373075, 117071455]",2,,tertiary,20 mph,,False,True,67.16,"LINESTRING (1.2978123 52.6323202, 1.2979284 52.6322107, 1.2979855 52.6321622, 1.2980333 52.632125, 1.2982342 52.6320157, 1.2983727 52.6319537, 1.298503 52.6318945)",Wensum Street,,,,
2542423,1,,tertiary,20 mph,,True,False,24.514,"LINESTRING (1.2978332 52.6292065, 1.2979487 52.6292306, 1.2980492 52.6292492, 1.2981822 52.6292319)",Prince of Wales Road,,,,
3423604,1,,tertiary,20 mph,,True,False,48.333,"LINESTRING (1.2978332 52.6292065, 1.2978895 52.6292865, 1.2979021 52.6293105, 1.29791 52.6293436, 1.2979021 52.6293926, 1.2978646 52.6294562, 1.2977677 52.6296181)",Bank Plain,,,,
"[53671633, 37072900]","['1', '3']",,tertiary,20 mph,,False,True,36.815,"LINESTRING (1.2978332 52.6292065, 1.2975745 52.6292075, 1.297507 52.6292104, 1.297296 52.6292462)",Castle Meadow,no,,,
"[37076834, 37072951]",1,,tertiary,20 mph,,True,False,45.835,"LINESTRING (1.2986763 52.6292883, 1.2989835 52.6293334, 1.2992003 52.6293659, 1.2993377 52.6293814)",Prince of Wales Road,,,,
"[1181998184, 285452850]",1,,tertiary,20 mph,,True,False,36.242999999999995,"LINESTRING (1.2986763 52.6292883, 1.2985977 52.6292706, 1.2985247 52.6292542, 1.2984367 52.6292432, 1.2981613 52.6291976)",Agricultural Hall Plain,no,,,
"[61564705, 704585461]","['2', '3']",,tertiary,20 mph,,True,False,88.51499999999999,"LINESTRING (1.2980385 52.6280242, 1.297957 52.6280402, 1.2979065 52.628056, 1.2978431 52.6280789, 1.2977875 52.6281149, 1.2977412 52.6281537, 1.29771 52.6281839, 1.2976742 52.6282384, 1.2976202 52.6283739, 1.2976394 52.6287075)",Market Avenue,,,,
