osmid,oneway,name,highway,reversed,length,geometry,ref,maxspeed,lanes,bridge
"[29457834, 284632954, 3713483]",True,"['Saltergate', 'Bank Street']",unclassified,False,152.75900000000001,"LINESTRING (-0.5378184 53.2289389, -0.5379596 53.2289308, -0.5380269 53.2289365, -0.5381432 53.2289522, -0.5386348 53.2289909, -0.5386902 53.2290032, -0.5387173 53.229017, -0.5387509 53.2290408, -0.5387626 53.229067, -0.5387602 53.2290939, -0.538755 53.2291107, -0.5387505 53.2291253, -0.5387073 53.2292508, -0.5386974 53.229308, -0.5386895 53.229334, -0.5386851 53.2293487, -0.5386452 53.2294503, -0.5386255 53.2295077, -0.538602 53.2296171, -0.5386035 53.229636, -0.5386057 53.2296628, -0.5386129 53.2296891, -0.5386396 53.2297551, -0.5386492 53.2297792, -0.5386651 53.2298189)",,,,
3713485,False,St Swithins Square,unclassified,True,36.622,"LINESTRING (-0.5378184 53.2289389, -0.5376929 53.2289379, -0.5373365 53.2289163, -0.5372701 53.2289149)",,,,
3713272,False,The Avenue,secondary,True,94.417,"LINESTRING (-0.5462814 53.2324147, -0.546218 53.2325147, -0.5461954 53.2325503, -0.5458759 53.233054, -0.5458336 53.2331411, -0.5458249 53.2332155)",B1273,,,
5044144,False,West Parade,residential,False,71.369,"LINESTRING (-0.5462814 53.2324147, -0.5464548 53.2324554, -0.5465215 53.232471, -0.5472732 53.2326586)",,20 mph,,
5044149,False,West Parade,unclassified,False,68.937,"LINESTRING (-0.5462814 53.2324147, -0.5461069 53.2323789, -0.5460387 53.2323649, -0.5453011 53.2322146)",,,2,
480914689,False,The Avenue,secondary,False,132.50300000000001,"LINESTRING (-0.5462814 53.2324147, -0.5463343 53.2323073, -0.5463535 53.2322682, -0.5467576 53.2314475, -0.5468052 53.2313166, -0.5468327 53.2312701)",B1273,,,
"[951231040, 241262599, 862220110, 1224744245, 241262809]",False,St Mark Street,primary,"[False, True]",178.685,"LINESTRING (-0.5423585 53.2255453, -0.5424922 53.2255686, -0.5426632 53.2256038, -0.54272 53.2256136, -0.5429329 53.2256563, -0.5431247 53.2256926, -0.5432763 53.2257185, -0.5433582 53.2257317, -0.5436765 53.2257835, -0.5441653 53.2258489, -0.54431 53.2258719, -0.5444667 53.2258972, -0.5446127 53.2259255, -0.544695 53.2259427, -0.5448108 53.2259688, -0.5448666 53.2259812, -0.5449284 53.2260012)",A57,30 mph,"['2', '3']",
"[457203398, 456960775]",False,Tentercroft Street,primary,False,132.447,"LINESTRING (-0.5423585 53.2255453, -0.5422535 53.2255213, -0.5420852 53.2254786, -0.5420235 53.2254641, -0.5413888 53.2253053, -0.5405099 53.2251053)",A57,30 mph,"['2', '3']",
"[241786985, 284632599]",True,Clasketgate,secondary,False,124.441,"LINESTRING (-0.536385 53.2307548, -0.5365843 53.2307346, -0.5366014 53.2307328, -0.5366213 53.2307306, -0.53675 53.2307167, -0.5369286 53.2306866, -0.5376557 53.2305945, -0.5380779 53.2305572, -0.5382201 53.2305454)",B1308,,,
257783546,True,Lindum Road,primary,False,138.24900000000002,"LINESTRING (-0.536385 53.2307548, -0.5363631 53.2308266, -0.5362295 53.2312647, -0.5361685 53.2314049, -0.5361146 53.2314839, -0.5360307 53.23156, -0.5358946 53.2316402, -0.5356506 53.2317196, -0.5354477 53.2317391)",A1434,30 mph,2,
