osmid,oneway,ref,highway,maxspeed,junction,reversed,length,geometry,name,access,lanes,bridge
4289818,True,A118,primary,30 mph,roundabout,False,22.484,"LINESTRING (0.1845477 51.5803393, 0.1843814 51.5801655)",,,,
223903857,True,A118,primary,30 mph,roundabout,False,17.318,"LINESTRING (0.183932 51.5801379, 0.1837541 51.5802476)",,,,
223903856,True,A118,primary,30 mph,roundabout,False,34.041000000000004,"LINESTRING (0.1843814 51.5801655, 0.1842664 51.5801119, 0.1841896 51.5800986, 0.1841159 51.5800969, 0.1840277 51.5801152, 0.183932 51.5801379)",,,,
"[669082995, 4289820]",True,A1251,primary,30 mph,,False,256.42100000000005,"LINESTRING (0.1843814 51.5801655, 0.1842843 51.5799124, 0.1843283 51.5798044, 0.1843804 51.5797244, 0.1844372 51.579667, 0.1846368 51.5794607, 0.1846998 51.5793937, 0.1848422 51.5792421, 0.1850241 51.5790584, 0.1850552 51.579027, 0.1852507 51.5788292, 0.1854304 51.5786712, 0.1856034 51.5785175, 0.1858341 51.5783312, 0.1859562 51.578249, 0.1860676 51.5782223)",Mercury Gardens,,,
"[492442108, 4289822]",True,A118,primary,,,False,261.868,"LINESTRING (0.1837541 51.5802476, 0.1835891 51.5803102, 0.1833705 51.5803752, 0.1831314 51.5804178, 0.1827548 51.5804611, 0.1824718 51.5804925, 0.1820282 51.5805387, 0.1816583 51.5805738, 0.1813358 51.5805884, 0.1811274 51.580578, 0.1808675 51.5805525, 0.1805377 51.5804939, 0.1801095 51.5803699)",St. Edwards Way,,,
223903863,True,A118,primary,30 mph,roundabout,False,31.555,"LINESTRING (0.1837541 51.5802476, 0.1837385 51.580289, 0.1837323 51.5803314, 0.1837291 51.5803741, 0.1837438 51.5804111, 0.1837844 51.5804586, 0.1838528 51.5805065)",,,,
223903861,True,A118,primary,,roundabout,False,28.222,"LINESTRING (0.1782243 51.5803033, 0.1783832 51.5801968, 0.1784921 51.5801119)",,,,
223903858,True,A118,primary,,roundabout,False,27.013,"LINESTRING (0.1778741 51.5802626, 0.1779236 51.5802911, 0.1779673 51.5803053, 0.178049 51.5803267, 0.1781433 51.5803292, 0.1782243 51.5803033)",,,,
4289825,True,A118,primary,,roundabout,False,30.778,"LINESTRING (0.1781992 51.5798215, 0.1781066 51.5798211, 0.178014 51.5798441, 0.1779379 51.5798728, 0.1778905 51.5799149, 0.1778581 51.5799613)",,,,
"[4831752, 1066833983]",True,A118,primary,,,False,372.275,"LINESTRING (0.1781992 51.5798215, 0.1781308 51.5798, 0.1780799 51.5797791, 0.1780423 51.5797641, 0.177986 51.5797275, 0.1779511 51.5796965, 0.1779082 51.5796465, 0.1778465 51.579569, 0.1776481 51.5792883, 0.1773794 51.5789059, 0.1773516 51.5788499, 0.1773294 51.5788051, 0.177242 51.5786295, 0.1771816 51.5784485, 0.177157 51.5783747, 0.1771152 51.5781679, 0.1770973 51.5779001, 0.1771036 51.5776866, 0.1771847 51.5771708, 0.1771815 51.5770143, 0.1771768 51.5769572, 0.1771743 51.5769211, 0.177177 51.5768901, 0.1771819 51.57687, 0.1771925 51.5768433, 0.1772086 51.5768201, 0.1772261 51.5767966, 0.1772496 51.5767746, 0.1772644 51.5767609, 0.1772971 51.5767339, 0.1773791 51.5766938)",St. Edwards Way,,,
203323349,False,,tertiary,,,False,61.713,"LINESTRING (0.1769912 51.5781741, 0.1768737 51.5781884, 0.1761147 51.5782805)",Mawney Road,,,
597405989,True,A118,primary,,,False,209.74899999999997,"LINESTRING (0.1769912 51.5781741, 0.1770735 51.5785167, 0.1771037 51.5785992, 0.1771351 51.5786848, 0.177253 51.578917, 0.1773536 51.579063, 0.177817 51.5797182, 0.1778666 51.5798048, 0.1778773 51.5798565, 0.1778581 51.5799613)",St. Edwards Way,,,
4831758,True,,residential,,,False,20.141,"LINESTRING (0.1774484 51.576678, 0.1775001 51.5767029, 0.1775865 51.5767411, 0.1776708 51.5767942)",High Street,,,
223903864,True,,primary,,roundabout,False,15.976,"LINESTRING (0.1774484 51.576678, 0.1775515 51.5766316, 0.1776124 51.5765793)",,,,
315413411,False,A118,primary,,,True,44.252,"LINESTRING (0.1766232 51.5758937, 0.1761426 51.5756307)",London Road,,,
"[1066833982, 4831702]",True,A118,primary,,,False,64.641,"LINESTRING (0.1766232 51.5758937, 0.1767525 51.5760228, 0.1767599 51.57603, 0.1767887 51.5760578, 0.176838 51.5761244, 0.1768531 51.5761778, 0.1768773 51.5762545, 0.1768947 51.5763285, 0.1769167 51.5764348)",London Road,,,
203323349,False,,tertiary,,,False,37.223,"LINESTRING (0.1761147 51.5782805, 0.1755837 51.5783368)",Mawney Road,,,
203323349,False,,tertiary,,,True,61.713,"LINESTRING (0.1761147 51.5782805, 0.1768737 51.5781884, 0.1769912 51.5781741)",Mawney Road,,,
521605768,True,A1251,primary,30 mph,roundabout,False,26.366999999999997,"LINESTRING (0.185761 51.578121, 0.1858025 51.5781693, 0.1858724 51.5782071, 0.1859687 51.5782272, 0.1860676 51.5782223)",,,,
669082994,True,A1251,primary,30 mph,,False,55.346,"LINESTRING (0.185761 51.578121, 0.1857325 51.5782353, 0.1856671 51.5783476, 0.1855652 51.5784428, 0.1854169 51.578559)",Mercury Gardens,,,
4289932,True,A1251,primary,30 mph,roundabout,False,17.48,"LINESTRING (0.1862062 51.5781593, 0.186243 51.5781045, 0.1862448 51.5780479, 0.1862254 51.5780085)",,,,
4834438,False,,residential,,,False,225.575,"LINESTRING (0.1862062 51.5781593, 0.1863128 51.5781805, 0.1864937 51.5782643, 0.1871896 51.5785855, 0.1872188 51.5785974, 0.1873873 51.5786662, 0.187485 51.5787061, 0.1876272 51.5787674, 0.1882881 51.5790524, 0.1888674 51.5793275)",Western Road,,,
4289935,True,A1251,primary,30 mph,,False,198.24399999999997,"LINESTRING (0.1866519 51.5774019, 0.1870315 51.57678, 0.1870691 51.5767033, 0.187107 51.5766196, 0.1871212 51.5765847, 0.1871379 51.5765424, 0.1872689 51.5761474, 0.1873251 51.5758603, 0.1873767 51.5756847)",Mercury Gardens,,,
183394430,True,A1251,primary_link,,,False,98.48200000000001,"LINESTRING (0.1866519 51.5774019, 0.1867567 51.5771529, 0.1869472 51.5768095, 0.1870142 51.5766562, 0.1870074 51.5766405, 0.1870002 51.5766306, 0.1869805 51.5766036, 0.1869522 51.5765574)",,no,,
