osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ref,bridge,junction,width,tunnel
214810117,True,3,East Port,tertiary,30 mph,False,60.177,"LINESTRING (-3.4537507 56.0723488, -3.453692 56.0724547, -3.4537155 56.0725392, -3.4538568 56.0726856, -3.4538767 56.0727528, -3.4538848 56.07278, -3.4539031 56.0728622)",,,,,
"[214809976, 680716006]",False,2,East Port,tertiary,"['20 mph', '30 mph']",True,80.826,"LINESTRING (-3.4537507 56.0723488, -3.4538876 56.0722996, -3.4541539 56.0721928, -3.4542313 56.0721629, -3.4546726 56.0720357, -3.4547744 56.0720063, -3.4548687 56.0719791)",,,,,
4682457,False,2,East Port,tertiary,20 mph,True,65.33099999999999,"LINESTRING (-3.4548687 56.0719791, -3.4550961 56.0719308, -3.4551984 56.0719084, -3.4558606 56.0717827)",,,,,
74863826,False,2,James Street,unclassified,20 mph,False,89.85799999999998,"LINESTRING (-3.4548687 56.0719791, -3.4549289 56.0720043, -3.4549946 56.0720057, -3.4551732 56.0720095, -3.4559587 56.072026, -3.4559961 56.0720268, -3.4563005 56.0720332)",,,,,
"[214809976, 680716006]",False,2,East Port,tertiary,"['20 mph', '30 mph']",False,80.82600000000001,"LINESTRING (-3.4548687 56.0719791, -3.4547744 56.0720063, -3.4546726 56.0720357, -3.4542313 56.0721629, -3.4541539 56.0721928, -3.4538876 56.0722996, -3.4537507 56.0723488)",,,,,
4682457,False,2,East Port,tertiary,20 mph,False,65.331,"LINESTRING (-3.4558606 56.0717827, -3.4551984 56.0719084, -3.4550961 56.0719308, -3.4548687 56.0719791)",,,,,
4682457,False,2,East Port,tertiary,20 mph,True,57.141999999999996,"LINESTRING (-3.4558606 56.0717827, -3.4559343 56.0717789, -3.4560924 56.0717706, -3.4567773 56.071735)",,,,,
"[4892537, 122229475]",False,2,"['Viewfield Terrace', 'West Drive']","['residential', 'unclassified']",20 mph,False,316.584,"LINESTRING (-3.4558606 56.0717827, -3.4557523 56.0715566, -3.4556807 56.0714796, -3.4556304 56.0714256, -3.4554687 56.0711582, -3.4554444 56.0711181, -3.4554278 56.0710909, -3.4553452 56.070947, -3.4550737 56.0705098, -3.45498 56.0704765, -3.4537109 56.0704354, -3.4534325 56.0704264, -3.4535663 56.0698602)",,,,,
4682457,False,2,East Port,tertiary,20 mph,False,94.00399999999999,"LINESTRING (-3.4589296 56.0715512, -3.4586158 56.0716037, -3.4574398 56.0716938)",,,,,
4892527,False,2,New Row,tertiary,20 mph,False,169.525,"LINESTRING (-3.4589296 56.0715512, -3.4588999 56.0714704, -3.4588386 56.0713341, -3.4580702 56.0706061, -3.4577133 56.0702951, -3.4576516 56.0702149)",,,,,
"[251118185, 1128312306, 122229451, 74863826]",False,2,"['James Street', 'Bonnar Street']",unclassified,20 mph,True,225.425,"LINESTRING (-3.4589296 56.0715512, -3.459092 56.0719421, -3.4590402 56.0720137, -3.4588613 56.0720769, -3.4585948 56.0720675, -3.4576822 56.0720353, -3.4575849 56.0720352, -3.4563905 56.0720343, -3.4563005 56.0720332)",,,,,
4892527,False,2,New Row,tertiary,20 mph,False,51.413,"LINESTRING (-3.4576516 56.0702149, -3.4575433 56.0700769, -3.4574742 56.069937, -3.4574239 56.0697728)",,,,,
4892527,False,2,New Row,tertiary,20 mph,True,169.52499999999998,"LINESTRING (-3.4576516 56.0702149, -3.4577133 56.0702951, -3.4580702 56.0706061, -3.4588386 56.0713341, -3.4588999 56.0714704, -3.4589296 56.0715512)",,,,,
