osmid,oneway,name,highway,junction,reversed,length,lanes,maxspeed,geometry,ref,width,bridge
654175711,True,Forge Roundabout,primary,circular,False,5.46,,,"LINESTRING (-2.4493702 52.6820609, -2.4493162 52.6820975)",,,
7403614,False,Forge Roundabout,primary,circular,True,41.243,3,40 mph,"LINESTRING (-2.4493702 52.6820609, -2.4494416 52.6820013, -2.4494848 52.6819312, -2.449497 52.6818709, -2.4495026 52.681809, -2.4494775 52.6817105)",,,
653848395,False,Forge Roundabout,primary,circular,False,51.44,3,40 mph,"LINESTRING (-2.4493162 52.6820975, -2.4492109 52.6821436, -2.4490972 52.6821695, -2.4489986 52.6821821, -2.4488433 52.6821769, -2.4487294 52.6821594, -2.4486043 52.6821242)",,,
653848398,False,Forge Roundabout,primary,circular,False,7.572,2,40 mph,"LINESTRING (-2.4486043 52.6821242, -2.4485172 52.6820812)",,,
653848395,False,Forge Roundabout,primary,circular,True,51.440000000000005,3,40 mph,"LINESTRING (-2.4486043 52.6821242, -2.4487294 52.6821594, -2.4488433 52.6821769, -2.4489986 52.6821821, -2.4490972 52.6821695, -2.4492109 52.6821436, -2.4493162 52.6820975)",,,
653848398,False,Forge Roundabout,primary,circular,True,7.572,2,40 mph,"LINESTRING (-2.4485172 52.6820812, -2.4486043 52.6821242)",,,
653848398,False,Forge Roundabout,primary,circular,False,37.333999999999996,2,40 mph,"LINESTRING (-2.4485172 52.6820812, -2.4484089 52.6819959, -2.4483517 52.6819004, -2.4483365 52.6818403, -2.4483382 52.6817746)",,,
653848398,False,Forge Roundabout,primary,circular,True,2.559,2,40 mph,"LINESTRING (-2.4483454 52.681752, -2.4483382 52.6817746)",,,
653848397,False,Forge Roundabout,primary,circular,False,39.729,3,40 mph,"LINESTRING (-2.4483454 52.681752, -2.4483727 52.681707, -2.4484009 52.681672, -2.4484743 52.6816081, -2.4485722 52.6815516, -2.448727 52.6814931)",,,
1205963166,True,Forge Gate,tertiary,,False,44.384,1,,"LINESTRING (-2.4483454 52.681752, -2.4482766 52.681547, -2.4482279 52.6814649, -2.4481623 52.6813702)",,,
