osmid,lanes,ref,name,highway,maxspeed,junction,oneway,reversed,length,geometry
26281819,,,Lough Beg Park,residential,,,False,False,174.611,"LINESTRING (-5.8928606 54.5164872, -5.8928451 54.5163606, -5.8928466 54.516263, -5.8928125 54.5161876, -5.8927675 54.5161248, -5.8926938 54.516058, -5.8923059 54.5157786, -5.8922386 54.5157192, -5.8921769 54.5156477, -5.8920127 54.5153153, -5.8919831 54.5152289, -5.8919944 54.5151695, -5.8920229 54.5151186, -5.8920788 54.5150641)"
26279946,,,Queensdale,residential,,,False,True,115.088,"LINESTRING (-5.8928678 54.5175222, -5.8928606 54.5164872)"
31697892,,,Queensfort Park South,residential,,,False,False,46.734,"LINESTRING (-5.8928678 54.5175222, -5.8935308 54.5175218, -5.8935896 54.5175122)"
31697892,,,Queensfort Park South,residential,,,False,True,50.473,"LINESTRING (-5.8928678 54.5175222, -5.8924623 54.5175297, -5.8921762 54.517535, -5.8921027 54.5175364, -5.8920862 54.5175367)"
26299973,,,Queensfort Court,residential,,,False,False,11.704,"LINESTRING (-5.8888372 54.5196596, -5.889018 54.5196515)"
762443149,2,,,residential,,,False,False,10.06,"LINESTRING (-5.8888372 54.5196596, -5.8888182 54.5195698)"
"[26279953, 26299973]",,,"['Queensfort Park', 'Queensfort Court']",residential,,,False,True,171.489,"LINESTRING (-5.8888372 54.5196596, -5.8887752 54.519666, -5.8886814 54.5196732, -5.8885553 54.5196483, -5.8884152 54.5195894, -5.8883556 54.5194872, -5.8883614 54.5193832, -5.8884541 54.5192704, -5.8886127 54.5191341, -5.8886788 54.5190331, -5.8886981 54.518929, -5.8886994 54.5184615, -5.8886702 54.5183717)"
"[26279995, 26279983]",,,"['Frankhill Park', 'Queens Crescent']",residential,,,False,False,156.04100000000003,"LINESTRING (-5.8920405 54.5165625, -5.8919198 54.5164191, -5.8918661 54.5163818, -5.8918408 54.5163642, -5.8917322 54.5163107, -5.8914841 54.5162134, -5.8913671 54.5161826, -5.8912422 54.5161654, -5.8909377 54.5161609, -5.8907751 54.5161609, -5.8905997 54.5161472, -5.8903103 54.5161031, -5.8900561 54.5160569, -5.8899503 54.5160376)"
26279983,,,Queens Crescent,residential,,,False,True,125.989,"LINESTRING (-5.8920405 54.5165625, -5.8920755 54.5166462, -5.8920841 54.5167064, -5.8920839 54.5167548, -5.89207 54.5168062, -5.8920604 54.5168541, -5.892029 54.5169271, -5.8919968 54.5169754, -5.8919516 54.5170137, -5.8919351 54.5170277, -5.8918777 54.5170644, -5.8917218 54.5171514, -5.8915781 54.5172269, -5.8914787 54.5173015, -5.8914255 54.5173609, -5.891359 54.5175557)"
26279986,,,Queensfort Park,residential,,,False,False,24.61,"LINESTRING (-5.8920405 54.5165625, -5.8923621 54.516522, -5.8924143 54.516522)"
26279995,,,Frankhill Park,residential,,,False,False,83.795,"LINESTRING (-5.8899503 54.5160376, -5.8896701 54.5159618, -5.8895098 54.5159232, -5.8893853 54.5159026, -5.8888437 54.5158128, -5.8888272 54.5158101, -5.8887276 54.5157896)"
"[26279995, 26279983]",,,"['Frankhill Park', 'Queens Crescent']",residential,,,False,True,156.041,"LINESTRING (-5.8899503 54.5160376, -5.8900561 54.5160569, -5.8903103 54.5161031, -5.8905997 54.5161472, -5.8907751 54.5161609, -5.8909377 54.5161609, -5.8912422 54.5161654, -5.8913671 54.5161826, -5.8914841 54.5162134, -5.8917322 54.5163107, -5.8918408 54.5163642, -5.8918661 54.5163818, -5.8919198 54.5164191, -5.8920405 54.5165625)"
"[26280096, 762249493]",2,,"['Frankhill Drive', 'Annavale Drive']",residential,30 mph,,False,False,136.68,"LINESTRING (-5.8899503 54.5160376, -5.8897917 54.516347, -5.8897761 54.5163774, -5.8897214 54.5164843, -5.8896682 54.5165881, -5.889634 54.5166465, -5.8896103 54.516687, -5.8895771 54.5167435, -5.8895586 54.5167749, -5.8894031 54.51704, -5.8893308 54.5171633, -5.8893226 54.5171773, -5.8893203 54.5171853, -5.8893135 54.5172093)"
26279995,,,Frankhill Park,residential,,,False,True,83.795,"LINESTRING (-5.8887276 54.5157896, -5.8888272 54.5158101, -5.8888437 54.5158128, -5.8893853 54.5159026, -5.8895098 54.5159232, -5.8896701 54.5159618, -5.8899503 54.5160376)"
591852753,4,A24,Ballynahinch Road,trunk,30 mph,,False,False,168.44700000000003,"LINESTRING (-5.8887276 54.5157896, -5.888625 54.5159851, -5.888611 54.5160118, -5.888596 54.5160403, -5.8885842 54.5160676, -5.8885605 54.5161225, -5.8885044 54.5162345, -5.8884416 54.5163596, -5.8884076 54.5164274, -5.8883354 54.5165715, -5.8883237 54.5165947, -5.8882796 54.5166827, -5.8882653 54.5167123, -5.88822 54.5168064, -5.8882039 54.5168397, -5.8882 54.5168481, -5.8881411 54.5169752, -5.8880152 54.5172468)"
591852753,4,A24,Ballynahinch Road,trunk,30 mph,,False,True,91.94,"LINESTRING (-5.8887276 54.5157896, -5.8888046 54.5156131, -5.88881 54.5156038, -5.8888227 54.5155817, -5.8889148 54.5154219, -5.8890182 54.5152425, -5.8891667 54.5150036)"
26280154,,,Annavale Avenue,residential,,,False,False,66.93799999999999,"LINESTRING (-5.8893135 54.5172093, -5.8894152 54.5171889, -5.8894464 54.5171826, -5.8895729 54.5171459, -5.8896238 54.5171299, -5.8897821 54.5170801, -5.8898706 54.5170512, -5.8899691 54.5170191, -5.8900779 54.5170241, -5.8902308 54.5170929)"
