osmid,ref,highway,maxspeed,junction,oneway,reversed,length,geometry,lanes,bridge,name,access
28287810,A4058,primary,60 mph,roundabout,True,False,28.245,"LINESTRING (-3.4538767 51.6240193, -3.4538642 51.6240671, -3.453826 51.6241094, -3.4537807 51.6241355, -3.4537098 51.6241559, -3.4535967 51.6241564)",,,,
"[28287812, 28287813, 28287814, 28287816, 43091951]",A4119,primary,60 mph,,False,True,561.6629999999999,"LINESTRING (-3.4538767 51.6240193, -3.4540753 51.6240353, -3.4545201 51.6240526, -3.4550803 51.6241111, -3.4558057 51.6241981, -3.4571209 51.6242819, -3.4574128 51.6242966, -3.4586476 51.6243191, -3.4598707 51.6243591, -3.4606861 51.624399, -3.4609865 51.6243657, -3.4612208 51.6242938, -3.4614424 51.6241345, -3.4617077 51.6239614)",3,yes,,
28287810,A4058,primary,60 mph,roundabout,True,False,35.887,"LINESTRING (-3.4535967 51.6241564, -3.4535254 51.6241365, -3.4534588 51.6240926, -3.453431 51.6240473, -3.4534298 51.6239988, -3.4534413 51.623972, -3.453481 51.6239302, -3.4535304 51.6239035)",,,,
28287810,A4058,primary,60 mph,roundabout,True,False,32.864,"LINESTRING (-3.4535304 51.6239035, -3.4536025 51.6238848, -3.4536805 51.6238825, -3.4537365 51.6238917, -3.4538027 51.6239174, -3.4538506 51.6239557, -3.4538767 51.6240193)",,,,
28287820,,residential,30 mph,,False,False,303.41,"LINESTRING (-3.4559241 51.6289963, -3.4559281 51.6289799, -3.4560062 51.6286323, -3.4560924 51.6283966, -3.4565811 51.6275375, -3.4570763 51.6268981, -3.4571176 51.6268448, -3.4571544 51.6267711, -3.4573276 51.6264249)",2,,Llwynypia Road,yes
58166505,,residential,30 mph,,False,True,37.326,"LINESTRING (-3.4559241 51.6289963, -3.4559389 51.6289939, -3.4559471 51.6289926, -3.4559837 51.6289867, -3.4564475 51.6289119)",2,,,yes
58166524,,residential,30 mph,,False,True,77.193,"LINESTRING (-3.4575503 51.6251808, -3.4574818 51.6251869, -3.4569151 51.6252375, -3.4569094 51.625238, -3.4569028 51.6252386, -3.4564387 51.6252375)",2,,Church Street,
104418391,,residential,,,False,False,207.12999999999997,"LINESTRING (-3.4575503 51.6251808, -3.4573429 51.6245869, -3.4573121 51.6245078, -3.4571954 51.6241541, -3.4571354 51.6240528, -3.4570438 51.6239725, -3.4570272 51.6239612, -3.456847 51.6238382, -3.4565382 51.6236944, -3.4562751 51.6236073)",,,Dewinton Street,
"[31340150, 104418398]",,residential,30 mph,,False,True,31.854,"LINESTRING (-3.4575503 51.6251808, -3.4575793 51.6251805, -3.4576062 51.6251802, -3.4577678 51.6251783, -3.4579325 51.6251536, -3.458005 51.625143)",2,,Court Street,yes
133882089,,residential,,,False,True,81.556,"LINESTRING (-3.4575503 51.6251808, -3.4574874 51.6257443, -3.4574565 51.6259118)",,,Llwynypia Road,
252431989,,residential,30 mph,,False,False,43.576,"LINESTRING (-3.4536579 51.6213682, -3.4541257 51.6211051)",2,,Gelli Road,
28287821,,residential,30 mph,,False,True,225.82799999999997,"LINESTRING (-3.4536579 51.6213682, -3.4534939 51.6214704, -3.4533168 51.621593, -3.4532929 51.6216679, -3.4533365 51.6217702, -3.4535341 51.6220292, -3.4535877 51.6220964, -3.454043 51.6226667, -3.4541266 51.6227691, -3.4543194 51.6230051, -3.4544294 51.623083, -3.4545206 51.6230985)",2,,Gelli Road,
31340148,,residential,30 mph,,False,True,89.12199999999999,"LINESTRING (-3.465793 51.6250451, -3.465805 51.6248414, -3.4657823 51.6246388, -3.4657554 51.6245696, -3.4657072 51.6244457, -3.4656106 51.6242592)",2,,Clydach Road,yes
31340150,,residential,30 mph,,False,False,13.964,"LINESTRING (-3.465793 51.6250451, -3.4656268 51.6250506, -3.465591 51.6250518)",2,,Court Street,yes
31340150,,residential,30 mph,,False,True,139.788,"LINESTRING (-3.4605281 51.6249657, -3.4625531 51.6249703)",2,,Court Street,yes
59009717,,residential,30 mph,,False,True,45.369,"LINESTRING (-3.4605281 51.6249657, -3.4605788 51.6245589)",2,,Davies Street,yes
31340150,,residential,30 mph,,False,False,155.255,"LINESTRING (-3.4605281 51.6249657, -3.4595528 51.6249357, -3.4592006 51.6248858, -3.4589293 51.6248253, -3.4588527 51.624826, -3.4587514 51.6248386, -3.4586381 51.6248775, -3.4585953 51.6248976, -3.4585495 51.624919, -3.4584799 51.624966, -3.4584223 51.6250166)",2,,Court Street,yes
59009717,,residential,30 mph,,False,False,63.66,"LINESTRING (-3.4605281 51.6249657, -3.4605156 51.6253167, -3.4605144 51.6253515, -3.4605037 51.625538)",2,,Davies Street,yes
58166486,,residential,30 mph,,False,False,96.676,"LINESTRING (-3.4565216 51.6261054, -3.4564387 51.6252375)",2,,Gilmour Street,
58166486,,residential,30 mph,,False,False,79.795,"LINESTRING (-3.4564387 51.6252375, -3.4563997 51.6245203)",2,,Gilmour Street,
58166486,,residential,30 mph,,False,True,96.676,"LINESTRING (-3.4564387 51.6252375, -3.4565216 51.6261054)",2,,Gilmour Street,
