osmid,oneway,highway,maxspeed,reversed,length,geometry,ref,name,bridge
4901415,True,trunk_link,70 mph,False,415.338,"LINESTRING (-4.5123336 55.8409272, -4.513926 55.8405278, -4.5153308 55.8401906, -4.5167137 55.8398466, -4.5174622 55.8396665, -4.5178498 55.8395702, -4.5180792 55.8394876, -4.5182397 55.8394129, -4.5183468 55.839355)",,,
4901415,True,trunk_link,70 mph,False,38.562,"LINESTRING (-4.5183468 55.839355, -4.5184492 55.8392606, -4.5184975 55.8392139, -4.5185283 55.839174, -4.5185525 55.8391266, -4.5185592 55.8390806, -4.518558 55.8390373)",,,
431363158,True,trunk_link,,False,27.836,"LINESTRING (-4.5183468 55.839355, -4.5184841 55.8392871, -4.5186938 55.8391981)",,,
25750157,False,secondary,,False,19.789,"LINESTRING (-4.5186938 55.8391981, -4.518558 55.8390373)",B789,High Street,
"[4901427, 4901420, 385277926]",False,secondary,,False,101.10499999999999,"LINESTRING (-4.5186938 55.8391981, -4.5188377 55.8393731, -4.5192212 55.8398416, -4.5193768 55.8400225)",B789,Barrochan Road,yes
72787436,True,trunk_link,70 mph,False,29.425,"LINESTRING (-4.5186938 55.8391981, -4.5189626 55.8391308, -4.5191328 55.8391036)",,,
4901427,False,secondary,,True,33.428,"LINESTRING (-4.5195947 55.8402971, -4.5193768 55.8400225)",B789,Barrochan Road,
4915307,True,trunk_link,70 mph,False,44.491,"LINESTRING (-4.5195947 55.8402971, -4.5193225 55.8401669, -4.5192447 55.8401375, -4.5191709 55.8401179, -4.5190964 55.8401082, -4.5189933 55.8401074)",,,
116947601,False,residential,,False,219.407,"LINESTRING (-4.5166913 55.8375713, -4.516731 55.837536, -4.5177844 55.8358041, -4.5178445 55.8357086)",,Thomson Avenue,
385277703,False,secondary,,False,117.588,"LINESTRING (-4.5166913 55.8375713, -4.5164499 55.8375164, -4.5149129 55.8372241)",B789,High Street,
385277703,False,secondary,,True,28.399,"LINESTRING (-4.5166913 55.8375713, -4.5169048 55.8376167, -4.5170119 55.8376521, -4.5170924 55.8376875)",B789,High Street,
75603506,False,residential,,False,91.075,"LINESTRING (-4.5149129 55.8372241, -4.5144494 55.8380007)",,George Street,
27228956,False,secondary,,False,143.429,"LINESTRING (-4.5149129 55.8372241, -4.5154515 55.8363321, -4.5156461 55.8360017)",B787,Macdowall Street,
45049548,False,secondary,,False,119.732,"LINESTRING (-4.5149129 55.8372241, -4.513297 55.8369112, -4.5130991 55.8368748)",B789,High Street,
385277703,False,secondary,,True,117.588,"LINESTRING (-4.5149129 55.8372241, -4.5164499 55.8375164, -4.5166913 55.8375713)",B789,High Street,
27228956,False,secondary,,True,114.872,"LINESTRING (-4.5163159 55.8350422, -4.516278 55.8350784, -4.5162012 55.83515, -4.5161205 55.8352498, -4.5160104 55.8354038, -4.5156461 55.8360017)",B787,Macdowall Street,
75604224,False,unclassified,,False,129.001,"LINESTRING (-4.5163159 55.8350422, -4.5159208 55.8349623, -4.5151498 55.8348128, -4.5150446 55.8347964, -4.5143597 55.8346698)",,Quarry Street,
204809796,False,secondary,,False,126.56299999999999,"LINESTRING (-4.5163159 55.8350422, -4.516466 55.8349489, -4.5165853 55.8348767, -4.5166077 55.834862, -4.5172815 55.8345419, -4.5173584 55.8345112, -4.5178603 55.8343105)",B787,Graham Street,
60105343,False,secondary,,False,115.175,"LINESTRING (-4.5091565 55.8361719, -4.507404 55.8358489)",B789,High Street,
