osmid,oneway,ref,name,highway,maxspeed,reversed,length,geometry,lanes,junction,bridge,access
42440639,True,A134,Magdalen Street,primary,30 mph,False,20.059,"LINESTRING (0.9054363 51.8858556, 0.9052906 51.88587, 0.905148 51.8858852)",,,,
189743400,True,,Military Road,tertiary,30 mph,False,19.532,"LINESTRING (0.9054363 51.8858556, 0.9054393 51.8858368, 0.9054447 51.8858234, 0.9054549 51.8858067, 0.9054811 51.8857682, 0.9055106 51.8857385, 0.9055521 51.8856973)",,,,
302898240,True,A134,St Botolph's Circus,primary,30 mph,False,7.172000000000001,"LINESTRING (0.9040654 51.8858994, 0.9040406 51.8858831, 0.904006 51.8858639, 0.9039889 51.8858556)",2,circular,,
"[4408448, 33264639]",True,,Queen Street,tertiary,"['20 mph', '30 mph']",False,63.300999999999995,"LINESTRING (0.9042793 51.8898187, 0.9042534 51.8897864, 0.9042387 51.8897393, 0.90424 51.8896872, 0.9042574 51.889621, 0.9042945 51.889481, 0.9043007 51.8892866, 0.9043008 51.8892568)",1,,,
42730501,True,,St Botolphs Street,tertiary,20 mph,False,26.134,"LINESTRING (0.9033982 51.887989, 0.903411 51.8877541)",1,,,
"[43071672, 1107402284, 28622536]",False,,"['Short Wyre Street', 'Long Wyre Street']",unclassified,20 mph,True,210.59599999999998,"LINESTRING (0.9033982 51.887989, 0.9032169 51.8879951, 0.9030077 51.8879909, 0.9027653 51.8879836, 0.9024009 51.8879642, 0.9023877 51.8881193, 0.9023439 51.8883, 0.9023073 51.8884918, 0.9022509 51.888732, 0.9021732 51.8890157, 0.9021325 51.8891517, 0.9021739 51.8892246)",,,,
4436790,True,,Osborne Street,tertiary,30 mph,False,30.711,"LINESTRING (0.903482 51.8869568, 0.9034715 51.8869241, 0.9034486 51.886898, 0.9034086 51.8868737, 0.9033406 51.8868521, 0.9032556 51.8868472, 0.9031282 51.8868462)",1,,,
"[33264753, 1107241315, 871531779]",True,,St Botolphs Street,tertiary,30 mph,False,65.39,"LINESTRING (0.903482 51.8869568, 0.9035183 51.8868153, 0.9035382 51.8866864, 0.9035531 51.8866302, 0.903575 51.8865927, 0.9036008 51.8865626, 0.9036413 51.8865238, 0.9037039 51.8864846, 0.9037346 51.8864506, 0.9037378 51.8864063)","['1', '2']",,,
302898242,True,A134,St Botolph's Circus,primary,30 mph,False,28.712,"LINESTRING (0.9037378 51.8864063, 0.9038451 51.8863838, 0.9039089 51.8863598, 0.9039783 51.8863304, 0.9040396 51.8862999, 0.9040903 51.8862725)",3,circular,,
302898243,True,A134,St Botolph's Circus,primary,30 mph,False,18.4,"LINESTRING (0.9034378 51.8858592, 0.9033557 51.8859058, 0.9033022 51.8859418, 0.9032568 51.8859805)",4,circular,,
"[4436752, 240751320]",True,A134,Southway,primary,"['40 mph', '30 mph']",False,68.57300000000001,"LINESTRING (0.9032568 51.8859805, 0.9029691 51.8861708, 0.9028846 51.8862066, 0.9024416 51.8863123)",2,,,
302898236,True,A134,St Botolph's Circus,primary,30 mph,False,36.186,"LINESTRING (0.9032568 51.8859805, 0.9032196 51.8860358, 0.9032016 51.886088, 0.9031996 51.886147, 0.9032166 51.8861925, 0.9032498 51.8862434, 0.9032948 51.8862869)",2,circular,,
302898241,True,A134,St Botolph's Circus,primary,30 mph,False,9.312000000000001,"LINESTRING (0.9032948 51.8862869, 0.9033382 51.8863172, 0.9033891 51.886347)",2,circular,,
4436692,True,A134,Magdalen Street,primary,30 mph,False,44.76,"LINESTRING (0.9040903 51.8862725, 0.9043126 51.8862282, 0.9045617 51.8861324, 0.9046759 51.8861009)",2,,,
302898238,True,A134,St Botolph's Circus,primary,30 mph,False,44.958,"LINESTRING (0.9040903 51.8862725, 0.9041404 51.8862208, 0.9041662 51.8861822, 0.9041841 51.8861396, 0.9041861 51.8860844, 0.9041788 51.8860423, 0.9041549 51.885991, 0.9041237 51.8859502, 0.9040654 51.8858994)",2,circular,,
