osmid,oneway,name,highway,maxspeed,reversed,length,geometry,ref,lanes,junction
300799111,True,William Street,residential,20 mph,False,55.046,"LINESTRING (1.1285492 51.3725395, 1.1285765 51.3725845, 1.1286108 51.3730309)",,,
4845035,False,Cecil Park,residential,30 mph,False,201.563,"LINESTRING (1.1331175 51.3692599, 1.1337126 51.3691559, 1.1341374 51.3690816, 1.1359088 51.3687608)",,,
905760814,False,Canterbury Road,secondary,20 mph,False,101.81200000000001,"LINESTRING (1.1331175 51.3692599, 1.1328452 51.3685506, 1.1328471 51.3684775, 1.1328657 51.3684232, 1.1328926 51.3683681)",B2205,,
905760814,False,Canterbury Road,secondary,20 mph,True,80.88499999999999,"LINESTRING (1.1331175 51.3692599, 1.1333051 51.3696601, 1.1334854 51.3699494)",B2205,,
5777879,False,East Cliff Parade,unclassified,20 mph,False,89.93900000000001,"LINESTRING (1.1342226 51.3729265, 1.1343646 51.3729366, 1.1344968 51.3729364, 1.1353926 51.3729299, 1.1355173 51.3729282)",,,
82093987,False,Central Parade,tertiary,20 mph,True,98.023,"LINESTRING (1.1342226 51.3729265, 1.1340863 51.3729205, 1.1339754 51.3729261, 1.1338518 51.3729329, 1.1328128 51.3729637)",,,
178658408,False,Central Parade,tertiary,20 mph,False,65.56899999999999,"LINESTRING (1.1342226 51.3729265, 1.1343115 51.3728731, 1.1344351 51.3727985, 1.1345027 51.3727199, 1.1345252 51.3726528, 1.1345044 51.3725898, 1.1344431 51.3724106)",,,
4544337,False,Beltinge Road,tertiary,30 mph,False,54.635,"LINESTRING (1.1340823 51.3712727, 1.1348631 51.3712108)",,,
44451711,False,High Street,secondary,20 mph,True,42.661,"LINESTRING (1.1340823 51.3712727, 1.1334726 51.3713209)",B2205,,
96572416,False,Canterbury Road,tertiary,20 mph,True,64.394,"LINESTRING (1.1340823 51.3712727, 1.1341399 51.3714179, 1.1342088 51.3716116, 1.1342673 51.3718398)",,,
905760814,False,Canterbury Road,secondary,20 mph,False,152.87599999999998,"LINESTRING (1.1340823 51.3712727, 1.1340326 51.3711474, 1.1334854 51.3699494)",B2205,,
4541979,False,Mickleburgh Hill,tertiary,30 mph,False,23.588,"LINESTRING (1.1370182 51.3677847, 1.1373575 51.3677735)",,,
4541979,False,Mickleburgh Hill,tertiary,30 mph,True,47.192,"LINESTRING (1.1370182 51.3677847, 1.1364091 51.3678045, 1.1363394 51.3678075)",,,
4544336,False,Downs Park,residential,30 mph,False,359.688,"LINESTRING (1.1370182 51.3677847, 1.1370769 51.3681109, 1.1372098 51.3688722, 1.1375811 51.3710003)",,,
4541979,False,Mickleburgh Hill,tertiary,30 mph,True,70.553,"LINESTRING (1.1353669 51.3679327, 1.1343826 51.3680907)",,,
