osmid,oneway,name,highway,reversed,length,geometry,lanes,ref,maxspeed,bridge,width,junction,tunnel
4712427,True,Salmon Parade,unclassified,False,11.125,"LINESTRING (-2.9990835 51.1270836, -2.9989246 51.1270755)",,,,,,,
123651074,True,Salmon Parade,tertiary,False,44.925000000000004,"LINESTRING (-2.9990835 51.1270836, -2.9991937 51.127241, -2.9993171 51.1274393, -2.9993286 51.1274571)",,,,,,,
750656156,True,Broadway,primary,False,37.341,"LINESTRING (-2.9990835 51.1270836, -2.9989302 51.1271879, -2.9987208 51.1273305)",2,A38,30 mph,,,,
"[28383302, 28383301, 7997190]",True,Broadway,primary,False,170.517,"LINESTRING (-3.0010326 51.126167, -3.0002599 51.1264717, -3.0000366 51.126571, -2.9995641 51.1267985, -2.9992125 51.1269992, -2.9990835 51.1270836)",2,A38,30 mph,yes,6,,
158891941,False,Prices Lane,unclassified,False,58.574,"LINESTRING (-2.9978007 51.1267612, -2.9978214 51.1266673, -2.9979049 51.1263392, -2.9979034 51.1262395)",,,,,,,
4905443,False,Taunton Road,tertiary,True,18.204,"LINESTRING (-3.0022179 51.1266698, -3.0021064 51.1265218)",,,,,,,
4905439,False,Old Taunton Road,residential,False,40.338,"LINESTRING (-3.0022179 51.1266698, -3.002 51.1265997, -3.00173 51.1264772)",,,,,,,
"[4905443, 156124765]",False,"['St Mary Street', 'Taunton Road']",tertiary,False,77.31400000000001,"LINESTRING (-3.0022179 51.1266698, -3.0022422 51.1267063, -3.0023414 51.1268267, -3.0023945 51.1268903, -3.0024482 51.126935, -3.0025162 51.1269775, -3.0025796 51.1270135, -3.0027651 51.1271012, -3.0029306 51.1271839)",,,,,,,
"[28785281, 131558540, 4905437]",True,"['Cornhill', 'St Mary Street', 'High Street']",tertiary,False,325.64300000000003,"LINESTRING (-3.004044 51.1275371, -3.0041049 51.1275906, -3.0041479 51.127642, -3.0042377 51.1277691, -3.0043292 51.127961, -3.0043254 51.1280065, -3.0042673 51.1280508, -3.0041449 51.128102, -3.0039816 51.1281613, -3.0039006 51.1281934, -3.0038396 51.1282468, -3.0038103 51.1283071, -3.0038077 51.1283528, -3.0038352 51.1284141, -3.0038752 51.1284606, -3.0039559 51.1285075, -3.0040339 51.1285243, -3.004132 51.1285272, -3.0044454 51.1284335, -3.0048451 51.1282811, -3.0049694 51.1282363, -3.0051386 51.1281849, -3.0052816 51.1281415, -3.0056216 51.1280156, -3.0063874 51.1277451)",,,30 mph,,,,
28785284,True,St Mary Street,residential,False,114.49600000000001,"LINESTRING (-3.004044 51.1275371, -3.0043049 51.1275269, -3.0046997 51.1275036, -3.0048724 51.1274921, -3.0051773 51.1274845, -3.0056812 51.1274802)",,,30 mph,,,,
152125976,False,Eastover,unclassified,True,8.071,"LINESTRING (-3.0008066 51.1289627, -3.0009175 51.1289421)",1,,30 mph,,,,
