osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,width,bridge,geometry
103530661,2,B817,Novar Road,secondary,30 mph,False,True,33.162,,,"LINESTRING (-4.261656 57.6955157, -4.2611877 57.6956779)"
248722404,2,,River Lane,residential,,False,False,73.766,6,,"LINESTRING (-4.2593915 57.6962851, -4.2590641 57.6956452)"
"[44490768, 43707678, 43707679]",2,B817,High Street,secondary,30 mph,False,True,169.91400000000002,,yes,"LINESTRING (-4.2593915 57.6962851, -4.2592189 57.696318, -4.2587656 57.6963256, -4.258073 57.6962494, -4.2578692 57.696227, -4.2569892 57.6961527, -4.2565778 57.696118)"
102969299,,,River Lane,residential,,False,True,146.605,,,"LINESTRING (-4.2593915 57.6962851, -4.2594047 57.6963761, -4.259517 57.6969696, -4.2594118 57.6972211, -4.2593694 57.6974082, -4.2592319 57.6975774)"
103530661,2,B817,Novar Road,secondary,30 mph,False,False,72.352,,,"LINESTRING (-4.2593915 57.6962851, -4.2597117 57.696176, -4.2604198 57.6959367)"
38891084,2,,Ardross Street,tertiary,20 mph,False,False,55.486,,,"LINESTRING (-4.2565778 57.696118, -4.2563937 57.6966072)"
103530652,2,B817,High Street,secondary,20 mph,False,True,46.659,,,"LINESTRING (-4.2565778 57.696118, -4.2558065 57.6960394)"
"[44490768, 43707678, 43707679]",2,B817,High Street,secondary,30 mph,False,False,169.91400000000002,,yes,"LINESTRING (-4.2565778 57.696118, -4.2569892 57.6961527, -4.2578692 57.696227, -4.258073 57.6962494, -4.2587656 57.6963256, -4.2592189 57.696318, -4.2593915 57.6962851)"
38891084,2,,Ardross Street,tertiary,20 mph,False,False,71.077,,,"LINESTRING (-4.2563937 57.6966072, -4.2562247 57.69724)"
38891084,2,,Ardross Street,tertiary,20 mph,False,True,55.486,,,"LINESTRING (-4.2563937 57.6966072, -4.2565778 57.696118)"
42932016,,,Ardross Place,residential,30 mph,False,True,47.111,5.6,,"LINESTRING (-4.2563937 57.6966072, -4.2571751 57.6966788)"
125921835,,,Averon Road,residential,20 mph,True,False,125.199,3,,"LINESTRING (-4.2563937 57.6966072, -4.2551146 57.6964836, -4.2543204 57.6964069)"
38891084,2,,Ardross Street,tertiary,20 mph,False,False,59.714,,,"LINESTRING (-4.2562247 57.69724, -4.2563097 57.6977751)"
38891084,2,,Ardross Street,tertiary,20 mph,False,True,71.077,,,"LINESTRING (-4.2562247 57.69724, -4.2563937 57.6966072)"
38891084,2,,Ardross Street,tertiary,20 mph,False,True,59.714,,,"LINESTRING (-4.2563097 57.6977751, -4.2562247 57.69724)"
102970160,,,,residential,20 mph,False,True,49.319,,,"LINESTRING (-4.2563097 57.6977751, -4.2571383 57.6977494)"
"[754714864, 38891084]",2,,Ardross Street,tertiary,"['20 mph', '30 mph']",False,False,167.0,,,"LINESTRING (-4.2563097 57.6977751, -4.2562859 57.6981228, -4.2562452 57.6983798, -4.2562489 57.6984998, -4.2562567 57.6987564, -4.2562652 57.6990358, -4.2562852 57.6992755)"
103530652,2,B817,High Street,secondary,20 mph,False,False,46.659,,,"LINESTRING (-4.2558065 57.6960394, -4.2565778 57.696118)"
"[43300336, 43300335]",2,,Mitchell's Lane,unclassified,,False,True,296.87,"['4', '6.0']",,"LINESTRING (-4.2558065 57.6960394, -4.2560033 57.695491, -4.2560219 57.6954391, -4.2526047 57.6950496, -4.2524058 57.6950512, -4.2522532 57.695075)"
103530652,2,B817,High Street,secondary,20 mph,False,True,77.819,,,"LINESTRING (-4.2558065 57.6960394, -4.255287 57.6959841, -4.2545222 57.6959026)"
42879837,,,Market Street,residential,20 mph,False,True,80.008,,,"LINESTRING (-4.2467258 57.6950284, -4.2467013 57.6950964, -4.246702 57.6951795, -4.2467213 57.6952506, -4.2468671 57.695519, -4.2470018 57.6957225)"
233412452,2,B817,,secondary,30 mph,False,False,194.15099999999998,,,"LINESTRING (-4.2467258 57.6950284, -4.2469648 57.6950879, -4.2472746 57.695143, -4.2479243 57.6952228, -4.2485538 57.6952832, -4.2492855 57.6953534, -4.2496671 57.6953987, -4.2498707 57.695463)"
754714874,2,B817,,secondary,20 mph,False,True,41.769999999999996,,,"LINESTRING (-4.2467258 57.6950284, -4.2463847 57.6949222, -4.2461422 57.6948206)"
754714874,2,B817,,secondary,20 mph,False,False,28.608,,,"LINESTRING (-4.2457847 57.6946483, -4.2459705 57.6947375, -4.2461422 57.6948206)"
42879837,,,Market Street,residential,20 mph,False,False,27.546,,,"LINESTRING (-4.2471673 57.6959539, -4.2470018 57.6957225)"
233412453,2,,Obsdale Road,residential,20 mph,False,False,50.955,,,"LINESTRING (-4.2471673 57.6959539, -4.2463559 57.6961021)"
42879838,2,,Obsdale Road,residential,20 mph,False,True,169.68200000000002,,,"LINESTRING (-4.2471673 57.6959539, -4.2473508 57.695924, -4.2481562 57.6957809, -4.2489086 57.6956367, -4.2498707 57.695463)"
42879838,2,,Obsdale Road,residential,20 mph,False,False,169.68200000000002,,,"LINESTRING (-4.2498707 57.695463, -4.2489086 57.6956367, -4.2481562 57.6957809, -4.2473508 57.695924, -4.2471673 57.6959539)"
103530652,2,B817,High Street,secondary,20 mph,False,False,130.43099999999998,,,"LINESTRING (-4.2498707 57.695463, -4.2502582 57.6954382, -4.2511392 57.695534, -4.2519551 57.6956142, -4.2520299 57.6956213)"
233412452,2,B817,,secondary,30 mph,False,True,194.151,,,"LINESTRING (-4.2498707 57.695463, -4.2496671 57.6953987, -4.2492855 57.6953534, -4.2485538 57.6952832, -4.2479243 57.6952228, -4.2472746 57.695143, -4.2469648 57.6950879, -4.2467258 57.6950284)"
42932014,2,,Caplich Road,residential,30 mph,False,False,230.531,3,,"LINESTRING (-4.2562852 57.6992755, -4.2538787 57.6994777, -4.2538077 57.6994837, -4.2532709 57.6995125, -4.2530254 57.6995169, -4.2527364 57.6995155, -4.2524397 57.6995025)"
"[754714864, 38891084]",2,,Ardross Street,tertiary,"['20 mph', '30 mph']",False,True,167.0,,,"LINESTRING (-4.2562852 57.6992755, -4.2562652 57.6990358, -4.2562567 57.6987564, -4.2562489 57.6984998, -4.2562452 57.6983798, -4.2562859 57.6981228, -4.2563097 57.6977751)"
246190076,,,Muirden Square,residential,30 mph,False,False,29.963,,,"LINESTRING (-4.2501535 57.6960443, -4.2501861 57.6963132)"
125921835,,,Averon Road,residential,20 mph,True,False,203.878,3,,"LINESTRING (-4.2501535 57.6960443, -4.2501146 57.6960489, -4.249719 57.6961244, -4.2496302 57.6961413, -4.2493252 57.696189, -4.2484955 57.6963406, -4.2476949 57.6964807, -4.246894 57.6966155)"
233412453,2,,Obsdale Road,residential,20 mph,False,True,50.955,,,"LINESTRING (-4.2463559 57.6961021, -4.2471673 57.6959539)"
246195546,,,Caplich Road,residential,20 mph,False,True,65.538,3,,"LINESTRING (-4.2463559 57.6961021, -4.2465332 57.6962663, -4.2466041 57.696324, -4.2466724 57.6963805, -4.2467437 57.6964463, -4.2468249 57.696528, -4.246894 57.6966155)"
246195546,,,Caplich Road,residential,20 mph,False,False,54.132,3,,"LINESTRING (-4.2471766 57.6970783, -4.246894 57.6966155)"
42932015,,,Perrins Road,residential,20 mph,True,False,317.138,3,,"LINESTRING (-4.2471766 57.6970783, -4.2479755 57.6969302, -4.2487592 57.6968008, -4.2493355 57.6967057, -4.24953 57.696681, -4.2496801 57.6966703, -4.2499604 57.696681, -4.2502654 57.6967092, -4.2507194 57.6967511, -4.2515506 57.6968333, -4.2523568 57.6969135)"
246195546,,,Caplich Road,residential,20 mph,False,True,88.59,3,,"LINESTRING (-4.2471766 57.6970783, -4.2474241 57.6975116, -4.2476119 57.6978403)"
246195546,,,Caplich Road,residential,20 mph,False,True,54.132,3,,"LINESTRING (-4.246894 57.6966155, -4.2471766 57.6970783)"
246195546,,,Caplich Road,residential,20 mph,False,False,65.538,3,,"LINESTRING (-4.246894 57.6966155, -4.2468249 57.696528, -4.2467437 57.6964463, -4.2466724 57.6963805, -4.2466041 57.696324, -4.2465332 57.6962663, -4.2463559 57.6961021)"
43300334,2,,Academy Lane,unclassified,,False,False,62.178,6.0,,"LINESTRING (-4.2520299 57.6956213, -4.2522532 57.695075)"
103530652,2,B817,High Street,secondary,20 mph,False,False,151.372,,,"LINESTRING (-4.2520299 57.6956213, -4.2523578 57.6956603, -4.2527795 57.6957067, -4.2535744 57.6957952, -4.2545222 57.6959026)"
103530652,2,B817,High Street,secondary,20 mph,False,True,130.431,,,"LINESTRING (-4.2520299 57.6956213, -4.2519551 57.6956142, -4.2511392 57.695534, -4.2502582 57.6954382, -4.2498707 57.695463)"
43300334,2,,Academy Lane,unclassified,,False,True,62.178,6.0,,"LINESTRING (-4.2522532 57.695075, -4.2520299 57.6956213)"
"[43300336, 43300335]",2,,Mitchell's Lane,unclassified,,False,False,296.87,"['4', '6.0']",,"LINESTRING (-4.2522532 57.695075, -4.2524058 57.6950512, -4.2526047 57.6950496, -4.2560219 57.6954391, -4.2560033 57.695491, -4.2558065 57.6960394)"
510526527,,,Station Court,residential,,False,False,20.963,,,"LINESTRING (-4.2522532 57.695075, -4.2521517 57.6949936, -4.2521541 57.6949029)"
103530661,2,B817,Novar Road,secondary,30 mph,False,False,53.958,,,"LINESTRING (-4.2604198 57.6959367, -4.2607129 57.6958326, -4.2611877 57.6956779)"
103530661,2,B817,Novar Road,secondary,30 mph,False,True,72.352,,,"LINESTRING (-4.2604198 57.6959367, -4.2597117 57.696176, -4.2593915 57.6962851)"
102969338,,,Invercarron,residential,,False,False,71.853,,,"LINESTRING (-4.2515459 57.7000082, -4.2511434 57.7000246, -4.2509851 57.7000256, -4.2508978 57.7000189, -4.2508482 57.6999977, -4.2508271 57.6999696, -4.2506714 57.6997503)"
102969297,,,Shillinghill,residential,30 mph,False,False,115.04500000000002,,,"LINESTRING (-4.2509012 57.6991381, -4.2509514 57.6990095, -4.2510741 57.6986947, -4.2511313 57.6985481, -4.2512231 57.6983125, -4.2512235 57.6981212)"
102969292,2,,Caplich Hill,residential,30 mph,False,True,61.093,,,"LINESTRING (-4.2476119 57.6978403, -4.246618 57.6979809)"
246195546,,,Caplich Road,residential,20 mph,False,False,88.59,3,,"LINESTRING (-4.2476119 57.6978403, -4.2474241 57.6975116, -4.2471766 57.6970783)"
"[246195546, 42932014]",2,,Caplich Road,residential,"['20 mph', '30 mph']",False,True,194.20700000000002,3,,"LINESTRING (-4.2476119 57.6978403, -4.2480996 57.6986883, -4.2481751 57.6987947, -4.2483022 57.6989104, -4.2484442 57.6990158, -4.2487726 57.6991495, -4.2492398 57.6992255)"
"[246195546, 42932014]",2,,Caplich Road,residential,"['20 mph', '30 mph']",False,False,194.207,3,,"LINESTRING (-4.2492398 57.6992255, -4.2487726 57.6991495, -4.2484442 57.6990158, -4.2483022 57.6989104, -4.2481751 57.6987947, -4.2480996 57.6986883, -4.2476119 57.6978403)"
42932014,2,,Caplich Road,residential,30 mph,False,True,89.28,3,,"LINESTRING (-4.2492398 57.6992255, -4.2495041 57.699281, -4.2500519 57.6993577, -4.2503988 57.6993918, -4.2506959 57.6994124)"
102969266,,,Shillinghill,residential,30 mph,False,False,132.10399999999998,,,"LINESTRING (-4.2492398 57.6992255, -4.2493272 57.6989869, -4.2494787 57.6985236, -4.2496316 57.6980561)"
102969318,2,,Caplich Hill,residential,30 mph,False,False,64.817,,,"LINESTRING (-4.2469888 57.6985291, -4.246618 57.6979809)"
102969290,,,Shillinghill,residential,30 mph,False,False,78.922,,,"LINESTRING (-4.2490756 57.6974358, -4.2485075 57.6973828, -4.2483981 57.6977801)"
102969319,2,,Robertson Drive,residential,30 mph,False,False,34.2,5.5,,"LINESTRING (-4.2465183 57.6945878, -4.2461422 57.6948206)"
103530662,2,,Robertson Drive,residential,30 mph,False,False,48.534,5.5,,"LINESTRING (-4.2465183 57.6945878, -4.2463083 57.6944861, -4.2461117 57.6943697, -4.2459701 57.6942662)"
"[102969283, 103530662]",2,,"['Robertson Drive', 'Robertson Court']",residential,30 mph,False,True,92.452,5.5,,"LINESTRING (-4.2465183 57.6945878, -4.2466433 57.6946155, -4.246826 57.6946482, -4.2470263 57.694644, -4.2473321 57.6945615, -4.2474241 57.6943613, -4.2477184 57.6943895)"
190082972,,,Riverside Road,residential,,False,True,41.769,,,"LINESTRING (-4.2590641 57.6956452, -4.2597264 57.6955194)"
248722404,2,,River Lane,residential,,False,False,46.882,6,,"LINESTRING (-4.2590641 57.6956452, -4.2588422 57.6952406)"
248722404,2,,River Lane,residential,,False,True,73.766,6,,"LINESTRING (-4.2590641 57.6956452, -4.2593915 57.6962851)"
102969359,,,,residential,20 mph,False,False,58.878,,,"LINESTRING (-4.247935 57.6955446, -4.2470018 57.6957225)"
42879837,,,Market Street,residential,20 mph,False,True,27.546,,,"LINESTRING (-4.2470018 57.6957225, -4.2471673 57.6959539)"
102969359,,,,residential,20 mph,False,True,58.878,,,"LINESTRING (-4.2470018 57.6957225, -4.247935 57.6955446)"
42879837,,,Market Street,residential,20 mph,False,False,80.008,,,"LINESTRING (-4.2470018 57.6957225, -4.2468671 57.695519, -4.2467213 57.6952506, -4.246702 57.6951795, -4.2467013 57.6950964, -4.2467258 57.6950284)"
102969290,,,Shillinghill,residential,30 mph,False,True,24.089,,,"LINESTRING (-4.2487054 57.6979214, -4.2483981 57.6977801)"
102969339,,,Shillinghill,residential,30 mph,False,False,43.682,,,"LINESTRING (-4.2487054 57.6979214, -4.2485874 57.6979673, -4.2483943 57.6979558, -4.248287 57.6978641, -4.2483981 57.6977801)"
102969290,,,Shillinghill,residential,30 mph,False,False,57.03699999999999,,,"LINESTRING (-4.2487054 57.6979214, -4.2489218 57.6979529, -4.2495093 57.6980383, -4.2496316 57.6980561)"
102969319,2,,Robertson Drive,residential,30 mph,False,True,34.2,5.5,,"LINESTRING (-4.2461422 57.6948206, -4.2465183 57.6945878)"
754714874,2,B817,,secondary,20 mph,False,False,41.769999999999996,,,"LINESTRING (-4.2461422 57.6948206, -4.2463847 57.6949222, -4.2467258 57.6950284)"
754714874,2,B817,,secondary,20 mph,False,True,28.608,,,"LINESTRING (-4.2461422 57.6948206, -4.2459705 57.6947375, -4.2457847 57.6946483)"
102969266,,,Shillinghill,residential,30 mph,False,False,86.52,,,"LINESTRING (-4.2520752 57.6976769, -4.2523568 57.6969135)"
102969266,,,Shillinghill,residential,30 mph,False,True,21.856,,,"LINESTRING (-4.2520752 57.6976769, -4.2520149 57.6978708)"
102969311,,,Shillinghill,residential,30 mph,False,True,70.82,,,"LINESTRING (-4.2520752 57.6976769, -4.2508995 57.6975725)"
102969337,,,Invercarron,residential,,False,True,37.601,,,"LINESTRING (-4.2506959 57.6994124, -4.2506714 57.6997503)"
42932014,2,,Caplich Road,residential,30 mph,False,False,89.28000000000002,3,,"LINESTRING (-4.2506959 57.6994124, -4.2503988 57.6993918, -4.2500519 57.6993577, -4.2495041 57.699281, -4.2492398 57.6992255)"
42932014,2,,Caplich Road,residential,30 mph,False,True,104.10300000000001,3,,"LINESTRING (-4.2506959 57.6994124, -4.25107 57.6994327, -4.2521658 57.699492, -4.2524397 57.6995025)"
