osmid,ref,name,highway,oneway,reversed,length,lanes,geometry,width,maxspeed
"[349912696, 349912699, 34908533]",A965,Ferry Road,primary,False,False,143.209,2,"LINESTRING (-3.2971671 58.9635693, -3.2970888 58.9636375, -3.2970502 58.9636824, -3.2968449 58.9639841, -3.2967974 58.9640497, -3.2965855 58.9643279, -3.2965295 58.9643913, -3.2961938 58.9647533)",,
1097777872,A965,Ferry Road,primary,False,True,42.489000000000004,,"LINESTRING (-3.2971671 58.9635693, -3.2973617 58.9633882, -3.2975329 58.963237)",6,
41205305,,Back Road,tertiary,False,False,52.155,2,"LINESTRING (-3.3046025 58.9613068, -3.304539 58.9612464, -3.3043147 58.9611484, -3.3040449 58.9610262, -3.304001 58.9609864, -3.3039973 58.9609687)",,
41205305,,Back Road,tertiary,False,True,70.408,2,"LINESTRING (-3.3046025 58.9613068, -3.3045214 58.9613789, -3.3043512 58.961458, -3.3041511 58.9615462, -3.3038988 58.9616582, -3.3038814 58.9616659, -3.3037573 58.9617584)",,
41207697,,Outertown Road,unclassified,False,False,193.58999999999997,,"LINESTRING (-3.3046025 58.9613068, -3.3047662 58.9613115, -3.3056119 58.961548, -3.3058869 58.9615971, -3.3060957 58.9616204, -3.3061541 58.9616277, -3.3065035 58.961671, -3.306646 58.9616881, -3.3070659 58.9617448, -3.3071251 58.9617551, -3.3077864 58.9618444)",,
341075968,,Grieveship West,unclassified,False,True,113.196,,"LINESTRING (-3.3046025 58.9613068, -3.3047801 58.9614043, -3.3049631 58.9615049, -3.3052046 58.9616532, -3.3060001 58.9620236)",,
34908535,A965,,primary,True,False,30.194,,"LINESTRING (-3.2976569 58.9636691, -3.2971671 58.9635693)",,
288829663,A965,Victoria Street,primary,False,True,41.033,,"LINESTRING (-3.2976569 58.9636691, -3.2977785 58.963498, -3.2979203 58.9633261)",,15 mph
1097777871,A965,Victoria Street,primary,False,False,8.235,,"LINESTRING (-3.2979919 58.9632619, -3.2979203 58.9633261)",,
586084873,A965,Victoria Street,primary,False,True,136.496,,"LINESTRING (-3.2979919 58.9632619, -3.2982813 58.9630688, -3.2986709 58.9628498, -3.2988877 58.962728, -3.298902 58.96271, -3.2989676 58.9626314, -3.2990588 58.9625095, -3.2990919 58.9624505, -3.2990996 58.9624379, -3.2991515 58.9623529, -3.2991979 58.9622768, -3.2991948 58.962235)",,
34858430,,Church Road,residential,False,False,113.191,,"LINESTRING (-3.2991948 58.962235, -3.2995175 58.9623006, -3.2995726 58.9623121, -3.2996436 58.9623269, -3.2999808 58.9624001, -3.3001207 58.9624305, -3.3002152 58.9624511, -3.3004492 58.9624974, -3.3006493 58.9624338, -3.3009829 58.9623343)",4.9,
586084873,A965,Victoria Street,primary,False,False,136.49599999999998,,"LINESTRING (-3.2991948 58.962235, -3.2991979 58.9622768, -3.2991515 58.9623529, -3.2990996 58.9624379, -3.2990919 58.9624505, -3.2990588 58.9625095, -3.2989676 58.9626314, -3.298902 58.96271, -3.2988877 58.962728, -3.2986709 58.9628498, -3.2982813 58.9630688, -3.2979919 58.9632619)",,
"[586084872, 586084873, 288861320]",A965,"['Graham Place', 'Victoria Street', 'Dundas Street']",primary,False,True,263.389,,"LINESTRING (-3.2991948 58.962235, -3.2992526 58.9621346, -3.2993091 58.9620085, -3.2993492 58.9619173, -3.2993657 58.9618791, -3.2993719 58.9618648, -3.2993999 58.9617904, -3.2994241 58.9617263, -3.2994421 58.9616435, -3.2994765 58.961559, -3.2995407 58.9614735, -3.2995594 58.961449, -3.2995877 58.9614136, -3.2996434 58.9613432, -3.2997091 58.9612681, -3.2998603 58.9610906, -3.2998806 58.9610652, -3.2998904 58.9610528, -3.2998986 58.9610425, -3.2998985 58.9610371, -3.2999132 58.9609377, -3.2999254 58.96089, -3.299935 58.9608746, -3.2999557 58.9608076, -3.2999545 58.9607817, -3.2999537 58.9607648, -3.2999531 58.9607528, -3.2999337 58.9607001, -3.2999348 58.9606949, -3.2999509 58.960621, -3.2999765 58.9605685, -3.3000084 58.9605217, -3.3000328 58.9604765, -3.3001295 58.9603002, -3.3001563 58.9602513, -3.3001779 58.960229, -3.3001945 58.9602119, -3.300358 58.9600507, -3.3004403 58.9599829)",,
34858393,,Franklin Road,residential,False,True,282.30199999999996,,"LINESTRING (-3.3009829 58.9623343, -3.3010454 58.9624343, -3.301058 58.9625146, -3.3010625 58.9625429, -3.3010643 58.9626202, -3.3010385 58.9626829, -3.300822 58.9630874, -3.3007875 58.9631256, -3.30061 58.9632168, -3.3004798 58.9632672, -3.3002596 58.9633533, -3.300099 58.9634069, -3.2999516 58.9634718, -3.2998961 58.9635429, -3.2998271 58.9636664, -3.2997515 58.9637591, -3.2993369 58.9641088, -3.2991126 58.9643786, -3.2990127 58.9644988, -3.2989917 58.9645241)",3.8,
34858430,,Church Road,residential,False,True,113.191,,"LINESTRING (-3.3009829 58.9623343, -3.3006493 58.9624338, -3.3004492 58.9624974, -3.3002152 58.9624511, -3.3001207 58.9624305, -3.2999808 58.9624001, -3.2996436 58.9623269, -3.2995726 58.9623121, -3.2995175 58.9623006, -3.2991948 58.962235)",4.9,
70320774,,Springfield Crescent,residential,False,False,51.5,,"LINESTRING (-3.3009829 58.9623343, -3.3009298 58.9622592, -3.3008993 58.9622034, -3.3008893 58.9621851, -3.3008886 58.9621078, -3.3008853 58.9620013, -3.3009165 58.9619288, -3.300957 58.9618854)",,
1036099906,A965,Ferry Road,primary,True,False,29.476,,"LINESTRING (-3.2975329 58.963237, -3.2975642 58.9632159, -3.2976349 58.9632004, -3.2977028 58.9631972, -3.2977399 58.9631985, -3.2979919 58.9632619)",,
1097777872,A965,Ferry Road,primary,False,False,42.489000000000004,,"LINESTRING (-3.2975329 58.963237, -3.2973617 58.9633882, -3.2971671 58.9635693)",6,
288829219,,Ferry Road,primary,True,False,24.32,,"LINESTRING (-3.2979203 58.9633261, -3.2975329 58.963237)",,
1097777871,A965,Victoria Street,primary,False,True,8.235,,"LINESTRING (-3.2979203 58.9633261, -3.2979919 58.9632619)",,
288829663,A965,Victoria Street,primary,False,False,41.033,,"LINESTRING (-3.2979203 58.9633261, -3.2977785 58.963498, -3.2976569 58.9636691)",,15 mph
41205305,,Back Road,tertiary,False,False,153.046,2,"LINESTRING (-3.3009143 58.9639864, -3.3012175 58.9638268, -3.3013502 58.963757, -3.3020404 58.9633426, -3.3021011 58.9632813, -3.3023841 58.962866)",,
70320774,,Springfield Crescent,residential,False,False,59.621,,"LINESTRING (-3.300957 58.9618854, -3.3010717 58.9618293, -3.3012255 58.9617706, -3.3013682 58.961731, -3.3015287 58.9617167, -3.301677 58.9617147, -3.3018835 58.9617494)",,
70320774,,Springfield Crescent,residential,False,True,51.49999999999999,,"LINESTRING (-3.300957 58.9618854, -3.3009165 58.9619288, -3.3008853 58.9620013, -3.3008886 58.9621078, -3.3008893 58.9621851, -3.3008993 58.9622034, -3.3009298 58.9622592, -3.3009829 58.9623343)",,
178056552,,Franklin Road,residential,False,False,67.729,,"LINESTRING (-3.300957 58.9618854, -3.30091 58.9617985, -3.3009261 58.96175, -3.3011473 58.9615255, -3.3011501 58.9614851, -3.3011443 58.9614075, -3.3011306 58.9613609, -3.3011084 58.9613095)",,
178056552,,Franklin Road,residential,False,False,123.89300000000001,,"LINESTRING (-3.3011084 58.9613095, -3.3010408 58.9611561, -3.3010138 58.9611326, -3.300861 58.9610061, -3.3008518 58.9609792, -3.30085 58.9609628, -3.300864 58.9606758, -3.3009 58.960653, -3.3009618 58.9606487, -3.3013221 58.9606897, -3.3013711 58.9606756, -3.3014022 58.9606561, -3.3014434 58.9605648, -3.3014654 58.9605161)",,
178056552,,Franklin Road,residential,False,True,67.729,,"LINESTRING (-3.3011084 58.9613095, -3.3011306 58.9613609, -3.3011443 58.9614075, -3.3011501 58.9614851, -3.3011473 58.9615255, -3.3009261 58.96175, -3.30091 58.9617985, -3.300957 58.9618854)",,
341067292,,Graham Place,residential,False,True,19.528,,"LINESTRING (-3.3011084 58.9613095, -3.3009546 58.9612718, -3.3008008 58.9612341)",,
41207700,,Hellihole Road,unclassified,False,False,50.808,,"LINESTRING (-3.3008471 58.9595129, -3.3011941 58.9595565, -3.301569 58.9595538, -3.3017162 58.9595772)",,
288861320,A965,Dundas Street,primary,False,False,59.36,,"LINESTRING (-3.3008471 58.9595129, -3.3008633 58.9595587, -3.3008729 58.9596076, -3.3008298 58.9596666, -3.3008167 58.9596768, -3.3007887 58.9596986, -3.3007594 58.9597152, -3.3007453 58.9597264, -3.3007402 58.9597304, -3.3006723 58.9597857, -3.3005826 58.9598587, -3.3004403 58.9599829)",,
41207700,,Hellihole Road,unclassified,False,False,155.111,,"LINESTRING (-3.3017162 58.9595772, -3.3018268 58.9596121, -3.3019065 58.959657, -3.3019436 58.9596868, -3.3023027 58.9599751, -3.3029213 58.9604719, -3.3032744 58.9606858, -3.3032969 58.9606994)",,
