osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,junction,bridge,access
97594093,2,B4275,Oxford Street,secondary,20 mph,False,True,21.389,"LINESTRING (-3.3788033 51.6823084, -3.3789441 51.6824798)",,,
"[40595700, 950831374]",1,,Henry Street,secondary,20 mph,True,False,238.435,"LINESTRING (-3.3788033 51.6823084, -3.3784912 51.6824053, -3.3784541 51.682408, -3.3784213 51.6823988, -3.3783033 51.6823243, -3.3780498 51.682138, -3.3776743 51.6819318, -3.3774091 51.6818225, -3.3769563 51.6817126, -3.376637 51.6815468, -3.3760181 51.6812823)",,,
541334936,,,,secondary,20 mph,True,False,25.038,"LINESTRING (-3.3753793 51.6803457, -3.3756548 51.6804924)",,,
124542832,,B4275,Miskin Road,secondary,20 mph,False,False,210.34300000000002,"LINESTRING (-3.3753793 51.6803457, -3.3746012 51.6798756, -3.3743012 51.6796428, -3.3740977 51.6794479, -3.3739308 51.6792464, -3.3738076 51.6790566, -3.3737004 51.6788086)",,,
124542832,,B4275,Miskin Road,secondary,20 mph,False,True,68.075,"LINESTRING (-3.3734633 51.6782143, -3.3737004 51.6788086)",,,
124542838,2,,Bailey Street,residential,30 mph,False,False,35.559,"LINESTRING (-3.3734633 51.6782143, -3.3735368 51.6781926, -3.3736231 51.6781638, -3.3739158 51.6780611)",,,
40595682,,,Bailey Street,residential,30 mph,False,False,57.667,"LINESTRING (-3.3741867 51.6779343, -3.3742612 51.6779346, -3.3749263 51.6777042)",,,
124542838,2,,Bailey Street,residential,30 mph,False,True,23.897,"LINESTRING (-3.3741867 51.6779343, -3.3741487 51.6779719, -3.3741045 51.6779968, -3.3739158 51.6780611)",,,
40595682,,,Bailey Street,residential,30 mph,False,True,57.667,"LINESTRING (-3.3749263 51.6777042, -3.3742612 51.6779346, -3.3741867 51.6779343)",,,
40595715,,,High Street,residential,,False,False,86.932,"LINESTRING (-3.381525 51.6828675, -3.3821139 51.6835588)",,,
"[952019972, 952019973]",2,,Llanwonno Road,tertiary,"['20 mph', '30 mph']",False,True,126.59100000000001,"LINESTRING (-3.381525 51.6828675, -3.3809266 51.6819953, -3.3808062 51.6818199)",,,
124542838,2,,Bailey Street,residential,30 mph,False,False,23.897000000000002,"LINESTRING (-3.3739158 51.6780611, -3.3741045 51.6779968, -3.3741487 51.6779719, -3.3741867 51.6779343)",,,
124542838,2,,Bailey Street,residential,30 mph,False,True,35.559,"LINESTRING (-3.3739158 51.6780611, -3.3736231 51.6781638, -3.3735368 51.6781926, -3.3734633 51.6782143)",,,
40006949,2,,Llanwonno Road,tertiary,,False,True,77.148,"LINESTRING (-3.3803708 51.6804502, -3.3802214 51.6797626)",,,
"[952019972, 40006949]",2,,Llanwonno Road,tertiary,20 mph,False,False,31.753,"LINESTRING (-3.3803708 51.6804502, -3.3804029 51.6806237, -3.3804233 51.6807339)",,,
40595702,,,Gorsedd Street,residential,,False,True,7.256,"LINESTRING (-3.3816571 51.6799592, -3.3817623 51.6799611)",,,
40595701,,,Rock Street,residential,,True,False,104.435,"LINESTRING (-3.3816571 51.6799592, -3.3815767 51.6800117, -3.3803708 51.6804502)",,,
40595702,,,Gorsedd Street,residential,,False,False,83.91,"LINESTRING (-3.382969 51.679863, -3.3817623 51.6799611)",,,
40595706,,,Ceridwen Street,residential,,False,False,79.294,"LINESTRING (-3.3824067 51.6780549, -3.3812643 51.6781369)",,,
40595706,,,Ceridwen Street,residential,,False,True,51.075,"LINESTRING (-3.3805276 51.6781849, -3.3812643 51.6781369)",,,
40595707,,,Kingcraft Street,residential,,False,False,108.296,"LINESTRING (-3.3829866 51.6788087, -3.3814271 51.6789247)",,,
40006949,2,,Llanwonno Road,tertiary,,False,False,44.092,"LINESTRING (-3.3800669 51.6790371, -3.3801471 51.6794305)",,,
40595707,,,Kingcraft Street,residential,,False,True,94.613,"LINESTRING (-3.3800669 51.6790371, -3.3805981 51.6789932, -3.3814271 51.6789247)",,,
40595708,,,Aberpennar Street,residential,,False,False,97.405,"LINESTRING (-3.3829483 51.6793426, -3.3815459 51.6794484)",,,
40595708,,,Aberpennar Street,residential,,False,True,57.393,"LINESTRING (-3.3807187 51.6795061, -3.3815459 51.6794484)",,,
40006949,2,,Llanwonno Road,tertiary,,False,False,37.282,"LINESTRING (-3.3801471 51.6794305, -3.3802214 51.6797626)",,,
