osmid,ref,highway,maxspeed,oneway,reversed,length,geometry,name,lanes,bridge,junction
4617405,A1307,primary,30 mph,False,False,93.238,"LINESTRING (0.4365746 52.0846879, 0.4367307 52.0847418, 0.4368618 52.0848292, 0.4373509 52.0851554, 0.4375809 52.0852426)",,,,
"[4723224, 92622380]",,residential,,False,False,175.759,"LINESTRING (0.4365746 52.0846879, 0.4366046 52.084596, 0.4367401 52.0844279, 0.4367252 52.0843582, 0.4366703 52.0843248, 0.4363511 52.0842086, 0.4363029 52.0841705, 0.4362785 52.0841213, 0.4363243 52.0839565, 0.4364697 52.0838137, 0.4367105 52.0836173, 0.4369772 52.0833998)","['Queen Street', 'Lower Downs Slade']",,,
157264917,A1307,primary,30 mph,False,True,121.973,"LINESTRING (0.4365746 52.0846879, 0.4364289 52.084727, 0.4359906 52.0850094, 0.4358948 52.085094, 0.4356444 52.0852997, 0.4354245 52.0855089)",Withersfield Road,,,
1239211449,,tertiary,30 mph,False,False,117.05999999999999,"LINESTRING (0.437818 52.0789524, 0.4380289 52.0790366, 0.4384387 52.0791205, 0.4388687 52.0791824, 0.4394164 52.0793137)",Duddery Hill,2,,
1239211449,,tertiary,30 mph,False,True,78.528,"LINESTRING (0.4404431 52.0796309, 0.4394164 52.0793137)",Duddery Hill,2,,
7986162,,residential,,False,False,133.854,"LINESTRING (0.4404431 52.0796309, 0.4404025 52.0796735, 0.440231 52.0798923, 0.4400065 52.0800634, 0.439762 52.0802387, 0.4403178 52.0805481)",Helions Walk,,,
"[1239211448, 4760392]",,tertiary,30 mph,False,False,111.544,"LINESTRING (0.4404431 52.0796309, 0.4407635 52.0797425, 0.4409697 52.0798185, 0.4417509 52.0801197, 0.4418231 52.080076)","['Hamlet Road', 'Duddery Hill']",,,
1110149440,,tertiary,30 mph,False,False,8.649,"LINESTRING (0.4424931 52.0796551, 0.4425748 52.0795957)",Hamlet Road,,,
4760392,,tertiary,30 mph,False,True,65.503,"LINESTRING (0.4424931 52.0796551, 0.442347 52.0797575, 0.4420245 52.0799536, 0.4418231 52.080076)",Hamlet Road,,,
"[4723224, 92622380]",,residential,,False,True,175.75900000000001,"LINESTRING (0.4369772 52.0833998, 0.4367105 52.0836173, 0.4364697 52.0838137, 0.4363243 52.0839565, 0.4362785 52.0841213, 0.4363029 52.0841705, 0.4363511 52.0842086, 0.4366703 52.0843248, 0.4367252 52.0843582, 0.4367401 52.0844279, 0.4366046 52.084596, 0.4365746 52.0846879)","['Queen Street', 'Lower Downs Slade']",,,
38806402,A143,primary,30 mph,False,False,138.309,"LINESTRING (0.4391388 52.0839446, 0.440095 52.0834036, 0.4402604 52.0832881, 0.4405699 52.0830675)",Lord's Croft Lane,,,
38806402,A143,primary,30 mph,False,True,72.021,"LINESTRING (0.4391388 52.0839446, 0.4387586 52.0841189, 0.4386056 52.0842325, 0.4385616 52.0843687, 0.4385556 52.0844385)",Lord's Croft Lane,,,
"[1074331296, 1074331297, 4760387]",,tertiary,30 mph,True,False,61.837999999999994,"LINESTRING (0.4391388 52.0839446, 0.4391259 52.0839349, 0.4389993 52.0838403, 0.4387801 52.083676, 0.4385673 52.0835134)",Swan Lane,,yes,
"[4760380, 243616030]",A143,primary,30 mph,False,False,139.421,"LINESTRING (0.44073 52.0829753, 0.4407917 52.0828895, 0.4410444 52.0826521, 0.4413254 52.0824611, 0.4416659 52.0822909, 0.4419042 52.0821748, 0.4420908 52.08206)","['Ehringshausen Way', ""Lord's Croft Lane""]",,,
"[828746243, 828746244]",A143,primary,30 mph,True,False,21.761,"LINESTRING (0.44073 52.0829753, 0.4406967 52.0829636, 0.4406473 52.0829599, 0.4406104 52.0829665, 0.4405835 52.0829779, 0.4405605 52.0829968, 0.4405489 52.0830219, 0.4405525 52.0830454, 0.4405699 52.0830675)",,,,roundabout
4760378,A143,primary,30 mph,True,False,25.374000000000002,"LINESTRING (0.4405699 52.0830675, 0.4405976 52.0830838, 0.4406498 52.0830951, 0.440688 52.0830929, 0.4407227 52.0830829, 0.4407383 52.0830747, 0.4407599 52.0830552, 0.4407696 52.0830267, 0.4407625 52.0830036, 0.44073 52.0829753)",,,,roundabout
38806402,A143,primary,30 mph,False,True,138.309,"LINESTRING (0.4405699 52.0830675, 0.4402604 52.0832881, 0.440095 52.0834036, 0.4391388 52.0839446)",Lord's Croft Lane,,,
4760385,,residential,,False,False,74.735,"LINESTRING (0.438089 52.0832817, 0.4373821 52.0830182, 0.4373229 52.0829869, 0.4372944 52.0829607, 0.4372743 52.0829182, 0.4372264 52.0828907)",Camps Road,,,
92622375,,unclassified,,False,False,90.176,"LINESTRING (0.438089 52.0832817, 0.4382755 52.0831021, 0.4386192 52.0827206, 0.4387468 52.082579)",Market Hill,,,
8020539,,unclassified,30 mph,False,False,84.434,"LINESTRING (0.4385673 52.0835134, 0.4377084 52.0840593)",Murton Slade,,,
4760387,,tertiary,30 mph,True,False,41.953,"LINESTRING (0.4385673 52.0835134, 0.4384892 52.0834541, 0.4382881 52.0833552, 0.4381947 52.0833207, 0.438089 52.0832817)",Swan Lane,,,
8020539,,unclassified,30 mph,False,True,84.434,"LINESTRING (0.4377084 52.0840593, 0.4385673 52.0835134)",Murton Slade,,,
8020541,,tertiary,30 mph,False,False,94.274,"LINESTRING (0.4313909 52.0820395, 0.4316452 52.0812062)",,,,
4760385,,residential,,False,True,202.136,"LINESTRING (0.4313909 52.0820395, 0.4314733 52.0820368, 0.4329547 52.082224, 0.4334819 52.0822907, 0.4340546 52.0823631, 0.434287 52.0824005)",Camps Road,,,
8020540,,tertiary,30 mph,False,False,157.29399999999998,"LINESTRING (0.4313909 52.0820395, 0.4311207 52.0819979, 0.4306248 52.081901, 0.4304071 52.0818522, 0.4303131 52.0818311, 0.4297566 52.0816824, 0.4297179 52.0816721, 0.4292207 52.0815741)",Burton End,,,
28433613,,tertiary,30 mph,False,False,130.26399999999998,"LINESTRING (0.4313909 52.0820395, 0.4312407 52.0823963, 0.4311615 52.0825834, 0.4311155 52.0827253, 0.4310987 52.0827927, 0.4310995 52.0829751, 0.4311426 52.0831878)",Crowland Road,,,
8020541,,tertiary,30 mph,False,True,55.519,"LINESTRING (0.4317797 52.0807138, 0.4316452 52.0812062)",,,,
