osmid,lanes,highway,maxspeed,junction,oneway,reversed,length,ref,name,geometry,bridge,access,tunnel
846437817,2,primary,20 mph,roundabout,True,False,4.593,,,"LINESTRING (-3.2747397 51.4029599, -3.2746735 51.4029605)",,,
406721324,2,primary,20 mph,,False,True,224.55,A4055,Gladstone Road,"LINESTRING (-3.2747397 51.4029599, -3.2748158 51.4031003, -3.2748095 51.4032699, -3.27473 51.4037563, -3.274639 51.4042068, -3.2745791 51.4045529, -3.2745448 51.4047671, -3.2745434 51.4049623)",,,
23624305,2,primary,20 mph,,False,False,48.482,A4055,Broad Street,"LINESTRING (-3.2748955 51.402782, -3.275081 51.4027264, -3.275104 51.4027182, -3.2755193 51.4025855)",,,
846437817,2,primary,20 mph,roundabout,True,False,25.788,,,"LINESTRING (-3.2748955 51.402782, -3.2749107 51.4028194, -3.2749076 51.402858, -3.2748863 51.4028944, -3.2748488 51.4029251, -3.2747985 51.4029477, -3.2747397 51.4029599)",,,
"[24054861, 23624301, 24054860]",,tertiary,,,False,False,204.89499999999998,,Gladstone Bridge,"LINESTRING (-3.2746332 51.4027103, -3.274555 51.4025332, -3.2743609 51.402044, -3.2742956 51.4018659, -3.2741418 51.4015445, -3.2739759 51.4011977, -3.2738545 51.4010035, -3.2738037 51.400945)",yes,,
846437817,2,primary,20 mph,roundabout,True,False,21.834,,,"LINESTRING (-3.2746332 51.4027103, -3.2746949 51.4027027, -3.2747575 51.4027069, -3.2748152 51.4027227, -3.2748626 51.4027485, -3.2748955 51.402782)",,,
396764201,,tertiary,,,False,False,134.041,,Ffordd y Mileniwm,"LINESTRING (-3.272968 51.4007896, -3.2722957 51.4008464, -3.2714118 51.4008949, -3.2710468 51.4009154)",,,
406721319,,tertiary,,,True,False,23.580000000000002,,Ffordd y Mileniwm,"LINESTRING (-3.272968 51.4007896, -3.2731308 51.4007394, -3.2731903 51.4007211, -3.2732661 51.4006886)",,,
243493360,,tertiary,,roundabout,True,False,18.981,,,"LINESTRING (-3.2734562 51.4005556, -3.2735243 51.4005515, -3.2735916 51.400559, -3.2736532 51.4005776, -3.2737044 51.4006059)",,,
396764199,,tertiary,20 mph,,True,False,26.256,,Ffordd y Mileniwm,"LINESTRING (-3.2734562 51.4005556, -3.2735438 51.4005072, -3.2735865 51.4004758, -3.2736188 51.400452, -3.2737135 51.4003831)",,,
23624304,,tertiary,,roundabout,True,False,29.71,,,"LINESTRING (-3.2707648 51.4007531, -3.2708501 51.4007579, -3.2709284 51.4007796, -3.2709914 51.4008158, -3.2710323 51.4008627, -3.2710468 51.4009154)",,,
58741418,,residential,,,False,True,57.007,,Y Rhodfa,"LINESTRING (-3.2707648 51.4007531, -3.2707637 51.4007123, -3.2707505 51.4002405)",,,
