osmid,oneway,lanes,highway,maxspeed,junction,reversed,length,geometry,name,bridge,access
4239485,True,2,primary,70 mph,roundabout,False,30.244999999999997,"LINESTRING (-0.7637377 52.0441595, -0.7638316 52.0441973, -0.763903 52.0442496, -0.7639468 52.0443117, -0.76396 52.0443782)",,,
4239485,True,2,primary,70 mph,roundabout,False,16.413,"LINESTRING (-0.76396 52.0443782, -0.7639385 52.044451, -0.7638817 52.0445158)",,,
1163956210,True,2,tertiary,70 mph,roundabout,False,1.224,"LINESTRING (-0.7551364 52.037142, -0.7551188 52.03714)",South Saxon Roundabout,,
4239529,True,2,tertiary,70 mph,roundabout,False,33.08,"LINESTRING (-0.7548365 52.0368814, -0.7548799 52.0368161, -0.7549437 52.0367669, -0.755028 52.0367311, -0.7551897 52.0367136)",South Saxon Roundabout,,
1163956209,True,2,tertiary,70 mph,roundabout,False,0.572,"LINESTRING (-0.7551897 52.0367136, -0.755198 52.0367142)",South Saxon Roundabout,,
1163956209,True,2,tertiary,70 mph,roundabout,False,1.909,"LINESTRING (-0.7555383 52.0369462, -0.7555359 52.0369633)",South Saxon Roundabout,,
"[768085408, 4016425, 768085409]",True,2,tertiary,30 mph,,False,255.774,"LINESTRING (-0.7555359 52.0369633, -0.7556483 52.037173, -0.7556777 52.0372257, -0.7557252 52.037278, -0.7567638 52.0381758, -0.7572734 52.0386305, -0.7574134 52.038755, -0.7574325 52.038772, -0.75756 52.038885)",V7 Saxon Gate,yes,
1173772438,True,2,tertiary,70 mph,roundabout,False,36.583,"LINESTRING (-0.7555359 52.0369633, -0.7554862 52.0370375, -0.7553775 52.0371028, -0.7552596 52.0371344, -0.7551364 52.037142)",South Saxon Roundabout,,
4239485,True,2,primary,70 mph,roundabout,False,11.007,"LINESTRING (-0.7631982 52.0444034, -0.7631963 52.044354, -0.7632113 52.0443053)",,,
4239485,True,2,primary,70 mph,roundabout,False,26.302999999999997,"LINESTRING (-0.7638817 52.0445158, -0.7638068 52.0445615, -0.763714 52.044593, -0.7635425 52.0446075)",,,
4016426,True,2,tertiary,30 mph,,False,250.75599999999997,"LINESTRING (-0.7632113 52.0443053, -0.7631502 52.0442026, -0.7630875 52.0440762, -0.7620376 52.0431218, -0.7613558 52.0425247, -0.7612281 52.0424191)",V7 Saxon Gate,,
4239485,True,2,primary,70 mph,roundabout,False,32.364,"LINESTRING (-0.7632113 52.0443053, -0.7632628 52.0442395, -0.7633446 52.0441866, -0.7634484 52.0441517, -0.7635638 52.0441381)",,,
4239485,True,2,primary,70 mph,roundabout,False,12.211,"LINESTRING (-0.7635638 52.0441381, -0.7636531 52.0441426, -0.7637377 52.0441595)",,,
5034640,False,,unclassified,,,False,94.737,"LINESTRING (-0.7541914 52.03822, -0.7547548 52.0379849, -0.7553305 52.0377354)",South Row,,
5034640,False,,unclassified,,,True,88.388,"LINESTRING (-0.7541914 52.03822, -0.7536537 52.0384558, -0.7531388 52.0386811)",South Row,,
38229518,False,,unclassified,,,True,97.92099999999999,"LINESTRING (-0.7541914 52.03822, -0.7543442 52.0383594, -0.7548356 52.0387705, -0.7550134 52.0389406)",South Eighth Street,,
4239951,False,,unclassified,,,False,17.869999999999997,"LINESTRING (-0.7536471 52.0405734, -0.753673 52.0405962, -0.7537529 52.0406667, -0.7537966 52.0407052)",Lower Tenth Street,,
"[4239948, 4239951]",False,,unclassified,,,True,145.016,"LINESTRING (-0.7536471 52.0405734, -0.7534962 52.0404404, -0.7534191 52.0403725, -0.7524434 52.0394998)","['South Tenth Street', 'Lower Tenth Street']",,
"[32236184, 38168149]",True,,unclassified,30 mph,,False,181.411,"LINESTRING (-0.7536471 52.0405734, -0.7541866 52.0403428, -0.7547139 52.0401174, -0.754854 52.0400575, -0.7552627 52.0398839, -0.7558272 52.0396442)",Avebury Boulevard,,
4239947,False,,residential,,,False,47.602000000000004,"LINESTRING (-0.7531388 52.0386811, -0.753304 52.0388246, -0.7535358 52.0390327)",South Ninth Street,,
5034640,False,,unclassified,,,False,88.388,"LINESTRING (-0.7531388 52.0386811, -0.7536537 52.0384558, -0.7541914 52.03822)",South Row,,
4239947,False,,residential,,,True,127.425,"LINESTRING (-0.7545889 52.039978, -0.7545069 52.0399043, -0.7535358 52.0390327)",South Ninth Street,,
111431664,False,,unclassified,,,False,17.024,"LINESTRING (-0.7595482 52.0429575, -0.7596855 52.0430852)",,,
"[767306196, 767306197, 120290902]",True,,unclassified,30 mph,,False,128.99699999999999,"LINESTRING (-0.7595482 52.0429575, -0.7600804 52.0427275, -0.7606572 52.0424783, -0.7608984 52.0423746, -0.760913 52.0423683, -0.7610915 52.0422906)",Silbury Boulevard,yes,
111431664,False,,unclassified,,,True,17.024,"LINESTRING (-0.7596855 52.0430852, -0.7595482 52.0429575)",,,
111431677,False,,unclassified,,,False,150.393,"LINESTRING (-0.7596855 52.0430852, -0.7598291 52.0432103, -0.7599172 52.043287, -0.760954 52.04419)",North Eighth Street,,
767306194,True,,unclassified,30 mph,,False,89.27799999999999,"LINESTRING (-0.7596855 52.0430852, -0.7591458 52.0433183, -0.7586172 52.0435466)",Silbury Boulevard,,
111431693,False,,unclassified,,,True,17.011,"LINESTRING (-0.7586172 52.0435466, -0.75848 52.043419)",,,
111431684,False,,unclassified,,,False,192.91599999999997,"LINESTRING (-0.7586172 52.0435466, -0.7587589 52.0436701, -0.7588488 52.0437484, -0.7593329 52.0441701, -0.7600864 52.0448265, -0.7602441 52.0449639)",North Ninth Street,,
767306194,True,,unclassified,30 mph,,False,90.94,"LINESTRING (-0.7586172 52.0435466, -0.7580701 52.0437829, -0.757529 52.0440166)",Silbury Boulevard,,
111431693,False,,unclassified,,,False,17.011,"LINESTRING (-0.75848 52.043419, -0.7586172 52.0435466)",,,
120290902,True,,unclassified,30 mph,,False,89.279,"LINESTRING (-0.75848 52.043419, -0.7590061 52.0431918, -0.7595482 52.0429575)",Silbury Boulevard,,
111431676,False,,unclassified,,,True,16.984,"LINESTRING (-0.757529 52.0440166, -0.7573849 52.0438922)",North Tenth Street,,
"[120290880, 767306194]",True,,unclassified,30 mph,,False,127.838,"LINESTRING (-0.757529 52.0440166, -0.7570021 52.0442442, -0.7568782 52.0442977, -0.7561099 52.0446291, -0.7559989 52.044677)",Silbury Boulevard,yes,
111431676,False,,unclassified,,,False,16.984,"LINESTRING (-0.7573849 52.0438922, -0.757529 52.0440166)",North Tenth Street,,
120290902,True,,unclassified,30 mph,,False,91.531,"LINESTRING (-0.7573849 52.0438922, -0.7579282 52.0436575, -0.75848 52.043419)",Silbury Boulevard,,
111431677,False,,unclassified,,,True,42.583,"LINESTRING (-0.7613132 52.0445028, -0.7611538 52.0443639, -0.760954 52.04419)",North Eighth Street,,
111431684,False,,unclassified,,,True,192.916,"LINESTRING (-0.7602441 52.0449639, -0.7600864 52.0448265, -0.7593329 52.0441701, -0.7588488 52.0437484, -0.7587589 52.0436701, -0.7586172 52.0435466)",North Ninth Street,,
1163956209,True,2,tertiary,70 mph,roundabout,False,38.690000000000005,"LINESTRING (-0.755198 52.0367142, -0.7553476 52.0367345, -0.75543 52.0367722, -0.7554911 52.036823, -0.7555256 52.0368825, -0.7555383 52.0369462)",South Saxon Roundabout,,
