osmid,highway,maxspeed,junction,oneway,reversed,length,geometry,ref,name
82744,primary,30 mph,roundabout,True,False,6.076,"LINESTRING (-4.6849383 55.755567, -4.6849539 55.7555385, -4.6849857 55.7555213)",,
82749,primary,30 mph,,True,False,29.858,"LINESTRING (-4.6853794 55.7556167, -4.6854847 55.7558786)",A760,Bridge Street
82744,primary,30 mph,roundabout,True,False,16.182,"LINESTRING (-4.6853794 55.7556167, -4.6853488 55.7556571, -4.6853194 55.7556775, -4.6852727 55.7556926, -4.6851957 55.7557049)",,
76832502,primary,30 mph,,False,False,131.939,"LINESTRING (-4.6862693 55.7563746, -4.6879533 55.7556605)",A760,School Wynd
"[19912868, 79059367]",residential,,,False,False,173.623,"LINESTRING (-4.6862693 55.7563746, -4.6863887 55.7565904, -4.6864195 55.7566462, -4.68628 55.7569903, -4.686162 55.7574069, -4.6861835 55.7576061, -4.6862406 55.757665, -4.6864409 55.7578718)",,"['Townhead', 'Milton Road']"
80295142,primary,30 mph,,False,True,82.75,"LINESTRING (-4.6862693 55.7563746, -4.6858709 55.7563041, -4.6856473 55.7562218, -4.6855457 55.7561028, -4.6854847 55.7558786)",A760,Bridge Street
4413117,primary,30 mph,,False,True,50.184,"LINESTRING (-4.6821494 55.7567187, -4.6814885 55.7569744)",A760,Stoneyholm Road
76832475,unclassified,,,False,False,46.303,"LINESTRING (-4.6821494 55.7567187, -4.6817846 55.7563564)",,
79059392,primary,30 mph,,False,False,172.01999999999998,"LINESTRING (-4.6821494 55.7567187, -4.6829227 55.7564194, -4.6834298 55.7562498, -4.683571 55.7562025, -4.6839842 55.7560448, -4.6844381 55.755863)",A760,Bridgend
76832537,secondary,,,False,True,13.466,"LINESTRING (-4.6861527 55.7514255, -4.6861527 55.7513044)",B780,Avils Place
19914629,residential,,,False,False,130.202,"LINESTRING (-4.6861527 55.7514255, -4.6866927 55.7514325, -4.6871325 55.7514485, -4.6874916 55.7514616, -4.6881743 55.7515128, -4.688225 55.7515166)",,Avils Hill
79058879,secondary,,,False,False,125.703,"LINESTRING (-4.6861527 55.7514255, -4.6861589 55.7516521, -4.6861601 55.7516932, -4.686167 55.7521547, -4.6861385 55.7525556)",B780,Newton Street
19914631,residential,,,False,False,25.938,"LINESTRING (-4.6879225 55.7524309, -4.6878418 55.7526597)",,
19914631,residential,,,False,True,15.355,"LINESTRING (-4.6879225 55.7524309, -4.687966 55.752295)",,
76832521,residential,,,False,False,109.458,"LINESTRING (-4.6879225 55.7524309, -4.6879718 55.7524417, -4.6895523 55.7527883)",,Langside Place
76832513,residential,,,False,False,134.959,"LINESTRING (-4.6895523 55.7527883, -4.6899765 55.7515983)",,Bathville Road
"[76832513, 79058956]",residential,,,False,True,151.25900000000001,"LINESTRING (-4.6895523 55.7527883, -4.6891983 55.7532411, -4.6889531 55.7533135, -4.6877391 55.753506)",,"['Bathville Road', 'Bankfaulds Avenue']"
76832521,residential,,,False,True,109.458,"LINESTRING (-4.6895523 55.7527883, -4.6879718 55.7524417, -4.6879225 55.7524309)",,Langside Place
76832513,residential,,,False,True,134.959,"LINESTRING (-4.6899765 55.7515983, -4.6895523 55.7527883)",,Bathville Road
76832513,residential,,,False,False,103.378,"LINESTRING (-4.6899765 55.7515983, -4.689913 55.7515771, -4.6896106 55.7514923, -4.6885005 55.751181)",,Bathville Road
76832513,residential,,,False,True,15.628,"LINESTRING (-4.6883078 55.7510916, -4.6885005 55.751181)",,Bathville Road
79058996,residential,,,False,True,41.024,"LINESTRING (-4.6815111 55.7506417, -4.6817152 55.7509923)",,Knoxville Road
633980273,residential,,,False,False,362.54400000000004,"LINESTRING (-4.6815111 55.7506417, -4.6814279 55.7506654, -4.6811614 55.7507412, -4.681001 55.7508084, -4.6808601 55.750922, -4.6806903 55.7510976, -4.6801109 55.7520577, -4.6798856 55.752909, -4.6797096 55.7532162, -4.6794565 55.7534403, -4.6794039 55.7535627)",,Paddockholm Road
77889438,residential,,,False,True,92.744,"LINESTRING (-4.6864409 55.7578718, -4.6860511 55.7580559, -4.685976 55.7582008, -4.6857292 55.7582008, -4.6852893 55.7581284)",,Milton Park
