osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,bridge,access
120530077,2,Billams Hill,tertiary,30 mph,False,True,46.862,"LINESTRING (-1.6965675 53.9094815, -1.6966353 53.9095209, -1.696681 53.9095475, -1.6968631 53.9096534, -1.6970655 53.9097839)",,,
"[125913192, 125913849, 118447174, 118447175]",,Bridge Street,secondary,"['20 mph', '30 mph']",False,False,193.49300000000002,"LINESTRING (-1.6965675 53.9094815, -1.6963211 53.9093253, -1.6961406 53.9092159, -1.696012 53.9091352, -1.6959 53.9090732, -1.6956455 53.9089013, -1.6955363 53.9088141, -1.6947683 53.9082461, -1.6946705 53.9081518)",B6451,yes,
140886455,2,Burras Lane,tertiary,30 mph,False,False,87.912,"LINESTRING (-1.6987384 53.902272, -1.6996748 53.9017057)",,,
4476841,,Granville Mount,residential,20 mph,False,True,67.355,"LINESTRING (-1.6987384 53.902272, -1.6990064 53.9024844, -1.6993333 53.9027659)",,,
"[1195613569, 140886455]",2,Burras Lane,tertiary,"['20 mph', '30 mph']",False,True,125.69099999999999,"LINESTRING (-1.6987384 53.902272, -1.6986207 53.9023399, -1.6984861 53.9024175, -1.6983642 53.9025073, -1.6983172 53.902544, -1.6982167 53.9026347, -1.6978135 53.90298, -1.6976551 53.9030968, -1.6975542 53.9031568)",,,
146902274,2,Bondgate,tertiary,20 mph,False,True,107.162,"LINESTRING (-1.6939063 53.9041374, -1.6938454 53.9041276, -1.6936861 53.904117, -1.6935371 53.9041079, -1.6933701 53.9040978, -1.6932777 53.9040922, -1.693066 53.9040794, -1.6926027 53.9040467, -1.6922829 53.9040227)",,,
146902275,2,Kirkgate,tertiary,20 mph,False,False,32.762,"LINESTRING (-1.6939063 53.9041374, -1.6939473 53.9041505, -1.6940023 53.9041734, -1.6940399 53.9042153, -1.6940725 53.9042852, -1.6940985 53.9043917)",,,
1194709327,2,Burras Lane,tertiary,20 mph,False,False,28.301000000000002,"LINESTRING (-1.6939063 53.9041374, -1.6939396 53.9040651, -1.694001 53.9039455, -1.6940567 53.9039018)",,,
4445186,,Queens Place,residential,,False,True,44.053,"LINESTRING (-1.6937226 53.9032609, -1.6943865 53.9031979)",,,
"[1174745888, 3994484]",,Station Road,residential,,False,False,72.333,"LINESTRING (-1.6937226 53.9032609, -1.6936947 53.9031334, -1.6936684 53.9030449, -1.6935743 53.902729, -1.6935416 53.9026193)",,,
3994484,,Station Road,residential,,False,True,76.337,"LINESTRING (-1.6937226 53.9032609, -1.6937644 53.90339, -1.6938322 53.9035997, -1.6938923 53.903773, -1.6939325 53.9038284, -1.6939876 53.9038703, -1.6940567 53.9039018)",,,
1174745888,,Station Road,residential,,False,True,16.223,"LINESTRING (-1.6934978 53.9024757, -1.6935416 53.9026193)",,,
4445199,,Myers Croft,unclassified,,False,False,55.325,"LINESTRING (-1.6934978 53.9024757, -1.6929828 53.9025306, -1.6926666 53.9025637)",,,
3994492,,Manor Square,primary,20 mph,False,False,16.157,"LINESTRING (-1.6943954 53.9056819, -1.6945028 53.9058127)",A659,,
"[4001184, 150781975]",2,"['Market Place', 'Boroughgate']",primary,20 mph,False,False,148.09199999999996,"LINESTRING (-1.6943954 53.9056819, -1.6942559 53.9056934, -1.694177 53.9056974, -1.6936575 53.905724, -1.693545 53.9057287, -1.6934372 53.9057291, -1.6932785 53.9057258, -1.6930449 53.9057153, -1.6929807 53.905712, -1.6927157 53.9057093, -1.6924394 53.9057097, -1.6922904 53.9057107, -1.6921399 53.9057156)",A659,,
"[988589120, 146902275]",2,Kirkgate,tertiary,"['20 mph', '30 mph']",False,True,144.815,"LINESTRING (-1.6943954 53.9056819, -1.6943665 53.9055798, -1.6943498 53.9055164, -1.6943068 53.9053821, -1.6942816 53.9052495, -1.6942199 53.9049442, -1.6942099 53.9048954, -1.6941767 53.9047367, -1.6941302 53.9045323, -1.694113 53.9044559, -1.6941072 53.9044302, -1.6940985 53.9043917)",,,
4476854,,Clapgate,secondary,20 mph,False,False,3.773,"LINESTRING (-1.6945774 53.9061618, -1.694556 53.9061933)",,,
146902268,2,Manor Square,secondary,20 mph,True,False,39.61,"LINESTRING (-1.6945774 53.9061618, -1.6945187 53.9060571, -1.6944905 53.9059573, -1.6945028 53.9058127)",B6451,,
4476854,,Clapgate,secondary,20 mph,False,True,53.574,"LINESTRING (-1.6938193 53.9063934, -1.6939102 53.9063628, -1.6942205 53.9062935, -1.6944842 53.9062327, -1.694556 53.9061933)",,,
965748757,,Bridge Street,secondary,20 mph,False,True,89.452,"LINESTRING (-1.6938193 53.9063934, -1.6937826 53.9064193, -1.6937714 53.9064516, -1.6937778 53.9064841, -1.693903 53.9068009, -1.6939818 53.9069928, -1.6940561 53.9071698)",B6451,,
3994498,,Courthouse Street,unclassified,,False,False,41.092,"LINESTRING (-1.6880053 53.9068183, -1.6886072 53.9067142)",,,
38889597,,Bondgate,tertiary,20 mph,False,False,89.28899999999999,"LINESTRING (-1.6922829 53.9040227, -1.6921158 53.9040097, -1.6912119 53.9039372, -1.6910584 53.903927, -1.6909399 53.9038989)",,,
146902274,2,Bondgate,tertiary,20 mph,False,False,107.16199999999999,"LINESTRING (-1.6922829 53.9040227, -1.6926027 53.9040467, -1.693066 53.9040794, -1.6932777 53.9040922, -1.6933701 53.9040978, -1.6935371 53.9041079, -1.6936861 53.904117, -1.6938454 53.9041276, -1.6939063 53.9041374)",,,
"[140883794, 238300350]",2,Crossgate,tertiary,20 mph,False,True,75.839,"LINESTRING (-1.6922829 53.9040227, -1.6922861 53.9040679, -1.6923186 53.9042794, -1.6923269 53.9043261, -1.6923397 53.9045367, -1.6923437 53.9046175, -1.6923227 53.9046728, -1.6923141 53.9047016)",,,
965745363,,Boroughgate,primary,20 mph,False,False,8.606,"LINESTRING (-1.6921399 53.9057156, -1.6920091 53.9057228)",A659,,
"[38889592, 140883790]",,Crossgate,tertiary,20 mph,False,False,95.132,"LINESTRING (-1.6921399 53.9057156, -1.6921226 53.905609, -1.6920597 53.9053426, -1.6920488 53.905235, -1.6920537 53.9052148, -1.6920606 53.9051873, -1.6920754 53.9051281, -1.6920996 53.9050797, -1.6921438 53.9049997, -1.6922182 53.9048783)",,,
"[4001184, 150781975]",2,"['Market Place', 'Boroughgate']",primary,20 mph,False,True,148.09199999999998,"LINESTRING (-1.6921399 53.9057156, -1.6922904 53.9057107, -1.6924394 53.9057097, -1.6927157 53.9057093, -1.6929807 53.905712, -1.6930449 53.9057153, -1.6932785 53.9057258, -1.6934372 53.9057291, -1.693545 53.9057287, -1.6936575 53.905724, -1.694177 53.9056974, -1.6942559 53.9056934, -1.6943954 53.9056819)",A659,,
4015044,,East Chevin Road,tertiary,30 mph,False,True,43.086000000000006,"LINESTRING (-1.689513 53.9015602, -1.6896348 53.9017703, -1.6896697 53.9018455, -1.6896603 53.9018889, -1.6896181 53.9019249)",,,
4525818,,Forest Gate,residential,,False,True,48.212,"LINESTRING (-1.689513 53.9015602, -1.6898114 53.9014929, -1.6902018 53.9014076)",,,
4007578,,Riverdale Road,residential,,False,False,105.519,"LINESTRING (-1.6923897 53.9080524, -1.6923101 53.9080579, -1.6918245 53.9081895, -1.6914167 53.908303, -1.6910942 53.9083938, -1.6909868 53.9084182, -1.6909179 53.9084318)",,,
118447176,,Manor Street,residential,,True,False,132.279,"LINESTRING (-1.6923897 53.9080524, -1.6924078 53.9081458, -1.6924441 53.9082006, -1.6925975 53.9082793, -1.6930557 53.908514, -1.6937605 53.9088887)",,,
965748756,,North Parade,residential,,False,True,62.391,"LINESTRING (-1.6923897 53.9080524, -1.6923175 53.9076146, -1.6922964 53.907494)",,,
4007577,,North Avenue,residential,,False,False,114.41999999999999,"LINESTRING (-1.6909179 53.9084318, -1.6905892 53.9079744, -1.690231 53.9074857)",,,
4007578,,Riverdale Road,residential,,False,True,105.519,"LINESTRING (-1.6909179 53.9084318, -1.6909868 53.9084182, -1.6910942 53.9083938, -1.6914167 53.908303, -1.6918245 53.9081895, -1.6923101 53.9080579, -1.6923897 53.9080524)",,,
