osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,lanes,junction,bridge
"[4482876, 843054613]",Northcote Avenue,residential,20 mph,False,"[False, True]",191.73399999999998,"LINESTRING (-0.2990068 51.5138545, -0.2991079 51.5137629, -0.2997645 51.5133763, -0.2996082 51.512495, -0.2998642 51.5124561)",,,,
"[759082753, 759082762, 223890658]","['Uxbridge Road', 'The Mall']",primary,20 mph,False,"[False, True]",138.70999999999998,"LINESTRING (-0.2990068 51.5138545, -0.2990703 51.5138779, -0.2992369 51.5139362, -0.2995571 51.5140271, -0.2997524 51.5140523, -0.2998264 51.5140649, -0.2998937 51.5140724, -0.300032 51.5140877, -0.3002098 51.5140882, -0.3003277 51.5140851, -0.3009341 51.5140712)",A4020,,,
"[759082753, 759082756]",Uxbridge Road,primary,20 mph,False,True,29.546,"LINESTRING (-0.2990068 51.5138545, -0.2986906 51.5137519, -0.2986294 51.5137303)",A4020,,,
999733092,The Grove,residential,20 mph,False,True,148.265,"LINESTRING (-0.2981001 51.5112418, -0.2990604 51.5112192, -0.3000037 51.5111264, -0.3001662 51.5111024, -0.300224 51.5110938)",,,,
"[759082753, 223890658, 759082762]","['Uxbridge Road', 'The Mall']",primary,20 mph,False,"[False, True]",138.71,"LINESTRING (-0.3009341 51.5140712, -0.3003277 51.5140851, -0.3002098 51.5140882, -0.300032 51.5140877, -0.2998937 51.5140724, -0.2998264 51.5140649, -0.2997524 51.5140523, -0.2995571 51.5140271, -0.2992369 51.5139362, -0.2990703 51.5138779, -0.2990068 51.5138545)",A4020,,,
223890658,The Mall,primary,20 mph,False,True,38.484,"LINESTRING (-0.3009341 51.5140712, -0.3012199 51.5140598, -0.3014891 51.5140491)",A4020,,,
"[759088833, 759088834, 4482638]",Windsor Road,residential,20 mph,False,True,80.71400000000001,"LINESTRING (-0.3009341 51.5140712, -0.3008402 51.5136932, -0.3007843 51.5134832, -0.3007891 51.5134492, -0.3008074 51.5134392, -0.3008358 51.5134306, -0.3009329 51.5134187)",,,,
314222079,Springbridge Road,tertiary,20 mph,True,False,14.775,"LINESTRING (-0.304221 51.5133125, -0.3042999 51.5133449, -0.3043287 51.5133646, -0.3043388 51.5134116)",,1,,
314222081,The Broadway,primary,20 mph,True,False,35.518,"LINESTRING (-0.304221 51.5133125, -0.3040476 51.5133724, -0.3039136 51.5134181, -0.3037667 51.5134608)",A4020,2,,
23134047,Craven Road,residential,20 mph,False,True,113.394,"LINESTRING (-0.3108591 51.5123016, -0.3109532 51.5125078, -0.3111774 51.5129634, -0.3113185 51.5132804)",,,,
