osmid,lanes,ref,highway,maxspeed,junction,oneway,reversed,length,geometry,name,width,access,bridge
26386071,3,A39,trunk,30 mph,roundabout,True,False,27.869,"LINESTRING (-5.0491034 50.2604858, -5.0491723 50.2605303, -5.0492137 50.2605871, -5.049223 50.2606495, -5.0491992 50.2607103)",,,,
1191549364,2,,trunk,30 mph,roundabout,True,False,11.779,"LINESTRING (-5.0467371 50.2633954, -5.0467442 50.2634592, -5.0467516 50.2635009)",Trafalgar Roundabout,,,
37345472,,,tertiary,30 mph,,False,False,17.381,"LINESTRING (-5.0458021 50.2636132, -5.0455634 50.2635793)",St Clement's Hill,,,
1249689023,2,,trunk,30 mph,roundabout,True,False,27.467,"LINESTRING (-5.0458021 50.2636132, -5.0458205 50.263548, -5.0458622 50.2634904, -5.0459539 50.2633888)",Trafalgar Roundabout,,,
46831519,2,A39,trunk,30 mph,,True,False,78.325,"LINESTRING (-5.0462339 50.2638244, -5.0458948 50.2639082, -5.0457575 50.2639527, -5.0457049 50.2639698, -5.0455225 50.2640649, -5.0453179 50.2641963)",Tregolls Road,,,
"[1191549366, 1191549367]",2,,trunk,30 mph,roundabout,True,False,34.138,"LINESTRING (-5.0462339 50.2638244, -5.0461384 50.263826, -5.046016 50.26381, -5.0458957 50.2637663, -5.0458222 50.2637045)",Trafalgar Roundabout,,,
26386071,3,A39,trunk,30 mph,roundabout,True,False,6.742,"LINESTRING (-5.0486798 50.2605421, -5.0487139 50.2605162, -5.0487431 50.260497)",,,,
26386071,3,A39,trunk,30 mph,roundabout,True,False,25.513,"LINESTRING (-5.0487146 50.2607586, -5.0486831 50.2607283, -5.0486586 50.2606911, -5.0486453 50.2606388, -5.0486558 50.2605863, -5.0486798 50.2605421)",,,,
26386072,1,,tertiary,,,True,False,43.515,"LINESTRING (-5.0487146 50.2607586, -5.0485584 50.2607068, -5.0484302 50.2606582, -5.0483143 50.2606194, -5.0481779 50.2605706)",,,,
26386071,3,A39,trunk,30 mph,roundabout,True,False,1.977,"LINESTRING (-5.0487362 50.2607698, -5.0487146 50.2607586)",,,,
26386074,1,,tertiary,,,True,False,35.949,"LINESTRING (-5.0481779 50.2605706, -5.0483412 50.2605714, -5.0484256 50.2605697, -5.0485115 50.2605627, -5.0486798 50.2605421)",,,,
31669869,,,tertiary,30 mph,,True,False,109.459,"LINESTRING (-5.0563584 50.2636829, -5.0563388 50.2637169, -5.0563288 50.2637478, -5.0563187 50.2637829, -5.056312 50.2638121, -5.056311 50.2638962, -5.0562959 50.2639634, -5.0562959 50.2639821, -5.0562967 50.2639987, -5.056316 50.2640569, -5.0563176 50.2646615)",Edward Street,,,
"[1056410666, 48648535]",2,,tertiary,30 mph,,False,True,68.756,"LINESTRING (-5.0563584 50.2636829, -5.0569172 50.2637325, -5.0571421 50.2637534, -5.0571938 50.2637555, -5.057234 50.2637529, -5.0572747 50.2637452, -5.0573093 50.2637309)","['Frances Street', 'Ferris Town']",,,
48648536,1,,unclassified,,,True,False,14.916,"LINESTRING (-5.0563176 50.2646615, -5.0563227 50.2647956)",Edward Street,,,
48648539,,,tertiary,30 mph,,True,False,13.905,"LINESTRING (-5.0563176 50.2646615, -5.0562835 50.264686, -5.0562487 50.2647012, -5.0562125 50.2647118, -5.0561509 50.264718)",Union Street,,,
31669870,,,tertiary,30 mph,,True,False,14.235,"LINESTRING (-5.0554929 50.2648158, -5.0555305 50.2647912, -5.0555571 50.2647664, -5.0555737 50.2647369, -5.0555744 50.2647047)",Castle Street,,,
147580666,,,tertiary,30 mph,,False,True,58.105999999999995,"LINESTRING (-5.0554929 50.2648158, -5.0554683 50.264823, -5.0553182 50.2648666, -5.0552359 50.2648967, -5.0551571 50.2649255, -5.0550033 50.2650001, -5.0548094 50.2650978)",Union Street,,,
48648538,2,B3284,secondary,,,False,False,106.031,"LINESTRING (-5.0544237 50.2653203, -5.0544592 50.2653827, -5.0544941 50.2654222, -5.0545426 50.2654912, -5.0545808 50.2655441, -5.0546288 50.2656007, -5.0547045 50.2656756, -5.0547869 50.2657432, -5.054865 50.2658058, -5.0549476 50.265862, -5.0550146 50.2658955, -5.0550844 50.265924, -5.055234 50.2659849, -5.0553567 50.2660306)",Pydar Street,,,
"[184877600, 114327761]",2,B3284,secondary,30 mph,,False,True,161.394,"LINESTRING (-5.0544237 50.2653203, -5.0543273 50.2652876, -5.0542944 50.2652695, -5.0542656 50.2652507, -5.0542372 50.2652293, -5.0542124 50.265207, -5.054113 50.2651236, -5.054085 50.2651062, -5.0540519 50.2650952, -5.0540206 50.265089, -5.0539841 50.2650858, -5.0539354 50.2650876, -5.0538893 50.2650943, -5.0538552 50.2651051, -5.0538259 50.265119, -5.0536609 50.2652185, -5.0534365 50.2653603, -5.0531962 50.2655062, -5.0530462 50.2655586, -5.0529166 50.2655919, -5.0527908 50.2656179, -5.0526928 50.2656333, -5.0526017 50.265642)","['Pydar Street', 'St Clement Street']",,,
147580666,,,tertiary,30 mph,,False,False,36.946,"LINESTRING (-5.0544237 50.2653203, -5.0545023 50.265271, -5.0547148 50.2651473, -5.0548094 50.2650978)",Union Street,,,
48648533,1,,tertiary,30 mph,,True,False,64.854,"LINESTRING (-5.055457 50.2635927, -5.0563584 50.2636829)",Frances Street,7.5,,
"[164933896, 48648529, 48648542]",,,unclassified,,,True,False,248.57499999999996,"LINESTRING (-5.055457 50.2635927, -5.0544572 50.2635244, -5.0541916 50.2635104, -5.0538776 50.2634857, -5.0536614 50.2634375, -5.0533656 50.2633656, -5.0532573 50.2633143, -5.0531732 50.2632776, -5.0531162 50.2632472, -5.053096 50.2632257, -5.0530833 50.2632103, -5.0530786 50.2631935, -5.0530773 50.2631734, -5.053084 50.2631571, -5.0530958 50.2631343, -5.0532027 50.2630994, -5.0532711 50.2630892, -5.0533275 50.2630845, -5.0533448 50.263083, -5.0534353 50.263077, -5.0536527 50.2630717, -5.0536821 50.2630684, -5.0537069 50.2630568, -5.0537136 50.2630495, -5.0537438 50.2630341, -5.0537765 50.2630288, -5.0539203 50.2630374)","['River Street', 'Victoria Square']",,,
31669871,2,,tertiary,,,False,False,38.61,"LINESTRING (-5.058518 50.2631733, -5.0584999 50.2631072, -5.0584894 50.2630424, -5.0584853 50.2629743, -5.0584921 50.2628939, -5.058494 50.2628276)",George Street,,,
54682816,,,tertiary,30 mph,,False,False,46.42,"LINESTRING (-5.058518 50.2631733, -5.0584584 50.2632195, -5.0583687 50.2632686, -5.058256 50.2633167, -5.0580042 50.2634276)",Ferris Town,6.2,,
31669871,2,,tertiary,,,False,True,15.103,"LINESTRING (-5.0584589 50.2626949, -5.058476 50.2627199, -5.0584881 50.2627603, -5.058494 50.2628276)",George Street,,,
1056305554,,,tertiary,,,False,False,28.444,"LINESTRING (-5.0584589 50.2626949, -5.0584022 50.2626462, -5.0583377 50.2626065, -5.0582733 50.2625774, -5.0582037 50.2625502, -5.0581529 50.2625364)",Bosvigo Road,,,
37345467,,,tertiary,,,False,False,73.53099999999999,"LINESTRING (-5.0581529 50.2625364, -5.0581051 50.2625287, -5.0580493 50.2625247, -5.0579751 50.2625292, -5.0578913 50.2625382, -5.0577337 50.2625562, -5.0574823 50.2625802, -5.0572888 50.2625956, -5.057234 50.2625999, -5.0572072 50.2626003, -5.057181 50.2625994, -5.0571556 50.2625956, -5.057131 50.2625905)",Kenwyn Street,,,
1056305554,,,tertiary,,,False,True,28.444000000000003,"LINESTRING (-5.0581529 50.2625364, -5.0582037 50.2625502, -5.0582733 50.2625774, -5.0583377 50.2626065, -5.0584022 50.2626462, -5.0584589 50.2626949)",Bosvigo Road,,,
164929308,,,tertiary,30 mph,,False,True,162.839,"LINESTRING (-5.0511948 50.2625081, -5.0512195 50.2624931, -5.0512433 50.2624763, -5.0514364 50.2622938, -5.0516533 50.2621135, -5.0519096 50.2619008, -5.052592 50.2613486)",Lemon Street,,,
48648534,,,unclassified,,,True,False,61.293,"LINESTRING (-5.0553996 50.2630427, -5.055457 50.2635927)",Little Castle Street,,,
770332817,,,unclassified,,,True,False,138.677,"LINESTRING (-5.0553996 50.2630427, -5.0554826 50.2630313, -5.0557397 50.2630175, -5.0558788 50.2630161, -5.0559912 50.2630149, -5.0561115 50.2630071, -5.0562106 50.2629967, -5.0562302 50.2629946, -5.0562565 50.2629894, -5.0562838 50.2629801, -5.0565189 50.2628863, -5.0567168 50.2627962, -5.0569936 50.2626754, -5.0570476 50.2626633, -5.0570684 50.2626547, -5.0570825 50.2626466, -5.0570925 50.262638, -5.0571086 50.2626149, -5.057131 50.2625905)",Kenwyn Street,,,
"[40993800, 1173638154, 31669876, 1259147765]",,,unclassified,,,False,False,116.37100000000001,"LINESTRING (-5.0519341 50.2632703, -5.0519929 50.2633677, -5.0519993 50.2633789, -5.0520332 50.2634379, -5.052054 50.2634662, -5.0520996 50.2635287, -5.0521304 50.2635905, -5.0522072 50.263732, -5.0522585 50.2638177, -5.0522946 50.2638725, -5.0523065 50.2638897, -5.0523282 50.2639024, -5.0523571 50.2639227, -5.0523672 50.2639368, -5.0523752 50.2639518, -5.0523745 50.2639737, -5.0523659 50.2639915, -5.0523541 50.2640071, -5.052337 50.2640204, -5.0523189 50.2640311, -5.0522967 50.2640398, -5.0522706 50.2640449, -5.0522424 50.264047, -5.0522035 50.2640466, -5.0521607 50.2640417, -5.0520795 50.2640294, -5.0520299 50.2640131, -5.0519992 50.2640086)","['High Cross', 'King Street']","['4.6', '4.8']",no,
"[37285283, 440834934]",,,unclassified,,,False,True,98.05799999999999,"LINESTRING (-5.0476992 50.2626161, -5.0478509 50.2626843, -5.0479055 50.2627045, -5.0479742 50.2627254, -5.048056 50.2627448, -5.0481434 50.2627635, -5.0485699 50.2628546, -5.0487085 50.2628918, -5.0488338 50.2629744, -5.0489017 50.2629973, -5.0489192 50.2630015)",Quay Street,,yes,
"[285265992, 295621129, 295621135]",2,A39,trunk,30 mph,,True,False,113.37500000000001,"LINESTRING (-5.0476992 50.2626161, -5.0476559 50.2626501, -5.0474308 50.2627932, -5.0472591 50.2629046, -5.0469458 50.2631128, -5.0468247 50.2631974, -5.0467584 50.2632748, -5.0467412 50.263296, -5.0467305 50.2633187, -5.0467285 50.263344, -5.0467371 50.2633954)",Morlaix Avenue,,,yes
1259149614,2,,trunk,30 mph,roundabout,True,False,15.573999999999998,"LINESTRING (-5.0464397 50.26378, -5.0463572 50.2638074, -5.0462339 50.2638244)",Trafalgar Roundabout,,,
40993801,,,unclassified,,,False,True,126.223,"LINESTRING (-5.0493684 50.2646276, -5.0496799 50.2644474, -5.0497189 50.2644248, -5.0497661 50.2643985, -5.0498237 50.2643899, -5.0499263 50.2643389, -5.0500391 50.2642868, -5.0502161 50.2641949, -5.0503753 50.2641167, -5.0505976 50.2639664, -5.0506157 50.2639518, -5.0506324 50.2639377, -5.0506452 50.2639223, -5.0506525 50.2639073, -5.0506626 50.2638753)",Old Bridge Street,,,
48648541,2,B3284,secondary,30 mph,,False,False,63.117,"LINESTRING (-5.0493684 50.2646276, -5.0496536 50.2647911, -5.049698 50.2648164, -5.0498697 50.2649105, -5.0499613 50.2649553, -5.0500484 50.2649915)",St Clement Street,,,
48648541,2,B3284,secondary,30 mph,,False,True,27.466,"LINESTRING (-5.0493684 50.2646276, -5.0492489 50.2645792, -5.049042 50.2644954)",St Clement Street,,,
37284879,2,B3284,secondary,30 mph,,False,False,126.21300000000001,"LINESTRING (-5.0509434 50.2652655, -5.0511114 50.2653247, -5.0514165 50.2654213, -5.0517074 50.2654977, -5.0517635 50.2655113, -5.051804 50.2655211, -5.0520039 50.2655662, -5.0520323 50.2655726, -5.0522262 50.2656091, -5.0523223 50.265626, -5.0524201 50.2656393, -5.0525108 50.2656416, -5.0526017 50.265642)",St Clement Street,,,
