osmid,oneway,highway,reversed,length,geometry,ref,name,maxspeed,lanes,bridge,access
4714983,True,unclassified,False,34.412,"LINESTRING (-2.5149706 53.2602842, -2.5150443 53.2603502, -2.5151036 53.2604629, -2.5151375 53.260573)",,,,,,
"[1168771888, 24318757, 1169386646]",True,trunk,False,96.931,"LINESTRING (-2.5149706 53.2602842, -2.5147834 53.260309, -2.5144203 53.2603616, -2.5143057 53.2603774, -2.5142375 53.260395, -2.5139883 53.2604647, -2.5137766 53.2605352, -2.5136173 53.2605887)",A559,Watling Street,30 mph,,,
337119774,True,unclassified,False,72.05799999999999,"LINESTRING (-2.5091508 53.2612109, -2.5091234 53.2613422, -2.5091188 53.2615766, -2.5091223 53.261722, -2.509137 53.2618576)",,Meadow Street,,,,
337119775,True,primary,False,58.051,"LINESTRING (-2.5091508 53.2612109, -2.5089895 53.2611971, -2.5088772 53.2611854, -2.5087507 53.2611691, -2.508625 53.2611494, -2.5085814 53.2611421, -2.5085265 53.2611328, -2.5083028 53.2610914)",A559,Chester Way,30 mph,,,
"[328466002, 4714980, 4714981, 327956526]",False,unclassified,False,310.913,"LINESTRING (-2.5151375 53.260573, -2.5152362 53.2605791, -2.5153327 53.2606012, -2.5154332 53.2606258, -2.5154511 53.2606302, -2.5155581 53.2606981, -2.5155878 53.2608112, -2.5154105 53.2613217, -2.5153954 53.2615604, -2.5153932 53.2615878, -2.515379 53.2616938, -2.515364 53.261729, -2.5153431 53.2617588, -2.5153086 53.2617916, -2.5152596 53.2618111, -2.5145766 53.2619548, -2.5145403 53.2619662, -2.5145045 53.2619775, -2.514453 53.2619956, -2.514116 53.2621012, -2.5138977 53.2621707, -2.5138333 53.2621912, -2.5135027 53.2623068, -2.5133371 53.2623884, -2.5132981 53.2624436)",,Weaver Way,,,,
"[4713978, 4713979]",False,"['residential', 'unclassified']","[False, True]",242.858,"LINESTRING (-2.5077578 53.2627, -2.508541 53.2626406, -2.5087985 53.2626242, -2.5089779 53.2626046, -2.5091006 53.2626, -2.5091761 53.2625972, -2.5097959 53.2627179, -2.5098864 53.2627271, -2.5100931 53.2627177, -2.5103676 53.2626987, -2.5107029 53.2626308, -2.5106199 53.2624783, -2.5105665 53.2622577)",,"['Tabley Street', 'Albion Road']",,,,
245227319,True,tertiary,False,34.168,"LINESTRING (-2.5077578 53.2627, -2.5077165 53.2625484, -2.5076848 53.2623959)",,Venables Road,,1,,
946137192,False,tertiary,True,36.684,"LINESTRING (-2.5077578 53.2627, -2.5077072 53.2628009, -2.5076626 53.2628832, -2.5075737 53.2630106)",,Venables Road,30 mph,,,
9966816,False,unclassified,False,73.54599999999999,"LINESTRING (-2.5140226 53.2581444, -2.5140189 53.2580785, -2.5140069 53.2578682, -2.5139935 53.2575097, -2.5139967 53.2574833)",,Queen Street,,,,
23622834,True,trunk,False,110.531,"LINESTRING (-2.5140226 53.2581444, -2.5142047 53.2581038, -2.5144449 53.2580954, -2.5148133 53.2580916, -2.5150162 53.2580931, -2.5154892 53.2580967, -2.5156688 53.2581154)",A5509,Chester Way,30 mph,2,,
