osmid,oneway,lanes,ref,highway,maxspeed,access,reversed,length,name,geometry,junction
163720406,True,2,A259,trunk,30 mph,yes,False,11.205,,"LINESTRING (0.4681469 50.8457324, 0.4683061 50.8457253)",
446121675,False,2,,unclassified,30 mph,,True,286.205,Belle Hill,"LINESTRING (0.4772814 50.8454422, 0.4771808 50.845428, 0.4771175 50.845419, 0.4770337 50.8453961, 0.4766079 50.8451669, 0.4765105 50.8451325, 0.4764003 50.8451185, 0.4762959 50.8451237, 0.4761926 50.8451467, 0.4760101 50.8452046, 0.4755094 50.8454061, 0.4752783 50.8454812, 0.4742157 50.845788, 0.4736439 50.8458872)",
247450194,False,,,unclassified,30 mph,,False,104.428,Amherst Road,"LINESTRING (0.4714838 50.8428783, 0.4714437 50.8438171)",
4544034,False,,,residential,30 mph,,False,152.778,Mitten Road,"LINESTRING (0.4714838 50.8428783, 0.4724024 50.842884, 0.4726463 50.8436628)",
247450194,False,,,unclassified,30 mph,,True,158.323,Amherst Road,"LINESTRING (0.4714838 50.8428783, 0.4715054 50.8423719, 0.4715111 50.8421278, 0.4715248 50.8419117, 0.4715281 50.8418412, 0.4715367 50.8416393, 0.4715681 50.8415236, 0.4715953 50.8414589)",
4543039,False,2,B2182,secondary,20 mph,,False,37.403999999999996,Marina,"LINESTRING (0.4706945 50.8378726, 0.4707251 50.8378722, 0.4711129 50.8378677, 0.471227 50.8378649)",
5198926,True,1,B2182,secondary,20 mph,,False,20.235,Marina,"LINESTRING (0.4706945 50.8378726, 0.4705155 50.8378461, 0.4704119 50.8378384)",
5198871,True,1,B2182,secondary,30 mph,,False,25.814,West Parade,"LINESTRING (0.4703582 50.8378054, 0.4703327 50.8377733, 0.4702797 50.8377066, 0.4701532 50.8376149)",
773020227,True,1,,secondary,30 mph,,False,13.79,,"LINESTRING (0.4703582 50.8378054, 0.4702827 50.8377968, 0.4702235 50.8378049, 0.4701709 50.8378219)",roundabout
313391598,True,1,,tertiary,30 mph,,False,22.85,Sackville Road,"LINESTRING (0.4701053 50.8381355, 0.4702296 50.8380333, 0.4702996 50.8379707)",
446121692,False,2,,tertiary,30 mph,,True,133.042,Sackville Road,"LINESTRING (0.4701053 50.8381355, 0.4700826 50.8382215, 0.4698394 50.8393201)",
5198870,True,1,B2182,secondary,30 mph,,False,23.061999999999998,West Parade,"LINESTRING (0.4701532 50.8376149, 0.4701677 50.8377261, 0.4701709 50.8378219)",
691291047,False,2,B2182,secondary,30 mph,,False,66.414,Marina,"LINESTRING (0.4747111 50.8378127, 0.4747983 50.8378227, 0.4751031 50.837863, 0.4756376 50.8379326)",
691291047,False,2,B2182,secondary,30 mph,,True,35.167,Marina,"LINESTRING (0.4747111 50.8378127, 0.4745481 50.8377965, 0.4743904 50.8377871, 0.4742132 50.8377818)",
28940312,False,,,unclassified,30 mph,,False,291.82,Beeching Road,"LINESTRING (0.468457 50.8452608, 0.4683634 50.8451945, 0.4681638 50.8450578, 0.4679617 50.8449179, 0.4678894 50.8448701, 0.4677734 50.8447871, 0.4674717 50.8445824, 0.4673966 50.8445307, 0.4673309 50.8444868, 0.4672526 50.8444344, 0.4669974 50.8442665, 0.466847 50.8441665, 0.4668002 50.8441356, 0.4667619 50.8441104, 0.4661749 50.8437246, 0.4660527 50.8436386, 0.4659149 50.8435449, 0.4656191 50.8433437)",
133959208,False,2,A269,primary,30 mph,,False,189.35199999999995,London Road,"LINESTRING (0.468457 50.8452608, 0.4686067 50.8451444, 0.468781 50.8450278, 0.468868 50.8449679, 0.4691106 50.8447943, 0.4691486 50.8447605, 0.4692522 50.8446682, 0.4693094 50.8446087, 0.4693703 50.8445254, 0.4694159 50.844446, 0.4694351 50.84437, 0.4694621 50.8442057, 0.4694659 50.844135, 0.4694767 50.8440224, 0.4694891 50.8439186, 0.4694904 50.8438777, 0.4695011 50.8437692)",
412087384,False,3,A269,primary,30 mph,,True,42.303,London Road,"LINESTRING (0.468457 50.8452608, 0.468402 50.8453169, 0.4682796 50.8454797, 0.4682545 50.8455188, 0.4682246 50.8456089)",
158059331,True,,,residential,30 mph,,False,136.499,Chepbourne Road,"LINESTRING (0.4695011 50.8437692, 0.4714437 50.8438171)",
133959208,False,2,A269,primary,30 mph,,False,192.842,London Road,"LINESTRING (0.4695011 50.8437692, 0.469525 50.8433656, 0.469528 50.8433325, 0.4695472 50.8431581, 0.4695689 50.8426883, 0.4695743 50.8426147, 0.4696019 50.8422225, 0.4696355 50.8421272, 0.4696815 50.8420436)",
133959208,False,2,A269,primary,30 mph,,True,189.352,London Road,"LINESTRING (0.4695011 50.8437692, 0.4694904 50.8438777, 0.4694891 50.8439186, 0.4694767 50.8440224, 0.4694659 50.844135, 0.4694621 50.8442057, 0.4694351 50.84437, 0.4694159 50.844446, 0.4693703 50.8445254, 0.4693094 50.8446087, 0.4692522 50.8446682, 0.4691486 50.8447605, 0.4691106 50.8447943, 0.468868 50.8449679, 0.468781 50.8450278, 0.4686067 50.8451444, 0.468457 50.8452608)",
133959208,False,2,A269,primary,30 mph,,True,61.378,London Road,"LINESTRING (0.4701125 50.8415634, 0.4698712 50.8418269, 0.4696815 50.8420436)",
1053343346,True,1,A269,primary,30 mph,,False,30.759,London Road,"LINESTRING (0.4701125 50.8415634, 0.4703735 50.8414753, 0.4705099 50.8414501)",
22498808,True,1,A269,primary,30 mph,,False,26.135,Buckhurst Road,"LINESTRING (0.471227 50.841425, 0.471377 50.8414376, 0.471427 50.8414425, 0.4715953 50.8414589)",
