osmid,oneway,highway,maxspeed,reversed,length,geometry,lanes,ref,name,bridge,junction
"[386777337, 68195147]",False,tertiary,20 mph,False,60.269999999999996,"LINESTRING (-2.8957652 51.7060392, -2.8958178 51.7063053, -2.8958716 51.7065772)",,,,,
120460679,False,primary,20 mph,True,194.13299999999998,"LINESTRING (-2.8957652 51.7060392, -2.8961916 51.7060052, -2.8965463 51.7059552, -2.8967745 51.705923, -2.8972196 51.7058412, -2.8978361 51.7057034, -2.8984463 51.705532)",2,A472,,,
38126871,False,primary,20 mph,False,267.435,"LINESTRING (-2.9062722 51.7019388, -2.9060433 51.7020585, -2.9054881 51.7023488, -2.9054504 51.7023682, -2.9052446 51.7024745, -2.9051145 51.7025397, -2.9048524 51.7026901, -2.9044996 51.7029353, -2.9040775 51.7031902, -2.9040547 51.703204, -2.9033646 51.7035243)",2,A472,Bridge Street,,
68193377,False,unclassified,20 mph,False,168.075,"LINESTRING (-2.9062722 51.7019388, -2.905901 51.7016624, -2.9056752 51.7014942, -2.9056473 51.7014734, -2.9053604 51.7013486, -2.9053292 51.7013258, -2.9052003 51.7012316, -2.9051085 51.7011644, -2.9051019 51.7011515, -2.9048906 51.7007379)",2,,New Market Street,,
"[1237385341, 98608051, 38126869]",False,primary,20 mph,True,100.06899999999999,"LINESTRING (-2.9062722 51.7019388, -2.9064429 51.7018933, -2.9075939 51.7017808, -2.9076924 51.7017948)",2,A472,,yes,
"[23627445, 68194174]",False,unclassified,20 mph,False,222.25400000000002,"LINESTRING (-2.9025658 51.7020933, -2.9025192 51.702123, -2.9019612 51.7022557, -2.9013865 51.7024368, -2.9013399 51.7024537, -2.9012357 51.7024914, -2.9014439 51.7026941, -2.9016459 51.702868, -2.9019327 51.7031151, -2.9019926 51.7031854, -2.9020368 51.7032818, -2.9020129 51.7034215)",2,,"['Church Street', 'Priory Street']",,
839768048,False,unclassified,20 mph,True,89.36099999999999,"LINESTRING (-2.9025658 51.7020933, -2.9025639 51.7020613, -2.9025223 51.7019772, -2.9023329 51.7015946, -2.9021988 51.7013236)",2,,Maryport Street,,
"[23627445, 68194174]",False,unclassified,20 mph,True,222.25400000000002,"LINESTRING (-2.9020129 51.7034215, -2.9020368 51.7032818, -2.9019926 51.7031854, -2.9019327 51.7031151, -2.9016459 51.702868, -2.9014439 51.7026941, -2.9012357 51.7024914, -2.9013399 51.7024537, -2.9013865 51.7024368, -2.9019612 51.7022557, -2.9025192 51.702123, -2.9025658 51.7020933)",2,,"['Church Street', 'Priory Street']",,
98608033,True,tertiary,20 mph,False,17.689,"LINESTRING (-2.9020129 51.7034215, -2.9020609 51.703433, -2.9021002 51.7034534, -2.9021267 51.7034806, -2.9021376 51.7035117, -2.9021316 51.7035433)",,,Twyn Square,,roundabout
131388207,False,primary,20 mph,False,6.157,"LINESTRING (-2.9033646 51.7035243, -2.9032892 51.703554)",2,A472,Bridge Street,,
23627460,True,unclassified,20 mph,False,103.02399999999999,"LINESTRING (-2.9033646 51.7035243, -2.9033501 51.7034916, -2.9031998 51.7031529, -2.9031473 51.7030374, -2.9030925 51.7029461, -2.9030409 51.7028601, -2.9029774 51.7027543, -2.9029432 51.7026973, -2.9029103 51.7026425)",2,,Maryport Street,,
38126871,False,primary,20 mph,True,267.435,"LINESTRING (-2.9033646 51.7035243, -2.9040547 51.703204, -2.9040775 51.7031902, -2.9044996 51.7029353, -2.9048524 51.7026901, -2.9051145 51.7025397, -2.9052446 51.7024745, -2.9054504 51.7023682, -2.9054881 51.7023488, -2.9060433 51.7020585, -2.9062722 51.7019388)",2,A472,Bridge Street,,
"[509877552, 35599041, 509877551]",True,tertiary,20 mph,False,207.414,"LINESTRING (-2.8984463 51.705532, -2.8983722 51.7056372, -2.8972514 51.7061163, -2.8971453 51.7061627, -2.8968779 51.7062799, -2.8967155 51.706351, -2.8962735 51.7065701, -2.8960648 51.7066448)",2,,Monmouth Road,yes,
120460679,False,primary,20 mph,False,194.13299999999998,"LINESTRING (-2.8984463 51.705532, -2.8978361 51.7057034, -2.8972196 51.7058412, -2.8967745 51.705923, -2.8965463 51.7059552, -2.8961916 51.7060052, -2.8957652 51.7060392)",2,A472,,,
120460679,False,primary,20 mph,True,114.07900000000001,"LINESTRING (-2.8984463 51.705532, -2.8990924 51.7053097, -2.8995731 51.7051199, -2.8996776 51.7050744, -2.8998657 51.7050051)",2,A472,,,
"[38126869, 98608051, 1237385341]",False,primary,20 mph,False,100.06899999999999,"LINESTRING (-2.9076924 51.7017948, -2.9075939 51.7017808, -2.9064429 51.7018933, -2.9062722 51.7019388)",2,A472,,yes,
68193377,False,unclassified,20 mph,False,80.458,"LINESTRING (-2.9048906 51.7007379, -2.9046735 51.7003811, -2.9045777 51.7002605, -2.9044509 51.7001488, -2.9043605 51.7001048)",2,,New Market Street,,
68193377,False,unclassified,20 mph,True,168.075,"LINESTRING (-2.9048906 51.7007379, -2.9051019 51.7011515, -2.9051085 51.7011644, -2.9052003 51.7012316, -2.9053292 51.7013258, -2.9053604 51.7013486, -2.9056473 51.7014734, -2.9056752 51.7014942, -2.905901 51.7016624, -2.9062722 51.7019388)",2,,New Market Street,,
68193377,False,unclassified,20 mph,True,80.458,"LINESTRING (-2.9043605 51.7001048, -2.9044509 51.7001488, -2.9045777 51.7002605, -2.9046735 51.7003811, -2.9048906 51.7007379)",2,,New Market Street,,
68193382,False,unclassified,20 mph,True,19.589,"LINESTRING (-2.9043605 51.7001048, -2.9042758 51.7001023, -2.9041895 51.7001217, -2.9040995 51.7001583)",,,Old Market Street,,
839768048,False,unclassified,20 mph,False,31.963,"LINESTRING (-2.9020681 51.7010478, -2.9021988 51.7013236)",2,,Maryport Street,,
68193382,False,unclassified,20 mph,False,85.78999999999999,"LINESTRING (-2.9020681 51.7010478, -2.9024865 51.7008688, -2.9025918 51.7008269, -2.903106 51.700622)",,,Old Market Street,,
839768048,False,unclassified,20 mph,True,83.685,"LINESTRING (-2.9020681 51.7010478, -2.9019966 51.7009088, -2.9016991 51.7003308)",2,,Maryport Street,,
68193382,False,unclassified,20 mph,False,19.589000000000002,"LINESTRING (-2.9040995 51.7001583, -2.9041895 51.7001217, -2.9042758 51.7001023, -2.9043605 51.7001048)",,,Old Market Street,,
68193382,False,unclassified,20 mph,True,85.89099999999999,"LINESTRING (-2.9040995 51.7001583, -2.903731 51.7003245, -2.9034864 51.7004647, -2.9032603 51.7005619, -2.903106 51.700622)",,,Old Market Street,,
68194269,False,residential,30 mph,False,7.738,"LINESTRING (-2.8978437 51.7035585, -2.8978556 51.7036277)",2,,Black Barn Lane,,
68194167,False,tertiary,20 mph,False,72.848,"LINESTRING (-2.8978437 51.7035585, -2.898026 51.7035369, -2.8981136 51.7035075, -2.8981965 51.7034694, -2.8984868 51.7032869, -2.8985763 51.7032306, -2.8986934 51.7031991)",,,Four Ash Street,,
8239982,False,primary,20 mph,True,111.485,"LINESTRING (-2.901058 51.7044923, -2.9023905 51.7039237)",2,A472,Castle Parade,,
"[8239982, 120460679]",False,primary,20 mph,False,100.02600000000001,"LINESTRING (-2.901058 51.7044923, -2.9004091 51.704768, -2.9000345 51.7049375, -2.8998657 51.7050051)",2,A472,Castle Parade,,
68194162,True,residential,20 mph,False,104.705,"LINESTRING (-2.901058 51.7044923, -2.9001197 51.7039484, -2.9000837 51.7038047)",2,,Castle Street,,
68194167,False,tertiary,20 mph,True,46.319,"LINESTRING (-2.9000837 51.7038047, -2.899595 51.7035187)",,,Four Ash Street,,
68194167,False,tertiary,20 mph,False,71.168,"LINESTRING (-2.9000837 51.7038047, -2.9001725 51.7038156, -2.9002574 51.7038106, -2.9005381 51.703731, -2.9010141 51.7035624)",,,Four Ash Street,,
