osmid,name,highway,oneway,reversed,length,lanes,ref,maxspeed,geometry,bridge
235604513,Barn Field Close,residential,False,False,37.323,,,,"LINESTRING (-0.2573003 52.0862698, -0.2571483 52.0865922)",
106408578,London Road,primary,False,False,116.01599999999999,2,A6001,30 mph,"LINESTRING (-0.2573003 52.0862698, -0.2569564 52.0862157, -0.2565377 52.08612, -0.2557407 52.0858681)",
"[106408578, 1163084092]",London Road,primary,False,True,135.441,2,A6001,"['20 mph', '30 mph']","LINESTRING (-0.2573003 52.0862698, -0.2581203 52.086392, -0.2586291 52.0865069, -0.2590094 52.0866188, -0.259165 52.0866677)",
106408578,London Road,primary,False,False,195.069,2,A6001,30 mph,"LINESTRING (-0.2557407 52.0858681, -0.2539292 52.0852769, -0.2535605 52.085148, -0.2532444 52.0850189)",
106408578,London Road,primary,False,True,116.01599999999999,2,A6001,30 mph,"LINESTRING (-0.2557407 52.0858681, -0.2565377 52.08612, -0.2569564 52.0862157, -0.2573003 52.0862698)",
106408579,Dilley Croft,residential,False,False,100.309,,,,"LINESTRING (-0.2557407 52.0858681, -0.2556735 52.0859491, -0.2555743 52.0861881, -0.255577 52.086259, -0.2555354 52.0863505, -0.2554697 52.086404, -0.255366 52.0867294)",
106408578,London Road,primary,False,True,195.06900000000002,2,A6001,30 mph,"LINESTRING (-0.2532444 52.0850189, -0.2535605 52.085148, -0.2539292 52.0852769, -0.2557407 52.0858681)",
486091690,London Road,primary,False,False,85.54499999999999,2,A6001,30 mph,"LINESTRING (-0.2532444 52.0850189, -0.2529532 52.0848679, -0.2527619 52.0847159, -0.2525061 52.084411)",
979582007,Drove Road,secondary,False,True,14.667000000000002,,B1040,,"LINESTRING (-0.2532444 52.0850189, -0.2531703 52.0850805, -0.2531256 52.0851285)",
979582007,Drove Road,secondary,False,False,14.667000000000002,,B1040,,"LINESTRING (-0.2531256 52.0851285, -0.2531703 52.0850805, -0.2532444 52.0850189)",
979582007,Drove Road,secondary,False,True,132.601,,B1040,,"LINESTRING (-0.2531256 52.0851285, -0.2531352 52.085206, -0.253327 52.0855451, -0.2536604 52.0860836, -0.253733 52.0862576)",
85395335,Cooks Way,residential,False,False,125.014,,,,"LINESTRING (-0.253733 52.0862576, -0.25451 52.0861952, -0.2545763 52.0862089, -0.254623 52.0862546, -0.2546616 52.0864799, -0.2547133 52.0867976)",
979582007,Drove Road,secondary,False,False,132.601,,B1040,,"LINESTRING (-0.253733 52.0862576, -0.2536604 52.0860836, -0.253327 52.0855451, -0.2531352 52.085206, -0.2531256 52.0851285)",
979582007,Drove Road,secondary,False,True,152.121,,B1040,,"LINESTRING (-0.253733 52.0862576, -0.2537491 52.0864, -0.2537007 52.0868485, -0.2537288 52.0870552, -0.2537346 52.0870983, -0.2538469 52.0873319, -0.254008 52.0875955)",
5183723,Fairfield Road,residential,False,False,52.464,,,,"LINESTRING (-0.266153 52.091398, -0.2661107 52.0914878, -0.2661234 52.0915707, -0.2661029 52.0918655)",
27317551,Sun Street,tertiary,False,True,39.867,,,30 mph,"LINESTRING (-0.266153 52.091398, -0.2658094 52.0912212, -0.2657172 52.0911603)",
5183723,Fairfield Road,residential,False,True,52.464,,,,"LINESTRING (-0.2661029 52.0918655, -0.2661234 52.0915707, -0.2661107 52.0914878, -0.266153 52.091398)",
93373146,Fair Holme,residential,False,False,40.137,,,,"LINESTRING (-0.2661029 52.0918655, -0.2658941 52.0918585, -0.2656876 52.0918971, -0.2655251 52.0918947)",
486091690,London Road,primary,False,True,85.545,2,A6001,30 mph,"LINESTRING (-0.2525061 52.084411, -0.2527619 52.0847159, -0.2529532 52.0848679, -0.2532444 52.0850189)",
"[82081624, 27317564, 82081662]",Crab Lane,tertiary,False,False,202.122,,,30 mph,"LINESTRING (-0.2625255 52.0893838, -0.2621446 52.089207, -0.2619527 52.0891288, -0.2617914 52.0890844, -0.261675 52.0890833, -0.2612147 52.0891108, -0.2611123 52.0891057, -0.2609795 52.0890837, -0.2608839 52.0890555, -0.2606663 52.0889559, -0.260476 52.0887858, -0.2603461 52.0884628)",yes
78637097,Rose Lane,residential,False,False,86.902,,,,"LINESTRING (-0.2625255 52.0893838, -0.2625441 52.089252, -0.2625561 52.0890459, -0.2624801 52.0886625, -0.262466 52.0886064)",
399400532,Sun Street,tertiary,True,False,41.164,1,,30 mph,"LINESTRING (-0.2625255 52.0893838, -0.2626451 52.0894401, -0.2630037 52.089609)",
27200867,Rose Lane,residential,True,False,11.207,,,30 mph,"LINESTRING (-0.2622058 52.091225, -0.2622583 52.0911701, -0.2622889 52.0911381)",
"[78637176, 27200868, 78637135]",Potton Road,tertiary,False,"[False, True]",203.62300000000002,,,30 mph,"LINESTRING (-0.2622058 52.091225, -0.2620256 52.0912296, -0.2616967 52.09124, -0.2615946 52.0912524, -0.2614042 52.0912939, -0.261241 52.091344, -0.2609704 52.0914753, -0.2602075 52.0919023, -0.2597962 52.0921106, -0.2597366 52.0921359)",yes
4847298,Drove Road,secondary,False,False,7.829,,B1040,30 mph,"LINESTRING (-0.2560703 52.0910874, -0.256058 52.0910174)",
4847298,Drove Road,secondary,False,True,45.806,,B1040,30 mph,"LINESTRING (-0.2560703 52.0910874, -0.2560617 52.0911286, -0.2560167 52.0912023, -0.2558241 52.0914689)",
85570753,Edward Road,residential,False,True,90.755,,,,"LINESTRING (-0.2560703 52.0910874, -0.2563758 52.0911544, -0.256875 52.0912285, -0.2573653 52.0912362)",
8166742,Mead End,residential,False,True,19.962,,,,"LINESTRING (-0.2556652 52.0842158, -0.2557897 52.0843782)",
64105754,Apple Tree Close,residential,False,False,74.83,,,,"LINESTRING (-0.2556652 52.0842158, -0.2552712 52.0843257, -0.2548474 52.0843801, -0.254635 52.0844335)",
8166742,Mead End,residential,False,False,19.962,,,,"LINESTRING (-0.2557897 52.0843782, -0.2556652 52.0842158)",
27200872,Broadmead,residential,False,False,140.432,,,,"LINESTRING (-0.2557897 52.0843782, -0.2566694 52.0841234, -0.2574934 52.0838844, -0.2576528 52.0838455)",
64105741,Mead End,residential,False,False,90.337,,,,"LINESTRING (-0.2557897 52.0843782, -0.2562 52.0848996, -0.2564083 52.0850946)",
27200872,Broadmead,residential,False,True,140.43200000000002,,,,"LINESTRING (-0.2576528 52.0838455, -0.2574934 52.0838844, -0.2566694 52.0841234, -0.2557897 52.0843782)",
64105751,Dells Lane,tertiary,False,False,72.967,,,30 mph,"LINESTRING (-0.2576528 52.0838455, -0.2577711 52.0841055, -0.2579541 52.084475)",
27317517,Church Street,unclassified,False,False,148.938,,,,"LINESTRING (-0.2639114 52.087351, -0.2638721 52.0874541, -0.2638092 52.0876191, -0.2637576 52.0878044, -0.2637468 52.0878363, -0.263731 52.0878832, -0.2637488 52.0880491, -0.2638027 52.0883171, -0.2639574 52.0886636)",
78637179,Church Street,unclassified,False,True,68.43100000000001,,,,"LINESTRING (-0.2639114 52.087351, -0.2637943 52.0873049, -0.2636164 52.0872821, -0.2634009 52.0872941, -0.2629384 52.0873197)",
27317509,Rose Lane,residential,False,True,47.517,,,,"LINESTRING (-0.262309 52.0873532, -0.2622656 52.0873293, -0.2622071 52.0872296, -0.2621511 52.0870295, -0.2621364 52.0869475)",
78637124,Rose Lane,residential,True,False,103.507,,,,"LINESTRING (-0.262309 52.0873532, -0.2622803 52.0873975, -0.2622708 52.087559, -0.2623269 52.0879543, -0.2623702 52.0882289, -0.2624186 52.0882677)",
78637179,Church Street,unclassified,False,False,43.525,,,,"LINESTRING (-0.262309 52.0873532, -0.2624063 52.0873662, -0.2629384 52.0873197)",
33997642,St John's Street,tertiary,True,False,11.688,,,30 mph,"LINESTRING (-0.2657172 52.0911603, -0.2655496 52.0911392)",
27317551,Sun Street,tertiary,False,False,39.867,,,30 mph,"LINESTRING (-0.2657172 52.0911603, -0.2658094 52.0912212, -0.266153 52.091398)",
