osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,access,tunnel,width
4258085,2,Broadway,residential,20 mph,False,True,94.304,"LINESTRING (-0.1339739 51.4978454, -0.1340156 51.4978952, -0.134014 51.4979184, -0.1340121 51.4979255, -0.1340076 51.4979426, -0.1339229 51.4981868, -0.1339059 51.4982357, -0.1337589 51.4986705)",,,,
39547935,4,Victoria Street,primary,20 mph,False,False,118.59100000000001,"LINESTRING (-0.1339739 51.4978454, -0.1338159 51.4978961, -0.1337627 51.4979157, -0.1327818 51.498286, -0.1325027 51.4983914)",A302,,,
"[1106511807, 39547935]",4,Victoria Street,primary,20 mph,False,True,121.64699999999999,"LINESTRING (-0.1339739 51.4978454, -0.1341479 51.4977942, -0.1341928 51.4977826, -0.1343723 51.497736, -0.1347698 51.4976329, -0.1349755 51.4975977, -0.1352887 51.4975406, -0.1353643 51.4975305, -0.1354327 51.4975202, -0.1356325 51.4974954)",A302,,,
102950257,2,Great Peter Street,residential,20 mph,False,True,34.238,"LINESTRING (-0.1308151 51.496846, -0.1303211 51.496861)",,,,
4259613,2,Monck Street,residential,20 mph,False,True,159.739,"LINESTRING (-0.1308151 51.496846, -0.1307828 51.4963237, -0.1307405 51.4954102)",,,,
102950257,2,Great Peter Street,residential,20 mph,False,False,89.695,"LINESTRING (-0.1308151 51.496846, -0.1313153 51.4968418, -0.1316922 51.496836, -0.1319388 51.4968366, -0.132109 51.4968219)",,,,
4259613,2,Monck Street,residential,20 mph,False,False,59.804,"LINESTRING (-0.130731 51.4948724, -0.1307405 51.4954102)",,,,
320729109,,Horseferry Road,secondary,20 mph,False,False,79.03200000000001,"LINESTRING (-0.130731 51.4948724, -0.1309397 51.4948776, -0.1312772 51.494886, -0.131812 51.4949002, -0.1318716 51.4949022)",B323,,,
4256979,,,tertiary_link,20 mph,True,False,64.15,"LINESTRING (-0.1400065 51.5017889, -0.1401012 51.5015964, -0.1401545 51.5015318, -0.1401565 51.5014469, -0.1401258 51.5013749, -0.1400332 51.5012434)",,,,
320718053,2,Buckingham Gate,secondary,20 mph,False,True,190.275,"LINESTRING (-0.1408653 51.5001929, -0.1408033 51.5000896, -0.1407796 51.5000643, -0.1407257 51.5000289, -0.1403436 51.4998097, -0.1401804 51.499736, -0.1397974 51.4996083, -0.1394854 51.4995133, -0.1386545 51.4992354)",B323,,,
"[974801225, 34428363, 201621419]",4,Buckingham Palace Road,tertiary,20 mph,True,False,111.516,"LINESTRING (-0.1408653 51.5001929, -0.1408288 51.5004242, -0.1406076 51.5009165, -0.1405377 51.5009785, -0.1404654 51.501128, -0.140452 51.5011541)",,,,
"[1128026176, 32620484]",3,Buckingham Gate,secondary,20 mph,False,True,99.48,"LINESTRING (-0.1408653 51.5001929, -0.1409912 51.5001758, -0.1410567 51.5001598, -0.141124 51.5001387, -0.141171 51.500118, -0.1411961 51.5001068, -0.1414364 51.5000089, -0.1416743 51.499912, -0.1420949 51.4997407)",B323,,,
4258072,2,Palace Street,residential,20 mph,False,False,96.742,"LINESTRING (-0.1431749 51.4991555, -0.1430679 51.4991304, -0.1430251 51.4991203, -0.1429697 51.4991077, -0.1425345 51.4990431, -0.1421108 51.4989616, -0.1419989 51.4989048, -0.1418892 51.4988475)",,,,
32620484,3,Buckingham Gate,secondary,20 mph,False,False,101.782,"LINESTRING (-0.1431749 51.4991555, -0.1431171 51.4992273, -0.1430795 51.4992732, -0.1430078 51.4993486, -0.1429437 51.4994006, -0.1428985 51.4994318, -0.1428456 51.4994564, -0.1427649 51.4994913, -0.1422867 51.4996645, -0.1420949 51.4997407)",B323,,,
"[1069339266, 1069339267, 201621350, 931042664, 974801001]","['2', '3']",Buckingham Palace Road,secondary,20 mph,False,True,110.54,"LINESTRING (-0.1431749 51.4991555, -0.1432266 51.4990838, -0.1432467 51.4990522, -0.1432718 51.4990196, -0.1433099 51.498963, -0.1433975 51.4988344, -0.1434745 51.4986982, -0.1435354 51.4985977, -0.1436007 51.4984882, -0.1436117 51.4984729, -0.1437791 51.4982519, -0.1437938 51.4982405)",B323,,,
2481226,2,Bressenden Place,trunk,20 mph,True,False,56.627,"LINESTRING (-0.1438622 51.4980651, -0.143708 51.4980154, -0.1436382 51.4979955, -0.1435127 51.4979645, -0.1434029 51.4979427, -0.1430943 51.4978966)",A302,,,
4257003,,Buckingham Palace Road,primary,20 mph,True,False,70.602,"LINESTRING (-0.1438622 51.4980651, -0.1439832 51.4978948, -0.1441756 51.4976098, -0.1442058 51.4975765, -0.1442719 51.4974839)",A3214,,,
4258085,2,Broadway,residential,20 mph,False,False,94.304,"LINESTRING (-0.1337589 51.4986705, -0.1339059 51.4982357, -0.1339229 51.4981868, -0.1340076 51.4979426, -0.1340121 51.4979255, -0.134014 51.4979184, -0.1340156 51.4978952, -0.1339739 51.4978454)",,,,
4258085,2,Broadway,residential,20 mph,False,True,59.182,"LINESTRING (-0.1337589 51.4986705, -0.1334558 51.4990679, -0.1333912 51.499151)",,,,
4258091,1,Caxton Street,residential,20 mph,True,False,102.174,"LINESTRING (-0.1337589 51.4986705, -0.1343218 51.4986175, -0.1347645 51.4985692, -0.1352199 51.4985435)",,,,
4232980,,Artillery Row,secondary,20 mph,False,False,62.756,"LINESTRING (-0.1356325 51.4974954, -0.1355892 51.4973741, -0.1355725 51.4973241, -0.1355738 51.4972789, -0.1355832 51.4971353, -0.1356084 51.4969358)",B323,,,
"[185492041, 1213534084]",,Victoria Street,primary,20 mph,False,True,258.396,"LINESTRING (-0.1356325 51.4974954, -0.1358489 51.4974551, -0.1359041 51.4974471, -0.1359694 51.4974378, -0.1367529 51.4973224, -0.1378155 51.4971664, -0.139004 51.4970051, -0.1390752 51.4969947, -0.1391418 51.496985, -0.1392656 51.4969639)",A302,,,
"[39547935, 1106511807]",4,Victoria Street,primary,20 mph,False,False,121.64699999999999,"LINESTRING (-0.1356325 51.4974954, -0.1354327 51.4975202, -0.1353643 51.4975305, -0.1352887 51.4975406, -0.1349755 51.4975977, -0.1347698 51.4976329, -0.1343723 51.497736, -0.1341928 51.4977826, -0.1341479 51.4977942, -0.1339739 51.4978454)",A302,,,
"[1106511808, 4258073]",2,Buckingham Gate,secondary,20 mph,False,False,56.83,"LINESTRING (-0.1356325 51.4974954, -0.1356703 51.4975942, -0.1356885 51.4976324, -0.1358282 51.4978798, -0.1359047 51.4979761)",B323,,,
4258073,2,Buckingham Gate,secondary,20 mph,False,False,66.119,"LINESTRING (-0.1359047 51.4979761, -0.1360173 51.498107, -0.1361646 51.4982367, -0.136351 51.4983613, -0.1364924 51.4984384)",B323,,,
"[1106511808, 4258073]",2,Buckingham Gate,secondary,20 mph,False,True,56.83,"LINESTRING (-0.1359047 51.4979761, -0.1358282 51.4978798, -0.1356885 51.4976324, -0.1356703 51.4975942, -0.1356325 51.4974954)",B323,,,
736359399,2,Spenser Street,residential,20 mph,False,True,76.553,"LINESTRING (-0.1359047 51.4979761, -0.1361717 51.4979283, -0.1369953 51.4978749)",,,,
4258073,2,Buckingham Gate,secondary,20 mph,False,False,63.372,"LINESTRING (-0.1364924 51.4984384, -0.1366018 51.4984889, -0.1370498 51.4986753, -0.1372504 51.4987578)",B323,,,
4258073,2,Buckingham Gate,secondary,20 mph,False,True,66.119,"LINESTRING (-0.1364924 51.4984384, -0.136351 51.4983613, -0.1361646 51.4982367, -0.1360173 51.498107, -0.1359047 51.4979761)",B323,,,
320718050,2,Buckingham Gate,secondary,20 mph,False,True,12.401,"LINESTRING (-0.1381337 51.499081, -0.1379759 51.4990282)",B323,,,
4258078,,Castle Lane,residential,20 mph,True,False,106.58500000000001,"LINESTRING (-0.1381337 51.499081, -0.1384156 51.4988316, -0.1385817 51.4987221, -0.1392086 51.4984048)",,,,
320718046,2,Buckingham Gate,secondary,20 mph,False,False,39.93,"LINESTRING (-0.1381337 51.499081, -0.1384007 51.4991602, -0.1386545 51.4992354)",B323,,,
207654587,,Warwick Row,unclassified,20 mph,False,False,86.187,"LINESTRING (-0.1430943 51.4978966, -0.1427338 51.4986385)",,,,
211341742,2,Bressenden Place,trunk,20 mph,True,False,105.24300000000001,"LINESTRING (-0.1430943 51.4978966, -0.1427582 51.4978417, -0.1426908 51.4978293, -0.1426369 51.4978164, -0.1426105 51.4978092, -0.1425402 51.4977899, -0.1423949 51.4977366, -0.1422518 51.4976552, -0.1421396 51.4975694, -0.1420724 51.4974996, -0.1419706 51.4973451)",A302,,,
34433562,3,Victoria Street,trunk,20 mph,True,False,9.754999999999999,"LINESTRING (-0.1417985 51.4965983, -0.14184 51.496591, -0.1418619 51.4965873, -0.1419011 51.4965807, -0.1419344 51.4965751)",A302,,,
39547934,2,Bressenden Place,trunk,20 mph,True,False,62.099000000000004,"LINESTRING (-0.1419706 51.4973451, -0.1418663 51.4971208, -0.1418084 51.4969552, -0.1417622 51.4968024)",A302,,,
736364137,,Allington Street,living_street,,False,True,124.632,"LINESTRING (-0.1419706 51.4973451, -0.142626 51.4972995, -0.142715 51.4972708, -0.1427628 51.4972329, -0.1428857 51.4966381)",,,,
3997148,2,Vauxhall Bridge Road,trunk,20 mph,True,False,48.038,"LINESTRING (-0.1423144 51.4965244, -0.1424083 51.4964848, -0.142485 51.4964506, -0.1425178 51.4964249, -0.1425303 51.4963905, -0.1425046 51.4962758, -0.1424983 51.4961571)",A202,,,
51958479,2,Victoria Street,trunk,20 mph,True,False,43.178,"LINESTRING (-0.1423144 51.4965244, -0.1424392 51.4965511, -0.1425496 51.4965667, -0.1426264 51.4965743, -0.1427531 51.4965853, -0.1429256 51.4965923)",A302,,,
4190004,2,Hudson's Place,unclassified,20 mph,False,False,87.27300000000001,"LINESTRING (-0.1431818 51.4942972, -0.1427277 51.4949483, -0.1426615 51.495011)",,,,
4232980,,Artillery Row,secondary,20 mph,False,True,55.253,"LINESTRING (-0.1355815 51.4964631, -0.1356226 51.4964769, -0.1356418 51.4964867, -0.1356529 51.4964985, -0.1356574 51.496514, -0.1356557 51.4965531, -0.1356084 51.4969358)",B323,,,
"[311165002, 4258102]",3,Greycoat Place,secondary,20 mph,False,False,53.525000000000006,"LINESTRING (-0.1355815 51.4964631, -0.1352605 51.4963762, -0.1351686 51.4963521, -0.1351016 51.4963375, -0.1350283 51.4963242, -0.1349972 51.4963152, -0.1349738 51.4963048, -0.1349511 51.4962898, -0.1349044 51.4962494)",B323,,,
111429440,,Greencoat Place,residential,20 mph,False,True,116.78200000000001,"LINESTRING (-0.1355815 51.4964631, -0.1361381 51.4956443, -0.1361947 51.4956031, -0.1362902 51.4955757, -0.136321 51.4955706, -0.1363546 51.4955651)",,,,
4234570,,Greencoat Row,residential,20 mph,False,True,74.218,"LINESTRING (-0.1373317 51.4958003, -0.1372748 51.495778, -0.1368368 51.4956067, -0.1367731 51.4955952, -0.1363546 51.4955651)",,,,
4238239,,Francis Street,residential,20 mph,False,False,39.446,"LINESTRING (-0.1373317 51.4958003, -0.1374136 51.4957142, -0.1375831 51.4955745, -0.1376602 51.495511)",,,,
4238239,,Francis Street,residential,20 mph,False,True,106.83700000000002,"LINESTRING (-0.1373317 51.4958003, -0.1372937 51.4958477, -0.1369412 51.4961454, -0.1369355 51.4961858, -0.1369569 51.4963644, -0.1369717 51.4964246, -0.1370463 51.4966057, -0.1370787 51.4966226, -0.1370922 51.4966299, -0.1371323 51.4966515)",,,,
4238239,,Francis Street,residential,20 mph,False,False,58.701,"LINESTRING (-0.1385177 51.4949062, -0.1391163 51.4945323)",,,,
4238239,,Francis Street,residential,20 mph,False,True,33.764,"LINESTRING (-0.1385177 51.4949062, -0.1381945 51.4951336)",,,,
4234562,,Stillington Street,residential,20 mph,False,True,116.44400000000002,"LINESTRING (-0.1385177 51.4949062, -0.1382158 51.4944153, -0.1380121 51.4941758, -0.1377854 51.4939688)",,,,
"[118705181, 118705190, 4238247]",2,Thirleby Road,"['unclassified', 'residential']",20 mph,False,False,25.665000000000003,"LINESTRING (-0.1392656 51.4969639, -0.1392486 51.496917, -0.1392163 51.4968445, -0.1391913 51.4967792, -0.1391467 51.4967499)",,,,
320718074,,Palace Street,residential,20 mph,False,True,135.029,"LINESTRING (-0.1392656 51.4969639, -0.1392951 51.4970487, -0.1393083 51.497081, -0.1393252 51.4971249, -0.1394003 51.4973599, -0.1394378 51.4974458, -0.1395814 51.4977708, -0.1396222 51.4978544, -0.1396955 51.4979537, -0.1398609 51.4981095)",,,,
"[185492041, 1213534084]",,Victoria Street,primary,20 mph,False,False,258.396,"LINESTRING (-0.1392656 51.4969639, -0.1391418 51.496985, -0.1390752 51.4969947, -0.139004 51.4970051, -0.1378155 51.4971664, -0.1367529 51.4973224, -0.1359694 51.4974378, -0.1359041 51.4974471, -0.1358489 51.4974551, -0.1356325 51.4974954)",A302,,,
"[1213534024, 1213534084, 1199662696]",,Victoria Street,primary,20 mph,False,True,161.438,"LINESTRING (-0.1392656 51.4969639, -0.139439 51.4969378, -0.139522 51.4969244, -0.1395915 51.4969146, -0.1399154 51.4968616, -0.1402782 51.4968028, -0.1403468 51.4967907, -0.1404146 51.4967814, -0.1411175 51.4966866, -0.1413519 51.4966508, -0.1414067 51.4966422, -0.1415329 51.4966254)",A302,,,
4232980,,Artillery Row,secondary,20 mph,False,False,55.25299999999999,"LINESTRING (-0.1356084 51.4969358, -0.1356557 51.4965531, -0.1356574 51.496514, -0.1356529 51.4964985, -0.1356418 51.4964867, -0.1356226 51.4964769, -0.1355815 51.4964631)",B323,,,
4232980,,Artillery Row,secondary,20 mph,False,True,62.756,"LINESTRING (-0.1356084 51.4969358, -0.1355832 51.4971353, -0.1355738 51.4972789, -0.1355725 51.4973241, -0.1355892 51.4973741, -0.1356325 51.4974954)",B323,,,
4258100,,Howick Place,residential,20 mph,True,False,112.73,"LINESTRING (-0.1356084 51.4969358, -0.1357428 51.4969173, -0.1369998 51.4967439, -0.1370358 51.4967298, -0.1370491 51.4967216, -0.1370632 51.4967129, -0.1370815 51.4966856, -0.1371323 51.4966515)",,,,
4258105,,Greycoat Street,unclassified,20 mph,True,False,129.834,"LINESTRING (-0.1351801 51.4960422, -0.1351213 51.4960062, -0.1345123 51.4952481, -0.1343356 51.495003)",,,,
509721265,,Rochester Row,secondary,20 mph,False,False,29.939,"LINESTRING (-0.1351801 51.4960422, -0.1351491 51.4960699, -0.1350928 51.4961129, -0.1350605 51.4961345, -0.1349791 51.4961937, -0.1349044 51.4962494)",B324,,,
509721265,,Rochester Row,secondary,20 mph,False,True,71.707,"LINESTRING (-0.1351801 51.4960422, -0.1352637 51.4959593, -0.1354438 51.4957642, -0.1356971 51.4954835)",B324,,,
