osmid,lanes,name,highway,maxspeed,oneway,reversed,length,ref,geometry,width
78525141,2,Eider Road,residential,30 mph,False,True,26.821,,"LINESTRING (-2.000546 57.3227828, -2.0009703 57.3228583)",
78523866,2,Main Street,primary,30 mph,False,False,129.59300000000002,A975,"LINESTRING (-2.000546 57.3227828, -2.0009934 57.3220957, -2.0012624 57.3216834)",
78523866,2,Main Street,primary,30 mph,False,True,146.297,A975,"LINESTRING (-2.0033039 57.3170892, -2.0033051 57.3171099, -2.0033796 57.3179129, -2.0033795 57.3180864, -2.0033613 57.318256, -2.0033333 57.3184028)",
"[1244773792, 1244773790]",2,School Road,secondary,30 mph,False,True,76.663,B9000,"LINESTRING (-2.0033039 57.3170892, -2.004282 57.3170669, -2.0045797 57.3170627)",
1244773791,2,School Road,secondary,30 mph,False,False,85.414,B9000,"LINESTRING (-2.0081586 57.3169751, -2.0067375 57.3170094)",
1244773791,2,School Road,secondary,30 mph,False,True,54.106,B9000,"LINESTRING (-2.0081586 57.3169751, -2.0090593 57.3169897)",
78524709,2,St Clair Way,residential,20 mph,False,False,39.345,,"LINESTRING (-2.0081586 57.3169751, -2.0081426 57.3172138, -2.0081349 57.3173287)",
1244773792,2,School Road,secondary,30 mph,False,False,37.604,B9000,"LINESTRING (-2.0052052 57.3170459, -2.0045797 57.3170627)",
1244773792,2,School Road,secondary,30 mph,False,True,92.095,B9000,"LINESTRING (-2.0052052 57.3170459, -2.0067375 57.3170094)",
78523897,2,School Crescent,residential,30 mph,False,False,69.088,,"LINESTRING (-2.0052052 57.3170459, -2.0051583 57.3165313, -2.0051594 57.3164252)",
"[1072439756, 78524214]",2,Inch Road,residential,"['20 mph', '30 mph']",False,False,271.89300000000003,,"LINESTRING (-1.9968676 57.3211748, -1.9974961 57.321323, -1.9979785 57.3214368, -1.9982878 57.3214725, -1.9991138 57.3215276, -2.0000267 57.3215909, -2.0012624 57.3216834)",
78523866,2,Main Street,primary,30 mph,False,False,73.927,A975,"LINESTRING (-2.0012624 57.3216834, -2.0016607 57.3210543)",
78523866,2,Main Street,primary,30 mph,False,True,129.59300000000002,A975,"LINESTRING (-2.0012624 57.3216834, -2.0009934 57.3220957, -2.000546 57.3227828)",
"[1072439756, 78524214]",2,Inch Road,residential,"['20 mph', '30 mph']",False,True,271.893,,"LINESTRING (-2.0012624 57.3216834, -2.0000267 57.3215909, -1.9991138 57.3215276, -1.9982878 57.3214725, -1.9979785 57.3214368, -1.9974961 57.321323, -1.9968676 57.3211748)",
78523866,2,Main Street,primary,30 mph,False,False,146.297,A975,"LINESTRING (-2.0033333 57.3184028, -2.0033613 57.318256, -2.0033795 57.3180864, -2.0033796 57.3179129, -2.0033051 57.3171099, -2.0033039 57.3170892)",
78523866,2,Main Street,primary,30 mph,False,True,138.459,A975,"LINESTRING (-2.0033333 57.3184028, -2.0032639 57.3185988, -2.003172 57.3187862, -2.0030991 57.318901, -2.0029917 57.3190696, -2.0026408 57.3195882)",
133191338,2,Cruickshank Court,residential,30 mph,False,False,51.426,,"LINESTRING (-2.0033333 57.3184028, -2.0032588 57.3183775, -2.0028269 57.3183725, -2.0028256 57.3181908)",
1244907162,2,Knockhall Road,unclassified,30 mph,False,False,48.556000000000004,,"LINESTRING (-2.0033333 57.3184028, -2.0033982 57.3184257, -2.003543 57.3184591, -2.0036852 57.3185325, -2.0038136 57.3186107, -2.0039003 57.318698)",5
78523866,2,Main Street,primary,30 mph,False,True,73.927,A975,"LINESTRING (-2.0016607 57.3210543, -2.0012624 57.3216834)",
78525141,2,Eider Road,residential,30 mph,False,False,26.286,,"LINESTRING (-2.0016607 57.3210543, -2.0020751 57.3211306)",
78523866,2,Main Street,primary,30 mph,False,False,173.33800000000002,A975,"LINESTRING (-2.0016607 57.3210543, -2.0018667 57.320735, -2.0021349 57.3203192, -2.0022438 57.3201745, -2.0026408 57.3195882)",
1244773791,2,School Road,secondary,30 mph,False,False,54.106,B9000,"LINESTRING (-2.0090593 57.3169897, -2.0081586 57.3169751)",
78524020,2,Airyhill View,residential,30 mph,False,False,66.478,,"LINESTRING (-2.0090593 57.3169897, -2.0090657 57.316834, -2.0093483 57.316484, -2.0093794 57.3164261)",
1211756976,2,School Road,secondary,30 mph,False,True,145.47,B9000,"LINESTRING (-2.0090593 57.3169897, -2.0093434 57.3169965, -2.0096381 57.3170155, -2.0102906 57.3170807, -2.0106255 57.3171326, -2.0109067 57.3171762, -2.0114191 57.3172629)",
78523942,2,School Crescent,residential,30 mph,False,False,10.89,,"LINESTRING (-2.0051594 57.3164252, -2.005032 57.3163555)",
78523897,2,School Crescent,residential,30 mph,False,False,68.407,,"LINESTRING (-2.0051594 57.3164252, -2.0052905 57.3164194, -2.0061383 57.316405, -2.0062977 57.3164019)",
78523897,2,School Crescent,residential,30 mph,False,True,69.088,,"LINESTRING (-2.0051594 57.3164252, -2.0051583 57.3165313, -2.0052052 57.3170459)",
78523962,2,School Crescent,residential,30 mph,False,False,31.417,,"LINESTRING (-2.0062977 57.3164019, -2.0062892 57.3161194)",
78523897,2,School Crescent,residential,30 mph,False,False,102.8,,"LINESTRING (-2.0062977 57.3164019, -2.006491 57.3163994, -2.0067987 57.3163955, -2.0068717 57.3164165, -2.0069101 57.3164572, -2.0069204 57.3165256, -2.0067403 57.3169459, -2.0067375 57.3170094)",
78523897,2,School Crescent,residential,30 mph,False,True,68.407,,"LINESTRING (-2.0062977 57.3164019, -2.0061383 57.316405, -2.0052905 57.3164194, -2.0051594 57.3164252)",
1244773791,2,School Road,secondary,30 mph,False,True,85.414,B9000,"LINESTRING (-2.0067375 57.3170094, -2.0081586 57.3169751)",
1244773792,2,School Road,secondary,30 mph,False,False,92.095,B9000,"LINESTRING (-2.0067375 57.3170094, -2.0052052 57.3170459)",
78523897,2,School Crescent,residential,30 mph,False,True,102.8,,"LINESTRING (-2.0067375 57.3170094, -2.0067403 57.3169459, -2.0069204 57.3165256, -2.0069101 57.3164572, -2.0068717 57.3164165, -2.0067987 57.3163955, -2.006491 57.3163994, -2.0062977 57.3164019)",
78523942,2,School Crescent,residential,30 mph,False,True,10.89,,"LINESTRING (-2.005032 57.3163555, -2.0051594 57.3164252)",
78523942,2,School Crescent,residential,30 mph,False,False,51.864000000000004,,"LINESTRING (-2.005032 57.3163555, -2.0049908 57.3163661, -2.0049455 57.3163689, -2.0049009 57.3163635, -2.0048621 57.3163506, -2.0048331 57.3163315, -2.0048173 57.3163084, -2.0048162 57.3162838, -2.00483 57.3162603, -2.0048573 57.3162406, -2.004895 57.3162267, -2.004939 57.3162202, -2.0049845 57.3162218, -2.0050266 57.3162313, -2.0050553 57.3162443, -2.0050764 57.316261, -2.0050907 57.3162854, -2.0050827 57.3163129, -2.0050693 57.3163361, -2.005032 57.3163555)",
78523942,2,School Crescent,residential,30 mph,False,True,51.864,,"LINESTRING (-2.005032 57.3163555, -2.0050693 57.3163361, -2.0050827 57.3163129, -2.0050907 57.3162854, -2.0050764 57.316261, -2.0050553 57.3162443, -2.0050266 57.3162313, -2.0049845 57.3162218, -2.004939 57.3162202, -2.004895 57.3162267, -2.0048573 57.3162406, -2.00483 57.3162603, -2.0048162 57.3162838, -2.0048173 57.3163084, -2.0048331 57.3163315, -2.0048621 57.3163506, -2.0049009 57.3163635, -2.0049455 57.3163689, -2.0049908 57.3163661, -2.005032 57.3163555)",
78523962,2,School Crescent,residential,30 mph,False,True,31.417,,"LINESTRING (-2.0062892 57.3161194, -2.0062977 57.3164019)",
1072813369,2,Airyhill View,residential,30 mph,False,False,14.786,,"LINESTRING (-2.0093794 57.3164261, -2.0096099 57.3164729)",
78524020,2,Airyhill View,residential,30 mph,False,False,42.621,,"LINESTRING (-2.0093794 57.3164261, -2.0093692 57.3163654, -2.0092017 57.316056)",
78524020,2,Airyhill View,residential,30 mph,False,True,66.47800000000001,,"LINESTRING (-2.0093794 57.3164261, -2.0093483 57.316484, -2.0090657 57.316834, -2.0090593 57.3169897)",
