osmid,oneway,lanes,highway,maxspeed,reversed,length,geometry,name,bridge,junction
6131259,False,,residential,,False,52.599999999999994,"LINESTRING (1.3312049 51.9674396, 1.3311102 51.9674177, 1.3310354 51.9673991, 1.3309746 51.9673836, 1.3309264 51.9673669, 1.3308808 51.9673487, 1.3308362 51.9673246, 1.3308054 51.9673059, 1.3307732 51.9672841, 1.3307441 51.967259, 1.33072 51.9672289, 1.3307012 51.9672012, 1.3306817 51.9671691, 1.3306679 51.9671387)",Cricket Hill Road,,
4742490,False,,residential,,True,125.76999999999998,"LINESTRING (1.3317978 51.9675489, 1.3318271 51.9675475, 1.3318519 51.9675429, 1.3318735 51.9675358, 1.331896 51.9675273, 1.331922 51.9675151, 1.3320805 51.9674165, 1.3321543 51.9673714, 1.3321929 51.9673494, 1.3322459 51.9673219, 1.3324633 51.9672191, 1.3325211 51.967196, 1.332599 51.9671691, 1.332698 51.9671393, 1.33293 51.967079, 1.3330133 51.9670737, 1.3330572 51.9670808, 1.3331083 51.9671018, 1.333165 51.967141, 1.3332821 51.9672219)",Hall Pond Way,,
4742491,False,,residential,,False,72.779,"LINESTRING (1.3317978 51.9675489, 1.331655 51.967655, 1.3313198 51.9679039, 1.331131 51.9680367, 1.3311159 51.9680506)",Pond Close,,
4742492,False,,residential,,True,42.488,"LINESTRING (1.3317978 51.9675489, 1.3317771 51.9675491, 1.33176 51.9675479, 1.3315672 51.9675115, 1.3312049 51.9674396)",Pond Close,,
6131259,False,,residential,,False,22.13,"LINESTRING (1.3309386 51.9667812, 1.3312036 51.9666674)",Cricket Hill Road,,
4742495,False,,residential,,False,92.554,"LINESTRING (1.3309386 51.9667812, 1.3308681 51.9667398, 1.3308064 51.9666969, 1.3307701 51.9666726, 1.3307395 51.9666505, 1.3307099 51.9666192, 1.330672 51.9665738, 1.3305342 51.9664033, 1.3304111 51.9662488, 1.3303882 51.9662184, 1.3303765 51.9661847, 1.3303728 51.9661568, 1.3303704 51.9661321, 1.3303717 51.966094, 1.3303823 51.9660502)",Parkeston Road,,
6131259,False,,residential,,True,46.077999999999996,"LINESTRING (1.3309386 51.9667812, 1.3308878 51.9668077, 1.3308473 51.9668319, 1.3307993 51.966862, 1.3307611 51.9668927, 1.330716 51.9669439, 1.3306912 51.9669902, 1.3306738 51.9670359, 1.3306611 51.9670741, 1.330663 51.9671137, 1.3306679 51.9671387)",Cricket Hill Road,,
4742495,False,,residential,,False,57.026,"LINESTRING (1.3303823 51.9660502, 1.3303958 51.9660207, 1.3304168 51.9659959, 1.3304483 51.965967, 1.3304913 51.9659345, 1.3307021 51.9658063, 1.3307995 51.9657432, 1.3308248 51.9657236, 1.3308507 51.9657011, 1.3308721 51.9656763, 1.3308866 51.9656506)",Parkeston Road,,
4742495,False,,residential,,True,92.554,"LINESTRING (1.3303823 51.9660502, 1.3303717 51.966094, 1.3303704 51.9661321, 1.3303728 51.9661568, 1.3303765 51.9661847, 1.3303882 51.9662184, 1.3304111 51.9662488, 1.3305342 51.9664033, 1.330672 51.9665738, 1.3307099 51.9666192, 1.3307395 51.9666505, 1.3307701 51.9666726, 1.3308064 51.9666969, 1.3308681 51.9667398, 1.3309386 51.9667812)",Parkeston Road,,
4742499,False,,residential,,False,115.03399999999999,"LINESTRING (1.3303823 51.9660502, 1.3303005 51.9660342, 1.3301426 51.9660022, 1.3301056 51.9659929, 1.3300731 51.9659832, 1.3300355 51.9659674, 1.3299993 51.965949, 1.3299684 51.9659284, 1.3299428 51.9659081, 1.3299211 51.965883, 1.3298954 51.9658474, 1.3296901 51.9656065, 1.3296546 51.9655649, 1.3301451 51.96542)",Shotley Close,,
4742495,False,,residential,,True,91.81799999999998,"LINESTRING (1.3304565 51.9648872, 1.3306932 51.9651907, 1.3308237 51.9653508, 1.3308559 51.9653979, 1.3308836 51.9654421, 1.3308972 51.9654718, 1.3309012 51.965488, 1.3309058 51.9655065, 1.3309096 51.9655404, 1.3309076 51.9655818, 1.3308987 51.9656158, 1.3308866 51.9656506)",Parkeston Road,,
4742495,False,,residential,,False,91.818,"LINESTRING (1.3308866 51.9656506, 1.3308987 51.9656158, 1.3309076 51.9655818, 1.3309096 51.9655404, 1.3309058 51.9655065, 1.3309012 51.965488, 1.3308972 51.9654718, 1.3308836 51.9654421, 1.3308559 51.9653979, 1.3308237 51.9653508, 1.3306932 51.9651907, 1.3304565 51.9648872)",Parkeston Road,,
4742495,False,,residential,,True,57.026,"LINESTRING (1.3308866 51.9656506, 1.3308721 51.9656763, 1.3308507 51.9657011, 1.3308248 51.9657236, 1.3307995 51.9657432, 1.3307021 51.9658063, 1.3304913 51.9659345, 1.3304483 51.965967, 1.3304168 51.9659959, 1.3303958 51.9660207, 1.3303823 51.9660502)",Parkeston Road,,
4742501,False,,residential,,False,59.337,"LINESTRING (1.3308866 51.9656506, 1.3309628 51.9656693, 1.3310157 51.9656817, 1.3310633 51.9656933, 1.3311075 51.9657057, 1.3311534 51.96572, 1.3311984 51.9657373, 1.3312511 51.9657603, 1.3312889 51.9657819, 1.3313178 51.9658065, 1.3313765 51.9658804, 1.3314693 51.9660062)",Holbrook Crescent,,
4742501,False,,residential,,True,59.336999999999996,"LINESTRING (1.3314693 51.9660062, 1.3313765 51.9658804, 1.3313178 51.9658065, 1.3312889 51.9657819, 1.3312511 51.9657603, 1.3311984 51.9657373, 1.3311534 51.96572, 1.3311075 51.9657057, 1.3310633 51.9656933, 1.3310157 51.9656817, 1.3309628 51.9656693, 1.3308866 51.9656506)",Holbrook Crescent,,
4742491,False,,residential,,False,32.182,"LINESTRING (1.3311159 51.9680506, 1.3311189 51.968068, 1.331123 51.9680775, 1.3312366 51.9681818, 1.3313298 51.9682674, 1.3313656 51.9682925)",Pond Close,,
4742491,False,,residential,,True,72.779,"LINESTRING (1.3311159 51.9680506, 1.331131 51.9680367, 1.3313198 51.9679039, 1.331655 51.967655, 1.3317978 51.9675489)",Pond Close,,
4742492,False,,residential,,False,77.584,"LINESTRING (1.3311159 51.9680506, 1.3309863 51.9679453, 1.3309673 51.9679222, 1.3309434 51.9678904, 1.3309202 51.967861, 1.3309038 51.9678337, 1.3309001 51.967804, 1.3309077 51.9677718, 1.3309226 51.9677391, 1.3309486 51.967704, 1.3312049 51.9674396)",Pond Close,,
4730270,False,,tertiary,30 mph,False,6.757,"LINESTRING (1.3313084 51.968342, 1.3313656 51.9682925)",Grange Farm Avenue,,
4730270,False,,tertiary,30 mph,True,90.59599999999999,"LINESTRING (1.3313084 51.968342, 1.3311586 51.9684367, 1.3310152 51.9685303, 1.3309232 51.9685766, 1.330848 51.9686124, 1.3307309 51.9686605, 1.3306058 51.9686984, 1.3305169 51.9687192, 1.330451 51.9687324, 1.3303314 51.9687504, 1.3302146 51.9687578)",Grange Farm Avenue,,
6151323,False,,residential,,False,43.531,"LINESTRING (1.3313084 51.968342, 1.3313546 51.9683778, 1.3314439 51.9684372, 1.3315973 51.968542, 1.3317383 51.96863)",Brackley Close,,
4730293,False,,tertiary,30 mph,False,6.307,"LINESTRING (1.3308968 51.9634969, 1.3308507 51.9634478)",Grange Road,,
4730293,False,,tertiary,30 mph,True,230.045,"LINESTRING (1.3308968 51.9634969, 1.3312075 51.9638144, 1.3312723 51.9638783, 1.3313013 51.9639116, 1.3313792 51.9640011, 1.3321583 51.9648716, 1.3322339 51.9649625, 1.3324115 51.9651759, 1.3324777 51.9652495, 1.3325475 51.9652958)",Grange Road,,
4742488,False,,residential,,False,45.504999999999995,"LINESTRING (1.3308968 51.9634969, 1.3306694 51.9635705, 1.3306151 51.9635839, 1.3305656 51.96359, 1.3305121 51.9635909, 1.3304667 51.963578, 1.3304002 51.963561, 1.3303369 51.963545, 1.3302834 51.963539)",Parsonage Close,,
4730293,False,,tertiary,30 mph,True,6.307,"LINESTRING (1.3308507 51.9634478, 1.3308968 51.9634969)",Grange Road,,
4730293,False,,tertiary,30 mph,False,69.199,"LINESTRING (1.3308507 51.9634478, 1.3306524 51.9632289, 1.3304611 51.9629951, 1.3303844 51.962896)",Grange Road,,
