osmid,name,highway,oneway,reversed,length,geometry,ref,maxspeed,est_width,lanes,junction,width,access,bridge
8301791,West Street,tertiary,False,True,70.477,"LINESTRING (-0.1384684 50.9612514, -0.1389758 50.9612507, -0.1394747 50.96125)",,,,,,,,
510494558,London Road,secondary,False,False,45.568999999999996,"LINESTRING (-0.1384684 50.9612514, -0.138402 50.961562, -0.1383702 50.9616563)",B2036,30 mph,,,,,,
510494558,London Road,secondary,False,True,142.324,"LINESTRING (-0.1384684 50.9612514, -0.1384548 50.9610745, -0.1386171 50.9599764)",B2036,30 mph,,,,,,
510494558,London Road,secondary,False,False,54.57,"LINESTRING (-0.1390376 50.9570463, -0.138968 50.9575351)",B2036,30 mph,,,,,,
4784560,Lower Church Road,tertiary,False,True,363.58200000000005,"LINESTRING (-0.1390376 50.9570463, -0.1382424 50.9571202, -0.1375731 50.9571938, -0.1374686 50.9572035, -0.1372232 50.957227, -0.136354 50.9573054, -0.1350205 50.957423, -0.1341292 50.9574984, -0.1340234 50.9574755, -0.1339458 50.9574194)",,,"5,5",,,,,
516903070,London Road,secondary,False,True,97.41700000000002,"LINESTRING (-0.1390376 50.9570463, -0.1390875 50.9567548, -0.1391573 50.9563541, -0.1391728 50.9562783, -0.1391886 50.9561754)",B2036,30 mph,,,,,,
516903070,London Road,secondary,False,False,117.17099999999999,"LINESTRING (-0.1391314 50.9548123, -0.1391539 50.9549931, -0.1391793 50.9552215, -0.1392002 50.955445, -0.1392015 50.9554747, -0.1392107 50.9556784, -0.139217 50.9558644)",B2036,30 mph,,,,,,
516903072,London Road,secondary,True,False,68.307,"LINESTRING (-0.1391314 50.9548123, -0.1390434 50.9547216, -0.1389915 50.9544688, -0.1389345 50.9543747, -0.138897 50.9543093, -0.1388752 50.9542276)",B2036,30 mph,,2,,,,
3709359,London Road,secondary,False,False,46.774,"LINESTRING (-0.1390748 50.9538296, -0.1390604 50.9539328, -0.1388752 50.9542276)",B2036,30 mph,,,,,,
3709359,London Road,secondary,False,True,72.968,"LINESTRING (-0.1390748 50.9538296, -0.1390685 50.9533027, -0.139068 50.9531734)",B2036,30 mph,,,,,,
476686252,Leylands Road,tertiary,False,False,105.151,"LINESTRING (-0.1334592 50.9619713, -0.1336271 50.9619404, -0.1336554 50.9619352, -0.1337632 50.9619164, -0.134149 50.9618676, -0.1346235 50.9618366, -0.1349364 50.9618161)",,30 mph,,,,,,
4784578,Mill Road,tertiary,False,True,53.952,"LINESTRING (-0.1277058 50.9562379, -0.1275267 50.9567098)",,,5.5,,,,,
"[1131903059, 842430883]",Mill Road,tertiary,True,False,203.74900000000002,"LINESTRING (-0.1277058 50.9562379, -0.1278105 50.9560608, -0.1279678 50.9557227, -0.1281223 50.9553475, -0.1281716 50.9552273, -0.1282009 50.9551557, -0.1282948 50.9549434, -0.1283865 50.954642, -0.128405 50.9546052, -0.1284201 50.9545756, -0.1284284 50.9545464, -0.128453 50.9545249, -0.1284837 50.9545086, -0.1285225 50.9544973)",,,4,,,,,
4784578,Mill Road,tertiary,False,False,44.949,"LINESTRING (-0.126991 50.9586012, -0.126965 50.9581973)",,,5.5,,,,,
4784578,Mill Road,tertiary,False,True,10.01,"LINESTRING (-0.126991 50.9586012, -0.1269984 50.9586911)",,,5.5,,,,,
"[4776512, 4776511]",Crescent Road,tertiary,False,True,422.688,"LINESTRING (-0.126991 50.9586012, -0.1273777 50.9585239, -0.1284875 50.9582972, -0.1293262 50.958132, -0.1297453 50.9580186, -0.1301681 50.9578906, -0.1307353 50.9576696, -0.130831 50.9576321, -0.1313025 50.9574321, -0.1314707 50.9573898, -0.1316454 50.9573699, -0.1320707 50.9573301, -0.1321851 50.9573198, -0.1322443 50.9573144, -0.1323674 50.957285, -0.1325333 50.9571991)",,,4,,,,,
4784578,Mill Road,tertiary,False,True,44.949,"LINESTRING (-0.126965 50.9581973, -0.126991 50.9586012)",,,5.5,,,,,
4784578,Mill Road,tertiary,False,False,60.032,"LINESTRING (-0.126965 50.9581973, -0.1269514 50.9580694, -0.1270451 50.9578154, -0.1271027 50.9576689)",,,5.5,,,,,
4784578,Mill Road,tertiary,False,False,43.098,"LINESTRING (-0.1271027 50.9576689, -0.1271789 50.9575062, -0.1272787 50.9572975)",,,5.5,,,,,
4784578,Mill Road,tertiary,False,True,60.032,"LINESTRING (-0.1271027 50.9576689, -0.1270451 50.9578154, -0.1269514 50.9580694, -0.126965 50.9581973)",,,5.5,,,,,
"[777261536, 4784571, 777261532, 4776510, 777261535]",Civic Way,tertiary,False,False,247.07100000000003,"LINESTRING (-0.1332317 50.9544936, -0.1332064 50.9545852, -0.1332455 50.9547725, -0.1332537 50.95479, -0.1333422 50.9550014, -0.1334321 50.9551665, -0.1336183 50.9554242, -0.1337134 50.9555636, -0.1337835 50.9556832, -0.1338743 50.9558494, -0.1339145 50.9560113, -0.1339134 50.9562124, -0.1338623 50.9563477, -0.1337929 50.9564894, -0.1336934 50.9566126)",,,7,,,,,
842430874,Queen Elizabeth Avenue,secondary,True,False,22.759,"LINESTRING (-0.1332317 50.9544936, -0.1331778 50.9544826, -0.1331306 50.9544627, -0.1330938 50.9544355, -0.1330702 50.9544031, -0.1330593 50.9543758, -0.1330647 50.9543423)",B2113,30 mph,3,,roundabout,,,
