osmid,ref,name,highway,maxspeed,oneway,reversed,length,bridge,lanes,geometry,width,tunnel
"[4432819, 4432820, 23550582]",A85,West Bridge Street,primary,30 mph,False,False,287.2129999999999,yes,2,"LINESTRING (-3.4231489 56.3994241, -3.4233361 56.3993908, -3.423409 56.3993766, -3.4235053 56.3993597, -3.4272032 56.398682, -3.4272424 56.3986748, -3.4274031 56.3986192, -3.4275378 56.3985653)",,
24814393,,East Bridge Street,tertiary,30 mph,False,False,52.705,,3,"LINESTRING (-3.4231489 56.3994241, -3.4229274 56.3994644, -3.4228527 56.3994801, -3.4223362 56.3995736)",,
1203288717,A85,Gowrie Street,primary,30 mph,False,True,57.696,,3,"LINESTRING (-3.4231489 56.3994241, -3.4230472 56.3992996, -3.4230341 56.3992838, -3.4227595 56.3989521)",,
"[4432819, 4432820, 23550582]",A85,West Bridge Street,primary,30 mph,False,True,287.21299999999997,yes,2,"LINESTRING (-3.4275378 56.3985653, -3.4274031 56.3986192, -3.4272424 56.3986748, -3.4272032 56.398682, -3.4235053 56.3993597, -3.423409 56.3993766, -3.4233361 56.3993908, -3.4231489 56.3994241)",,
"[24933116, 4432821]",A989,Tay Street,primary,30 mph,False,False,99.369,,2,"LINESTRING (-3.4275378 56.3985653, -3.4273342 56.3984793, -3.4273037 56.3984664, -3.4272104 56.3984274, -3.4269582 56.3982932, -3.4267953 56.39819, -3.4264471 56.3979156)",,
"[24714208, 1112730462]",A989,Charlotte Street,primary,30 mph,False,False,93.211,,"['4', '3']","LINESTRING (-3.4275378 56.3985653, -3.4277569 56.3985999, -3.4278591 56.3986221, -3.4287495 56.3988411, -3.4289347 56.3988867)",,
125400438,A989,Atholl Street,primary,30 mph,False,False,63.226,,3,"LINESTRING (-3.4317037 56.3995019, -3.4322315 56.3994813, -3.4324869 56.3994726, -3.4325334 56.3994702, -3.4327282 56.3994594)",,
"[24933115, 1112730463]",A989,Charlotte Street,primary,30 mph,False,True,84.25999999999999,,"['2', '3']","LINESTRING (-3.4317037 56.3995019, -3.4315237 56.399507, -3.4314558 56.3995032, -3.4313701 56.3994918, -3.4310866 56.399424, -3.4306034 56.3993055, -3.4304225 56.3992648)",,
24271058,,Melville Street,residential,30 mph,False,True,126.78299999999999,,2,"LINESTRING (-3.4360122 56.4002749, -3.4348775 56.3994887, -3.434824 56.3994413, -3.4348002 56.3993643)",,
24271058,,Melville Street,residential,30 mph,False,False,126.783,,2,"LINESTRING (-3.4348002 56.3993643, -3.434824 56.3994413, -3.4348775 56.3994887, -3.4360122 56.4002749)",,
24760243,,North Methven Street,residential,30 mph,False,True,60.53399999999999,,3,"LINESTRING (-3.4348002 56.3993643, -3.4347761 56.3992863, -3.4347616 56.3992392, -3.4347255 56.3988222)",,
300112407,A989,Atholl Street,primary,30 mph,False,True,64.88,,4,"LINESTRING (-3.4348002 56.3993643, -3.4346236 56.3993726, -3.4345651 56.3993752, -3.4337502 56.3994173)",,
"[115784256, 55343656, 701369067]",A989,Atholl Street,primary,30 mph,False,"[False, True]",104.287,,4,"LINESTRING (-3.4348002 56.3993643, -3.4349688 56.3993572, -3.4350321 56.3993544, -3.4351004 56.3993507, -3.4360427 56.3993065, -3.4361121 56.3993012, -3.4362229 56.3992915, -3.4362861 56.3992866, -3.4364878 56.3992833)",,
181397318,A989,Tay Street,primary,30 mph,False,True,90.967,,4,"LINESTRING (-3.4258047 56.3941819, -3.4258072 56.3943096, -3.4258034 56.3943307, -3.4257125 56.3948373, -3.4257074 56.3948657, -3.4256839 56.3949966)",,
"[857211041, 55421689]",A989,Tay Street,primary,30 mph,False,False,249.66199999999998,,2,"LINESTRING (-3.4258047 56.3941819, -3.4258184 56.3940585, -3.4258292 56.3940201, -3.4259724 56.393213, -3.42605 56.3927836, -3.4260748 56.392634, -3.4260972 56.392547, -3.4261041 56.3924902, -3.4261525 56.3920809, -3.4262087 56.3919495)",,
1078444828,,Canal Street,unclassified,30 mph,True,False,65.345,,2,"LINESTRING (-3.4258047 56.3941819, -3.4260631 56.3941989, -3.4261695 56.3942053, -3.4265857 56.394226, -3.4268612 56.3942398)",,
22973699,A989,Marshall Place,primary,30 mph,False,False,143.164,,3,"LINESTRING (-3.4262087 56.3919495, -3.4265367 56.3919748, -3.4272052 56.391985, -3.4282436 56.392007, -3.4283106 56.3920008, -3.4285265 56.3919803)",,
"[55421689, 857211041]",A989,Tay Street,primary,30 mph,False,True,249.66199999999998,,2,"LINESTRING (-3.4262087 56.3919495, -3.4261525 56.3920809, -3.4261041 56.3924902, -3.4260972 56.392547, -3.4260748 56.392634, -3.42605 56.3927836, -3.4259724 56.393213, -3.4258292 56.3940201, -3.4258184 56.3940585, -3.4258047 56.3941819)",,
22973699,A989,Marshall Place,primary,30 mph,False,True,143.164,,3,"LINESTRING (-3.4285265 56.3919803, -3.4283106 56.3920008, -3.4282436 56.392007, -3.4272052 56.391985, -3.4265367 56.3919748, -3.4262087 56.3919495)",,
"[24421328, 863237326]",,Princes Street,unclassified,30 mph,True,False,90.415,,2,"LINESTRING (-3.4285265 56.3919803, -3.4285217 56.39214, -3.4284979 56.3924407, -3.4284895 56.3925028, -3.4284731 56.3926372, -3.4284408 56.3927916)",,
856819878,A989,Marshall Place,primary,30 mph,False,False,116.711,,2,"LINESTRING (-3.4285265 56.3919803, -3.4288781 56.3919864, -3.4289385 56.3919875, -3.4304218 56.392014)",,
"[862833426, 859578919]",,Scott Street,residential,30 mph,False,False,156.71,,,"LINESTRING (-3.4323021 56.3952473, -3.4323114 56.395337, -3.4323193 56.3954137, -3.4323577 56.3957837, -3.4323672 56.3958755, -3.4324349 56.3965292, -3.4324391 56.3965697, -3.4324479 56.3966543)",,
859605024,,South Street,unclassified,30 mph,True,False,141.46099999999998,,2,"LINESTRING (-3.4323021 56.3952473, -3.4321675 56.3952433, -3.4308036 56.3951936, -3.4302757 56.3951717, -3.4300082 56.3951679)",,
862778227,,Scott Street,residential,30 mph,False,True,105.873,,,"LINESTRING (-3.4323021 56.3952473, -3.4323045 56.3951666, -3.4323062 56.39511, -3.4323264 56.3944243, -3.4323276 56.3943834, -3.4323247 56.3942953)",,
71437442,,Speygate,unclassified,30 mph,True,False,92.549,,2,"LINESTRING (-3.4267471 56.3950689, -3.4267445 56.3948896, -3.4268534 56.3942822, -3.4268612 56.3942398)",,
339993870,,Watergate,unclassified,30 mph,False,True,17.468,,2,"LINESTRING (-3.4267471 56.3950689, -3.4267833 56.3951032, -3.4267848 56.3951409, -3.4267903 56.3952205)",,
857211040,,South Street,unclassified,30 mph,True,False,65.924,,3,"LINESTRING (-3.4267471 56.3950689, -3.4259631 56.3950156, -3.4259157 56.3950124, -3.4256839 56.3949966)",,
"[341998824, 24814731, 24814732, 1113440445]",A93,"[""Queen's Bridge"", 'South Street']",primary,30 mph,False,False,205.17300000000003,yes,3,"LINESTRING (-3.4256839 56.3949966, -3.4255086 56.3949945, -3.4241799 56.3949565, -3.4232468 56.3949299, -3.423017 56.3949241, -3.4226719 56.394912, -3.4223543 56.3949052)",,
181397318,A989,Tay Street,primary,30 mph,False,False,90.96700000000001,,4,"LINESTRING (-3.4256839 56.3949966, -3.4257074 56.3948657, -3.4257125 56.3948373, -3.4258034 56.3943307, -3.4258072 56.3943096, -3.4258047 56.3941819)",,
"[859605025, 463911166]",A989,Tay Street,primary,30 mph,False,True,221.32999999999998,,2,"LINESTRING (-3.4256839 56.3949966, -3.4257061 56.3951426, -3.4257097 56.3951799, -3.4256786 56.3953964, -3.4256457 56.3956185, -3.4255927 56.3960422, -3.4256288 56.3964003, -3.4256892 56.396654, -3.4257632 56.3968316, -3.4258139 56.3969739)",,
859669265,,Leonard Street,unclassified,30 mph,False,False,32.067,,2,"LINESTRING (-3.4365603 56.3947534, -3.43651 56.3947751, -3.4364449 56.3947938, -3.4361742 56.394846, -3.4361022 56.3948822)",,
22973712,,New Row,unclassified,30 mph,False,False,55.25800000000001,,2,"LINESTRING (-3.4361022 56.3948822, -3.4360796 56.3949132, -3.4360779 56.3949527, -3.4361029 56.3950964, -3.4361359 56.3952602, -3.4361445 56.395303, -3.4361919 56.3953698)",,
859669265,,Leonard Street,unclassified,30 mph,False,True,32.067,,2,"LINESTRING (-3.4361022 56.3948822, -3.4361742 56.394846, -3.4364449 56.3947938, -3.43651 56.3947751, -3.4365603 56.3947534)",,
22973704,,County Place,unclassified,30 mph,False,False,110.051,,3,"LINESTRING (-3.4361919 56.3953698, -3.4348557 56.3953327, -3.4347636 56.3953304, -3.4344064 56.395316)",,
22973712,,New Row,unclassified,30 mph,False,True,55.258,,2,"LINESTRING (-3.4361919 56.3953698, -3.4361445 56.395303, -3.4361359 56.3952602, -3.4361029 56.3950964, -3.4360779 56.3949527, -3.4360796 56.3949132, -3.4361022 56.3948822)",,
340574070,,New Row,unclassified,30 mph,False,True,96.348,,,"LINESTRING (-3.4361919 56.3953698, -3.4361893 56.3954296, -3.4361744 56.395767, -3.4361714 56.3958337, -3.4361702 56.3958619, -3.4361679 56.3959128, -3.4361521 56.396236)",,
22937562,A85,Barrack Street,primary,30 mph,True,False,43.571,,3,"LINESTRING (-3.4368028 56.3996283, -3.4366189 56.3994756, -3.4365825 56.3994387, -3.436548 56.3994036, -3.4365135 56.3993685, -3.4364878 56.3992833)",,
"[863083313, 22973708]",,Kinnoull Street,residential,30 mph,False,False,101.699,,2,"LINESTRING (-3.4324479 56.3966543, -3.4324601 56.3967587, -3.4324692 56.3968357, -3.4325157 56.3972327, -3.4325214 56.3974036, -3.4325264 56.3974664, -3.4325345 56.3975675)",,
300112404,,High Street,unclassified,20 mph,True,False,124.696,,1,"LINESTRING (-3.4324479 56.3966543, -3.4326363 56.3966569, -3.4328955 56.3966606, -3.4339262 56.3966712, -3.4342349 56.3966744, -3.434282 56.3966742, -3.4344736 56.3966787)",,
"[862833426, 859578919]",,Scott Street,residential,30 mph,False,True,156.71000000000004,,,"LINESTRING (-3.4324479 56.3966543, -3.4324391 56.3965697, -3.4324349 56.3965292, -3.4323672 56.3958755, -3.4323577 56.3957837, -3.4323193 56.3954137, -3.4323114 56.395337, -3.4323021 56.3952473)",,
22973714,,Mill Wynd,residential,30 mph,False,False,88.233,,,"LINESTRING (-3.4359882 56.3972829, -3.435579 56.3972292, -3.4352122 56.3972052, -3.4351609 56.3971696, -3.4351491 56.3970371, -3.4351691 56.3968593)",,
22973714,,Mill Wynd,residential,30 mph,False,True,88.233,,,"LINESTRING (-3.4351691 56.3968593, -3.4351491 56.3970371, -3.4351609 56.3971696, -3.4352122 56.3972052, -3.435579 56.3972292, -3.4359882 56.3972829)",,
125400438,A989,Atholl Street,primary,30 mph,False,True,63.226,,3,"LINESTRING (-3.4327282 56.3994594, -3.4325334 56.3994702, -3.4324869 56.3994726, -3.4322315 56.3994813, -3.4317037 56.3995019)",,
