osmid,oneway,name,highway,maxspeed,junction,reversed,length,lanes,geometry,bridge,ref
42278984,True,St David's Road,tertiary,40 mph,roundabout,False,7.878,,"LINESTRING (-3.0191424 51.652009, -3.0190645 51.6520608)",,
"[8018600, 107063689, 1058612424, 852648492, 107168269, 852648494]",True,Glyndwr Road,tertiary,20 mph,,False,369.374,"['1', '2', '3']","LINESTRING (-3.0201919 51.6553677, -3.0201705 51.6551651, -3.0201215 51.6547925, -3.0200779 51.6545006, -3.0200657 51.6544119, -3.0200445 51.6542255, -3.0200347 51.6541695, -3.020026 51.6541194, -3.0200096 51.6540241, -3.0199158 51.6534109, -3.0198681 51.6532453, -3.0198427 51.6530771, -3.0198048 51.6527939, -3.0197669 51.6525736, -3.0197486 51.652447, -3.0197041 51.6521642, -3.0196915 51.6520612)",,
19393525,True,Edlogan Way,tertiary,30 mph,,False,35.884,,"LINESTRING (-3.0181892 51.6560791, -3.0183777 51.6560007, -3.0184891 51.6559606, -3.0185551 51.6559235, -3.0186132 51.6558937)",,
629622408,False,Edlogan Way,tertiary,,,True,53.146,,"LINESTRING (-3.0181892 51.6560791, -3.017736 51.656193, -3.0174744 51.6562574)",,
629622408,False,Edlogan Way,tertiary,,,False,53.146,,"LINESTRING (-3.0174744 51.6562574, -3.017736 51.656193, -3.0181892 51.6560791)",,
"[629622408, 629622409, 95524102]",False,Edlogan Way,tertiary,,,True,308.00399999999996,,"LINESTRING (-3.0174744 51.6562574, -3.0170522 51.6563622, -3.0165198 51.6565021, -3.0163362 51.6565538, -3.0162522 51.6565774, -3.0161298 51.6566115, -3.0158599 51.6566867, -3.0154182 51.6568335, -3.0153823 51.6568454, -3.0150128 51.6569971, -3.0146892 51.6571748, -3.0144474 51.657336, -3.0142451 51.6575072, -3.0140655 51.6576566, -3.0139053 51.6578092)",yes,
19390066,True,,primary,30 mph,,False,59.243,2,"LINESTRING (-3.0250772 51.6504324, -3.0251567 51.6505678, -3.0252558 51.6506942, -3.0252691 51.6507085, -3.0253519 51.6507971, -3.0254669 51.6509048)",,A4051
5061687,True,,primary,30 mph,roundabout,False,5.127,2,"LINESTRING (-3.0250466 51.6510167, -3.025079 51.6509752)",,
5061687,True,,primary,30 mph,roundabout,False,1.741,2,"LINESTRING (-3.0251856 51.651245, -3.0251642 51.6512367)",,
8018383,True,Cwmbran Drive,primary,30 mph,roundabout,False,9.84,2,"LINESTRING (-3.0267139 51.6565313, -3.0266446 51.6565416, -3.0265734 51.6565384)",,A4051
8018383,True,Cwmbran Drive,primary,30 mph,roundabout,False,20.526,2,"LINESTRING (-3.0265734 51.6565384, -3.0265045 51.656521, -3.0264481 51.6564909, -3.0264098 51.6564513, -3.0263936 51.6564063)",,A4051
8018384,True,Cwmbran Drive,primary,30 mph,,False,53.455,1,"LINESTRING (-3.0265734 51.6565384, -3.0264163 51.656562, -3.0263192 51.6565915, -3.0262245 51.6566361, -3.0261297 51.656695, -3.0260773 51.6567433, -3.0260112 51.6568325)",,A4051
8018383,True,Cwmbran Drive,primary,30 mph,roundabout,False,6.828,2,"LINESTRING (-3.0263936 51.6564063, -3.026396 51.6563756, -3.0264089 51.656346)",,A4051
8018383,True,Cwmbran Drive,primary,30 mph,roundabout,False,15.391,2,"LINESTRING (-3.0265875 51.6562557, -3.0266372 51.6562539, -3.0266864 51.6562588, -3.0267434 51.6562736, -3.026792 51.6562972)",,A4051
19390070,True,Cwmbran Drive,primary,30 mph,,False,55.259,2,"LINESTRING (-3.0260112 51.6568325, -3.0260687 51.6566895, -3.026099 51.6566435, -3.0261636 51.6565807, -3.0262344 51.6565289, -3.0263211 51.6564644, -3.0263936 51.6564063)",,A4051
107168240,True,St David's Road,tertiary,30 mph,roundabout,False,36.434,,"LINESTRING (-3.0186132 51.6558937, -3.0186028 51.6558356, -3.0186089 51.6557967, -3.0186184 51.6557568, -3.0186553 51.6557056, -3.0187147 51.6556538, -3.0188097 51.6556158)",,
107168240,True,St David's Road,tertiary,30 mph,roundabout,False,12.482,,"LINESTRING (-3.0190215 51.6555976, -3.0191088 51.6556124, -3.019188 51.6556395)",,
107071016,True,St David's Road,tertiary,30 mph,,False,31.635,2,"LINESTRING (-3.0188534 51.6553329, -3.0190215 51.6555976)",,
42424884,False,St David's Road,tertiary,30 mph,,True,271.937,2,"LINESTRING (-3.0188534 51.6553329, -3.0188376 51.6552766, -3.0188116 51.6551588, -3.0187485 51.6548737, -3.0187106 51.6545926, -3.0186935 51.6544654, -3.0186553 51.65409, -3.0186241 51.6537721, -3.0186078 51.6533945, -3.0185965 51.6531323, -3.0185862 51.652895)",,
42278984,True,St David's Road,tertiary,40 mph,roundabout,False,35.394999999999996,,"LINESTRING (-3.0185141 51.6517927, -3.0185507 51.6517533, -3.0185994 51.6517193, -3.0186582 51.6516921, -3.0187246 51.6516729, -3.0187959 51.6516624, -3.0188691 51.651661, -3.0189413 51.6516689)",,
59309084,True,St David's Road,tertiary,40 mph,,False,89.91,,"LINESTRING (-3.0185141 51.6517927, -3.0184682 51.651652, -3.018456 51.6515315, -3.0184439 51.6513861, -3.0184398 51.6509874)",,
107063681,True,,tertiary,30 mph,roundabout,False,5.619,,"LINESTRING (-3.023794 51.6511622, -3.0238732 51.651174)",,
42279769,True,Maendy Way,tertiary,30 mph,,False,75.721,1,"LINESTRING (-3.0246332 51.6554957, -3.024608 51.6556677, -3.0246027 51.6558518, -3.024599 51.6559553, -3.0246072 51.6561036, -3.0246104 51.6561758)",,
44651556,True,Llewelyn Road,tertiary,30 mph,,False,43.434000000000005,,"LINESTRING (-3.0246332 51.6554957, -3.0246158 51.6555343, -3.0245905 51.6555639, -3.0245644 51.6555848, -3.0245061 51.6556198, -3.0244282 51.6556511, -3.0243575 51.6556653, -3.0242626 51.655671, -3.0242021 51.6556691, -3.0241424 51.6556544)",,
