osmid,oneway,name,highway,reversed,length,lanes,geometry,junction,maxspeed,tunnel
43120766,True,Calle Écija,residential,False,4.837,,"LINESTRING (-6.3649791 36.6226463, -6.3649979 36.6226055)",,,
158224768,True,Avenida de la Marina,tertiary,False,52.957,1,"LINESTRING (-6.3631927 36.6226651, -6.3637385 36.6224782)",,,
158233785,True,Calle El Greco,residential,False,67.107,1,"LINESTRING (-6.3631927 36.6226651, -6.3632162 36.6227208, -6.3634336 36.6232368)",,,
187419549,True,Avenida San Fernando,tertiary,False,31.051,,"LINESTRING (-6.3596709 36.6238991, -6.3597776 36.6238408, -6.3598997 36.6237776, -6.3599691 36.623758)",,,
1092817827,False,Avenida San Fernando,tertiary,True,26.034,,"LINESTRING (-6.3596709 36.6238991, -6.3596028 36.6239802, -6.3595154 36.6240971)",,,
43122183,True,Calle Menéndez Pelayo,residential,False,40.022,1,"LINESTRING (-6.3595154 36.6240971, -6.359169 36.6238685)",,,
1092817827,False,Avenida San Fernando,tertiary,False,26.034,,"LINESTRING (-6.3595154 36.6240971, -6.3596028 36.6239802, -6.3596709 36.6238991)",,,
1092817827,False,Avenida San Fernando,tertiary,True,141.096,,"LINESTRING (-6.3595154 36.6240971, -6.3593892 36.6242839, -6.3592147 36.6245423, -6.3590534 36.6247789, -6.3587586 36.6252112)",,,
1092817827,False,Avenida San Fernando,tertiary,True,9.208,,"LINESTRING (-6.3587586 36.6252112, -6.3587083 36.6252835)",,,
1092817827,False,Avenida San Fernando,tertiary,False,141.096,,"LINESTRING (-6.3587586 36.6252112, -6.3590534 36.6247789, -6.3592147 36.6245423, -6.3593892 36.6242839, -6.3595154 36.6240971)",,,
158335183,False,Avenida San Fernando,tertiary,True,31.018,2,"LINESTRING (-6.3584323 36.6256538, -6.3583102 36.6257345, -6.3581573 36.6258242)",,,
1190141490,True,Avenida San Fernando,tertiary,False,23.514,1,"LINESTRING (-6.3584323 36.6256538, -6.3585438 36.62558, -6.3585989 36.6255536, -6.3586459 36.625531)",,,
