osmid,oneway,lanes,name,highway,reversed,length,geometry,ref,junction,bridge,maxspeed,tunnel
61981139,True,1,Carrer de sa Pau,tertiary,False,105.18599999999999,"LINESTRING (3.8398222 39.9969574, 3.8401348 39.9972135, 3.8403167 39.9973772, 3.8404473 39.9974854, 3.8405568 39.9975476, 3.8406415 39.9975923, 3.8406943 39.9976213)",,,,,
65436495,False,,Carrer de sa Pau,tertiary,False,106.453,"LINESTRING (3.8398222 39.9969574, 3.8395924 39.9967436, 3.8389641 39.9962627)",,,,,
41807274,False,,Carrer de Sevilla,residential,False,128.77499999999998,"LINESTRING (3.8389641 39.9962627, 3.8389413 39.9963915, 3.8389283 39.9964649, 3.8388443 39.9969512, 3.838765 39.9974107)",,,,,
65436495,False,,Carrer de sa Pau,tertiary,True,106.453,"LINESTRING (3.8389641 39.9962627, 3.8395924 39.9967436, 3.8398222 39.9969574)",,,,,
41770931,True,,Carrer de Mallorca,residential,False,8.780000000000001,"LINESTRING (3.8360872 39.9987713, 3.8360802 39.998733, 3.8360729 39.9986931)",,,,,
41770932,True,,Avinguda de Capità Negrete,tertiary,False,58.035000000000004,"LINESTRING (3.8360872 39.9987713, 3.8361751 39.998783, 3.8363242 39.9988028, 3.8366251 39.9988427, 3.8366906 39.9988514, 3.8367585 39.9988604)",,,,,
39413477,False,,Carrer des Degollador,tertiary,True,8.982,"LINESTRING (3.8375825 39.9989653, 3.8375551 39.9990433)",,,,,
41770932,True,,Avinguda de Capità Negrete,tertiary,False,28.146,"LINESTRING (3.8375825 39.9989653, 3.8378277 39.9989951, 3.8379087 39.9990056)",,,,,
284929820,False,,,tertiary,False,5.199,"LINESTRING (3.8399304 40.0001075, 3.8398795 40.0001333)",,,,,
41770934,True,,Avinguda de Jaume I El Conqueridor,tertiary,False,77.24,"LINESTRING (3.8399304 40.0001075, 3.8399892 40.0001732, 3.8403821 40.0006126, 3.8404428 40.0006806)",,,,,
41772917,False,,Passeig de Sant Nicolau,residential,True,194.696,"LINESTRING (3.8332414 39.9992312, 3.8332994 39.9992546, 3.8352119 40.0000251, 3.8352325 40.0000334, 3.8352643 40.0000463)",,,,,
41793007,True,,Carrer de la República Argentina,residential,False,82.544,"LINESTRING (3.8332414 39.9992312, 3.8331989 39.999293, 3.8327893 39.9998878)",,,,,
240615033,False,,Passeig de Sant Nicolau,residential,False,109.643,"LINESTRING (3.8332414 39.9992312, 3.833158 39.9991979, 3.832187 39.9988102, 3.8321 39.9987754)",,,,,
"[41770929, 548292010]",True,,Plaça des Pins,residential,False,91.232,"LINESTRING (3.8352643 40.0000463, 3.8353289 39.9999427, 3.8353869 39.9998531, 3.8355551 39.9995933, 3.835652 39.9994435, 3.8357381 39.9993105)",,,,,
